T02n0142b_001:0864c07	玉耶女經	玉 耶 女 經 
T02n0142b_001:0864c09	失譯人名今附西晉錄	失 譯 人 名 今 附 西 晉 錄 
T02n0142b_001:0864c10	聞如是：一時，佛在舍衛國祇樹給孤獨園，	聞 如 是 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 
T02n0142b_001:0864c11	為諸四輩弟子說經。是時，國中給孤獨家	為 諸 四 輩 弟 子 說 經 是 時 國 中 給 孤 獨 家 
T02n0142b_001:0864c12	為子娶婦，得長者女名曰玉耶，端正殊特，	為 子 娶 婦 得 長 者 女 名 曰 玉 耶 端 正 殊 特 
T02n0142b_001:0864c13	不以婦禮，輕慢公姑及以夫婿。給孤獨長	不 以 婦 禮 輕 慢 公 姑 及 以 夫 婿 給 孤 獨 長 
T02n0142b_001:0864c14	者夫婦議言：「是婦不順，當云何教？若加杖	者 夫 婦 議 言 是 婦 不 順 當 云 何 教 若 加 杖 
T02n0142b_001:0864c15	捶，非善法也；設不教訶，其罪日增。」長者議	捶 非 善 法 也 設 不 教 訶 其 罪 日 增 長 者 議 
T02n0142b_001:0864c16	曰：「惟佛能化。」明旦嚴服往詣佛所，稽首禮	曰 惟 佛 能 化 明 旦 嚴 服 往 詣 佛 所 稽 首 禮 
T02n0142b_001:0864c17	足前白佛言：「我為子娶婦得長者女，甚大	足 前 白 佛 言 我 為 子 娶 婦 得 長 者 女 甚 大 
T02n0142b_001:0864c18	憍慢不以婦禮，惟願世尊，哀愍我等并諸	憍 慢 不 以 婦 禮 惟 願 世 尊 哀 愍 我 等 并 諸 
T02n0142b_001:0864c19	弟子，明日勸請，到舍說經令心開解。」佛即	弟 子 明 日 勸 請 到 舍 說 經 令 心 開 解 佛 即 
T02n0142b_001:0864c20	受請，長者歡喜禮佛而歸。長者到舍廣設	受 請 長 者 歡 喜 禮 佛 而 歸 長 者 到 舍 廣 設 
T02n0142b_001:0864c21	調度嚴飾床座，明旦佛來到長者舍，長者	調 度 嚴 飾 床 座 明 旦 佛 來 到 長 者 舍 長 者 
T02n0142b_001:0864c22	欣慶請如來入舍，眾坐已定，皆各禮佛却	欣 慶 請 如 來 入 舍 眾 坐 已 定 皆 各 禮 佛 却 
T02n0142b_001:0864c23	住一面，佛飯食訖并為說經，惟有玉耶憍	住 一 面 佛 飯 食 訖 并 為 說 經 惟 有 玉 耶 憍 
T02n0142b_001:0864c24	慢不出。佛念愍之放大神力，變長者家皆	慢 不 出 佛 念 愍 之 放 大 神 力 變 長 者 家 皆 
T02n0142b_001:0864c25	化作水精色，內外相照無有障礙。玉耶見	化 作 水 精 色 內 外 相 照 無有障礙 玉 耶 見 
T02n0142b_001:0864c26	佛三十二相、八十種好，衣毛為竪戰慄惶	佛 三十二相 八十種好 衣 毛 為 竪 戰 慄 惶 
T02n0142b_001:0864c27	怖，即出禮佛却住一面，合掌低頭默無所	怖 即 出 禮 佛 却 住 一 面 合 掌 低 頭 默 無 所 
T02n0142b_001:0864c28	說。佛語玉耶：「女人不以面貌端正，不順夫	說 佛 語 玉 耶 女 人 不 以 面 貌 端 正 不 順 夫 
T02n0142b_001:0864c29	婿非為端正，心端行正是為端正。女人身	婿 非 為 端 正 心 端 行 正 是 為 端 正 女 人 身 
T02n0142b_001:0865a01	中有十惡事，不自覺知。何等十惡？一者託	中 有 十 惡 事 不 自 覺 知 何 等 十 惡 一 者 託 
T02n0142b_001:0865a02	生父母甚難養育，二者懷妊憂愁，三者初	生 父 母 甚 難 養 育 二 者 懷 妊 憂 愁 三 者 初 
T02n0142b_001:0865a03	生父母不喜，四者養育無味，五者父母隨	生 父 母 不 喜 四 者 養 育 無 味 五 者 父 母 隨 
T02n0142b_001:0865a04	逐不離時宜，六者處處畏人，七者常憂嫁	逐 不 離 時 宜 六 者 處 處 畏 人 七 者 常 憂 嫁 
T02n0142b_001:0865a05	之，八者生已父母離別，九者常畏夫婿，十	之 八 者 生 已 父 母 離 別 九 者 常 畏 夫 婿 十 
T02n0142b_001:0865a06	者不得自在，是名十惡也。」玉耶惶怖白佛	者 不得自在 是 名 十 惡 也 玉 耶 惶 怖 白 佛 
T02n0142b_001:0865a07	言：「世尊！願佛教我婦人之禮，其事云何？」佛	言 世 尊 願 佛 教 我 婦 人 之 禮 其 事 云 何 佛 
T02n0142b_001:0865a08	語玉耶：「婦事夫婿公姑大長，有五善三惡。	語 玉 耶 婦 事 夫 婿 公 姑 大 長 有 五 善 三 惡 
T02n0142b_001:0865a09	何等五善？一者後臥早起美食先進，二者	何 等 五 善 一 者 後 臥 早 起 美 食 先 進 二 者 
T02n0142b_001:0865a10	撾罵不得懷恚，三者一心向夫不得邪婬，	撾 罵 不 得 懷 恚 三 者 一 心 向 夫 不 得 邪 婬 
T02n0142b_001:0865a11	四者願夫長壽以身奉使，五者夫婿遠行	四 者 願 夫 長 壽 以 身 奉 使 五 者 夫 婿 遠 行 
T02n0142b_001:0865a12	整理家中無有二心，是為五善。何等三惡？	整 理 家 中 無 有 二 心 是 為 五 善 何 等 三 惡 
T02n0142b_001:0865a13	一者輕慢夫婿不順大長，美食自噉，未冥	一 者 輕 慢 夫 婿 不 順 大 長 美 食 自 噉 未 冥 
T02n0142b_001:0865a14	早臥日出不起，夫婿教訶瞋目怒應。二者	早 臥 日 出 不 起 夫 婿 教 訶 瞋 目 怒 應 二 者 
T02n0142b_001:0865a15	見夫不歡心常敗壞，念他男子好。三者願	見 夫 不 歡 心 常 敗 壞 念 他 男 子 好 三 者 願 
T02n0142b_001:0865a16	夫早死更嫁，是為三惡。」玉耶默然無言可	夫 早 死 更 嫁 是 為 三 惡 玉 耶 默 然 無 言 可 
