T04n0207_001:0522b16	◎雜譬喻經	 雜 譬 喻 經 
T04n0207_001:0522b18	比丘道略集	比 丘 道 略 集 
T04n0207_001:0522b19	雀離寺師將沙彌下喻　聖王生九百九十九	雀 離 寺 師 將 沙 彌 下 喻 聖 王 生 九 百 九 十 九 
T04n0207_001:0522b20	子喻　兄弟二人共為沙門喻　伎兒作種種	子 喻 兄 弟 二 人 共 為 沙 門 喻 伎 兒 作 種 種 
T04n0207_001:0522b21	伎喻　比丘被擯喻　目連與弟子下耆闍崛	伎 喻 比 丘 被 擯 喻 目 連 與 弟 子 下 耆 闍 崛 
T04n0207_001:0522b22	山喻　喜根喻　木師畫師喻　大迦葉婦因	山 喻 喜 根 喻 木 師 畫 師 喻 大 迦 葉 婦 因 
T04n0207_001:0522b23	緣喻　兄好禪弟好多聞喻　羅云珠喻　龍	緣 喻 兄 好 禪 弟 好 多 聞 喻 羅 云 珠 喻 龍 
T04n0207_001:0522b24	昇天喻　於僧淨地大行喻　與貴人蹋唾喻	昇 天 喻 於 僧 淨 地 大 行 喻 與 貴 人 蹋 唾 喻 
T04n0207_001:0522b25	　佛與弟子入舍衛乞食喻　醫師治王病喻	 佛 與 弟 子 入 舍 衛 乞 食 喻 醫 師 治 王 病 喻 
T04n0207_001:0522b26	　惡雨喻　阿修羅因緣喻　王子入山喻	 惡 雨 喻 阿 修 羅 因 緣 喻 王 子 入 山 喻 
T04n0207_001:0522b27	　鹿林喻　尸利求多喻　從婆羅門乞食喻	 鹿 林 喻 尸 利 求 多 喻 從 婆 羅 門 乞 食 喻 
T04n0207_001:0522b28	　田舍人喻　呪龍喻　石當道喻　蛇頭尾共	 田 舍 人 喻 呪 龍 喻 石 當 道 喻 蛇 頭 尾 共 
T04n0207_001:0522b29	諍喻　捕鳥師喻　五百力士為沙門喻　三	諍 喻 捕 鳥 師 喻 五 百 力 士 為 沙 門 喻 三 
T04n0207_001:0522c01	堅要喻　賣酪自存喻　五百賈客入海求寶	堅 要 喻 賣 酪 自 存 喻 五 百 賈 客 入 海 求 寶 
T04n0207_001:0522c02	喻　劫盡燒因緣喻　貴人為比丘尼因緣喻	喻 劫 盡 燒 因 緣 喻 貴 人 為 比 丘 尼 因 緣 喻 
T04n0207_001:0522c03	　草木皆可為藥喻　屠兒喻　王好布施喻	 草 木 皆 可 為 藥 喻 屠 兒 喻 王 好 布 施 喻 
T04n0207_001:0522c04	　龍藏水喻　聖王得輪因緣喻　梵王長壽喻	 龍 藏 水 喻 聖 王 得 輪 因 緣 喻 梵 王 長 壽 喻 
T04n0207_001:0522c05	（一）昔雀離寺，有一長老比丘得羅漢道，將一	 一 昔 雀 離 寺 有 一 長老比丘 得 羅 漢 道 將 一 
T04n0207_001:0522c06	沙彌時復來下入城遊觀，衣鉢大重，令沙彌	沙 彌 時 復 來 下 入 城 遊 觀 衣 鉢 大 重 令 沙 彌 
T04n0207_001:0522c07	擔隨從其後。沙彌道中便作是念：「人生世間	擔 隨 從 其 後 沙 彌 道 中 便 作 是 念 人 生 世 間 
T04n0207_001:0522c08	無不受苦，欲免此苦當與何等道？」作是思惟：	無 不 受 苦 欲 免 此 苦 當 與 何 等 道 作是思惟 
T04n0207_001:0522c09	「佛常讚歎菩薩為勝，我今當發菩薩心。」適作	 佛 常 讚 歎 菩 薩 為 勝 我 今 當 發 菩 薩 心 適 作 
T04n0207_001:0522c10	是念，其師即以知他心通照其所念，語沙彌	是 念 其 師 即 以 知 他 心 通 照 其 所 念 語 沙 彌 
T04n0207_001:0522c11	言：「持衣鉢來。」沙彌持衣鉢授與其師，師語	言 持 衣 鉢 來 沙 彌 持 衣 鉢 授 與 其 師 師 語 
T04n0207_001:0522c12	沙彌：「汝在前行。」沙彌適在前行，復作是念：「菩	沙 彌 汝 在 前 行 沙 彌 適 在 前 行 復 作 是 念 菩 
T04n0207_001:0522c13	薩之道甚大勤苦，求頭與頭求眼與眼，此事	薩 之 道 甚 大 勤 苦 求 頭 與 頭 求 眼 與 眼 此 事 
T04n0207_001:0522c14	極難非我所辦，不如早取羅漢疾得離苦。」師	極 難 非 我 所 辦 不 如 早 取 羅 漢 疾 得 離 苦 師 
T04n0207_001:0522c15	復知其所念，語沙彌言：「汝擔衣鉢還從我後。」	復 知 其 所 念 語 沙 彌 言 汝 擔 衣 鉢 還 從 我 後 
T04n0207_001:0522c16	如是三反，沙彌怪愕不知何意。前至所止處，	如 是 三 反 沙 彌 怪 愕 不 知 何 意 前 至 所 止 處 
T04n0207_001:0522c17	叉手白師請問其意。其師答曰：「汝於菩薩道	叉 手 白 師 請 問 其 意 其 師 答 曰 汝 於 菩 薩 道 
T04n0207_001:0522c18	三進故，我亦三反推汝在前；汝心三退故推	三 進 故 我 亦 三 反 推 汝 在 前 汝 心 三 退 故 推 
T04n0207_001:0522c19	汝在後。所以爾者，發菩薩心，其功德勝滿	汝 在 後 所 以 爾 者 發 菩 薩 心 其 功 德 勝 滿 
T04n0207_001:0522c20	三千世界成就羅漢故也。」	三千世界 成 就 羅 漢 故 也 
T04n0207_001:0522c21	（二）昔有轉輪聖王，先生九百九十九子，皆悉	 二 昔 有 轉輪聖王 先 生 九 百 九 十 九 子 皆 悉 
T04n0207_001:0522c22	成大端正殊好，聰明黠慧兼有身力，或有具	成 大 端 正 殊 好 聰 明 黠 慧 兼 有 身 力 或 有 具 
T04n0207_001:0522c23	二十八相者，或具三十相者，或具三十一相	二 十 八 相 者 或 具 三 十 相 者 或 具 三 十 一 相 
T04n0207_001:0522c24	者。末後一子始入母胎，處于惡露不淨之間。	者 末 後 一 子 始 入 母 胎 處 于 惡 露 不 淨 之 間 
T04n0207_001:0522c25	時有八部大力鬼神，鼓樂絃歌侍衛其母，王	時 有 八 部 大 力 鬼 神 鼓 樂 絃 歌 侍 衛 其 母 王 
T04n0207_001:0522c26	亦宣勅左右令具供養，種種嚴飾參倍於常。	亦 宣 勅 左 右 令 具 供 養 種 種 嚴 飾 參 倍 於 常 
T04n0207_001:0522c27	時人白王曰：「王先諸子，今皆成大，智慧聰	時 人 白 王 曰 王 先 諸 子 今 皆 成 大 智 慧 聰 
T04n0207_001:0522c28	徹身相殊妙，王心平然未常欣慶。今此一	徹 身 相 殊 妙 王 心 平 然 未 常 欣 慶 今 此 一 
