T08n0235_001:0748c17	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0235_001:0748c19	姚秦天竺三藏鳩摩羅什譯	姚 秦 天 竺 三 藏 鳩 摩 羅 什 譯 
T08n0235_001:0748c20	如是我聞：一時，佛在舍衛國祇樹給孤獨園，	如是我聞 一 時 佛 在 舍 衛 國 祇 樹 給 孤 獨 園 
T08n0235_001:0748c21	與大比丘眾千二百五十人俱。爾時，世尊食	與 大 比 丘 眾 千二百五十 人 俱 爾 時 世 尊 食 
T08n0235_001:0748c22	時，著衣持鉢，入舍衛大城乞食。於其城中，	時 著衣持鉢 入 舍 衛 大 城 乞 食 於 其 城 中 
T08n0235_001:0748c23	次第乞已，還至本處。飯食訖，收衣鉢，洗足	次 第 乞 已 還 至 本 處 飯 食 訖 收 衣 鉢 洗 足 
T08n0235_001:0748c24	已，敷座而坐。時，長老須菩提在大眾中即	已 敷 座 而 坐 時 長 老 須 菩 提 在 大 眾 中 即 
T08n0235_001:0748c25	從座起，偏袒右肩，右膝著地，合掌恭敬而	從 座 起 偏袒右肩 右膝著地 合掌恭敬 而 
T08n0235_001:0748c26	白佛言：「希有！世尊！如來善護念諸菩薩，善	白 佛 言 希 有 世 尊 如 來 善 護 念 諸 菩 薩 善 
T08n0235_001:0748c27	付囑諸菩薩。世尊！善男子、善女人，發阿耨	付 囑 諸 菩 薩 世 尊 善 男 子 善 女 人 發 阿 耨 
T08n0235_001:0748c28	多羅三藐三菩提心，應云何住？云何降伏	多 羅 三藐三菩提 心 應 云 何 住 云 何 降 伏 
T08n0235_001:0748c29	其心？」佛言：「善哉，善哉！須菩提！如汝所說：『如	其 心 佛 言 善 哉 善 哉 須 菩 提 如 汝 所 說 如 
T08n0235_001:0749a01	來善護念諸菩薩，善付囑諸菩薩。』汝今諦	來 善 護 念 諸 菩 薩 善 付 囑 諸 菩 薩 汝 今 諦 
T08n0235_001:0749a02	聽，當為汝說。善男子、善女人，發阿耨多	聽 當 為 汝 說 善 男 子 善 女 人 發 阿 耨 多 
T08n0235_001:0749a03	羅三藐三菩提心，應如是住，如是降伏其	羅 三藐三菩提 心 應 如 是 住 如 是 降 伏 其 
T08n0235_001:0749a04	心。」「唯然。世尊！願樂欲聞。」	心 唯 然 世 尊 願 樂 欲 聞 
T08n0235_001:0749a05	佛告須菩提：「諸菩薩摩訶薩應如是降伏	佛 告 須 菩 提 諸 菩薩摩訶薩 應 如 是 降 伏 
T08n0235_001:0749a06	其心：『所有一切眾生之類，若卵生、若胎生、若	其 心 所有一切 眾 生 之 類 若 卵 生 若 胎 生 若 
T08n0235_001:0749a07	濕生、若化生，若有色、若無色，若有想、若無想、	濕 生 若 化 生 若 有 色 若 無 色 若 有 想 若 無 想 
T08n0235_001:0749a08	若非有想非無想，我皆令入無餘涅槃而	若 非 有 想 非 無 想 我 皆 令 入無餘涅槃 而 
T08n0235_001:0749a09	滅度之。』如是滅度無量無數無邊眾生，實	滅 度 之 如 是 滅 度 無量無數 無 邊 眾 生 實 
T08n0235_001:0749a10	無眾生得滅度者。何以故？須菩提！若菩薩	無 眾 生 得滅度者 何 以 故 須 菩 提 若 菩 薩 
T08n0235_001:0749a11	有我相、人相、眾生相、壽者相，即非菩薩。	有 我 相 人 相 眾 生 相 壽 者 相 即 非 菩 薩 
T08n0235_001:0749a12	「復次，須菩提！菩薩於法，應無所住，行於布	 復 次 須 菩 提 菩 薩 於 法 應 無 所 住 行 於 布 
T08n0235_001:0749a13	施，所謂不住色布施，不住聲、香、味、觸、法布	施 所 謂 不 住 色 布 施 不 住 聲 香 味 觸 法 布 
T08n0235_001:0749a14	施。須菩提！菩薩應如是布施，不住於相。何	施 須 菩 提 菩 薩 應 如 是 布 施 不 住 於 相 何 
T08n0235_001:0749a15	以故？若菩薩不住相布施，其福德不可思	以 故 若 菩 薩 不 住 相 布 施 其 福 德 不 可 思 
T08n0235_001:0749a16	量。「須菩提！於意云何？東方虛空可思量不？」	量 須 菩 提 於意云何 東 方 虛 空 可 思 量 不 
T08n0235_001:0749a17	「不也，世尊！」「須菩提！南西北方四維上下虛空	 不 也 世 尊 須 菩 提 南 西 北 方 四 維 上 下 虛 空 
T08n0235_001:0749a18	可思量不？」「不也，世尊！」「須菩提！菩薩無住相	可 思 量 不 不 也 世 尊 須 菩 提 菩 薩 無 住 相 
T08n0235_001:0749a19	布施，福德亦復如是不可思量。須菩提！菩	布 施 福 德 亦復如是 不 可 思 量 須 菩 提 菩 
T08n0235_001:0749a20	薩但應如所教住。	薩 但 應 如 所 教 住 
T08n0235_001:0749a21	「須菩提！於意云何？可以身相見如來不？」	 須 菩 提 於意云何 可 以 身 相 見 如 來 不 
T08n0235_001:0749a22	「不也，世尊！不可以身相得見如來。何以	 不 也 世 尊 不 可 以 身 相 得 見 如 來 何 以 
T08n0235_001:0749a23	故？如來所說身相，即非身相。」佛告須菩提：	故 如 來 所 說 身 相 即 非 身 相 佛 告 須 菩 提 
T08n0235_001:0749a24	「凡所有相，皆是虛妄。若見諸相非相，則見	 凡 所 有 相 皆 是 虛 妄 若 見 諸 相 非 相 則 見 
T08n0235_001:0749a25	如來。」	如 來 
T08n0235_001:0749a26	須菩提白佛言：「世尊！頗有眾生，得聞如	須 菩 提 白 佛 言 世 尊 頗 有 眾 生 得 聞 如 
T08n0235_001:0749a27	是言說章句，生實信不？」佛告須菩提：「莫	是 言 說 章 句 生 實 信 不 佛 告 須 菩 提 莫 
T08n0235_001:0749a28	作是說。如來滅後，後五百歲，有持戒修福	作 是 說 如來滅後 後 五 百 歲 有 持 戒 修 福 
T08n0235_001:0749a29	者，於此章句能生信心，以此為實，當知	者 於 此 章 句 能 生 信 心 以 此 為 實 當 知 
T08n0235_001:0749b01	是人不於一佛二佛三四五佛而種善根，	是 人 不 於 一 佛 二 佛 三 四 五 佛 而 種 善 根 
T08n0235_001:0749b02	已於無量千萬佛所種諸善根，聞是章句，	已 於 無 量 千 萬 佛 所 種 諸 善 根 聞 是 章 句 
T08n0235_001:0749b03	乃至一念生淨信者，須菩提！如來悉知悉	乃 至 一 念 生 淨 信 者 須 菩 提 如 來 悉 知 悉 
T08n0235_001:0749b04	見是諸眾生得如是無量福德。何以故？是	見 是 諸 眾 生 得 如 是 無量福德 何 以 故 是 
T08n0235_001:0749b05	諸眾生無復我相、人相、眾生相、壽者相。「無法	諸 眾 生 無 復 我 相 人 相 眾 生 相 壽 者 相 無 法 
T08n0235_001:0749b06	相，亦無非法相。何以故？是諸眾生若心取	相 亦 無 非 法 相 何 以 故 是 諸 眾 生 若 心 取 
T08n0235_001:0749b07	相，則為著我、人、眾生、壽者。「若取法相，即著	相 則 為 著 我 人 眾 生 壽 者 若 取 法 相 即 著 
T08n0235_001:0749b08	我、人、眾生、壽者。何以故？若取非法相，即著	我 人 眾 生 壽 者 何 以 故 若 取 非 法 相 即 著 
T08n0235_001:0749b09	我、人、眾生、壽者，是故不應取法，不應取非	我 人 眾 生 壽 者 是 故 不 應 取 法 不 應 取 非 
T08n0235_001:0749b10	法。以是義故，如來常說：『汝等比丘，知我說	法 以是義故 如 來 常 說 汝 等 比 丘 知 我 說 
T08n0235_001:0749b11	法，如筏喻者，法尚應捨，何況非法。』	法 如 筏 喻 者 法 尚 應 捨 何 況 非 法 
T08n0235_001:0749b12	「須菩提！於意云何？如來得阿耨多羅三藐	 須 菩 提 於意云何 如 來 得 阿 耨 多 羅 三 藐 
T08n0235_001:0749b13	三菩提耶？如來有所說法耶？」須菩提言：「如	三 菩 提 耶 如 來 有 所 說 法 耶 須 菩 提 言 如 
T08n0235_001:0749b14	我解佛所說義，無有定法名阿耨多羅三	我 解 佛 所 說 義 無 有 定 法 名 阿 耨 多 羅 三 
