T08n0237_001:0762a04	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0237_001:0762a06	陳天竺三藏真諦譯	陳 天 竺 三 藏 真 諦 譯 
T08n0237_001:0762a07	如是我聞：一時佛婆伽婆，住舍衛國祇陀樹	如是我聞 一 時 佛婆伽婆 住 舍 衛 國 祇 陀 樹 
T08n0237_001:0762a08	林給孤獨園，與大比丘眾千二百五十人俱。	林 給 孤 獨 園 與 大 比 丘 眾 千二百五十 人 俱 
T08n0237_001:0762a09	爾時世尊，於日前分，著衣持鉢，入舍衛大國	爾 時 世 尊 於 日 前 分 著衣持鉢 入 舍 衛 大 國 
T08n0237_001:0762a10	而行乞食。於其國中次第行乞，還至本處。	而 行 乞 食 於 其 國 中 次 第 行 乞 還 至 本 處 
T08n0237_001:0762a11	飯食事訖，於中後時，收衣鉢，洗足已。如常敷	飯 食 事 訖 於 中 後 時 收 衣 鉢 洗 足 已 如 常 敷 
T08n0237_001:0762a12	座，加趺安坐，端身而住，正念現前。時諸比	座 加 趺 安 坐 端 身 而 住 正 念 現 前 時 諸 比 
T08n0237_001:0762a13	丘俱往佛所，至佛所已，頂禮佛足，右遶三匝，	丘 俱 往 佛 所 至 佛 所 已 頂禮佛足 右 遶 三 匝 
T08n0237_001:0762a14	却坐一面。	却 坐 一 面 
T08n0237_001:0762a15	爾時淨命須菩提，於大眾中共坐聚集。時淨	爾 時 淨 命 須 菩 提 於 大 眾 中 共 坐 聚 集 時 淨 
T08n0237_001:0762a16	命須菩提，即從座起，偏袒右肩，頂禮佛足，右	命 須 菩 提 即 從 座 起 偏袒右肩 頂禮佛足 右 
T08n0237_001:0762a17	膝著地，向佛合掌而白佛言：「希有，世尊！如	膝 著 地 向 佛 合 掌 而 白 佛 言 希 有 世 尊 如 
T08n0237_001:0762a18	來、應供、正遍覺知，善護念諸菩薩摩訶薩，由	來 應 供 正 遍 覺 知 善 護 念 諸 菩薩摩訶薩 由 
T08n0237_001:0762a19	無上利益故；善付囑諸菩薩摩訶薩，由無上	無 上 利 益 故 善 付 囑 諸 菩薩摩訶薩 由 無 上 
T08n0237_001:0762a20	教故。世尊！若善男子、善女人，發阿耨多羅三	教 故 世 尊 若 善 男 子 善 女 人 發 阿 耨 多 羅 三 
T08n0237_001:0762a21	藐三菩提心，行菩薩乘，云何應住？云何修	藐 三 菩 提 心 行 菩 薩 乘 云 何 應 住 云 何 修 
T08n0237_001:0762a22	行？云何發起菩薩心？」淨命須菩提作是問已。	行 云 何 發 起 菩 薩 心 淨 命 須 菩 提 作 是 問 已 
T08n0237_001:0762a23	爾時世尊告須菩提：「須菩提！善哉，善哉！如	爾 時 世 尊 告 須 菩 提 須 菩 提 善 哉 善 哉 如 
T08n0237_001:0762a24	是，善男子！如來善護念諸菩薩摩訶薩，無上	是 善 男 子 如 來 善 護 念 諸 菩薩摩訶薩 無 上 
T08n0237_001:0762a25	利益故；善付囑諸菩薩摩訶薩，無上教故。須	利 益 故 善 付 囑 諸 菩薩摩訶薩 無 上 教 故 須 
T08n0237_001:0762a26	菩提！是故汝今一心諦聽，恭敬，善思念之。我	菩 提 是 故 汝 今 一 心 諦 聽 恭 敬 善思念之 我 
T08n0237_001:0762a27	今當為汝說。如菩薩發菩提心，行菩薩乘，如	今 當 為 汝 說 如 菩 薩 發菩提心 行 菩 薩 乘 如 
T08n0237_001:0762a28	是應住，如是修行，如是發心。」須菩提言：「唯	是 應 住 如 是 修 行 如 是 發 心 須 菩 提 言 唯 
T08n0237_001:0762a29	然，世尊！」	然 世 尊 
T08n0237_001:0762b01	佛告須菩提：「須菩提！善男子、善女人，發菩提	佛 告 須 菩 提 須 菩 提 善 男 子 善 女 人 發 菩 提 
T08n0237_001:0762b02	心，行菩薩乘，應如是發心：『所有一切眾生類	心 行 菩 薩 乘 應 如 是 發 心 所有一切 眾 生 類 
T08n0237_001:0762b03	攝，若卵生、若胎生、若濕生、若化生，若有色、若	攝 若 卵 生 若 胎 生 若 濕 生 若 化 生 若 有 色 若 
T08n0237_001:0762b04	無色，若有想、若無想，若非有想、若非無想，乃	無 色 若 有 想 若 無 想 若 非 有 想 若 非 無 想 乃 
T08n0237_001:0762b05	至眾生界，及假名說。如是眾生，我皆安置於	至 眾 生 界 及 假 名 說 如 是 眾 生 我 皆 安 置 於 
T08n0237_001:0762b06	無餘涅槃。』如是涅槃無量眾生已，無一眾生	無餘涅槃 如 是 涅 槃 無 量 眾 生 已 無 一 眾 生 
T08n0237_001:0762b07	被涅槃者。何以故？須菩提！若菩薩有眾生	被 涅 槃 者 何 以 故 須 菩 提 若 菩 薩 有 眾 生 
T08n0237_001:0762b08	想，即不應說名為菩薩。何以故？須菩提！一	想 即 不 應 說 名 為 菩 薩 何 以 故 須 菩 提 一 
T08n0237_001:0762b09	切菩薩，無我想、眾生想、壽者想、受者想。	切 菩 薩 無 我 想 眾 生 想 壽 者 想 受 者 想 
T08n0237_001:0762b10	「復次，須菩提！菩薩不著己類而行布施，不著	 復 次 須 菩 提 菩 薩 不 著 己 類 而 行 布 施 不 著 
T08n0237_001:0762b11	所餘行於布施，不著色、聲、香、味、觸、法應行布	所 餘 行 於 布 施 不 著 色 聲 香 味 觸 法 應 行 布 
T08n0237_001:0762b12	施。須菩提！菩薩應如是行施，不著相想。何	施 須 菩 提 菩 薩 應 如 是 行 施 不 著 相 想 何 
T08n0237_001:0762b13	以故？須菩提！若菩薩無執著心行於布施，是	以 故 須 菩 提 若 菩 薩 無 執 著 心 行 於 布 施 是 
T08n0237_001:0762b14	福德聚不可數量。「須菩提！汝意云何？東方	福 德 聚 不 可 數 量 須 菩 提 汝意云何 東 方 
T08n0237_001:0762b15	虛空可數量不？」須菩提言：「不可，世尊！」佛言：	虛 空 可 數 量 不 須 菩 提 言 不 可 世 尊 佛 言 
T08n0237_001:0762b16	「如是，須菩提！南西北方，四維上下，十方虛空，	 如 是 須 菩 提 南 西 北 方 四 維 上 下 十 方 虛 空 
T08n0237_001:0762b17	可數量不？」須菩提言：「不可，世尊！」佛言：「如是，	可 數 量 不 須 菩 提 言 不 可 世 尊 佛 言 如 是 
T08n0237_001:0762b18	須菩提！若菩薩無執著心行於布施，是福德	須 菩 提 若 菩 薩 無 執 著 心 行 於 布 施 是 福 德 
T08n0237_001:0762b19	聚亦復如是不可數量。「須菩提！汝意云何？可	聚 亦復如是 不 可 數 量 須 菩 提 汝意云何 可 
T08n0237_001:0762b20	以身相勝德見如來不？」「不能，世尊！何以故？	以 身 相 勝 德 見 如 來 不 不 能 世 尊 何 以 故 
T08n0237_001:0762b21	如來所說身相勝德，非相勝德。」「何以故？須菩	如 來 所 說 身 相 勝 德 非 相 勝 德 何 以 故 須 菩 
T08n0237_001:0762b22	提！凡所有相，皆是虛妄。無所有相，即是真實。	提 凡 所 有 相 皆 是 虛 妄 無 所 有 相 即 是 真 實 
T08n0237_001:0762b23	由相無相，應見如來。」如是說已。	由 相 無 相 應 見 如 來 如 是 說 已 
T08n0237_001:0762b24	淨命須菩提白佛言：「世尊！於今現時及未來	淨 命 須 菩 提 白 佛 言 世 尊 於 今 現 時 及 未 來 
T08n0237_001:0762b25	世，頗有菩薩聽聞正說如是等相此經章句，	世 頗 有 菩 薩 聽 聞 正 說 如 是 等 相 此 經 章 句 
T08n0237_001:0762b26	生實想不？」佛告須菩提：「莫作是說：『於今現	生 實 想 不 佛 告 須 菩 提 莫 作 是 說 於 今 現 
T08n0237_001:0762b27	時及未來世，頗有菩薩聽聞正說如是等相	時 及 未 來 世 頗 有 菩 薩 聽 聞 正 說 如 是 等 相 
T08n0237_001:0762b28	此經章句，生實想不？』何以故？須菩提！於未	此 經 章 句 生 實 想 不 何 以 故 須 菩 提 於 未 
T08n0237_001:0762b29	來世，實有眾生，得聞此經，能生實想。「復次，須	來 世 實 有 眾 生 得 聞 此 經 能 生 實 想 復 次 須 
T08n0237_001:0762c01	菩提！於未來世，後五百歲，正法滅時，有諸菩	菩 提 於未來世 後 五 百 歲 正 法 滅 時 有 諸 菩 
T08n0237_001:0762c02	薩摩訶薩，持戒修福及有智慧。須菩提！是	薩 摩 訶 薩 持 戒 修 福 及 有 智 慧 須 菩 提 是 
T08n0237_001:0762c03	諸菩薩摩訶薩，非事一佛，非於一佛種諸善	諸 菩薩摩訶薩 非 事 一 佛 非 於 一 佛 種 諸 善 
T08n0237_001:0762c04	根，已事無量百千諸佛，已於無量百千佛所	根 已 事 無 量 百 千 諸 佛 已 於 無 量 百 千 佛 所 
T08n0237_001:0762c05	而種善根。若有善男子、善女人，聽聞正說如	而 種 善 根 若 有 善 男 子 善 女 人 聽 聞 正 說 如 
T08n0237_001:0762c06	是等相此經章句，乃至一念生實信者。須菩	是 等 相 此 經 章 句 乃 至 一 念 生 實 信 者 須 菩 
T08n0237_001:0762c07	提！如來悉知是人，悉見是人。「須菩提！是善	提 如 來 悉 知 是 人 悉 見 是 人 須 菩 提 是 善 
T08n0237_001:0762c08	男子、善女人，生長無量福德之聚！何以故？須	男 子 善 女 人 生 長 無量福德 之 聚 何 以 故 須 
