T12n0322_001:0015a03	法鏡經序	法 鏡 經 序 
T12n0322_001:0015a05	夫心者，眾法之原、臧否之根，同出異名，禍	夫 心 者 眾 法 之 原 臧 否 之 根 同 出 異 名 禍 
T12n0322_001:0015a06	福分流。以身為車，以家為國，周旋十方，稟無	福 分 流 以 身 為 車 以 家 為 國 周 旋 十 方 稟 無 
T12n0322_001:0015a07	勌息。家欲難足，由海吞流、火之獲薪，六邪	勌 息 家 欲 難 足 由 海 吞 流 火 之 獲 薪 六 邪 
T12n0322_001:0015a08	之殘，已甚於蒺[卄/梨]田之賊魚矣！女人佞等三	之 殘 已 甚 於 蒺 [卄梨] 田 之 賊 魚 矣 女 人 佞 等 三 
T12n0322_001:0015a09	鬽，其善為而信寘，斯家之為禍也。尊邪	鬽 其 善 為 而 信 寘 斯 家 之 為 禍 也 尊 邪 
T12n0322_001:0015a10	[病丙+歲]、賤清真、連叢瑣、謗聖賢、興獄訟、喪九親，	[病丙歲] 賤 清 真 連 叢 瑣 謗 聖 賢 興 獄 訟 喪 九 親 
T12n0322_001:0015a11	家之所由矣。是以上士，恥其穢、濁其廣，	家 之 所 由 矣 是 以 上 士 恥 其 穢 濁 其 廣 
T12n0322_001:0015a12	為之懾懾如也；默思遁邁，由明哲之避無道	為 之 懾 懾 如 也 默 思 遁 邁 由 明 哲 之 避 無 道 
T12n0322_001:0015a13	矣。鬄髮毀容、法服彌為、靖處廟堂、練情攘	矣 鬄 髮 毀 容 法 服 彌 為 靖 處 廟 堂 練 情 攘 
T12n0322_001:0015a14	[病丙+歲]、懷道宣德、開導聾瞽，或有隱處山澤、	[病丙歲] 懷 道 宣 德 開 導 聾 瞽 或 有 隱 處 山 澤 
T12n0322_001:0015a15	枕石漱流、專心滌垢，神與道俱、志寂齊	枕 石 漱 流 專 心 滌 垢 神 與 道 俱 志 寂 齊 
T12n0322_001:0015a16	平，無名明化用也。群生賢聖競于清淨，稱	平 無 名 明 化 用 也 群 生 賢 聖 競 于 清 淨 稱 
T12n0322_001:0015a17	斯道曰大明，故曰法鏡。騎都尉安玄、臨淮	斯 道 曰 大 明 故 曰 法 鏡 騎 都 尉 安 玄 臨 淮 
T12n0322_001:0015a18	嚴浮調，斯二賢者年在束齓，弘志聖業，鉤深	嚴 浮 調 斯 二 賢 者 年 在 束 齓 弘 志 聖 業 鉤 深 
T12n0322_001:0015a19	致遠，窮神達幽，愍世矇惑，不覩大雅，竭思	致 遠 窮 神 達 幽 愍 世 矇 惑 不 覩 大 雅 竭 思 
T12n0322_001:0015a20	釋傳，斯經景摸。都尉口陳，嚴調筆受，言	釋 傳 斯 經 景 摸 都 尉 口 陳 嚴 調 筆 受 言 
T12n0322_001:0015a21	既稽古，義文微妙。然時干戈未戢，志士莫	既 稽 古 義 文 微 妙 然 時 干 戈 未 戢 志 士 莫 
T12n0322_001:0015a22	敢或遑，天道陵遲，內學者寡，會覩其景化，	敢 或 遑 天 道 陵 遲 內 學 者 寡 會 覩 其 景 化 
T12n0322_001:0015a23	可以緣塗炭之尤嶮，然義擁而不達，因	可 以 緣 塗 炭 之 尤 嶮 然 義 擁 而 不 達 因 
T12n0322_001:0015a24	閑竭愚，為之法義。喪師歷載，莫由重質，心	閑 竭 愚 為 之 法 義 喪 師 歷 載 莫 由 重 質 心 
T12n0322_001:0015a25	憤口悱，亭筆愴如，追遠慕聖，涕泗并流。今	憤 口 悱 亭 筆 愴 如 追 遠 慕 聖 涕 泗 并 流 今 
T12n0322_001:0015a26	記識闕疑，俟後明哲，庶有暢成，以顯三寶矣。	記 識 闕 疑 俟 後 明 哲 庶 有 暢 成 以 顯 三 寶 矣 
T12n0322_001:0015b02	法鏡經	法 鏡 經 
