T13n0402_001:0536c03	寶星經序	寶 星 經 序 
T13n0402_001:0536c05	唐釋法琳撰	唐 釋 法 琳 撰 
T13n0402_001:0536c06	《寶星經》梵本三千餘偈。如來初證覺道，度目	 寶 星 經 梵 本 三 千 餘 偈 如 來 初 證 覺 道 度 目 
T13n0402_001:0536c07	連、身子，及降伏魔王，護持國土，說此經也。自	連 身 子 及 降 伏 魔 王 護 持 國 土 說 此 經 也 自 
T13n0402_001:0536c08	象化東漸，綿歷歲時，三輪八藏之文，四樹	象 化 東 漸 綿 歷 歲 時 三 輪 八 藏 之 文 四 樹 
T13n0402_001:0536c09	五乘之旨，顯神光於石室，流梵響於清臺，雖	五 乘 之 旨 顯 神 光 於 石 室 流 梵 響 於 清 臺 雖 
T13n0402_001:0536c10	鞮譯相尋，尚多疑闕。我大唐皇帝，迺聖迺	鞮 譯 相 尋 尚 多 疑 闕 我 大 唐 皇 帝 迺 聖 迺 
T13n0402_001:0536c11	神，允文允武，乘機撫運，拯溺救焚。反上皇	神 允 文 允 武 乘 機 撫 運 拯 溺 救 焚 反 上 皇 
T13n0402_001:0536c12	之風，行不言之信，去泰去甚，既揜頓於八絃，	之 風 行 不 言 之 信 去 泰 去 甚 既 揜 頓 於 八 絃 
T13n0402_001:0536c13	無事無為，乃朝宗於萬國，瀚海天山之地，盡	無 事 無 為 乃 朝 宗 於 萬 國 瀚 海 天 山 之 地 盡 
T13n0402_001:0536c14	入提封，龍庭鳳穴之卿，咸霑聲教，仁踰解網，	入 提 封 龍 庭 鳳 穴 之 卿 咸 霑 聲 教 仁 踰 解 網 
T13n0402_001:0536c15	治踵結繩，大德閑閑，外齊八則，小心翼翼，內	治 踵 結 繩 大 德 閑 閑 外 齊 八 則 小 心 翼 翼 內 
T13n0402_001:0536c16	整四儀，臨赤縣而溢慈悲，寄玄扈而敷弘誓。	整 四 儀 臨 赤 縣 而 溢 慈 悲 寄 玄 扈 而 敷 弘 誓 
T13n0402_001:0536c17	每以諸有非樂，物我俱空，眷言貞要，無過釋	每 以 諸 有 非 樂 物 我 俱 空 眷 言 貞 要 無 過 釋 
T13n0402_001:0536c18	典。有中天竺國三藏法師波頗，唐言光智，誓	典 有 中 天 竺 國 三藏法師 波 頗 唐 言 光 智 誓 
T13n0402_001:0536c19	傳法化，不憚艱危遠涉葱河，來遊真丹。以貞	傳 法 化 不 憚 艱 危 遠 涉 葱 河 來 遊 真 丹 以 貞 
T13n0402_001:0536c20	觀元年景戍，洎于京輦，既登上席，爰懋錦衣。	觀 元 年 景 戍 洎 于 京 輦 既 登 上 席 爰 懋 錦 衣 
T13n0402_001:0536c21	有詔所司，搜敭碩德，兼閑三教備舉十科者，	有 詔 所 司 搜 敭 碩 德 兼 閑 三 教 備 舉 十 科 者 
T13n0402_001:0536c22	一十九人，於大興善寺，請波頗三藏，相對翻	一 十 九 人 於 大 興 善 寺 請 波 頗 三 藏 相 對 翻 
T13n0402_001:0536c23	譯，沙門慧乘等證義，沙門玄謇等譯語，沙門	譯 沙 門 慧 乘 等 證 義 沙 門 玄 謇 等 譯 語 沙 門 
T13n0402_001:0536c24	慧明、法琳等執筆。承旨慇懃詳覆，審名定義，	慧 明 法 琳 等 執 筆 承 旨 慇 懃 詳 覆 審 名 定 義 
T13n0402_001:0536c25	具意成文。起貞觀三年三月，訖四年四月，	具 意 成 文 起 貞 觀 三 年 三 月 訖 四 年 四 月 
T13n0402_001:0536c26	凡十卷十三品，用紙一百三十幅，總六萬三	凡 十 卷 十 三 品 用 紙 一 百 三 十 幅 總 六 萬 三 
T13n0402_001:0536c27	千八百八十二言。歸命一切佛菩薩。	千 八 百 八 十 二 言 歸 命 一 切 佛 菩 薩 
T13n0402_001:0537a04	寶星陀羅尼經卷第一	寶 星 陀 羅 尼 經 卷 第 一 
T13n0402_001:0537a06	唐天竺三藏波羅頗蜜多羅譯	唐 天 竺 三 藏 波 羅 頗 蜜 多 羅 譯 
T13n0402_001:0537a07	降魔品第一	降 魔 品 第 一 
T13n0402_001:0537a08	如是我聞：一時，婆伽婆住王舍城竹林迦蘭	如是我聞 一 時 婆 伽 婆 住 王 舍 城 竹 林 迦 蘭 
T13n0402_001:0537a09	陀池邊，與大比丘眾一千人俱——皆阿羅漢，諸	陀 池 邊 與 大 比 丘 眾 一 千 人 俱 皆 阿 羅 漢 諸 
T13n0402_001:0537a10	漏已盡，所作已辦，捨諸重檐，逮得己利，盡	漏 已 盡 所 作 已 辦 捨 諸 重 檐 逮得己利 盡 
T13n0402_001:0537a11	諸有結，皆得正知，心善解脫——及大菩薩一	諸 有 結 皆 得 正 知 心善解脫 及 大 菩 薩 一 
T13n0402_001:0537a12	萬人俱，其名曰：持須彌頂童真、水智童真、地	萬 人 俱 其 名 曰 持 須 彌 頂 童 真 水 智 童 真 地 
T13n0402_001:0537a13	智童真、勝智童真、空智童真、明智童真、電	智 童 真 勝 智 童 真 空 智 童 真 明 智 童 真 電 
T13n0402_001:0537a14	智童真、文殊師利童真、降伏勝童真、水天	智 童 真 文 殊 師 利 童 真 降 伏 勝 童 真 水 天 
T13n0402_001:0537a15	童真、無垢童真、彌勒菩薩摩訶薩等而為上	童 真 無 垢 童 真 彌 勒 菩薩摩訶薩 等 而 為 上 
T13n0402_001:0537a16	首，一切皆得羼提陀羅尼三摩提，具足一切	首 一 切 皆 得 羼 提 陀 羅 尼 三 摩 提 具 足 一 切 
T13n0402_001:0537a17	法無障礙智，於一切眾生其心平等，過諸魔	法 無障礙智 於 一 切 眾 生 其 心 平 等 過 諸 魔 
T13n0402_001:0537a18	界，善入一切如來智境界，具足大慈大悲，善	界 善 入 一 切 如 來 智 境 界 具 足 大慈大悲 善 
T13n0402_001:0537a19	解方便智，皆隨佛住王舍大城竹林迦蘭陀	解 方 便 智 皆 隨 佛 住 王 舍 大 城 竹 林 迦 蘭 陀 
T13n0402_001:0537a20	池邊。	池 邊 
T13n0402_001:0537a21	爾時，王舍大城有二外道，聰慧明達過十八	爾 時 王 舍 大 城 有 二 外 道 聰 慧 明 達 過 十 八 
T13n0402_001:0537a22	明處，與五百人俱，一名優波底沙、二名俱	明 處 與 五 百 人 俱 一 名 優 波 底 沙 二 名 俱 
T13n0402_001:0537a23	利多，而為上首，共相謂言，契同甘露。爾時，	利 多 而 為 上 首 共 相 謂 言 契 同 甘 露 爾 時 
T13n0402_001:0537a24	長老阿說示(唐言馬勝)於日初分著衣持鉢，入王	長 老 阿 說 示 唐 言 馬 勝 於 日 初 分 著衣持鉢 入 王 
T13n0402_001:0537a25	舍大城乞食。時優波底沙見阿說示，生希有	舍 大 城 乞 食 時 優 波 底 沙 見 阿 說 示 生 希 有 
T13n0402_001:0537a26	心：「我未曾見如此沙門威儀庠序，更無有人	心 我 未 曾 見 如 此 沙 門 威儀庠序 更 無 有 人 
T13n0402_001:0537a27	如彼比丘！我應往問，今此長老以誰為師？	如 彼 比 丘 我 應 往 問 今 此 長 老 以 誰 為 師 
T13n0402_001:0537a28	依誰出家？依誰求法？」爾時，優波底沙即往彼	依 誰 出 家 依 誰 求 法 爾 時 優 波 底 沙 即 往 彼 
T13n0402_001:0537a29	所，到已問訊，種種語已，却住一面，白長老阿	所 到 已 問 訊 種 種 語 已 却 住 一 面 白 長 老 阿 
T13n0402_001:0537b01	說示言：「以誰為師？依誰出家？依誰求法？」爾	說 示 言 以 誰 為 師 依 誰 出 家 依 誰 求 法 爾 
T13n0402_001:0537b02	時，長老阿說示答優波底沙言：「有釋種子，勇	時 長 老 阿 說 示 答 優 波 底 沙 言 有 釋 種 子 勇 
T13n0402_001:0537b03	猛精進能大苦行，於一切處最上自在。已度	猛 精 進 能 大 苦 行 於 一 切 處 最 上 自 在 已 度 
T13n0402_001:0537b04	生死無邊大海，今以大悲欲度眾生，號名為	生 死 無 邊 大 海 今 以 大 悲 欲 度 眾 生 號 名 為 
T13n0402_001:0537b05	佛，覺悟眾生乾竭苦海無與等者，我常歸依	佛 覺 悟 眾 生 乾 竭 苦 海 無 與 等 者 我 常 歸 依 
T13n0402_001:0537b06	求無垢法。」優波底沙言：「彼師為汝說何等法？	求 無 垢 法 優 波 底 沙 言 彼 師 為 汝 說 何 等 法 
T13n0402_001:0537b07	以何教示？」時，長老阿說示答優波底沙曰：「善	以 何 教 示 時 長 老 阿 說 示 答 優 波 底 沙 曰 善 
T13n0402_001:0537b08	哉！快哉！諦聽！諦聽！當為汝說。」便說偈言：	哉 快 哉 諦 聽 諦 聽 當 為 汝 說 便 說 偈 言 
T13n0402_001:0537b09	「煩惱業因緣，　　世間如是轉，	 煩 惱 業 因 緣 世 間 如 是 轉 
T13n0402_001:0537b10	　煩惱業不生，　　導師如是說。	 煩 惱 業 不 生 導 師 如 是 說 
T13n0402_001:0537b11	　生老死定壞，　　彼解脫無上，	 生 老 死 定 壞 彼 解 脫 無 上 
T13n0402_001:0537b12	　如彼勇牛王，　　如來自悟說。」	 如 彼 勇 牛 王 如 來 自 悟 說 
T13n0402_001:0537b13	爾時，優波底沙聞此法已，遠塵離垢法眼清	爾 時 優 波 底 沙 聞 此 法 已 遠塵離垢 法 眼 清 
T13n0402_001:0537b14	淨，得須陀洹果，而說偈言：	淨 得 須陀洹果 而 說 偈 言 
T13n0402_001:0537b15	「我證解實法，　　永竭生死河，	 我 證 解 實 法 永 竭 生 死 河 
T13n0402_001:0537b16	　所謂如來說，　　難得甘露藏。	 所 謂 如 來 說 難 得 甘 露 藏 
T13n0402_001:0537b17	　眾生得息苦，　　智慧能斷除，	 眾 生 得 息 苦 智 慧 能 斷 除 
T13n0402_001:0537b18	　諸法種種修，　　能作究竟道，	 諸 法 種 種 修 能 作 究 竟 道 
T13n0402_001:0537b19	　行此究竟道，　　得無等涅槃。」	 行 此 究 竟 道 得 無 等 涅 槃 
