T13n0417_001:0897c25	佛說般舟三昧經	佛 說 般舟三昧 經 
T13n0417_001:0897c27	後漢月支三藏支婁迦讖譯	後 漢 月 支 三 藏 支 婁 迦 讖 譯 
T13n0417_001:0897c28	問事品第一	問 事 品 第 一 
T13n0417_001:0897c29	聞如是：一時佛在羅閱祇加隣竹園中，與大	聞 如 是 一 時 佛 在 羅 閱 祇 加 隣 竹 園 中 與 大 
T13n0417_001:0898a01	菩薩，比丘、比丘尼、優婆塞、優婆夷，及諸天、龍、	菩 薩 比 丘 比 丘 尼 優 婆 塞 優 婆 夷 及 諸 天 龍 
T13n0417_001:0898a02	阿須輪、諸夜叉、迦樓羅、甄陀羅、摩睺勒等，無央	阿 須 輪 諸 夜 叉 迦 樓 羅 甄 陀 羅 摩 睺 勒 等 無 央 
T13n0417_001:0898a03	數眾，一切都在大會坐。是時颰陀和菩薩，從	數 眾 一 切 都 在 大 會 坐 是 時 颰 陀 和 菩 薩 從 
T13n0417_001:0898a04	坐起整衣服，長跪叉手白佛：「願欲有所問，聽	坐 起 整 衣 服 長 跪 叉 手 白 佛 願 欲 有 所 問 聽 
T13n0417_001:0898a05	者今當問。」佛言：「善哉！恣汝所問，今當為汝說	者 今 當 問 佛 言 善 哉 恣 汝 所 問 今 當 為 汝 說 
T13n0417_001:0898a06	之。」颰陀和問佛言：「菩薩當行何等法得智慧，	之 颰 陀 和 問 佛 言 菩 薩 當 行 何 等 法 得 智 慧 
T13n0417_001:0898a07	如巨海攬萬流？云何行，博達眾智所聞悉解	如 巨 海 攬 萬 流 云 何 行 博 達 眾 智 所 聞 悉 解 
T13n0417_001:0898a08	而不疑？云何行，自識宿命所從來生？云何行，	而 不 疑 云 何 行 自識宿命 所 從 來 生 云 何 行 
T13n0417_001:0898a09	得長壽？云何行，常在大姓家生，父母、兄弟、宗	得 長 壽 云 何 行 常 在 大 姓 家 生 父 母 兄 弟 宗 
T13n0417_001:0898a10	親、知識無不愛敬？云何行，得端正顏好美艶？	親 知 識 無 不 愛 敬 云 何 行 得 端 正 顏 好 美 艶 
T13n0417_001:0898a11	云何得高才與眾絕異，智慧通達無所不包？	云 何 得 高 才 與 眾 絕 異 智 慧 通 達 無 所 不 包 
T13n0417_001:0898a12	云何行，功立相滿自致成佛威神無量，成佛	云 何 行 功 立 相 滿 自 致 成 佛 威 神 無 量 成 佛 
T13n0417_001:0898a13	境界莊嚴國土？云何行，降魔怨？云何行，而得	境 界 莊 嚴 國 土 云 何 行 降 魔 怨 云 何 行 而 得 
T13n0417_001:0898a14	自在所願不違？云何行，得入總持門？云何行，	自 在 所 願 不 違 云 何 行 得 入 總 持 門 云 何 行 
T13n0417_001:0898a15	得神足遍至諸佛土？云何行，得勇猛如師子	得 神 足 遍 至 諸 佛 土 云 何 行 得 勇 猛 如 師 子 
T13n0417_001:0898a16	無所畏，一切魔不能動？云何行，得佛聖性，諸	無 所 畏 一 切 魔 不 能 動 云 何 行 得 佛 聖 性 諸 
T13n0417_001:0898a17	經法悉受持，皆了知而不忘？云何行，得自足	經 法 悉 受 持 皆 了 知 而 不 忘 云 何 行 得 自 足 
T13n0417_001:0898a18	離諛諂，不著三處？云何行，得無罣礙，持薩云	離 諛 諂 不 著 三 處 云 何 行 得 無 罣 礙 持 薩 云 
T13n0417_001:0898a19	若教不失佛意？云何行，得人信？云何行，得八	若 教 不 失 佛 意 云 何 行 得 人 信 云 何 行 得 八 
T13n0417_001:0898a20	種聲入萬億音？云何行，得具足相好？云何行，	種 聲 入 萬 億 音 云 何 行 得 具 足 相 好 云 何 行 
T13n0417_001:0898a21	得徹聽？云何行，得道眼覩未然？云何行，得十	得 徹 聽 云 何 行 得 道 眼 覩 未 然 云 何 行 得 十 
T13n0417_001:0898a22	力正真慧？云何行，心一等念十方諸佛悉現	力 正 真 慧 云 何 行 心 一 等 念 十方諸佛 悉 現 
T13n0417_001:0898a23	在前？云何行，知四事之本無？云何行，便於此	在 前 云 何 行 知 四 事 之 本 無 云 何 行 便 於 此 
T13n0417_001:0898a24	間見十方無數佛土，其中人民、天、龍、鬼、神及	間 見 十 方 無 數 佛 土 其 中 人 民 天 龍 鬼 神 及 
T13n0417_001:0898a25	蠕動之類，善惡歸趣皆了知？所問如是，當云	蠕 動 之 類 善 惡 歸 趣 皆 了 知 所 問 如 是 當 云 
T13n0417_001:0898a26	何行？願佛說之，釋一切疑。」佛告颰陀和：「善哉！	何 行 願 佛 說 之 釋 一 切 疑 佛 告 颰 陀 和 善 哉 
T13n0417_001:0898a27	汝所問多所過度，不可復計。汝所以能作是	汝 所 問 多 所 過 度 不 可 復 計 汝 所 以 能 作 是 
T13n0417_001:0898a28	問者，汝乃前世過去佛時，所作功德，供養諸	問 者 汝 乃 前 世 過 去 佛 時 所 作 功 德 供 養 諸 
