T15n0625_001:0367b17	大樹緊那羅王所問經卷第一	大樹緊那羅王所問經 卷 第 一 
T15n0625_001:0367b19	姚秦龜茲三藏鳩摩羅什譯	姚 秦 龜 茲 三 藏 鳩 摩 羅 什 譯 
T15n0625_001:0367b20	如是我聞：一時佛住王舍城祇闍崛山，與大	如是我聞 一 時 佛 住 王 舍 城 祇 闍 崛 山 與 大 
T15n0625_001:0367b21	比丘眾六萬二千人俱；菩薩摩訶薩七萬二	比 丘 眾 六 萬 二 千 人 俱 菩薩摩訶薩 七 萬 二 
T15n0625_001:0367b22	千——眾所知識，皆從十方世界來集，得陀羅尼	千 眾 所 知 識 皆 從 十方世界 來 集 得陀羅尼 
T15n0625_001:0367b23	無礙辯才，進入念慧慚愧具足，其志堅固猶	無 礙 辯 才 進 入 念 慧 慚 愧 具 足 其 志 堅 固 猶 
T15n0625_001:0367b24	如金剛，善修成就一切佛法，志意清淨成就	如 金 剛 善 修 成 就 一切佛法 志 意 清 淨 成 就 
T15n0625_001:0367b25	具足，自不忘失菩提之心，亦能令他而不忘	具 足 自 不 忘 失 菩提之心 亦 能 令 他 而 不 忘 
T15n0625_001:0367b26	失；善調柔施攝伏諸根，善能知捨所愛之物；	失 善 調 柔 施 攝 伏 諸 根 善 能 知 捨 所 愛 之 物 
T15n0625_001:0367b27	以清淨戒善自莊嚴，於諸眾生其心平等；以	以 清 淨 戒 善 自 莊 嚴 於 諸 眾 生 其 心 平 等 以 
T15n0625_001:0367b28	柔和忍力而自莊嚴；於無量那由他阿僧祇劫	柔 和 忍 力 而 自 莊 嚴 於 無 量 那 由 他 阿僧祇劫 
T15n0625_001:0367b29	勤修進力；於諸禪定解脫三昧，遊戲神通自	勤 修 進 力 於 諸 禪 定 解 脫 三 昧 遊戲神通 自 
T15n0625_001:0367c01	在無礙；善以智慧分別一切諸法句義；其心	在 無 礙 善 以 智 慧 分 別 一切諸法 句 義 其 心 
