T17n0794a_001:0738b11	佛說時非時經	佛 說 時 非 時 經 
T17n0794a_001:0738b13	天竺三藏若羅嚴譯	天 竺 三 藏 若 羅 嚴 譯 
T17n0794a_001:0738b14	如是我聞：一時，佛在王舍城鵲封竹園。是時，	如是我聞 一 時 佛 在 王 舍 城 鵲 封 竹 園 是 時 
T17n0794a_001:0738b15	佛告諸比丘：「我當為汝說：時與非時。善思念	佛 告 諸 比 丘 我 當 為 汝 說 時 與 非 時 善 思 念 
T17n0794a_001:0738b16	之！」諸比丘言：「如是。世尊！當受教聽。」佛告諸比	之 諸 比 丘 言 如 是 世 尊 當 受 教 聽 佛 告 諸 比 
T17n0794a_001:0738b17	丘：「是中何者為時？何者為非時？比丘當知：	丘 是 中 何 者 為 時 何 者 為 非 時 比 丘 當 知 
T17n0794a_001:0738b18	「冬分八月十六日至三十日七脚為時，五脚	 冬 分 八 月 十 六 日 至 三 十 日 七 脚 為 時 五 脚 
T17n0794a_001:0738b19	半非時。九月一日至十五日八脚為時，六脚	半 非 時 九 月 一 日 至 十 五 日 八 脚 為 時 六 脚 
T17n0794a_001:0738b20	八指為非時。九月十六日至三十日九脚為	八 指 為 非 時 九 月 十 六 日 至 三 十 日 九 脚 為 
T17n0794a_001:0738b21	時，七脚六指為非時。十月一日至十五日十	時 七 脚 六 指 為 非 時 十 月 一 日 至 十 五 日 十 
T17n0794a_001:0738b22	脚為時，八脚三指為非時。十月十六日至三	脚 為 時 八 脚 三 指 為 非 時 十 月 十 六 日 至 三 
T17n0794a_001:0738b23	十日十一脚為時，九脚三指為非時。十一月	十 日 十 一 脚 為 時 九 脚 三 指 為 非 時 十 一 月 
T17n0794a_001:0738b24	一日至十五日十二脚為時，十脚六指為非	一 日 至 十 五 日 十 二 脚 為 時 十 脚 六 指 為 非 
T17n0794a_001:0738b25	時。十一月十六日至三十日十一脚半為時，	時 十 一 月 十 六 日 至 三 十 日 十 一 脚 半 為 時 
T17n0794a_001:0738b26	十脚一指為非時。十二月一日至十五日十	十 脚 一 指 為 非 時 十 二 月 一 日 至 十 五 日 十 
T17n0794a_001:0738b27	一脚為時，九脚四指為非時。	一 脚 為 時 九 脚 四 指 為 非 時 
T17n0794a_001:0738b28	「春分十二月十六日至三十日十脚為時，八	 春 分 十 二 月 十 六 日 至 三 十 日 十 脚 為 時 八 
T17n0794a_001:0738b29	脚少一指為非時。正月一日至十五日九脚	脚 少 一 指 為 非 時 正 月 一 日 至 十 五 日 九 脚 
T17n0794a_001:0738c01	半為時，七脚少三指為非時。正月十六日至	半 為 時 七 脚 少 三 指 為 非 時 正 月 十 六 日 至 
T17n0794a_001:0738c02	三十日九脚為時，六脚少三指為非時。二月	三 十 日 九 脚 為 時 六 脚 少 三 指 為 非 時 二 月 
T17n0794a_001:0738c03	一日至十五日八脚為時，五脚為非時。二月	一 日 至 十 五 日 八 脚 為 時 五 脚 為 非 時 二 月 
T17n0794a_001:0738c04	十六日至三十日七脚為時，四脚少三指為	十 六 日 至 三 十 日 七 脚 為 時 四 脚 少 三 指 為 
T17n0794a_001:0738c05	非時。三月一日至十五日六脚為時，三脚少	非 時 三 月 一 日 至 十 五 日 六 脚 為 時 三 脚 少 
T17n0794a_001:0738c06	四指為非時。三月十六日至三十日五脚為	四 指 為 非 時 三 月 十 六 日 至 三 十 日 五 脚 為 
T17n0794a_001:0738c07	時，三脚少六指為非時。四月一日至十五日	時 三 脚 少 六 指 為 非 時 四 月 一 日 至 十 五 日 
T17n0794a_001:0738c08	四脚為時，二脚少一指為非時。	四 脚 為 時 二 脚 少 一 指 為 非 時 
T17n0794a_001:0738c09	「夏分四月十六日至三十日三脚為時，二脚	 夏 分 四 月 十 六 日 至 三 十 日 三 脚 為 時 二 脚 
T17n0794a_001:0738c10	少四指為非時。五月一日至十五日二脚為	少 四 指 為 非 時 五 月 一 日 至 十 五 日 二 脚 為 
T17n0794a_001:0738c11	時，少三指為非時。五月十六日至三十日二	時 少 三 指 為 非 時 五 月 十 六 日 至 三 十 日 二 
T17n0794a_001:0738c12	脚半為時，一脚少為非時。六月一日至十五	脚 半 為 時 一 脚 少 為 非 時 六 月 一 日 至 十 五 
T17n0794a_001:0738c13	日四脚為時，二脚少二指為非時。六月十六	日 四 脚 為 時 二 脚 少 二 指 為 非 時 六 月 十 六 
T17n0794a_001:0738c14	日至三十日四脚半為時，二脚半為非時。七	日 至 三 十 日 四 脚 半 為 時 二 脚 半 為 非 時 七 
T17n0794a_001:0738c15	月一日至十五日五脚為時，三脚少為非時。	月 一 日 至 十 五 日 五 脚 為 時 三 脚 少 為 非 時 
T17n0794a_001:0738c16	七月十六日至三十日五脚半為時，三脚少	七 月 十 六 日 至 三 十 日 五 脚 半 為 時 三 脚 少 
T17n0794a_001:0738c17	為非時。八月一日至十五日六脚為時，四脚	為 非 時 八 月 一 日 至 十 五 日 六 脚 為 時 四 脚 
T17n0794a_001:0738c18	少為非時。八月十六日至三十日六脚半為	少 為 非 時 八 月 十 六 日 至 三 十 日 六 脚 半 為 
T17n0794a_001:0738c19	時，四脚半少為非時。	時 四 脚 半 少 為 非 時 
T17n0794a_001:0738c20	「如是，諸比丘！我已說十二月時與非時。為諸	 如 是 諸 比 丘 我 已 說 十 二 月 時 與 非 時 為 諸 
T17n0794a_001:0738c21	聲聞之所應作，憐愍利益故說。我所應作已	聲 聞 之 所 應 作 憐 愍 利 益 故 說 我 所 應 作 已 
T17n0794a_001:0738c22	竟，汝等當行。若樹下空處，露坐思惟。諸比丘！	竟 汝 等 當 行 若 樹 下 空 處 露 坐 思 惟 諸 比 丘 
