T18n0893c_001:0663b06	蘇悉地羯羅經請問品第一卷上	蘇 悉 地 羯 羅 經 請 問 品 第 一 卷 上 
T18n0893c_001:0663b08	爾時忿怒軍荼利菩薩。合掌恭敬。頂禮尊者	爾 時 忿 怒 軍 荼 利 菩 薩 合掌恭敬 頂 禮 尊 者 
T18n0893c_001:0663b09	執金剛足。即發是問。我時往昔於尊者所。聞	執 金 剛 足 即 發 是 問 我 時 往 昔 於 尊 者 所 聞 
T18n0893c_001:0663b10	一切明王漫荼羅法及以次第。復聞明王諸	一 切 明 王 漫 荼 羅 法 及 以 次 第 復 聞 明 王 諸 
T18n0893c_001:0663b11	所眷屬神驗威德。願為未來諸有情故。唯垂	所 眷 屬 神 驗 威 德 願 為 未 來 諸 有 情 故 唯 垂 
T18n0893c_001:0663b12	尊者廣為解說。云何令得持誦真言法則次	尊 者 廣 為 解 說 云 何 令 得 持 誦 真 言 法 則 次 
T18n0893c_001:0663b13	第速得成就。其諸真言法雖一體。所成就法	第 速 得 成 就 其 諸 真 言 法 雖 一 體 所 成 就 法 
T18n0893c_001:0663b14	其數無量。云何真言相。云何阿闍梨。云何成	其 數 無 量 云 何 真 言 相 云 何 阿 闍 梨 云 何 成 
T18n0893c_001:0663b15	就者弟子。云何方所為勝處。云何真言速成	就 者 弟 子 云 何 方 所 為 勝 處 云 何 真 言 速 成 
T18n0893c_001:0663b16	就。云何調伏相。云何持誦真言方便之次第。	就 云 何 調 伏 相 云 何 持 誦 真 言 方 便 之 次 第 
T18n0893c_001:0663b17	云何華供養。云何香塗香。云何香燒香。云何	云 何 華 供 養 云 何 香 塗 香 云 何 香 燒 香 云 何 
T18n0893c_001:0663b18	燈油相。云何食供養。云何扇底迦。云何增益	燈 油 相 云 何 食 供 養 云 何 扇 底 迦 云 何 增 益 
T18n0893c_001:0663b19	相。云何降伏相。於此三種中各成何等事。云	相 云 何 降 伏 相 於 此 三 種 中 各 成 何 等 事 云 
T18n0893c_001:0663b20	何上中下次第成就相。云何法請召。云何修	何 上 中 下 次 第 成 就 相 云 何 法 請 召 云 何 修 
T18n0893c_001:0663b21	供養。云何持護身。云何廣持法誦何偈真言。	供 養 云 何 持 護 身 云 何 廣 持 法 誦 何 偈 真 言 
T18n0893c_001:0663b22	云何作灌頂。云何試真言。云何當受付。云	云 何 作 灌 頂 云 何 試 真 言 云 何 當 受 付 云 
T18n0893c_001:0663b23	何字得圓。云何得增益。云何作護摩種種次	何 字 得 圓 云 何 得 增 益 云 何 作 護 摩 種 種 次 
T18n0893c_001:0663b24	第法用。以何等物能令速成就。云何成藥相。	第 法 用 以 何 等 物 能 令 速 成 就 云 何 成 藥 相 
T18n0893c_001:0663b25	云何受藥相。云何淨治藥。云何藥量分。云何	云 何 受 藥 相 云 何 淨 治 藥 云 何 藥 量 分 云 何 
T18n0893c_001:0663b26	諸藥相。云何護諸成就物。云何分別為分數。	諸 藥 相 云 何 護 諸 成 就 物 云 何 分 別 為 分 數 
