T19n1005B_001:0634b10	寶樓閣經梵字真言	寶 樓 閣 經 梵 字 真 言 
T19n1005B_001:0634b12	驚覺。	驚 覺 
T19n1005B_001:0634b19	驚覺。	驚 覺 
T19n1005B_001:0634b23	根本。	根 本 
T19n1005B_001:0634b29	心及隨心。	心 及 隨 心 
T19n1005B_001:0634c02	隨心。	隨 心 
T19n1005B_001:0634c04	坐。	坐 
T19n1005B_001:0634c06	結壇界。	結 壇 界 
T19n1005B_001:0634c08	結十方界。	結 十 方 界 
T19n1005B_001:0634c09	          □   	 
T19n1005B_001:0634c11	碎毘那夜迦。	碎 毘 那 夜 迦 
T19n1005B_001:0634c14	頂髻。	頂 髻 
T19n1005B_001:0634c16	加持衣。	加 持 衣 
T19n1005B_001:0634c18	洗嗽。	洗 嗽 
T19n1005B_001:0634c21	洗浴。	洗 浴 
T19n1005B_001:0634c24	法護。	法 護 
T19n1005B_001:0634c26	神線。	神 線 
T19n1005B_001:0634c28	獻花。	獻 花 
T19n1005B_001:0635a01	塗香。	塗 香 
T19n1005B_001:0635a04	燒香。	燒 香 
T19n1005B_001:0635a07	燈。	燈 
T19n1005B_001:0635a10	食。	食 
T19n1005B_001:0635a12	閼伽。	閼 伽 
T19n1005B_001:0635a15	供物及食等。	供 物 及 食 等 
T19n1005B_001:0635a18	加持念珠。	加 持 念 珠 
T19n1005B_001:0635a20	念誦先誦此真言。	念 誦 先 誦 此 真 言 
T19n1005B_001:0635a23	結趺坐。	結 趺 坐 
T19n1005B_001:0635a26	驚覺一切如來。	驚 覺 一 切 如 來 
T19n1005B_001:0635a29	請一切如來。	請 一 切 如 來 
T19n1005B_001:0635b03	求願。	求 願 
T19n1005B_001:0635b06	求菩薩願。	求 菩 薩 願 
T19n1005B_001:0635b09	請一切天龍。	請 一 切 天 龍 
T19n1005B_001:0635b11	請四天王等。	請 四 天 王 等 
T19n1005B_001:0635b13	加持弟子。	加 持 弟 子 
T19n1005B_001:0635b15	令弟子入壇。	令 弟 子 入 壇 
T19n1005B_001:0635b18	獻一切佛一切菩薩諸天等食。	獻 一 切 佛 一切菩薩 諸 天 等 食 
T19n1005B_001:0635b21	訶送諸聖眾。	訶 送 諸 聖 眾 
T19n1005B_001:0635b24	獻物護身。	獻 物 護 身 
T19n1005B_001:0635b27	為弟子灌頂。	為 弟 子 灌 頂 
T19n1005B_001:0635c02	法供養護摩。	法 供 養 護 摩 
T19n1005B_001:0635c04	我今悉皆禮。	我 今 悉 皆 禮 
T19n1005B_001:0635c07	普遍光明如來心。	普 遍 光 明 如 來 心 
T19n1005B_001:0635c10	一切如來心印。	一 切 如 來 心 印 
T19n1005B_001:0635c13	一切如來普遍大寶三昧耶。	一 切 如 來 普 遍 大 寶 三 昧 耶 
T19n1005B_001:0635c16	一切如來莊嚴大寶光。	一 切 如 來 莊 嚴 大 寶 光 
T19n1005B_001:0635c19	金剛師子座。	金 剛 師 子 座 
T19n1005B_001:0635c22	大寶出生灌頂。	大 寶 出 生 灌 頂 
T19n1005B_001:0635c25	摧魔熾然法輪神通加持。	摧 魔 熾 然 法 輪 神 通 加 持 
T19n1005B_001:0635c28	無能勝。	無 能 勝 
T19n1005B_001:0636a02	一切如來轉法輪。	一 切 如 來 轉 法 輪 
T19n1005B_001:0636a05	金剛手。	金 剛 手 
T19n1005B_001:0636a08	寶金剛菩薩。	寶 金 剛 菩 薩 
T19n1005B_001:0636a11	四大天主。	四 大 天 主 
T19n1005B_001:0636a13	吉祥天女。	吉 祥 天 女 
T19n1005B_001:0636a15	鈎棄尼天女。	鈎 棄 尼 天 女 
T19n1005B_001:0636a17	使者天女。	使 者 天 女 
T19n1005B_001:0636a20	曼荼羅中一切聖眾。	曼 荼 羅 中 一 切 聖 眾 
T19n1005B_001:0636a23	花齒天女。	花 齒 天 女 
T19n1005B_001:0636a25	　承安元年六月十日於仁和寺以常林房	 承 安 元 年 六 月 十 日 於 仁 和 寺 以 常 林 房 
T19n1005B_001:0636a26	御本書寫　　本云以根本御本書之云	御 本 書 寫 本 云 以 根 本 御 本 書 之 云 
T19n1005B_001:0636a27	云	云 
