T21n1224_001:0133b05	金剛童子持念經	金剛童子 持 念 經 
T21n1224_001:0133b07	淨三業真言	淨 三 業 真 言 
T21n1224_001:0133b08	唵秫弟(引)耨戍(引)馱曩(引)野娑嚩(二合引)賀(引)	唵 秫 弟 引 耨 戍 引 馱 曩 引 野 娑 嚩 二 合 引 賀 引 
T21n1224_001:0133b09	二羽蓮花合掌。誦前真言七遍。加持身心三	二 羽 蓮 花 合 掌 誦 前 真 言 七 遍 加 持 身 心 三 
T21n1224_001:0133b10	業。妄念諸過悉皆清淨。	業 妄 念 諸 過 悉 皆 清 淨 
T21n1224_001:0133b11	次結普禮一切如來印。右膝著地。二羽左覆	次 結 普 禮 一 切 如 來 印 右膝著地 二 羽 左 覆 
T21n1224_001:0133b12	右。仰背相著。以二信二惠反相叉安於頂上。	右 仰 背 相 著 以 二 信 二 惠 反 相 叉 安 於 頂 上 
T21n1224_001:0133b13	口誦彼真言。身住此儀相。心想自身滿於法	口 誦 彼 真 言 身 住 此 儀 相 心 想 自 身 滿 於 法 
T21n1224_001:0133b14	界。二佛菩薩前有己身。至誠作禮真言。	界 二 佛 菩 薩 前 有 己 身 至 誠 作 禮 真 言 
T21n1224_001:0133b15	唵嚩日囉(二合)尾(微次反短聲)多(半音)	唵 嚩 日 囉 二 合 尾 微 次 反 短 聲 多 半 音 
T21n1224_001:0133b16	如是以三業齊運。禮觀一切聖眾及曼茶羅	如 是 以 三 業 齊 運 禮 觀 一 切 聖 眾 及 曼 茶 羅 
T21n1224_001:0133b17	本尊像已。即結加趺坐或半加坐。澄定身心。	本 尊 像 已 即 結加趺坐 或 半 加 坐 澄 定 身 心 
T21n1224_001:0133b18	結佛部三昧耶印。二羽芙蓉合掌。開手如掬	結 佛 部 三 昧 耶 印 二 羽 芙 蓉 合 掌 開 手 如 掬 
T21n1224_001:0133b19	物勢。以二定輔於二念上節文側。二惠捻二	物 勢 以 二 定 輔 於 二 念 上 節 文 側 二 惠 捻 二 
T21n1224_001:0133b20	定下第一文即成。即念佛部三昧耶真言。	定 下 第 一 文 即 成 即 念 佛 部 三 昧 耶 真 言 
T21n1224_001:0133b21	唵怛他(去引)[薩/子]姤(引)[口*納]婆(二合)嚩(引)野娑嚩(二合)賀(引)	唵 怛 他 去 引 [薩子]姤引[口納] 婆 二 合 嚩 引 野 娑 嚩 二 合 賀 引 
T21n1224_001:0133b22	以印安於頂上。誦真言三遍。想印如佛形像。	以 印 安 於 頂 上 誦 真 言 三 遍 想 印 如 佛 形 像 
T21n1224_001:0133b23	次結蓮花部三昧耶印。二羽如前合掌微開。	次 結 蓮 花 部 三 昧 耶 印 二 羽 如 前 合 掌 微 開 
T21n1224_001:0133b24	中間二進二念二定六指微曲。頭相去各一	中 間 二 進 二 念 二 定 六 指 微 曲 頭 相 去 各 一 
T21n1224_001:0133b25	寸許。二信二惠各并竪。如開敷蓮花形。誦真	寸 許 二 信 二 惠 各 并 竪 如 開 敷 蓮 花 形 誦 真 
T21n1224_001:0133b26	言三遍。舉印安於頂右右耳之上。想如觀自	言 三 遍 舉 印 安 於 頂 右 右 耳 之 上 想 如 觀 自 
T21n1224_001:0133b27	在菩薩。蓮花三昧耶真言曰。	在 菩 薩 蓮 花 三 昧 耶 真 言 曰 
T21n1224_001:0133b28	唵鉢納謨(二合引)納婆(二合)嚩(引)野娑嚩(二合)賀(引)	唵 鉢 納 謨 二 合 引 納 婆 二 合 嚩 引 野 娑 嚩 二 合 賀 引 
