T21n1308_001:0426b20	七曜攘災決卷上	七 曜 攘 災 決 卷 上 
T21n1308_001:0426b22	西天竺國婆羅門僧金俱吒撰集之	西 天 竺 國 婆 羅 門 僧 金 俱 吒 撰 集 之 
T21n1308_001:0426b23	夫周天三百六十五度四分度之一。每日日	夫 周 天 三 百 六 十 五 度 四 分 度 之 一 每 日 日 
T21n1308_001:0426b24	行一度。月每日行十三度四分度之一。一月	行 一 度 月 每 日 行 十 三 度 四 分 度 之 一 一 月 
T21n1308_001:0426b25	月行三百九十七度四分度之二。日行三十	月 行 三 百 九 十 七 度 四 分 度 之 二 日 行 三 十 
T21n1308_001:0426b26	度。一遍與月合會。其宿四世界眾生所生之	度 一 遍 與 月 合 會 其 宿 四 世 界 眾 生 所 生 之 
T21n1308_001:0426b27	日時。日月行所在為之命宿。復日歷天一周。	日 時 日 月 行 所 在 為 之 命 宿 復 日 歷 天 一 周 
T21n1308_001:0426b28	眾生為之歲。月歷天一周。眾生為之一月。若	眾 生 為 之 歲 月 歷 天 一 周 眾 生 為 之 一 月 若 
T21n1308_001:0426b29	所至其宿度有五星。與大歲五行王相合者	所 至 其 宿 度 有 五 星 與 大 歲 五 行 王 相 合 者 
T21n1308_001:0426c01	必生貴人。若與月五行合者。亦生貴人。若月	必 生 貴 人 若 與 月 五 行 合 者 亦 生 貴 人 若 月 
T21n1308_001:0426c02	至休廢囚死宿。所生之處多為庸人。復五星	至 休 廢 囚 死 宿 所 生 之 處 多 為 庸 人 復 五 星 
T21n1308_001:0426c03	所至日月災蝕。在人命宿必變見吉凶。今西	所 至 日 月 災 蝕 在 人 命 宿 必 變 見 吉 凶 今 西 
T21n1308_001:0426c04	國婆羅門僧金俱吒。命得二十八宿神下。問	國 婆 羅 門 僧 金 俱 吒 命 得 二 十 八 宿 神 下 問 
T21n1308_001:0426c05	其吉凶畫其形狀。辨七曜所至攘災法如後。	其 吉 凶 畫 其 形 狀 辨 七 曜 所 至 攘 災 法 如 後 
T21n1308_001:0426c06	日宮占災攘之法第一	日 宮 占 災 攘 之 法 第 一 
T21n1308_001:0426c07	日至其命宿度。其人合得分望得人敬重。合	日 至 其 命 宿 度 其 人 合 得 分 望 得 人 敬 重 合 
T21n1308_001:0426c08	得爵祿。若先有罪並得皆免。若日在人命宿	得 爵 祿 若 先 有 罪 並 得 皆 免 若 日 在 人 命 宿 
T21n1308_001:0426c09	災蝕。其人即有風災重厄。當宜攘之。其攘法	災 蝕 其 人 即 有 風 災 重 厄 當 宜 攘 之 其 攘 法 
T21n1308_001:0426c10	先須知其定蝕之日。去蝕五日清齋。當畫其	先 須 知 其 定 蝕 之 日 去 蝕 五 日 清 齋 當 畫 其 
T21n1308_001:0426c11	神形。形如人而似獅子頭。人身著天衣。手持	神 形 形 如 人 而 似 獅 子 頭 人 身 著 天 衣 手 持 
T21n1308_001:0426c12	寶瓶而黑色。當於頂上帶之。其日過本命宿。	寶 瓶 而 黑 色 當 於 頂 上 帶 之 其 日 過 本 命 宿 
T21n1308_001:0426c13	棄東流水中災自散。	棄 東 流 水 中 災 自 散 
T21n1308_001:0426c14	月宮占災攘之法第二	月 宮 占 災 攘 之 法 第 二 
T21n1308_001:0426c15	月者太陰之精。一月一遍至人命宿。若依常	月 者 太 陰 之 精 一 月 一 遍 至 人 命 宿 若 依 常 
T21n1308_001:0426c16	度者則無吉凶。若不依常度者即有變見。犯	度 者 則 無 吉 凶 若 不 依 常 度 者 即 有 變 見 犯 
T21n1308_001:0426c17	極南有災蝕者。先合損妻財。後合加爵祿。犯	極 南 有 災 蝕 者 先 合 損 妻 財 後 合 加 爵 祿 犯 
T21n1308_001:0426c18	極北有災蝕者。合損男女奴婢。若行遲者多	極 北 有 災 蝕 者 合 損 男 女 奴 婢 若 行 遲 者 多 
T21n1308_001:0426c19	有疾病。若行疾者則無災厄。若月行不依行	有 疾 病 若 行 疾 者 則 無 災 厄 若 月 行 不 依 行 
T21n1308_001:0426c20	度。當有災蝕即須攘之。當畫一神形。形如天	度 當 有 災 蝕 即 須 攘 之 當 畫 一 神 形 形 如 天 
T21n1308_001:0426c21	女著青天衣持寶劍。當月蝕夜項帶之。天明。	女 著 青 天 衣 持 寶 劍 當 月 蝕 夜 項 帶 之 天 明 
T21n1308_001:0426c22	松火燒之其災自散。	松 火 燒 之 其 災 自 散 
T21n1308_001:0426c23	木宮占災攘之法第三	木 宮 占 災 攘 之 法 第 三 
T21n1308_001:0426c24	歲星者東方蒼帝之子。十二年一周天。所行	歲 星 者 東 方 蒼 帝 之 子 十 二 年 一 周 天 所 行 
T21n1308_001:0426c25	至人命星。春至人命星大吉。合加官祿得財	至 人 命 星 春 至 人 命 星 大 吉 合 加 官 祿 得 財 
T21n1308_001:0426c26	物。夏至人命星合生好男女。秋至人命星其	物 夏 至 人 命 星 合 生 好 男 女 秋 至 人 命 星 其 
T21n1308_001:0426c27	人多病及折傷。冬至人命星得財則大吉。四	人 多 病 及 折 傷 冬 至 人 命 星 得 財 則 大 吉 四 
T21n1308_001:0426c28	季至人命星其人合有虛消息及口舌起。若	季 至 人 命 星 其 人 合 有 虛 消 息 及 口 舌 起 若 
T21n1308_001:0426c29	至人命星起災者。當畫一神形。形如人人身	至 人 命 星 起 災 者 當 畫 一 神 形 形 如 人 人 身 
T21n1308_001:0427a01	龍頭。著天衣隨四季色。當項帶之。若過其命	龍 頭 著 天 衣 隨 四 季 色 當 項 帶 之 若 過 其 命 
T21n1308_001:0427a02	宿棄於丘井中大吉。	宿 棄 於 丘 井 中 大 吉 
T21n1308_001:0427a03	火宮占災攘之法第四	火 宮 占 災 攘 之 法 第 四 
T21n1308_001:0427a04	熒惑者南方赤帝之子。二歲一周天。所至人	熒 惑 者 南 方 赤 帝 之 子 二 歲 一 周 天 所 至 人 
T21n1308_001:0427a05	命星多不吉。春至人命星其人男女身上多	命 星 多 不 吉 春 至 人 命 星 其 人 男 女 身 上 多 
T21n1308_001:0427a06	有瘡疾。本身則災厄疾疫。夏至人命星。其人	有 瘡 疾 本 身 則 災 厄 疾 疫 夏 至 人 命 星 其 人 
T21n1308_001:0427a07	多有口舌謀狂之事。秋至人命星多有折傷	多 有 口 舌 謀 狂 之 事 秋 至 人 命 星 多 有 折 傷 
T21n1308_001:0427a08	兵刀之事。不得登於高處。勿騎黑驢馬。莫受	兵 刀 之 事 不 得 登 於 高 處 勿 騎 黑 驢 馬 莫 受 
T21n1308_001:0427a09	納人財物六畜。冬至人命星其所作所為皆	納 人 財 物 六 畜 冬 至 人 命 星 其 所 作 所 為 皆 
T21n1308_001:0427a10	不稱意。錢財六畜皆破散。四季至人命星合	不 稱 意 錢 財 六 畜 皆 破 散 四 季 至 人 命 星 合 
T21n1308_001:0427a11	有移改。若有災者當畫一神形。形如象黑色	有 移 改 若 有 災 者 當 畫 一 神 形 形 如 象 黑 色 
T21n1308_001:0427a12	向天大呼。當項帶之。其火過星過訖。以佛香	向 天 大 呼 當 項 帶 之 其 火 過 星 過 訖 以 佛 香 
T21n1308_001:0427a13	楸木火燋之。其災乃過。	楸 木 火 燋 之 其 災 乃 過 
T21n1308_001:0427a14	土宮占災攘之法第五	土 宮 占 災 攘 之 法 第 五 
T21n1308_001:0427a15	鎮星者中方黃帝之子。二十九年半一周	鎮 星 者 中 方 黃 帝 之 子 二 十 九 年 半 一 周 
T21n1308_001:0427a16	天。所至人命星多有哭泣聲起。春至人命星	天 所 至 人 命 星 多 有 哭 泣 聲 起 春 至 人 命 星 
T21n1308_001:0427a17	其。人有鬪諍死亡之事。不宜見軍器之類。夏	其 人 有 鬪 諍 死 亡 之 事 不 宜 見 軍 器 之 類 夏 
T21n1308_001:0427a18	至人命星。其人男女多疾患。自身有枷鎖之	至 人 命 星 其 人 男 女 多 疾 患 自 身 有 枷 鎖 之 
T21n1308_001:0427a19	厄。秋至人命星有失脫之事交關不利。水中	厄 秋 至 人 命 星 有 失 脫 之 事 交 關 不 利 水 中 
T21n1308_001:0427a20	財物損失。冬至人命星。其人家中合有哭泣	財 物 損 失 冬 至 人 命 星 其 人 家 中 合 有 哭 泣 
T21n1308_001:0427a21	聲起。四季至人命星。其人合有重病。攘之法	聲 起 四 季 至 人 命 星 其 人 合 有 重 病 攘 之 法 
T21n1308_001:0427a22	當畫一神形。形如婆羅門騎黑沙牛。星其至	當 畫 一 神 形 形 如 婆 羅 門 騎 黑 沙 牛 星 其 至 
T21n1308_001:0427a23	宿當項帶之。星過其命宿訖。以枯木燋之其	宿 當 項 帶 之 星 過 其 命 宿 訖 以 枯 木 燋 之 其 
T21n1308_001:0427a24	災乃過。	災 乃 過 
T21n1308_001:0427a25	金宮占災攘之法第六	金 宮 占 災 攘 之 法 第 六 
T21n1308_001:0427a26	太白者西方白帝之子。一年一周天。所至人	太 白 者 西 方 白 帝 之 子 一 年 一 周 天 所 至 人 
T21n1308_001:0427a27	命星即有吉凶。春至人命星。其人合遠行。萬	命 星 即 有 吉 凶 春 至 人 命 星 其 人 合 遠 行 萬 
T21n1308_001:0427a28	里路中有疾。家有之失。夏至人命星。其人	里 路 中 有 疾 家 有 之 失 夏 至 人 命 星 其 人 
T21n1308_001:0427a29	親故合有死損。自上亦合有服起。秋至人命	親 故 合 有 死 損 自 上 亦 合 有 服 起 秋 至 人 命 
T21n1308_001:0427b01	星。其人合有兵災陳厄見血光。冬至人命星。	星 其 人 合 有 兵 災 陳 厄 見 血 光 冬 至 人 命 星 
T21n1308_001:0427b02	其人合主大兵權。出外大得科益。四季至人	其 人 合 主 大 兵 權 出 外 大 得 科 益 四 季 至 人 
T21n1308_001:0427b03	命星。其人合有惡消息。有名無形多足言訟。	命 星 其 人 合 有 惡 消 息 有 名 無 形 多 足 言 訟 
T21n1308_001:0427b04	攘之法當畫一神形。形如天女手持印騎白	攘 之 法 當 畫 一 神 形 形 如 天 女 手 持 印 騎 白 
T21n1308_001:0427b05	鷄。當項帶之。過命星以火燋之。其災必散。	鷄 當 項 帶 之 過 命 星 以 火 燋 之 其 災 必 散 
T21n1308_001:0427b06	水宮占災攘之法第七	水 宮 占 災 攘 之 法 第 七 
T21n1308_001:0427b07	辰星者北方黑帝之子。一歲一周天。所至人	辰 星 者 北 方 黑 帝 之 子 一 歲 一 周 天 所 至 人 
T21n1308_001:0427b08	命星吉凶不等。春至人命星。其人多有女婦	命 星 吉 凶 不 等 春 至 人 命 星 其 人 多 有 女 婦 
T21n1308_001:0427b09	言諍家內不和。夏至人命星。其人宅中多有	言 諍 家 內 不 和 夏 至 人 命 星 其 人 宅 中 多 有 
T21n1308_001:0427b10	妖怪人心不安。亦有移動。後則大吉。秋至人	妖 怪 人 心 不 安 亦 有 移 動 後 則 大 吉 秋 至 人 
T21n1308_001:0427b11	命星其人合有改官加祿。冬至人命星多病	命 星 其 人 合 有 改 官 加 祿 冬 至 人 命 星 多 病 
T21n1308_001:0427b12	和氣不周。五藏不安神氣不任。四季至人命	和 氣 不 周 五 藏 不 安 神 氣 不 任 四 季 至 人 命 
T21n1308_001:0427b13	星。家中合有陰謀事起。多有失脫。攘之法當	星 家 中 合 有 陰 謀 事 起 多 有 失 脫 攘 之 法 當 
T21n1308_001:0427b14	畫一神形。形如黑蛇有四足而食蟹。當項帶。	畫 一 神 形 形 如 黑 蛇 有 四 足 而 食 蟹 當 項 帶 
T21n1308_001:0427b15	過命星訖棄不流水中則吉　右七曜所至多	過 命 星 訖 棄 不 流 水 中 則 吉 右 七 曜 所 至 多 
T21n1308_001:0427b16	有災害。今依西國法攘之避厄神驗無極。非	有 災 害 今 依 西 國 法 攘 之 避 厄 神 驗 無 極 非 
T21n1308_001:0427b17	智勿傳。	智 勿 傳 
T21n1308_001:0427b18	宿度法	宿 度 法 
T21n1308_001:0427b19	東方七十五度　　　　　　　　　　　　　　　北方九十八度	東 方 七 十 五 度 北 方 九 十 八 度 
T21n1308_001:0427b20	西方八十度　　　　　　　　　　　　　　　　南方百一十三度	西 方 八 十 度 南 方 百 一 十 三 度 
