T21n1317_001:0468c03	甘露陀羅尼呪	甘 露 陀羅尼呪 
T21n1317_001:0468c05	于闐三藏實叉難陀佛授記寺譯	于 闐 三 藏 實 叉 難 陀 佛 授 記 寺 譯 
T21n1317_001:0468c06	那謨皤哦嚩帝(一)阿彌哆婆耶(二)怛他羯哆耶	那 謨 皤 哦 嚩 帝 一 阿 彌 哆 婆 耶 二 怛 他 羯 哆 耶 
T21n1317_001:0468c07	(三)阿羅訶帝(四)三[卄/狼]三勃陀耶(五)怛儞也他(六)	 三 阿 羅 訶 帝 四 三 [卄狼] 三 勃 陀 耶 五 怛 儞 也 他 六 
T21n1317_001:0468c08	唵(七)阿彌哩帝(八)阿彌哩覩皤吠(九)阿彌哩哆	唵 七 阿 彌 哩 帝 八 阿 彌 哩 覩 皤 吠 九 阿 彌 哩 哆 
T21n1317_001:0468c09	參皤吠(十)阿彌哩哆羯陛(十一)阿彌哩哆徙悌	參 皤 吠 十 阿 彌 哩 哆 羯 陛 十 一 阿 彌 哩 哆 徙 悌 
T21n1317_001:0468c10	(十二)阿彌哩哆帝藝(十三)阿彌哩哆尾羯囕帝(十	 十 二 阿 彌 哩 哆 帝 藝 十 三 阿 彌 哩 哆 尾 羯 囕 帝 十 
T21n1317_001:0468c11	四)阿彌哩哆尾迦哆哦彌泥(十五)阿彌哩哆伽	四 阿 彌 哩 哆 尾 迦 哆 哦 彌 泥 十 五 阿 彌 哩 哆 伽 
T21n1317_001:0468c12	哦曩(十六)枳栗底迦隷(十七)阿彌哩哆訥努吠(十	哦 曩 十 六 枳 栗 底 迦 隷 十 七 阿 彌 哩 哆 訥 努 吠 十 
T21n1317_001:0468c13	八)薩嚩隷(十九)薩婆怛他(二十)薩陀彌(二十一)薩婆	八 薩 嚩 隷 十 九 薩 婆 怛 他 二 十 薩 陀 彌 二 十 一 薩 婆 
T21n1317_001:0468c14	枳隷捨羯叉炎迦隷薩嚩訶(二十二)	枳 隷 捨 羯 叉 炎 迦 隷 薩 嚩 訶 二 十 二 
T21n1317_001:0468c15	佛說甘露陀羅尼經	佛 說 甘 露 陀 羅 尼 經 
