T21n1346_001:0858c19	諸佛集會陀羅尼經一卷	諸佛集會陀羅尼經 一 卷 
T21n1346_001:0858c21	唐三藏法師提雲般若等奉　制譯	唐 三藏法師 提 雲 般 若 等 奉 制 譯 
T21n1346_001:0858c22	如是我聞。一時佛在恒伽河邊。護世四天王	如是我聞 一 時 佛 在 恒 伽 河 邊 護世四天王 
T21n1346_001:0858c23	之所圍繞。爾時世尊告毘沙門等四天王言。	之 所 圍 繞 爾 時 世 尊 告 毘 沙 門 等 四 天 王 言 
T21n1346_001:0858c24	汝等當知一切眾生。若男若女若長若幼。皆	汝 等 當 知 一 切 眾 生 若 男 若 女 若 長 若 幼 皆 
T21n1346_001:0858c25	為四種大怖所纏。謂生老病死。然於其中死	為 四 種 大 怖 所 纏 謂 生老病死 然 於 其 中 死 
T21n1346_001:0858c26	怖一種最難除遣。我今為汝說除遣法。	怖 一 種 最 難 除 遣 我 今 為 汝 說 除 遣 法 
T21n1346_001:0858c27	爾時四天王即從座起。合掌恭敬白佛言。世	爾 時 四 天 王 即 從 座 起 合掌恭敬 白 佛 言 世 
T21n1346_001:0858c28	尊我等今者獲大善利。得值如來攝受世間	尊 我 等 今 者 獲 大 善 利 得 值 如 來 攝 受 世 間 
T21n1346_001:0858c29	施其命故。	施 其 命 故 
T21n1346_001:0859a01	爾時世尊從座而起。面于東方彈指唱言。彼	爾 時 世 尊 從座而起 面 于 東 方 彈 指 唱 言 彼 
T21n1346_001:0859a02	方所有諸佛如來應正等覺。莫不皆為一切	方 所 有 諸佛如來 應正等覺 莫 不 皆 為 一 切 
T21n1346_001:0859a03	眾生。而成阿耨多羅三藐三菩提。諸佛當知	眾 生 而 成 阿耨多羅三藐三菩提 諸 佛 當 知 
T21n1346_001:0859a04	我今為欲哀愍救護諸眾生故。轉先未轉第	我 今 為 欲 哀 愍 救 護 諸 眾 生 故 轉 先 未 轉 第 
T21n1346_001:0859a05	二法輪。當令眾生色力壽命皆悉增長。永復	二 法 輪 當 令 眾 生 色 力 壽 命 皆 悉 增 長 永 復 
T21n1346_001:0859a06	無有非時夭橫。唯願諸佛來此會中。為護眾	無 有 非 時 夭 橫 唯 願 諸 佛 來 此 會 中 為 護 眾 
T21n1346_001:0859a07	生共以威神除其橫苦。南西北方四維上下	生 共 以 威 神 除 其 橫 苦 南 西 北 方 四 維 上 下 
T21n1346_001:0859a08	皆亦如是。是時如來以佛眼觀十方世界。一	皆 亦 如 是 是 時 如 來 以 佛 眼 觀 十方世界 一 
