T32n1652_001:0482a04	緣生論序	緣 生 論 序 
T32n1652_001:0482a06	原是一心。積為三界。癡流漫遠。苦樹欝高。欲	原 是 一 心 積 為 三 界 癡 流 漫 遠 苦 樹 欝 高 欲 
T32n1652_001:0482a07	討其際。難測其本。理極實相之門。筌窮假名	討 其 際 難 測 其 本 理 極 實 相 之 門 筌 窮 假 名 
T32n1652_001:0482a08	之域。五因七果。十有二分緣生之法。總備於	之 域 五 因 七 果 十 有 二 分 緣 生 之 法 總 備 於 
T32n1652_001:0482a09	此。凡則迷而起妄。聖則悟以通真。下似免浮。	此 凡 則 迷 而 起 妄 聖 則 悟 以 通 真 下 似 免 浮 
T32n1652_001:0482a10	上如象度。大哉妙覺。淵乎洞盡。十地與雙林	上 如 象 度 大 哉 妙 覺 淵 乎 洞 盡 十 地 與 雙 林 
T32n1652_001:0482a11	俱暢。聞城共稻芉咸敷。至若此經獨苞彼	俱 暢 聞 城 共 稻 芉 咸 敷 至 若 此 經 獨 苞 彼 
T32n1652_001:0482a12	例。彼所未說。此乃具演。攀緣為首。對治	例 彼 所 未 說 此 乃 具 演 攀 緣 為 首 對 治 
T32n1652_001:0482a13	為末。總則一十一門。別則百二十問。其旨微	為 末 總 則 一 十 一 門 別 則 百 二 十 問 其 旨 微 
T32n1652_001:0482a14	而密。其詞約而隱。經之綱目。攝在茲焉。并	而 密 其 詞 約 而 隱 經 之 綱 目 攝 在 茲 焉 并 
T32n1652_001:0482a15	有聖者欝楞迦。附此經旨作論。顯發其論也。	有 聖 者 欝 楞 迦 附 此 經 旨 作 論 顯 發 其 論 也 
T32n1652_001:0482a16	遍取三乘之意。不執一部之筌。先立偈章。後	遍 取 三 乘 之 意 不 執 一 部 之 筌 先 立 偈 章 後 
T32n1652_001:0482a17	興論釋。偈有三十。故亦名三十論也。大業二	興 論 釋 偈 有 三 十 故 亦 名 三 十 論 也 大 業 二 
T32n1652_001:0482a18	年十月。南賢豆國(舊名天竺者訛也)三藏法師達磨笈	年 十 月 南 賢 豆 國 舊 名 天 竺 者 訛 也 三藏法師 達 磨 笈 
T32n1652_001:0482a19	多。與故翻經法師彥琮。在東都上林園。依	多 與 故 翻 經 法 師 彥 琮 在 東 都 上 林 園 依 
T32n1652_001:0482a20	林邑所獲賢豆梵本。譯為隋言。三年九月其	林 邑 所 獲 賢 豆 梵 本 譯 為 隋 言 三 年 九 月 其 
T32n1652_001:0482a21	功乃竟。經二卷。論一卷。三藏師。究論閑明。	功 乃 竟 經 二 卷 論 一 卷 三 藏 師 究 論 閑 明 
T32n1652_001:0482a22	義解沈密。琮法師。博通經論。兼善梵文。共對	義 解 沈 密 琮 法 師 博 通 經 論 兼 善 梵 文 共 對 
T32n1652_001:0482a23	葉本。更相扣擊。一言靡遺。三覆逾審。辭頗簡	葉 本 更 相 扣 擊 一 言 靡 遺 三 覆 逾 審 辭 頗 簡 
