T34n1725_001:0870c07	法華宗要	法 華 宗 要 
T34n1725_001:0870c09	元曉師撰	元 曉 師 撰 
T34n1725_001:0870c10	將欲解釋此經。略開六門分別(初述大意次辨經宗三明詮用四釋	將 欲 解 釋 此 經 略 開 六 門 分 別 初 述 大 意 次 辨 經 宗 三 明 詮 用 四 釋 
T34n1725_001:0870c11	題名五顯教攝六消文義)。初述大意者。妙法蓮華經者。斯乃	題 名 五 顯 教 攝 六 消 文 義 初 述 大 意 者 妙法蓮華 經 者 斯 乃 
T34n1725_001:0870c12	十方三世諸佛出世之大意。九道四生滅入	十 方 三世諸佛 出 世 之 大 意 九 道 四 生 滅 入 
T34n1725_001:0870c13	一道之弘門也。文巧義深。無妙不極。辭敷理	一 道 之 弘 門 也 文 巧 義 深 無 妙 不 極 辭 敷 理 
T34n1725_001:0870c14	泰。無法不宣。文辭巧敷花而含實。義理深泰	泰 無 法 不 宣 文 辭 巧 敷 花 而 含 實 義 理 深 泰 
T34n1725_001:0870c15	實而帶權。理深泰者。無二無別也。辭巧敷者。	實 而 帶 權 理 深 泰 者 無 二 無 別 也 辭 巧 敷 者 
T34n1725_001:0870c16	開權示實也。開權者。開門外三車是權。中途	開 權 示 實 也 開 權 者 開 門 外 三 車 是 權 中 途 
T34n1725_001:0870c17	寶城是化。樹下成道非始。林間滅度非終。示	寶 城 是 化 樹 下 成 道 非 始 林 間 滅 度 非 終 示 
T34n1725_001:0870c18	實者。示□生並是吾子。二乘皆當作佛。算數	實 者 示 生 並 是 吾 子 二 乘 皆 當 作 佛 算 數 
T34n1725_001:0870c19	不足量其命。劫火不能燒其立是謂文辭之	不 足 量 其 命 劫 火 不 能 燒 其 立 是 謂 文 辭 之 
T34n1725_001:0870c20	巧妙也。言無二者。唯一大事。於佛知見開示	巧 妙 也 言 無 二 者 唯 一 大 事 於 佛 知 見 開 示 
T34n1725_001:0870c21	悟入無上無異令知令證故。言無別者。三種	悟 入 無 上 無 異 令 知 令 證 故 言 無 別 者 三 種 
T34n1725_001:0870c22	平等。諸乘諸身皆同一揆。世間涅槃永離二	平 等 諸 乘 諸 身 皆 同 一 揆 世 間 涅 槃 永 離 二 
T34n1725_001:0870c23	際故。是謂義理之深妙也。斯則文理滅妙無	際 故 是 謂 義 理 之 深 妙 也 斯 則 文 理 滅 妙 無 
T34n1725_001:0870c24	非玄。則離麁之軌乃稱妙法。權華開敷實菓	非 玄 則 離 麁 之 軌 乃 稱 妙 法 權 華 開 敷 實 菓 
T34n1725_001:0870c25	泰彰。無染之美假喻蓮花。然妙法妙絕。何三	泰 彰 無 染 之 美 假 喻 蓮 花 然 妙 法 妙 絕 何 三 
T34n1725_001:0870c26	何一至久至冥。誰短誰長茲□□總入之不	何 一 至 久 至 冥 誰 短 誰 長 茲 總 入 之 不 
T34n1725_001:0870c27	易。諸子瀾漫出之良難。是如來引之□權羨	易 諸 子 瀾 漫 出 之 良 難 是 如 來 引 之 權 羨 
T34n1725_001:0870c28	□車。於鹿苑示有□之麁身。駕白牛於鷲岳	 車 於 鹿 苑 示 有 之 麁 身 駕 白 牛 於 鷲 岳 
T34n1725_001:0870c29	顯無限之長命。斯迺□一以破三。三除一捨。	顯 無 限 之 長 命 斯 迺 一 以 破 三 三 除 一 捨 
T34n1725_001:0871a01	假□以□短。短息而□忘。是法不可示。言辭	假 以 短 短 息 而 忘 是 法 不 可 示 言 辭 
T34n1725_001:0871a02	相寂滅。蕩然靡據。肅焉離寄。不知何以言之	相 寂 滅 蕩 然 靡 據 肅 焉 離 寄 不 知 何 以 言 之 
T34n1725_001:0871a03	強稱妙法蓮花。是以分坐令聞之者。當受輪	強 稱 妙 法 蓮 花 是 以 分 坐 令 聞 之 者 當 受 輪 
T34n1725_001:0871a04	王釋梵之座。逕耳一句之人。並得無上菩提	王 釋 梵 之 座 逕 耳 一 句 之 人 並 得 無上菩提 
T34n1725_001:0871a05	之記。況乎受持演說之福。豈可思議所量乎	之 記 況 乎 受 持 演 說 之 福 豈 可 思 議 所 量 乎 
T34n1725_001:0871a06	哉。舉是大意以標題目。故言妙法蓮花經	哉 舉 是 大 意 以 標 題 目 故 言 妙 法 蓮 花 經 
T34n1725_001:0871a07	也。	也 
T34n1725_001:0871a08	第二辨經宗者。此經正以廣大甚深一乘實	第 二 辨 經 宗 者 此 經 正 以 廣大甚深 一 乘 實 
T34n1725_001:0871a09	相為所詮宗。總說雖然。於中分別者。一乘實	相 為 所 詮 宗 總 說 雖 然 於 中 分 別 者 一 乘 實 
T34n1725_001:0871a10	相略說有二。謂能乘人及所乘法。此經所說	相 略 說 有 二 謂 能 乘 人 及 所 乘 法 此 經 所 說 
T34n1725_001:0871a11	一乘人者。三乘行人。四種聲聞。三界所有四	一 乘 人 者 三 乘 行 人 四 種 聲 聞 三 界 所 有 四 
T34n1725_001:0871a12	生眾生。並是能乘一佛乘人。皆為佛子。悉是	生 眾 生 並 是 能 乘 一 佛 乘 人 皆 為 佛 子 悉 是 
T34n1725_001:0871a13	菩薩。以皆有佛性當紹佛位故。乃至無性有	菩 薩 以 皆 有 佛 性 當 紹 佛 位 故 乃 至 無 性 有 
T34n1725_001:0871a14	情亦皆當作佛故。如寶雲經言。菩薩發心便	情 亦 皆 當 作 佛 故 如 寶 雲 經 言 菩 薩 發 心 便 
