T35n1731_001:0001a03	華嚴遊意	華 嚴 遊 意 
T35n1731_001:0001a05	慧日道場沙門胡吉藏撰	慧 日 道 場 沙 門 胡 吉 藏 撰 
T35n1731_001:0001a06	且話閻浮得有此經錄雖不載相承云。龍樹	且 話 閻 浮 得 有 此 經 錄 雖 不 載 相 承 云 龍 樹 
T35n1731_001:0001a07	有佞弟子勸其師令與釋迦並化。師智德如	有 佞 弟 子 勸 其 師 令 與 釋 迦 並 化 師 智 德 如 
T35n1731_001:0001a08	此。宜作新佛。豈為釋迦弟子即。然其所言	此 宜 作 新 佛 豈 為 釋 迦 弟 子 即 然 其 所 言 
T35n1731_001:0001a09	剋日月。別制新戒新衣使大同小異。坐水精	剋 日 月 別 制 新 戒 新 衣 使 大 同 小 異 坐 水 精 
T35n1731_001:0001a10	房中思惟斯事。時有大龍菩薩傷而愍之	房 中 思 惟 斯 事 時 有 大 龍 菩 薩 傷 而 愍 之 
T35n1731_001:0001a11	便接還龍宮。示三世諸佛無量經。復示過去	便 接 還 龍 宮 示 三世諸佛 無 量 經 復 示 過 去 
T35n1731_001:0001a12	七佛經。於龍宮九旬讀十倍閻浮。所餘題	七 佛 經 於 龍 宮 九 旬 讀 十 倍 閻 浮 所 餘 題 
T35n1731_001:0001a13	目不可周遍。龍樹從龍宮出。龍王以此一部	目 不 可 周 遍 龍 樹 從 龍 宮 出 龍 王 以 此 一 部 
T35n1731_001:0001a14	經送龍樹出。為此因緣故閻浮提得有此經	經 送 龍 樹 出 為 此 因 緣 故 閻 浮 提 得 有 此 經 
T35n1731_001:0001a15	也。	也 
T35n1731_001:0001a16	江南講此經者亦須知其原首。前三大法師	江 南 講 此 經 者 亦 須 知 其 原 首 前 三 大 法 師 
T35n1731_001:0001a17	不講此經。晚建初彭城亦不講。建初晚講。	不 講 此 經 晚 建 初 彭 城 亦 不 講 建 初 晚 講 
T35n1731_001:0001a18	就長干法師借義疏。彭城晚講不聽人問未	就 長 干 法 師 借 義 疏 彭 城 晚 講 不 聽 人 問 未 
T35n1731_001:0001a19	講之文。前三大法師。後二名德。多不講此	講 之 文 前 三 大 法 師 後 二 名 德 多 不 講 此 
T35n1731_001:0001a20	經。講此經者起自攝山。時有勝法師為檀越	經 講 此 經 者 起 自 攝 山 時 有 勝 法 師 為 檀 越 
T35n1731_001:0001a21	教化。得三千餘解未凡經七處。徒八過設會。	教 化 得 三 千 餘 解 未 凡 經 七 處 徒 八 過 設 會 
T35n1731_001:0001a22	始自慧莊嚴終歸止觀。一會則講一會經文。	始 自 慧 莊 嚴 終 歸 止 觀 一 會 則 講 一 會 經 文 
T35n1731_001:0001a23	爾時實為隆盛。後興皇繼其遺蹤大弘斯典。	爾 時 實 為 隆 盛 後 興 皇 繼 其 遺 蹤 大 弘 斯 典 
T35n1731_001:0001a24	講因緣如此也。然此經義正開二佛兩教門	講 因 緣 如 此 也 然 此 經 義 正 開 二 佛 兩 教 門 
T35n1731_001:0001a25	淨土三十心十地等。今略明淨土義。淨土凡	淨 土 三 十 心 十 地 等 今 略 明 淨 土 義 淨 土 凡 
T35n1731_001:0001a26	有四條。一化主。二化處。三教門。四徒眾。此	有 四 條 一 化 主 二 化 處 三 教 門 四 徒 眾 此 
T35n1731_001:0001a27	之四種束為兩雙。化主化處即如來依正兩	之 四 種 束 為 兩 雙 化 主 化 處 即 如 來 依 正 兩 
T35n1731_001:0001a28	果。化主即是正果。化處即是依果。即依正一	果 化 主 即 是 正 果 化 處 即 是 依 果 即 依 正 一 
T35n1731_001:0001a29	雙。教門徒眾即緣教一雙教門即緣教。徒	雙 教 門 徒 眾 即 緣 教 一 雙 教 門 即 緣 教 徒 
T35n1731_001:0001b01	眾即教緣故。是緣教一雙。雖有四條束為兩	眾 即 教 緣 故 是 緣 教 一 雙 雖 有 四 條 束 為 兩 
T35n1731_001:0001b02	意也。然非但淨土有此四條。三世十方諸佛	意 也 然 非 但 淨 土 有 此 四 條 三 世 十方諸佛 
T35n1731_001:0001b03	土一一土中皆具此四條。三世十方土雖復	土 一 一 土 中 皆 具 此 四 條 三 世 十 方 土 雖 復 
T35n1731_001:0001b04	無量不出十種土。十種土者。一淨。二穢。三	無 量 不 出 十 種 土 十 種 土 者 一 淨 二 穢 三 
T35n1731_001:0001b05	雜。四本淨末不淨。本是淨土。後薄福眾生	雜 四 本 淨 末 不 淨 本 是 淨 土 後 薄 福 眾 生 
T35n1731_001:0001b06	本淨反為穢。此名本淨今穢也。五者本不淨	本 淨 反 為 穢 此 名 本 淨 今 穢 也 五 者 本 不 淨 
T35n1731_001:0001b07	末淨。變向可知。此是釋迦土。有五應現。復有	末 淨 變 向 可 知 此 是 釋 迦 土 有 五 應 現 復 有 
T35n1731_001:0001b08	五種合成十種土。十種土皆具上四條。據此	五 種 合 成 十 種 土 十 種 土 皆 具 上 四 條 據 此 
T35n1731_001:0001b09	十種兩雙。攝一切土盡也。十種之中略明淨	十 種 兩 雙 攝 一 切 土 盡 也 十 種 之 中 略 明 淨 
T35n1731_001:0001b10	土一種。四條之內且辨化主一條也。	土 一 種 四 條 之 內 且 辨 化 主 一 條 也 
T35n1731_001:0001b11	問此經為是釋迦所說耶為是舍那所說耶。	問 此 經 為 是 釋 迦 所 說 耶 為 是 舍 那 所 說 耶 
T35n1731_001:0001b12	興皇大師開發初即作此問然答此之問。便	興 皇 大 師 開 發 初 即 作 此 問 然 答 此 之 問 便 
T35n1731_001:0001b13	有南北二解。南方解云。佛教凡有三種。謂頓	有 南 北 二 解 南 方 解 云 佛 教 凡 有 三 種 謂 頓 
T35n1731_001:0001b14	漸無方不定也。言頓教者。即教無不圓理。	漸 無 方 不 定 也 言 頓 教 者 即 教 無 不 圓 理 
T35n1731_001:0001b15	無不滿。為大根者說。所以經云。譬如日出先	無 不 滿 為 大 根 者 說 所 以 經 云 譬 如 日 出 先 
T35n1731_001:0001b16	照高山。故言頓教。言漸教者。始自鹿園終至	照 高 山 故 言 頓 教 言 漸 教 者 始 自 鹿 園 終 至 
T35n1731_001:0001b17	鵠林所說。經教初淺後深。漸漸而說。故稱	鵠 林 所 說 經 教 初 淺 後 深 漸 漸 而 說 故 稱 
T35n1731_001:0001b18	漸教。就漸教中有五時不同也。言無方不定	漸 教 就 漸 教 中 有 五 時 不 同 也 言 無 方 不 定 
T35n1731_001:0001b19	者。進不及頓。退非是漸。隨緣不定。故言不定	者 進 不 及 頓 退 非 是 漸 隨 緣 不 定 故 言 不 定 
T35n1731_001:0001b20	教。問。此是大乘。為是小乘耶。解云。是大乘	教 問 此 是 大 乘 為 是 小 乘 耶 解 云 是 大 乘 
T35n1731_001:0001b21	教。金光明勝鬘等經也。用此三經者欲釋	教 金 光 明 勝 鬘 等 經 也 用 此 三 經 者 欲 釋 
T35n1731_001:0001b22	此經是釋迦所說。何者此之三教是佛教。是	此 經 是 釋 迦 所 說 何 者 此 之 三 教 是 佛 教 是 
T35n1731_001:0001b23	何佛教。解云。是釋迦佛一期出世始終	何 佛 教 解 云 是 釋 迦 佛 一 期 出 世 始 終 
T35n1731_001:0001b24	有此三教。若使如此故知華嚴是釋迦佛說	有 此 三 教 若 使 如 此 故 知 華 嚴 是 釋 迦 佛 說 
T35n1731_001:0001b25	也。釋迦雖說此三教復不同。何者若是漸教	也 釋 迦 雖 說 此 三 教 復 不 同 何 者 若 是 漸 教 
T35n1731_001:0001b26	無方教此是現前說。若是頓教遙說彼土人	無 方 教 此 是 現 前 說 若 是 頓 教 遙 說 彼 土 人 
T35n1731_001:0001b27	華。類如無量壽經釋迦遙說彼西方淨人	華 類 如 無 量 壽 經 釋 迦 遙 說 彼 西 方 淨 人 
T35n1731_001:0001b28	華。今此國三輩往生。今此經亦爾。是釋迦	華 今 此 國 三 輩 往 生 今 此 經 亦 爾 是 釋 迦 
T35n1731_001:0001b29	遙說蓮華藏國土淨人華也。次北方論師解。	遙 說 蓮 華 藏 國 土 淨 人 華 也 次 北 方 論 師 解 
T35n1731_001:0001c01	彼有三佛。一法。二報。三化。華嚴是報佛說。	彼 有 三 佛 一 法 二 報 三 化 華 嚴 是 報 佛 說 
T35n1731_001:0001c02	涅槃般若等是化佛說。法佛則不說。彼判舍	涅 槃 般 若 等 是 化 佛 說 法 佛 則 不 說 彼 判 舍 
T35n1731_001:0001c03	那是報佛。釋迦是化佛。舍那為釋迦之報。釋	那 是 報 佛 釋 迦 是 化 佛 舍 那 為 釋 迦 之 報 釋 
T35n1731_001:0001c04	迦為舍那之化。華嚴經是舍那佛說。此則是	迦 為 舍 那 之 化 華 嚴 經 是 舍 那 佛 說 此 則 是 
