T42n1824_001:0001a03	中論序疏	中 論 序 疏 
T42n1824_001:0001a05	吉藏製	吉 藏 製 
T42n1824_001:0001a06	僧睿是魏群長樂人也。少出家。依僧賢法師	僧 睿 是 魏 群 長 樂 人 也 少 出 家 依 僧 賢 法 師 
T42n1824_001:0001a07	為弟子。甞聽中山康僧朗講每興譏難。師深	為 弟 子 甞 聽 中 山 康 僧 朗 講 每 興 譏 難 師 深 
T42n1824_001:0001a08	相秤述。年二十四歷遊名邦。常弘講說。方	相 秤 述 年 二 十 四 歷 遊 名 邦 常 弘 講 說 方 
T42n1824_001:0001a09	簡高潔。一方云。芳簡高結氷霜摻操。什至長	簡 高 潔 一 方 云 芳 簡 高 結 氷 霜 摻 操 什 至 長 
T42n1824_001:0001a10	安因從請業。門徒三千入室唯八。睿為首領。	安 因 從 請 業 門 徒 三 千 入 室 唯 八 睿 為 首 領 
T42n1824_001:0001a11	文云。老則融睿。少則生肇。什歎曰。傳吾業	文 云 老 則 融 睿 少 則 生 肇 什 歎 曰 傳 吾 業 
T42n1824_001:0001a12	者寄在道融曇影僧睿乎。什翻成實論竟命	者 寄 在 道 融 曇 影 僧 睿 乎 什 翻 成 實 論 竟 命 
T42n1824_001:0001a13	睿講之。謂道融曰。此諍論中有七處破阿毘	睿 講 之 謂 道 融 曰 此 諍 論 中 有 七 處 破 阿 毘 
T42n1824_001:0001a14	曇。在言小隱。能不問我可謂英才。融曰。其人	曇 在 言 小 隱 能 不 問 我 可 謂 英 才 融 曰 其 人 
T42n1824_001:0001a15	思力有分未必諮稟。遂剖折無遺。眾益嗟重。	思 力 有 分 未 必 諮 稟 遂 剖 折 無 遺 眾 益 嗟 重 
T42n1824_001:0001a16	天子姚興聞睿景行。問安城侯姚嵩曰。睿何	天 子 姚 興 聞 睿 景 行 問 安 城 侯 姚 嵩 曰 睿 何 
T42n1824_001:0001a17	如人。嵩曰。業衛之松柏也。後自引睿見之。	如 人 嵩 曰 業 衛 之 松 柏 也 後 自 引 睿 見 之 
T42n1824_001:0001a18	謂嵩曰。斯乃四海之標頒。豈獨業衛乎。於是	謂 嵩 曰 斯 乃 四 海 之 標 頒 豈 獨 業 衛 乎 於 是 
T42n1824_001:0001a19	美聲遐扇流於遠邇。著中論大智論及成實	美 聲 遐 扇 流 於 遠 邇 著 中 論 大 智 論 及 成 實 
T42n1824_001:0001a20	論禪經等序雅傳於世。春秋六十有一。作中	論 禪 經 等 序 雅 傳 於 世 春 秋 六 十 有 一 作 中 
T42n1824_001:0001a21	論序非止一人。曇影製義疏序。河西道朗亦	論 序 非 止 一 人 曇 影 製 義 疏 序 河 西 道 朗 亦 
T42n1824_001:0001a22	製論序。而睿公文義備舉理事精玄。興皇和	製 論 序 而 睿 公 文 義 備 舉 理 事 精 玄 興 皇 和 
T42n1824_001:0001a23	上開講常讀。蓋是信而好古述而不作。但文	上 開 講 常 讀 蓋 是 信 而 好 古 述 而 不 作 但 文 
T42n1824_001:0001a24	有微隱。余略釋之。就斯一序裁為七分。一通	有 微 隱 余 略 釋 之 就 斯 一 序 裁 為 七 分 一 通 
T42n1824_001:0001a25	標人法。二釋名題。三序論緣起。四歎釋功能。	標 人 法 二 釋 名 題 三 序 論 緣 起 四 歎 釋 功 能 
T42n1824_001:0001a26	五述注論青目。六廣歎四論。七作者自謙。中	五 述 注 論 青 目 六 廣 歎 四 論 七 作 者 自 謙 中 
T42n1824_001:0001a27	論五百偈標所造法也。龍樹菩薩序能造之	論 五 百 偈 標 所 造 法 也 龍 樹 菩 薩 序 能 造 之 
