T45n1852_001:0001a03	三論玄義	三 論 玄 義 
T45n1852_001:0001a05	慧日道場沙門吉藏奉命撰	慧 日 道 場 沙 門 吉 藏 奉 命 撰 
T45n1852_001:0001a06	總序宗要。開為二門。一通序大歸。二別釋	總 序 宗 要 開 為 二 門 一 通 序 大 歸 二 別 釋 
T45n1852_001:0001a07	眾品。初門有二。一破邪。二顯正。	眾 品 初 門 有 二 一 破 邪 二 顯 正 
T45n1852_001:0001a08	夫適化無方。陶誘非一。考聖心。以息患為	夫 適 化 無 方 陶 誘 非 一 考 聖 心 以 息 患 為 
T45n1852_001:0001a09	主。統教意。以通理為宗。但九十六術栖	主 統 教 意 以 通 理 為 宗 但 九 十 六 術 栖 
T45n1852_001:0001a10	火宅為淨道。五百異部縈見網為泥洹。遂	火 宅 為 淨 道 五 百 異 部 縈 見 網 為 泥 洹 遂 
T45n1852_001:0001a11	使鹿苑坵墟。鷲山荊蕀。善逝以之流慟。薩	使 鹿 苑 坵 墟 鷲 山 荊 蕀 善 逝 以 之 流 慟 薩 
T45n1852_001:0001a12	埵所以大悲。四依為此而興。三論由斯而	埵 所 以 大 悲 四 依 為 此 而 興 三 論 由 斯 而 
T45n1852_001:0001a13	作。但論雖有三。義唯二轍。一曰顯正。二曰	作 但 論 雖 有 三 義 唯 二 轍 一 曰 顯 正 二 曰 
T45n1852_001:0001a14	破邪。破邪則下拯沈淪。顯正則上弘大法。	破 邪 破 邪 則 下 拯 沈 淪 顯 正 則 上 弘 大 法 
T45n1852_001:0001a15	故振領提綱。理唯斯二也。但邪謬紛綸。難	故 振 領 提 綱 理 唯 斯 二 也 但 邪 謬 紛 綸 難 
T45n1852_001:0001a16	可備序。三論所斥略辨四宗。一摧外道。二	可 備 序 三 論 所 斥 略 辨 四 宗 一 摧 外 道 二 
T45n1852_001:0001a17	折毘曇。三排成實。四呵大執。問以何義故	折 毘 曇 三 排 成 實 四 呵 大 執 問 以 何 義 故 
T45n1852_001:0001a18	遍斥眾師。答論主究其原。盡其理也。一源	遍 斥 眾 師 答 論 主 究 其 原 盡 其 理 也 一 源 
T45n1852_001:0001a19	不究。則戲論不滅。毫理不盡。則至道不彰。	不 究 則 戲 論 不 滅 毫 理 不 盡 則 至 道 不 彰 
T45n1852_001:0001a20	以無源不究。群異乃息。無理不盡。玄道始	以 無 源 不 究 群 異 乃 息 無 理 不 盡 玄 道 始 
T45n1852_001:0001a21	通。是以斯文遍排眾計。問既無法不究。無	通 是 以 斯 文 遍 排 眾 計 問 既 無 法 不 究 無 
T45n1852_001:0001a22	言不盡應遍排群異。何故但斥四宗耶。答	言 不 盡 應 遍 排 群 異 何 故 但 斥 四 宗 耶 答 
T45n1852_001:0001a23	初一為外。後三為內。內外並收。毘曇明有。	初 一 為 外 後 三 為 內 內 外 並 收 毘 曇 明 有 
T45n1852_001:0001a24	成實辨空。空有俱攝。斯二為小。方等稱大。	成 實 辨 空 空 有 俱 攝 斯 二 為 小 方 等 稱 大 
T45n1852_001:0001a25	大小該羅。略洗四迷。則紛累都盡耳。問此之	大 小 該 羅 略 洗 四 迷 則 紛 累 都 盡 耳 問 此 之 
T45n1852_001:0001a26	四執優降云何。答外道不達二空。橫存人	四 執 優 降 云 何 答 外 道 不 達 二 空 橫 存 人 
T45n1852_001:0001a27	法。毘曇已得無我。而執法有性。跋摩具辨	法 毘 曇 已 得 無 我 而 執 法 有 性 跋 摩 具 辨 
T45n1852_001:0001a28	二空。而照猶未盡。大乘乃言究竟。但封執	二 空 而 照 猶 未 盡 大 乘 乃 言 究 竟 但 封 執 
T45n1852_001:0001a29	成迷。自淺至深。四宗階級。問外道邪言可	成 迷 自 淺 至 深 四 宗 階 級 問 外 道 邪 言 可 
T45n1852_001:0001b01	得稱破。餘為內教。何得亦破。答總談破	得 稱 破 餘 為 內 教 何 得 亦 破 答 總 談 破 
T45n1852_001:0001b02	顯。凡有四門。一破不收。二收不破。三亦破	顯 凡 有 四 門 一 破 不 收 二 收 不 破 三 亦 破 
T45n1852_001:0001b03	亦收。四不破不收。言不會道。破而不收。	亦 收 四 不 破 不 收 言 不 會 道 破 而 不 收 
T45n1852_001:0001b04	說必契理。收而不破學教起迷。亦破亦收。	說 必 契 理 收 而 不 破 學 教 起 迷 亦 破 亦 收 
T45n1852_001:0001b05	破其能迷之情。收取所惑之教。諸法實相言	破 其 能 迷 之 情 收 取 所 惑 之 教 諸法實相 言 
T45n1852_001:0001b06	忘慮絕。實無可破亦無可收。泯上三門	忘 慮 絕 實 無 可 破 亦 無 可 收 泯 上 三 門 
T45n1852_001:0001b07	歸乎一相。照斯四句破立皎然(自此以來總明申破。	歸 乎 一 相 照 斯 四 句 破 立 皎 然 自 此 以 來 總 明 申 破 
T45n1852_001:0001b08	從此已去別斥四宗)。	從 此 已 去 別 斥 四 宗 
T45n1852_001:0001b09	所言摧外道者。夫至妙虛通目之為道。心	所 言 摧 外 道 者 夫 至 妙 虛 通 目 之 為 道 心 
T45n1852_001:0001b10	遊道外故名外道。外道多端。略陳其二。一	遊 道 外 故 名 外 道 外 道 多 端 略 陳 其 二 一 
T45n1852_001:0001b11	天竺異執。二震旦眾師。總論西域九十六	天 竺 異 執 二 震 旦 眾 師 總 論 西 域 九 十 六 
T45n1852_001:0001b12	術。別序宗要則四執盛行。一計邪因邪果。	術 別 序 宗 要 則 四 執 盛 行 一 計 邪 因 邪 果 
T45n1852_001:0001b13	二執無因有果。三立有因無果。四辨無因	二 執 無 因 有 果 三 立 有 因 無 果 四 辨 無 因 
T45n1852_001:0001b14	無果。問云何名為邪因邪果。答有外道云。大	無 果 問 云 何 名 為 邪 因 邪 果 答 有 外 道 云 大 
T45n1852_001:0001b15	自在天能生萬物。萬物若滅。還歸本天。故	自 在 天 能 生 萬 物 萬 物 若 滅 還 歸 本 天 故 
T45n1852_001:0001b16	云自在。天若瞋。四生皆苦。自在若喜。則六	云 自 在 天 若 瞋 四 生 皆 苦 自 在 若 喜 則 六 
T45n1852_001:0001b17	道咸樂。然天非物因。物非天果。蓋是邪心	道 咸 樂 然 天 非 物 因 物 非 天 果 蓋 是 邪 心 
T45n1852_001:0001b18	所畫。故名邪因邪果(自在既爾。七計例然)。難曰。夫善招	所 畫 故 名 邪 因 邪 果 自 在 既 爾 七 計 例 然 難 曰 夫 善 招 
T45n1852_001:0001b19	樂報。惡感苦果。蓋是交謝之宅報應之場。以	樂 報 惡 感 苦 果 蓋 是 交 謝 之 宅 報 應 之 場 以 
T45n1852_001:0001b20	不達義理故生斯謬。又夫人類生人。物類	不 達 義 理 故 生 斯 謬 又 夫 人 類 生 人 物 類 
T45n1852_001:0001b21	生物。人類生人則人還似人。物類生物物	生 物 人 類 生 人 則 人 還 似 人 物 類 生 物 物 
T45n1852_001:0001b22	還似物。蓋是相生之道也。而謂一天之因	還 似 物 蓋 是 相 生 之 道 也 而 謂 一 天 之 因 
T45n1852_001:0001b23	產萬類之報。豈不謬哉。問云何名為無因	產 萬 類 之 報 豈 不 謬 哉 問 云 何 名 為 無 因 
T45n1852_001:0001b24	有果。答復有外道窮推萬物。無所由籍。故	有 果 答 復 有 外 道 窮 推 萬 物 無 所 由 籍 故 
T45n1852_001:0001b25	謂無因。而現覩諸法。當知有果。例如莊周	謂 無 因 而 現 覩 諸 法 當 知 有 果 例 如 莊 周 
T45n1852_001:0001b26	魍魎問影。影由形有。形因造化。造化則無	魍 魎 問 影 影 由 形 有 形 因 造 化 造 化 則 無 
T45n1852_001:0001b27	所由。本既自有。即末不因他。是故無因而	所 由 本 既 自 有 即 末 不 因 他 是 故 無 因 而 
T45n1852_001:0001b28	有果也。問無因自然此有何異。答無因據	有 果 也 問 無 因 自 然 此 有 何 異 答 無 因 據 
T45n1852_001:0001b29	其因無。自然明乎果有。約義不同。猶是一	其 因 無 自 然 明 乎 果 有 約 義 不 同 猶 是 一 
T45n1852_001:0001c01	執。難曰。夫因果相生猶長短相形。既其有	執 難 曰 夫 因 果 相 生 猶 長 短 相 形 既 其 有 
T45n1852_001:0001c02	果。何得無因。如其無因。何獨有果。若必	果 何 得 無 因 如 其 無 因 何 獨 有 果 若 必 
T45n1852_001:0001c03	無因而有果者。則善招地獄。惡感天堂。問	無 因 而 有 果 者 則 善 招 地 獄 惡 感 天 堂 問 
T45n1852_001:0001c04	曰。有人言。自然有因。自然無因。萬化不同。	曰 有 人 言 自 然 有 因 自 然 無 因 萬 化 不 同 
T45n1852_001:0001c05	皆自然有。故無同前過。答曰。蓋未審察之。	皆 自 然 有 故 無 同 前 過 答 曰 蓋 未 審 察 之 
T45n1852_001:0001c06	故生斯謬。如其精究。理必不然。夫論自者。	故 生 斯 謬 如 其 精 究 理必不然 夫 論 自 者 
T45n1852_001:0001c07	謂非他為義。必是因。他則非自矣。故自則	謂 非 他 為 義 必 是 因 他 則 非 自 矣 故 自 則 
T45n1852_001:0001c08	不因。因則不自。遂言因而復自。則義成桙	不 因 因 則 不 自 遂 言 因 而 復 自 則 義 成 桙 
T45n1852_001:0001c09	楯。問云何名為有因無果。答斷見之流唯有	楯 問 云 何 名 為 有 因 無 果 答 斷 見 之 流 唯 有 
T45n1852_001:0001c10	現在更無後世。類如草木盡在一期。難曰。	現 在 更 無 後 世 類 如 草 木 盡 在 一 期 難 曰 
T45n1852_001:0001c11	夫神道幽玄。惑人多昧。義經丘而未曉。理	夫 神 道 幽 玄 惑 人 多 昧 義 經 丘 而 未 曉 理 
T45n1852_001:0001c12	涉旦而猶昏。唯有佛宗乃盡其致。經云如	涉 旦 而 猶 昏 唯 有 佛 宗 乃 盡 其 致 經 云 如 
T45n1852_001:0001c13	雀在瓶中。羅縠覆其口。縠穿雀飛去。形壞	雀 在 瓶 中 羅 縠 覆 其 口 縠 穿 雀 飛 去 形 壞 
T45n1852_001:0001c14	而神走。匡山慧遠釋曰。火之傳於薪。猶神	而 神 走 匡 山 慧 遠 釋 曰 火 之 傳 於 薪 猶 神 
T45n1852_001:0001c15	之傳於形。火之傳異薪。猶神之傳異形。前	之 傳 於 形 火 之 傳 異 薪 猶 神 之 傳 異 形 前 
T45n1852_001:0001c16	薪非後薪。則知指窮之術妙。前形非後形。	薪 非 後 薪 則 知 指 窮 之 術 妙 前 形 非 後 形 
T45n1852_001:0001c17	則悟情數之感深。不得見形朽於一生。便	則 悟 情 數 之 感 深 不 得 見 形 朽 於 一 生 便 
T45n1852_001:0001c18	謂識神俱喪。火窮於一木。乃曰終期都盡	謂 識 神 俱 喪 火 窮 於 一 木 乃 曰 終 期 都 盡 
T45n1852_001:0001c19	矣。後學稱黃帝之言曰。形雖糜而神不化。	矣 後 學 稱 黃 帝 之 言 曰 形 雖 糜 而 神 不 化 
T45n1852_001:0001c20	乘化至變無窮。雖未彰言三世。意已明未	乘 化 至 變 無 窮 雖 未 彰 言 三 世 意 已 明 未 
T45n1852_001:0001c21	來不斷。問曰。云何名為無因無果。答既撥	來 不 斷 問 曰 云 何 名 為 無 因 無 果 答 既 撥 
T45n1852_001:0001c22	無後世受果。亦無現在之因故。六師云。無	無 後 世 受 果 亦 無 現 在 之 因 故 六 師 云 無 
T45n1852_001:0001c23	有黑業。無有黑業報。無有白業。無有白	有 黑 業 無 有 黑 業 報 無 有 白 業 無 有 白 
T45n1852_001:0001c24	業報。四邪之問最為尤弊。現在斷善。後生	業 報 四 邪 之 問 最 為 尤 弊 現 在 斷 善 後 生 
T45n1852_001:0001c25	惡趣。問斯之紛謬起自何時。答釋迦未興	惡 趣 問 斯 之 紛 謬 起 自 何 時 答 釋 迦 未 興 
T45n1852_001:0001c26	盛行天竺。能仁既出殄斯謬計。佛滅度後柯	盛 行 天 竺 能 仁 既 出 殄 斯 謬 計 佛 滅 度 後 柯 
T45n1852_001:0001c27	條更繁。龍樹後興重加剪伐。	條 更 繁 龍 樹 後 興 重 加 剪 伐 
T45n1852_001:0001c28	次排震旦眾師。一研法。二覈人。問曰。天竺	次 排 震 旦 眾 師 一 研 法 二 覈 人 問 曰 天 竺 
