T46n1927_001:0702c14	十不二門	十 不 二 門 
T46n1927_001:0702c16	唐荊溪尊者湛然述	唐 荊 溪 尊 者 湛 然 述 
T46n1927_001:0702c17	然此迹門，談其因果及以自他，使一代教門	然 此 迹 門 談 其 因 果 及 以 自 他 使 一 代 教 門 
T46n1927_001:0702c18	融通入妙故。凡諸義釋，皆約四教及以五味，	融 通 入 妙 故 凡 諸 義 釋 皆 約 四 教 及 以 五 味 
T46n1927_001:0702c19	意在開教，悉入醍醐。觀心乃是教行樞機，仍	意 在 開 教 悉 入 醍 醐 觀 心 乃 是 教 行 樞 機 仍 
T46n1927_001:0702c20	且略點，寄在諸說或存或沒，非部正意，故縱	且 略 點 寄 在 諸 說 或 存 或 沒 非 部 正 意 故 縱 
T46n1927_001:0702c21	有施設託事附法，或辯十觀列名而已。所明	有 施 設 託 事 附 法 或 辯 十 觀 列 名 而 已 所 明 
T46n1927_001:0702c22	理境、智行、位法，能化所化意在能詮，詮中咸	理 境 智 行 位 法 能 化 所 化 意 在 能 詮 詮 中 咸 
T46n1927_001:0702c23	妙。為辯詮內始末自他故，具演十妙搜括一	妙 為 辯 詮 內 始 末 自 他 故 具 演 十 妙 搜 括 一 
T46n1927_001:0702c24	化，出世大意罄無不盡，故不可不了十妙大	化 出 世 大 意 罄 無 不 盡 故 不 可 不 了 十 妙 大 
T46n1927_001:0702c25	綱，故撮十妙為觀法大體。若解迹妙，本妙非	綱 故 撮 十 妙 為 觀 法 大 體 若 解 迹 妙 本 妙 非 
T46n1927_001:0702c26	遙，應知但是離合異耳。因果義一，自他何殊？	遙 應 知 但 是 離 合 異 耳 因 果 義 一 自 他 何 殊 
T46n1927_001:0702c27	故下文云，本迹雖殊、不思議一。況體宗用秖	故 下 文 云 本 迹 雖 殊 不 思 議 一 況 體 宗 用 秖 
T46n1927_001:0702c28	是自他因果法故，況復教相秖是分別前之	是 自 他 因 果 法 故 況 復 教 相 秖 是 分 別 前 之 
T46n1927_001:0702c29	四章，使前四章與諸文永異，若曉斯旨則教	四 章 使 前 四 章 與 諸 文 永 異 若 曉 斯 旨 則 教 
T46n1927_001:0703a01	有所歸。一期縱橫不出一心，三千世間即空	有 所 歸 一 期 縱 橫 不 出 一 心 三 千 世 間 即 空 
T46n1927_001:0703a02	假中，理境乃至利益咸爾，則止觀十乘，成今	假 中 理 境 乃 至 利 益 咸 爾 則 止 觀 十 乘 成 今 
T46n1927_001:0703a03	自行因果；起教一章，成今化他能所。則彼此	自 行 因 果 起 教 一 章 成 今 化 他 能 所 則 彼 此 
T46n1927_001:0703a04	昭著，法華行成，使功不唐捐，所詮可識。故更	昭 著 法 華 行 成 使 功 不 唐 捐 所 詮 可 識 故 更 
T46n1927_001:0703a05	以十門收攝十妙。何者？為實施權則不二而	以 十 門 收 攝 十 妙 何 者 為 實 施 權 則 不 二 而 
T46n1927_001:0703a06	二，開權顯實則二而不二，法既教部咸開成	二 開 權 顯 實 則 二 而 不 二 法 既 教 部 咸 開 成 
T46n1927_001:0703a07	妙，故此十門不二為目，一一門下以六即檢	妙 故 此 十 門 不 二 為 目 一 一 門 下 以 六 即 檢 
