T46n1931_001:0773c19	四教頌	四 教 頌 
T46n1931_001:0773c21	七賢七位藏初機。通教位中一二齊。別信并圓	七 賢 七 位 藏 初 機 通 教 位 中 一 二 齊 別 信 并 圓 
T46n1931_001:0773c22	五品位。見思初伏在凡居。果位須陀預聖流。與	五 品 位 見 思 初 伏 在 凡 居 果 位 須 陀 預 聖 流 與 
T46n1931_001:0773c23	通三四地齊儔。并連別住圓初信。八十八使正	通 三 四 地 齊 儔 并 連 別 住 圓 初 信 八 十 八 使 正 
T46n1931_001:0773c24	方休。圓別信住二之七。藏通極果皆同級。同除	方 休 圓 別 信 住 二 之 七 藏 通 極 果 皆 同 級 同 除 
T46n1931_001:0773c25	四住證偏真。內外塵沙分斷伏。八之十信二惑	四 住 證 偏 真 內 外 塵 沙 分 斷 伏 八 之 十 信 二 惑 
T46n1931_001:0773c26	空。假成俗備理方通。齊前別住後三位。并連行	空 假 成 俗 備 理 方 通 齊 前 別 住 後 三 位 并 連 行 
T46n1931_001:0773c27	向位相同。別地全齊圓住平。無明分斷證真因。	向 位 相 同 別 地 全 齊 圓 住 平 無 明 分 斷 證 真 因 
T46n1931_001:0773c28	等妙二覺初二行。進聞三位不知名。	等 妙 二 覺 初 二 行 進 聞 三 位 不 知 名 
T46n1931_001:0774a02	四教儀緣起	四 教 儀 緣 起 
T46n1931_001:0774a04	宋修僧史僧統贊寧通惠錄云。唐末吳越錢忠	宋 修 僧 史 僧 統 贊 寧 通 惠 錄 云 唐 末 吳 越 錢 忠 
T46n1931_001:0774a05	懿王治國之暇。究心內典。因閱永嘉集有同除	懿 王 治 國 之 暇 究 心 內 典 因 閱 永 嘉 集 有 同 除 
T46n1931_001:0774a06	四住此處為齊。若伏無明三藏則劣之句。不曉	四 住 此 處 為 齊 若 伏 無 明 三 藏 則 劣 之 句 不 曉 
T46n1931_001:0774a07	問于雪居韶國師。乃云天台國清寺有寂法師	問 于 雪 居 韶 國 師 乃 云 天 台 國 清 寺 有 寂 法 師 
T46n1931_001:0774a08	善弘教法。必解此語。王召法師至詰焉。法師曰。	善 弘 教 法 必 解 此 語 王 召 法 師 至 詰 焉 法 師 曰 
T46n1931_001:0774a09	此天台智者大師妙玄中文。時遭安史兵殘。近	此 天 台 智 者 大 師 妙 玄 中 文 時 遭 安 史 兵 殘 近 
T46n1931_001:0774a10	則會昌焚毀中國教藏殘闕殆盡。今惟海東高	則 會 昌 焚 毀 中 國 教 藏 殘 闕 殆 盡 今 惟 海 東 高 
T46n1931_001:0774a11	麗闡教方盛。全書在彼。王聞之慨然。即為遣國	麗 闡 教 方 盛 全 書 在 彼 王 聞 之 慨 然 即 為 遣 國 
T46n1931_001:0774a12	書贄弊使高麗求取一家章疏。高麗國君乃勅	書 贄 弊 使 高 麗 求 取 一 家 章 疏 高 麗 國 君 乃 勅 
T46n1931_001:0774a13	僧曰諦觀者報聘以天台教部還歸于我觀既	僧 曰 諦 觀 者 報 聘 以 天 台 教 部 還 歸 于 我 觀 既 
T46n1931_001:0774a14	至就稟學寂公于螺溪。終焉大教至是重昌矣。	至 就 稟 學 寂 公 于 螺 溪 終 焉 大 教 至 是 重 昌 矣 
T46n1931_001:0774a15	觀能探索大本錄出四教儀之文成二卷。其上	觀 能 探 索 大 本 錄 出 四 教 儀 之 文 成 二 卷 其 上 
T46n1931_001:0774a16	卷明一家判教立義。下卷明南北諸師宗途異	卷 明 一 家 判 教 立 義 下 卷 明 南 北 諸 師 宗 途 異 
T46n1931_001:0774a17	計。後至孤山圓法師校勘刊板但行今上卷之	計 後 至 孤 山 圓 法 師 校 勘 刊 板 但 行 今 上 卷 之 
T46n1931_001:0774a18	文者蓋由辭句簡要義旨易明。學者誠資之可	文 者 蓋 由 辭 句 簡 要 義 旨 易 明 學 者 誠 資 之 可 
T46n1931_001:0774a19	了其一化大綱豈曰小補之哉。下卷則破斥南	了 其 一 化 大 綱 豈 曰 小 補 之 哉 下 卷 則 破 斥 南 
T46n1931_001:0774a20	北古師文義浩漫故得以緩之。如此文末指云	北 古 師 文 義 浩 漫 故 得 以 緩 之 如 此 文 末 指 云 
T46n1931_001:0774a21	自從此下略明諸家判教儀式。抑可見後卷之	自 從 此 下 略 明 諸 家 判 教 儀 式 抑 可 見 後 卷 之 
T46n1931_001:0774a22	大略也。王為寂師建伽藍螺溪之上。曰定慧院	大 略 也 王 為 寂 師 建 伽 藍 螺 溪 之 上 曰 定 慧 院 
T46n1931_001:0774a23	進號淨光大師。追諡九祖并東還教藏悉付於	進 號 淨 光 大 師 追 諡 九 祖 并 東 還 教 藏 悉 付 於 
T46n1931_001:0774a24	師。教門中興實基於此。而韶公適與智者同姓	師 教 門 中 興 實 基 於 此 而 韶 公 適 與 智 者 同 姓 
T46n1931_001:0774a25	乃又毘贊宗乘且居隣佛隴人咸疑其為智者	乃 又 毘 贊 宗 乘 且 居 隣 佛 隴 人 咸 疑 其 為 智 者 
T46n1931_001:0774a26	後身云。	後 身 云 
T46n1931_001:0774a27	四明草菴法師道因教苑遺事云。昔智者禪師	四 明 草 菴 法 師 道 因 教 苑 遺 事 云 昔 智 者 禪 師 
T46n1931_001:0774a28	剏放生池於海涯。其放之也必為授歸戒說大	剏 放 生 池 於 海 涯 其 放 之 也 必 為 授 歸 戒 說 大 
T46n1931_001:0774a29	法。然後縱之海中。智者滅後。至唐末中國天台	法 然 後 縱 之 海 中 智 者 滅 後 至 唐 末 中 國 天 台 
T46n1931_001:0774b01	之道浸息。而海東高麗新羅諸國盛弘此教扶	之 道 浸 息 而 海 東 高 麗 新 羅 諸 國 盛 弘 此 教 扶 
T46n1931_001:0774b02	宗繼忠法師云。智者緣在此方。而教敷于海東	宗 繼 忠 法 師 云 智 者 緣 在 此 方 而 教 敷 于 海 東 
T46n1931_001:0774b03	者。此必放生池中諸魚聞教稟戒報生者爾然	者 此 必 放 生 池 中 諸 魚 聞 教 稟 戒 報 生 者 爾 然 
T46n1931_001:0774b04	聞此說者。頗譏以為誕殊。不知教理有憑也。流	聞 此 說 者 頗 譏 以 為 誕 殊 不 知 教 理 有 憑 也 流 
T46n1931_001:0774b05	水十千天子即脫魚報。豈外此乎。	水 十 千 天 子 即 脫 魚 報 豈 外 此 乎 
T46n1931_001:0774b06	明萬曆九年冬沙門智覺於淨業堂校梓	明 萬 曆 九 年 冬 沙 門 智 覺 於 淨 業 堂 校 梓 
T46n1931_001:0774b10	刻天台四教儀引	刻 天 台 四 教 儀 引 
T46n1931_001:0774b12	客歲拙園成名其堂曰淨業屬臥痾餘日因從	客 歲 拙 園 成 名 其 堂 曰 淨 業 屬 臥 痾 餘 日 因 從 
T46n1931_001:0774b13	三四淨侶。掩關結夏其中。三時禮課求生西方。	三 四 淨 侶 掩 關 結 夏 其 中 三 時 禮 課 求 生 西 方 
T46n1931_001:0774b14	宴坐焚香研精藏典。鐘磬間發白雲乍留鳥低	宴 坐 焚 香 研 精 藏 典 鐘 磬 間 發 白 雲 乍 留 鳥 低 
T46n1931_001:0774b15	飛而親人。草蔓生而沒徑。[袖由+臾]遺巍闕機息漢陰	飛 而 親 人 草 蔓 生 而 沒 徑 [袖由臾] 遺 巍 闕 機 息 漢 陰 
T46n1931_001:0774b16	意欣欣甚適也已僧真覺者。自武林來進余以	意 欣 欣 甚 適 也 已 僧 真 覺 者 自 武 林 來 進 余 以 
T46n1931_001:0774b17	天台之學。余首肯焉為留旬日。剖析教觀大旨。	天 台 之 學 余 首 肯 焉 為 留 旬 日 剖 析 教 觀 大 旨 
T46n1931_001:0774b18	余若有悟入者遂合掌佛前願世世奉揚台宗	余 若 有 悟 入 者 遂 合 掌 佛 前 願 世 世 奉 揚 台 宗 
T46n1931_001:0774b19	淨佛國土。蓋淨侶同時發心永為主伴矣。台教	淨佛國土 蓋 淨 侶 同 時 發 心 永 為 主 伴 矣 台 教 
T46n1931_001:0774b20	源流具四明磐公所譔佛祖統紀。而四教儀者	源 流 具 四 明 磐 公 所 譔 佛 祖 統 紀 而 四 教 儀 者 
T46n1931_001:0774b21	則高麗沙門諦觀稟法華玄文而錄出者也。書	則 高 麗 沙 門 諦 觀 稟 法 華 玄 文 而 錄 出 者 也 書 
