T47n1994A_001:0640a12	楊岐方會和尚語錄	楊 岐 方 會 和 尚 語 錄 
T47n1994A_001:0640a14	袁州楊岐山普通禪院會和尚語錄	袁 州 楊 岐 山 普 通 禪 院 會 和 尚 語 錄 
T47n1994A_001:0640a15	江寧府保寧禪院嗣法小師仁勇編	江 寧 府 保 寧 禪 院 嗣 法 小 師 仁 勇 編 
T47n1994A_001:0640a16	師在筠州九峯山。受疏了披法衣。乃拈起示	師 在 筠 州 九 峯 山 受 疏 了 披 法 衣 乃 拈 起 示 
T47n1994A_001:0640a17	眾云。會麼。若也不會。今日無端走入水牯牛	眾 云 會 麼 若 也 不 會 今 日 無 端 走 入 水 牯 牛 
T47n1994A_001:0640a18	隊裏去也。還知麼。筠陽九曲萍實楊岐。乃陞	隊 裏 去 也 還 知 麼 筠 陽 九 曲 萍 實 楊 岐 乃 陞 
T47n1994A_001:0640a19	座。時有僧出眾。師云。漁翁未擲釣。躍鱗衝浪	座 時 有 僧 出 眾 師 云 漁 翁 未 擲 釣 躍 鱗 衝 浪 
T47n1994A_001:0640a20	來。僧便喝。師云。不信道。僧撫掌歸眾。師云。	來 僧 便 喝 師 云 不 信 道 僧 撫 掌 歸 眾 師 云 
T47n1994A_001:0640a21	消得龍王多少風。問師唱誰家曲。宗風嗣阿	消 得 龍 王 多 少 風 問 師 唱 誰 家 曲 宗 風 嗣 阿 
T47n1994A_001:0640a22	誰。師云。有馬騎馬無馬步行。進云。少年長老	誰 師 云 有 馬 騎 馬 無 馬 步 行 進 云 少 年 長 老 
T47n1994A_001:0640a23	足有機籌。師云。念爾年老。放爾三十棒。問如	足 有 機 籌 師 云 念 爾 年 老 放 爾 三 十 棒 問 如 
T47n1994A_001:0640a24	何是佛。師云。三脚驢子弄蹄行。進云。莫只者	何 是 佛 師 云 三 脚 驢 子 弄 蹄 行 進 云 莫 只 者 
T47n1994A_001:0640a25	便是。師云。湖南長老。問人法俱遣。未是衲僧	便 是 師 云 湖 南 長 老 問 人 法 俱 遣 未 是 衲 僧 
T47n1994A_001:0640a26	極則。佛祖雙亡。猶是學人疑處。未審和尚如	極 則 佛 祖 雙 亡 猶 是 學 人 疑 處 未 審 和 尚 如 
T47n1994A_001:0640a27	何為人。師云。爾只要看破新長老。進云。與麼	何 為 人 師 云 爾 只 要 看 破 新 長 老 進 云 與 麼 
T47n1994A_001:0640a28	則旋斫生柴帶葉燒。師云。七九六十三。師云。	則 旋 斫 生 柴 帶 葉 燒 師 云 七 九 六 十 三 師 云 
T47n1994A_001:0640a29	更有問話者麼。試出眾相見。楊岐今日性命。	更 有 問 話 者 麼 試 出 眾 相 見 楊 岐 今 日 性 命 
T47n1994A_001:0640b01	在爾諸人手裏。一任橫拕倒拽。為什麼如此。	在 爾 諸 人 手 裏 一 任 橫 拕 倒 拽 為 什 麼 如 此 
T47n1994A_001:0640b02	大丈夫兒須是當眾決擇。莫背地裏似水底	大 丈 夫 兒 須 是 當 眾 決 擇 莫 背 地 裏 似 水 底 
T47n1994A_001:0640b03	捺葫蘆相似。當眾引驗莫便面赤。有麼有麼	捺 葫 蘆 相 似 當 眾 引 驗 莫 便 面 赤 有 麼 有 麼 
T47n1994A_001:0640b04	出來決擇看。如無。楊岐失利。師纔下座。九峯	出 來 決 擇 看 如 無 楊 岐 失 利 師 纔 下 座 九 峯 
T47n1994A_001:0640b05	勤和尚把住云。今日喜遇同參。師云。同參底	勤 和 尚 把 住 云 今 日 喜 遇 同 參 師 云 同 參 底 
T47n1994A_001:0640b06	事作麼生。峯云。九峯牽犁楊岐拽杷。師云。正	事 作 麼 生 峯 云 九 峯 牽 犁 楊 岐 拽 杷 師 云 正 
T47n1994A_001:0640b07	當與麼時。楊岐在前九峯在前。峯擬議。師托	當 與 麼 時 楊 岐 在 前 九 峯 在 前 峯 擬 議 師 托 
T47n1994A_001:0640b08	開云將謂同參。元來不是。	開 云 將 謂 同 參 元 來 不 是 
T47n1994A_001:0640b09	師入院上堂。僧問。如何是楊岐境。師云。獨松	師 入 院 上 堂 僧 問 如 何 是 楊 岐 境 師 云 獨 松 
T47n1994A_001:0640b10	巖畔秀。猿向下山啼。進云。如何是境中人。師	巖 畔 秀 猿 向 下 山 啼 進 云 如 何 是 境 中 人 師 
T47n1994A_001:0640b11	云。貧家女子携籃去。牧童橫笛望源歸。師乃	云 貧 家 女 子 携 籃 去 牧 童 橫 笛 望 源 歸 師 乃 
T47n1994A_001:0640b12	云。霧鎖長空風生大野。百草樹木作大師子	云 霧 鎖 長 空 風 生 大 野 百 草 樹 木 作 大 師 子 
T47n1994A_001:0640b13	吼。演說摩訶大般若。三世諸佛在爾諸人脚	吼 演 說 摩 訶 大 般 若 三世諸佛 在 爾 諸 人 脚 
T47n1994A_001:0640b14	跟下轉大法輪。若也會得。功不浪施。若也不	跟 下 轉 大 法 輪 若 也 會 得 功 不 浪 施 若 也 不 
T47n1994A_001:0640b15	會。莫道楊岐山勢嶮。前頭更有最高峯。	會 莫 道 楊 岐 山 勢 嶮 前 頭 更 有 最 高 峯 
T47n1994A_001:0640b16	上堂云。百丈把火開田說大義。是何言歟。楊	上 堂 云 百 丈 把 火 開 田 說 大 義 是 何 言 歟 楊 
T47n1994A_001:0640b17	岐兩日種禾。亦有箇奇特語。乃云。達磨大師	岐 兩 日 種 禾 亦 有 箇 奇 特 語 乃 云 達 磨 大 師 
T47n1994A_001:0640b18	無當門齒。	無 當 門 齒 
T47n1994A_001:0640b19	上堂。楊岐一要。千聖同妙。布施大眾。拍禪床	上 堂 楊 岐 一 要 千 聖 同 妙 布 施 大 眾 拍 禪 床 
T47n1994A_001:0640b20	一下云。果然失照。	一 下 云 果 然 失 照 
T47n1994A_001:0640b21	上堂。楊岐一言。隨方就圓。若也擬議。十萬八	上 堂 楊 岐 一 言 隨 方 就 圓 若 也 擬 議 十 萬 八 
T47n1994A_001:0640b22	千。下座。	千 下 座 
T47n1994A_001:0640b23	上堂。楊岐一語。呵佛叱祖。明眼人前。不得錯	上 堂 楊 岐 一 語 呵 佛 叱 祖 明 眼 人 前 不 得 錯 
T47n1994A_001:0640b24	舉。下座。	舉 下 座 
T47n1994A_001:0640b25	上堂。楊岐一句。急著眼覷。長連床上。拈匙把	上 堂 楊 岐 一 句 急 著 眼 覷 長 連 床 上 拈 匙 把 
T47n1994A_001:0640b26	箸。下座。	箸 下 座 
T47n1994A_001:0640b27	上堂。僧問。急水江頭須下釣。如何釣得巨鼈	上 堂 僧 問 急 水 江 頭 須 下 釣 如 何 釣 得 巨 鼈 
T47n1994A_001:0640b28	歸。師云。撒手長空外。時人總不知。進云。知	歸 師 云 撒 手 長 空 外 時 人 總 不 知 進 云 知 
T47n1994A_001:0640b29	底事作麼生。師云。雲生嶺上。進云。作家宗師	底 事 作 麼 生 師 云 雲 生 嶺 上 進 云 作 家 宗 師 
T47n1994A_001:0640c01	天然猶在。師云。念言語漢。師乃云。不見一法	天 然 猶 在 師 云 念 言 語 漢 師 乃 云 不 見 一 法 
T47n1994A_001:0640c02	是大過患。拈起拄杖云。穿却釋迦老子鼻孔。	是 大 過 患 拈 起 拄 杖 云 穿 却 釋 迦 老 子 鼻 孔 
T47n1994A_001:0640c03	作麼生道得脫身一句。向水不洗水處道將	作 麼 生 道 得 脫 身 一 句 向 水 不 洗 水 處 道 將 
T47n1994A_001:0640c04	一句來。良久云。向道莫行山下路。果聞猿叫	一 句 來 良 久 云 向 道 莫 行 山 下 路 果 聞 猿 叫 
T47n1994A_001:0640c05	斷腸聲。	斷 腸 聲 
T47n1994A_001:0640c06	上堂。拍禪床一下云。只箇心心心是佛。十方	上 堂 拍 禪 床 一 下 云 只 箇 心 心 心 是 佛 十 方 
T47n1994A_001:0640c07	世界最靈物。釋迦老子說夢。三世諸佛說夢。	世 界 最 靈 物 釋 迦 老 子 說 夢 三世諸佛 說 夢 
T47n1994A_001:0640c08	天下老和尚說夢。且問諸人。還曾作夢麼。若	天 下 老 和 尚 說 夢 且 問 諸 人 還 曾 作 夢 麼 若 
T47n1994A_001:0640c09	也作夢。向半夜裏道將一句來。良久云。人間	也 作 夢 向 半 夜 裏 道 將 一 句 來 良 久 云 人 間 
T47n1994A_001:0640c10	縱有真消息。偷向楊岐說夢看。參。	縱 有 真 消 息 偷 向 楊 岐 說 夢 看 參 
T47n1994A_001:0640c11	上堂。坐斷乾坤天地黯黑。放過一著雨順風	上 堂 坐 斷 乾 坤 天 地 黯 黑 放 過 一 著 雨 順 風 
T47n1994A_001:0640c12	調。然雖如是。俗氣未除在。僧問。欲免心中	調 然 雖 如 是 俗 氣 未 除 在 僧 問 欲 免 心 中 
T47n1994A_001:0640c13	鬧。應須看古教。如何是古教。師云。乾坤月明	鬧 應 須 看 古 教 如 何 是 古 教 師 云 乾 坤 月 明 
T47n1994A_001:0640c14	碧海波澄。進云。未審作麼生看。師云。脚跟	碧 海 波 澄 進 云 未 審 作 麼 生 看 師 云 脚 跟 
T47n1994A_001:0640c15	下。進云。忽遇洪波浩渺時如何。師云。放過一	下 進 云 忽 遇 洪 波 浩 渺 時 如 何 師 云 放 過 一 
T47n1994A_001:0640c16	著十字縱橫。又作麼生。僧便喝。撫掌一下。	著 十 字 縱 橫 又 作 麼 生 僧 便 喝 撫 掌 一 下 
T47n1994A_001:0640c17	師云。看者一員戰將。進云。打草蛇驚。師云。	師 云 看 者 一 員 戰 將 進 云 打 草 蛇 驚 師 云 
T47n1994A_001:0640c18	也要大家知。	也 要 大 家 知 
T47n1994A_001:0640c19	師拈起拄杖云。一即一切一切即一。劃一劃	師 拈 起 拄 杖 云 一 即 一切一切 即 一 劃 一 劃 
T47n1994A_001:0640c20	云。山河大地天下老和尚百雜碎。作麼生是	云 山 河 大 地 天 下 老 和 尚 百 雜 碎 作 麼 生 是 
T47n1994A_001:0640c21	諸人鼻孔。良久云。劍為不平離寶匣。藥因救	諸 人 鼻 孔 良 久 云 劍 為 不 平 離 寶 匣 藥 因 救 
T47n1994A_001:0640c22	病出金瓶。喝一喝卓一下。參。	病 出 金 瓶 喝 一 喝 卓 一 下 參 
T47n1994A_001:0640c23	上堂。秋雨洗秋林。秋林咸翠色。傷嗟傅大士。	上 堂 秋 雨 洗 秋 林 秋 林 咸 翠 色 傷 嗟 傅 大 士 
T47n1994A_001:0640c24	何處尋彌勒。	何 處 尋 彌 勒 
T47n1994A_001:0640c25	上堂。薄福住楊岐。年來氣力衰。寒風凋敗葉。	上 堂 薄 福 住 楊 岐 年 來 氣 力 衰 寒 風 凋 敗 葉 
T47n1994A_001:0640c26	猶喜故人歸。囉唻哩。拈上死柴頭。且向無煙	猶 喜 故 人 歸 囉 唻 哩 拈 上 死 柴 頭 且 向 無 煙 
T47n1994A_001:0640c27	火。	火 
T47n1994A_001:0640c28	上堂。楊岐無旨的。栽田博飯喫。說夢老瞿曇。	上 堂 楊 岐 無 旨 的 栽 田 博 飯 喫 說 夢 老 瞿 曇 
