T48n2002A_001:0121a19	如淨禪師語錄序	如 淨 禪 師 語 錄 序 
T48n2002A_001:0121a21	五家宗派中。曹洞則機關不露。臨濟則棒喝	五 家 宗 派 中 曹 洞 則 機 關 不 露 臨 濟 則 棒 喝 
T48n2002A_001:0121a22	分明。苟得其由。門戶易入。雖取捨少異作用	分 明 苟 得 其 由 門 戶 易 入 雖 取 捨 少 異 作 用 
T48n2002A_001:0121a23	弗同。要之殊塗一致耳。惟天童淨禪師不流	弗 同 要 之 殊 塗 一 致 耳 惟 天 童 淨 禪 師 不 流 
T48n2002A_001:0121a24	不倚兼而有之。自成一家八面受敵。始以竹	不 倚 兼 而 有 之 自 成 一 家 八 面 受 敵 始 以 竹 
T48n2002A_001:0121a25	篦子久知痛癢。後因一滴水漸至澎衝。斷塹	篦 子 久 知 痛 癢 後 因 一 滴 水 漸 至 澎 衝 斷 塹 
T48n2002A_001:0121a26	懸崖斬釘截鐵。所謂用法得法外意。得魚忘	懸 崖 斬 釘 截 鐵 所 謂 用 法 得 法 外 意 得 魚 忘 
T48n2002A_001:0121a27	筌。得兔忘蹄者也。觀其登寶華座。若猛虎	筌 得 兔 忘 蹄 者 也 觀 其 登 寶 華 座 若 猛 虎 
T48n2002A_001:0121a28	踞。擊大灋鼓作獅子吼。直使人天讚仰魔鬼	踞 擊 大 灋 鼓 作 獅 子 吼 直 使 人 天 讚 仰 魔 鬼 
T48n2002A_001:0121a29	歸降。至於一偈一頌一話一言。呼風吐雲轟	歸 降 至 於 一 偈 一 頌 一 話 一 言 呼 風 吐 雲 轟 
T48n2002A_001:0121b01	雷掣電。千態萬貌不可窮盡。近世尊宿絕無	雷 掣 電 千 態 萬 貌 不可窮盡 近 世 尊 宿 絕 無 
T48n2002A_001:0121b02	僅有者。凡歷四大寶剎。孤雲野鶴去住自如。	僅 有 者 凡 歷 四 大 寶 剎 孤 雲 野 鶴 去 住 自 如 
T48n2002A_001:0121b03	皆於是見焉。故勇猛精進者得之。猶入暗室	皆 於 是 見 焉 故 勇猛精進 者 得 之 猶 入 暗 室 
T48n2002A_001:0121b04	遇大光明見種種色。退縮未諭者畏之。如子	遇 大 光 明 見 種 種 色 退 縮 未 諭 者 畏 之 如 子 
T48n2002A_001:0121b05	弟之對嚴父師。殊不知藥瞑眩而厥疾。瘳終	弟 之 對 嚴 父 師 殊 不 知 藥 瞑 眩 而 厥 疾 瘳 終 
T48n2002A_001:0121b06	有益矣。師之得力處。出生入死處。固難以形	有 益 矣 師 之 得 力 處 出 生 入 死 處 固 難 以 形 
T48n2002A_001:0121b07	迹求作實法會。然觀水必觀瀾。涉大海從津	迹 求 作 實 法 會 然 觀 水 必 觀 瀾 涉 大 海 從 津 
T48n2002A_001:0121b08	涯。故舍其言。無以求其奧也。宗上人以師之	涯 故 舍 其 言 無 以 求 其 奧 也 宗 上 人 以 師 之 
T48n2002A_001:0121b09	法語。俾予序其篇首。予則安能。蓋予與師。為	法 語 俾 予 序 其 篇 首 予 則 安 能 蓋 予 與 師 為 
T48n2002A_001:0121b10	鄉國人。為道誼友。且心眼相照。不可無數語	鄉 國 人 為 道 誼 友 且 心 眼 相 照 不 可 無 數 語 
