T48n2011_001:0377a15	最上乘論	最 上 乘 論 
T48n2011_001:0377a17	第五祖弘忍禪師述	第 五 祖 弘 忍 禪 師 述 
T48n2011_001:0377a18	凡趣聖道悟解真宗。修心要論若其不護淨	凡 趣 聖 道 悟 解 真 宗 修 心 要 論 若 其 不 護 淨 
T48n2011_001:0377a19	者。一切行無由取見。願善知識如有寫者。用	者 一 切 行 無 由 取 見 願 善 知 識 如 有 寫 者 用 
T48n2011_001:0377a20	心無令脫錯。恐誤後人。	心 無 令 脫 錯 恐 誤 後 人 
T48n2011_001:0377a21	夫修道之本體須識。當身心本來清淨不生	夫 修 道 之 本 體 須 識 當 身 心 本 來 清 淨 不 生 
T48n2011_001:0377a22	不滅無有分別。自性圓滿清淨之心。此是本	不 滅 無有分別 自 性 圓 滿 清 淨 之 心 此 是 本 
T48n2011_001:0377a23	師。乃勝念十方諸佛。	師 乃 勝 念 十方諸佛 
T48n2011_001:0377a24	問曰。何知自心本來清淨。答曰。十地經云。眾	問 曰 何 知 自 心 本 來 清 淨 答 曰 十 地 經 云 眾 
T48n2011_001:0377a25	生身中有金剛佛性。猶如日輪體明圓滿廣	生 身 中 有 金 剛 佛 性 猶 如 日 輪 體 明 圓 滿 廣 
T48n2011_001:0377a26	大無邊。只為五陰黑雲之所覆。如瓶內燈光	大 無 邊 只 為 五 陰 黑 雲 之 所 覆 如 瓶 內 燈 光 
T48n2011_001:0377a27	不能照輝。譬如世間雲霧八方俱起天下陰	不 能 照 輝 譬 如 世 間 雲 霧 八 方 俱 起 天 下 陰 
T48n2011_001:0377a28	闇。日豈爛。也何故無光。光元不壞。只為雲霧	闇 日 豈 爛 也 何 故 無 光 光 元 不 壞 只 為 雲 霧 
T48n2011_001:0377a29	所覆。一切眾生清淨之心亦復如是。只為攀	所 覆 一 切 眾 生 清 淨 之 心 亦復如是 只 為 攀 
T48n2011_001:0377b01	緣妄念煩惱諸見黑雲所覆。但能凝然守心。	緣 妄 念 煩 惱 諸 見 黑 雲 所 覆 但 能 凝 然 守 心 
T48n2011_001:0377b02	妄念不生。涅槃法自然顯現。故知自心本來	妄 念 不 生 涅 槃 法 自 然 顯 現 故 知 自 心 本 來 
T48n2011_001:0377b03	清淨。	清 淨 
T48n2011_001:0377b04	問曰。何知自心本來不生不滅。答曰。維摩經	問 曰 何 知 自 心 本 來 不生不滅 答 曰 維 摩 經 
T48n2011_001:0377b05	云。如無有生如無有滅。如者真如佛性自性	云 如 無 有 生 如 無 有 滅 如 者 真 如 佛 性 自 性 
T48n2011_001:0377b06	清淨。清淨者心之原也。真如本有不從緣生。	清 淨 清 淨 者 心 之 原 也 真 如 本 有 不 從 緣 生 
T48n2011_001:0377b07	又云。一切眾生皆如也。眾賢聖亦如也。一切	又 云 一 切 眾 生 皆 如 也 眾 賢 聖 亦 如 也 一 切 
T48n2011_001:0377b08	眾生者。即我等是也。眾賢聖者。即諸佛是也。	眾 生 者 即 我 等 是 也 眾 賢 聖 者 即 諸 佛 是 也 
T48n2011_001:0377b09	名相雖別身中真如法性並同。不生不滅故	名 相 雖 別 身 中 真 如 法 性 並 同 不生不滅 故 
T48n2011_001:0377b10	言皆如也。故知自心本來不生不滅。	言 皆 如 也 故 知 自 心 本 來 不生不滅 
T48n2011_001:0377b11	問曰。何名自心為本師。答曰。此真心者。自然	問 曰 何 名 自 心 為 本 師 答 曰 此 真 心 者 自 然 
T48n2011_001:0377b12	而有不從外來。不□束修於三世中。所有至	而 有 不 從 外 來 不 束 修 於 三 世 中 所 有 至 
T48n2011_001:0377b13	親莫過自守於心。若識心者。守之則到彼岸。	親 莫 過 自 守 於 心 若 識 心 者 守 之 則 到 彼 岸 
T48n2011_001:0377b14	迷心者。棄之則墮三塗。故知三世諸佛以自	迷 心 者 棄 之 則 墮 三 塗 故 知 三世諸佛 以 自 
T48n2011_001:0377b15	心為本師。故論云。了然守心則妄念不起。則	心 為 本 師 故 論 云 了 然 守 心 則 妄 念 不 起 則 
T48n2011_001:0377b16	是無生。故知心是本師。	是 無 生 故 知 心 是 本 師 
T48n2011_001:0377b17	問曰。何名自心勝念彼佛。答曰。常念彼佛不	問 曰 何 名 自 心 勝 念 彼 佛 答 曰 常 念 彼 佛 不 
T48n2011_001:0377b18	免生死。守我本心則到彼岸。金剛經云。若以	免 生 死 守 我 本 心 則 到 彼 岸 金 剛 經 云 若 以 
T48n2011_001:0377b19	色見我。以音聲求我。是人行邪道不能見如	色 見 我 以 音 聲 求 我 是 人 行 邪 道 不 能 見 如 
T48n2011_001:0377b20	來。故云。守本真心勝念他佛。又云。勝者只是	來 故 云 守 本 真 心 勝 念 他 佛 又 云 勝 者 只 是 
T48n2011_001:0377b21	約行勸人之語。其實究竟果體平等無二。	約 行 勸 人 之 語 其 實 究 竟 果 體 平 等 無 二 
T48n2011_001:0377b22	問曰。眾生與佛真體既同。何故諸佛不生不	問 曰 眾 生 與 佛 真 體 既 同 何 故 諸 佛 不 生 不 
T48n2011_001:0377b23	滅。受無量快樂自在無礙。我等眾生墮生死	滅 受 無 量 快 樂 自在無礙 我 等 眾 生 墮 生 死 
T48n2011_001:0377b24	中受種種苦耶。答曰。十方諸佛悟達法性。皆	中 受 種 種 苦 耶 答 曰 十方諸佛 悟 達 法 性 皆 
T48n2011_001:0377b25	自然照燎於心源。妄想不生正念不失。我所	自 然 照 燎 於 心 源 妄 想 不 生 正 念 不 失 我 所 
T48n2011_001:0377b26	心滅故得不受生死。不生死故即畢竟寂滅。	心 滅 故 得 不 受 生 死 不 生 死 故 即 畢 竟 寂 滅 
T48n2011_001:0377b27	故知萬樂自歸。一切眾生迷於真性。不識心	故 知 萬 樂 自 歸 一 切 眾 生 迷 於 真 性 不 識 心 
T48n2011_001:0377b28	本。種種妄緣不修正念故即憎愛心起。以憎	本 種 種 妄 緣 不 修 正 念 故 即 憎 愛 心 起 以 憎 
T48n2011_001:0377b29	愛故則心器破漏。心器破漏故即有生死。有	愛 故 則 心 器 破 漏 心 器 破 漏 故 即 有 生 死 有 
