T48n2019B_001:1004b04	誡初心學人文	誡 初 心 學 人 文 
T48n2019B_001:1004b06	夫初心之人。須遠離惡友親近賢善。受五戒	夫 初 心 之 人 須 遠 離 惡 友 親 近 賢 善 受 五 戒 
T48n2019B_001:1004b07	十戒等。善知持犯開遮。但依金口聖言。莫順	十 戒 等 善 知 持 犯 開 遮 但 依 金 口 聖 言 莫 順 
T48n2019B_001:1004b08	庸流妄說。既已出家參陪清眾。常念柔和善	庸 流 妄 說 既 已 出 家 參 陪 清 眾 常 念 柔 和 善 
T48n2019B_001:1004b09	順不得我慢貢高。大者為兄小者為弟。儻有	順 不 得 我 慢 貢 高 大 者 為 兄 小 者 為 弟 儻 有 
T48n2019B_001:1004b10	諍者兩說和合。但以慈心相向。不得惡語傷	諍 者 兩 說 和 合 但 以 慈 心 相 向 不 得 惡 語 傷 
T48n2019B_001:1004b11	人。若也欺凌同伴論說是非。如此出家全無	人 若 也 欺 凌 同 伴 論 說 是 非 如 此 出 家 全 無 
T48n2019B_001:1004b12	利益。財色之禍甚於毒蛇省己知非常須遠	利 益 財 色 之 禍 甚 於 毒 蛇 省 己 知 非 常 須 遠 
T48n2019B_001:1004b13	離。無緣事則不得入他房院。當屏處不得強	離 無 緣 事 則 不 得 入 他 房 院 當 屏 處 不 得 強 
T48n2019B_001:1004b14	知他事。非六日不得洗浣內衣。臨盥漱不得	知 他 事 非 六 日 不 得 洗 浣 內 衣 臨 盥 漱 不 得 
T48n2019B_001:1004b15	高聲涕唾。行益次不得搪揬越序。經行次不	高 聲 涕 唾 行 益 次 不 得 搪 揬 越 序 經 行 次 不 
T48n2019B_001:1004b16	得開襟掉臂。言談次不得高聲戲笑。非要事	得 開 襟 掉 臂 言 談 次 不 得 高 聲 戲 笑 非 要 事 
T48n2019B_001:1004b17	不得出於門外。有病人須慈心守護。見賓客	不 得 出 於 門 外 有 病 人 須 慈 心 守 護 見 賓 客 
T48n2019B_001:1004b18	須欣然迎接。逢尊長須肅恭迴避。辦道具須	須 欣 然 迎 接 逢 尊 長 須 肅 恭 迴 避 辦 道 具 須 
T48n2019B_001:1004b19	儉約知足。齋食時飲啜不得作聲執放。要須	儉 約 知 足 齋 食 時 飲 啜 不 得 作 聲 執 放 要 須 
T48n2019B_001:1004b20	安詳不得舉顏顧視。不得欣厭精麁。須默無	安 詳 不 得 舉 顏 顧 視 不 得 欣 厭 精 麁 須 默 無 
T48n2019B_001:1004b21	言說。須防護雜念。須知受食但療形枯為成	言 說 須 防 護 雜 念 須 知 受 食 但 療 形 枯 為 成 
T48n2019B_001:1004b22	道業。須念般若心經觀三輪清淨不違道用。	道 業 須 念 般 若 心 經 觀 三 輪 清 淨 不 違 道 用 
T48n2019B_001:1004b23	赴焚修須早暮勤行自貴懈怠。知眾行次不	赴 焚 修 須 早 暮 勤 行 自 貴 懈 怠 知 眾 行 次 不 
T48n2019B_001:1004b24	得雜亂。讚唄呪願須誦文觀義。不得但隨音	得 雜 亂 讚 唄 呪 願 須 誦 文 觀 義 不 得 但 隨 音 
T48n2019B_001:1004b25	聲。不得韻曲不調。瞻敬尊顏不得攀緣異境。	聲 不 得 韻 曲 不 調 瞻 敬 尊 顏 不 得 攀 緣 異 境 
T48n2019B_001:1004b26	須知自身罪障猶如山海。須知理懺事懺可	須 知 自 身 罪 障 猶 如 山 海 須 知 理 懺 事 懺 可 
T48n2019B_001:1004b27	以消除。深觀能禮所禮皆從真性緣起。深信	以 消 除 深 觀 能 禮 所 禮 皆 從 真 性 緣 起 深 信 
T48n2019B_001:1004b28	感應不虛影響相從。居眾寮須相讓不爭。須	感 應 不 虛 影 響 相 從 居 眾 寮 須 相 讓 不 爭 須 
T48n2019B_001:1004b29	遞相扶護。慎詳論勝負。慎聚頭閑話。慎誤著	遞 相 扶 護 慎 詳 論 勝 負 慎 聚 頭 閑 話 慎 誤 著 
T48n2019B_001:1004c01	他鞋。慎坐臥越次。對客言談不得揚於家醜。	他 鞋 慎 坐 臥 越 次 對 客 言 談 不 得 揚 於 家 醜 
T48n2019B_001:1004c02	但讚院門佛事。不得詣庫房見聞雜事自生	但 讚 院 門 佛 事 不 得 詣 庫 房 見 聞 雜 事 自 生 
T48n2019B_001:1004c03	疑惑。非要事不得遊州獵縣。與俗交通令他	疑 惑 非 要 事 不 得 遊 州 獵 縣 與 俗 交 通 令 他 
T48n2019B_001:1004c04	憎嫉失自道情。儻有要事出行。告住持人及	憎 嫉 失 自 道 情 儻 有 要 事 出 行 告 住 持 人 及 
T48n2019B_001:1004c05	管眾者。令知去處。若入俗家切須堅持正念。	管 眾 者 令 知 去 處 若 入 俗 家 切 須 堅 持 正 念 
T48n2019B_001:1004c06	慎勿見色聞聲流蕩邪心。又況披襟戲笑亂	慎 勿 見 色 聞 聲 流 蕩 邪 心 又 況 披 襟 戲 笑 亂 
T48n2019B_001:1004c07	說雜事。非時酒食妄作無礙之行深乖佛戒。	說 雜 事 非 時 酒 食 妄 作 無 礙 之 行 深 乖 佛 戒 
T48n2019B_001:1004c08	又處賢善人嫌疑之間。豈為有智慧人也。住	又 處 賢 善 人 嫌 疑 之 間 豈 為 有 智 慧 人 也 住 
T48n2019B_001:1004c09	社堂慎沙彌同行。慎人事往還。慎見他好惡。	社 堂 慎 沙 彌 同 行 慎 人 事 往 還 慎 見 他 好 惡 
T48n2019B_001:1004c10	慎貪求文字。慎睡眠過度。慎散亂攀緣。若遇	慎 貪 求 文 字 慎 睡 眠 過 度 慎 散 亂 攀 緣 若 遇 
T48n2019B_001:1004c11	示師陞座說法。切不得於法作懸崖想生退	示 師 陞 座 說 法 切 不 得 於 法 作 懸 崖 想 生 退 
T48n2019B_001:1004c12	屈心。或作串聞想生容易心。當須虛懷聞之。	屈 心 或 作 串 聞 想 生 容 易 心 當 須 虛 懷 聞 之 
T48n2019B_001:1004c13	必有機發之時。不得隨學語者但取口辦。所	必 有 機 發 之 時 不 得 隨 學 語 者 但 取 口 辦 所 
T48n2019B_001:1004c14	謂蛇飲水成毒。牛飲水成乳。智學成菩提。愚	謂 蛇 飲 水 成 毒 牛 飲 水 成 乳 智 學 成 菩 提 愚 
T48n2019B_001:1004c15	學成生死是也。又不得於主法人生輕薄想。	學 成 生 死 是 也 又 不 得 於 主 法 人 生 輕 薄 想 
T48n2019B_001:1004c16	因之於道有障。不能進修切須慎之。論云。如	因 之 於 道 有 障 不 能 進 修 切 須 慎 之 論 云 如 
T48n2019B_001:1004c17	人夜行罪人執炬當路。若以人惡故不受光	人 夜 行 罪 人 執 炬 當 路 若 以 人 惡 故 不 受 光 
T48n2019B_001:1004c18	明。墮坑落塹去矣。聞法之次如履薄氷。必須	明 墮 坑 落 塹 去 矣 聞 法 之 次 如 履 薄 氷 必 須 
T48n2019B_001:1004c19	側耳目而聽玄音。肅情塵而賞幽致。下堂後	側 耳 目 而 聽 玄 音 肅 情 塵 而 賞 幽 致 下 堂 後 
T48n2019B_001:1004c20	默坐觀之。如有所疑博問先覺。夕惕朝詢不	默 坐 觀 之 如 有 所 疑 博 問 先 覺 夕 惕 朝 詢 不 
T48n2019B_001:1004c21	濫絲髮。如是乃可能生正信。以道為懷者歟。	濫 絲 髮 如 是 乃 可 能 生 正 信 以 道 為 懷 者 歟 
T48n2019B_001:1004c22	無始習熟愛欲恚癡纏綿意地。暫伏還起如	無 始 習 熟 愛 欲 恚 癡 纏 綿 意 地 暫 伏 還 起 如 
T48n2019B_001:1004c23	隔日瘧。一切時中直須用加行方便智慧之	隔 日 瘧 一 切 時 中 直 須 用 加 行 方便智慧 之 
T48n2019B_001:1004c24	力痛自遮護。豈可閑謾遊談無根虛喪天日。	力 痛 自 遮 護 豈 可 閑 謾 遊 談 無 根 虛 喪 天 日 
T48n2019B_001:1004c25	欲冀心宗而求出路哉。但堅志節責躬匪懈。	欲 冀 心 宗 而 求 出 路 哉 但 堅 志 節 責 躬 匪 懈 
T48n2019B_001:1004c26	知非遷善改悔調柔。勤修而觀力轉深。鍊磨	知 非 遷 善 改 悔 調 柔 勤 修 而 觀 力 轉 深 鍊 磨 
T48n2019B_001:1004c27	而行門益淨。長起難遭之想道業恒新。常懷	而 行 門 益 淨 長 起 難遭之想 道 業 恒 新 常 懷 
T48n2019B_001:1004c28	慶幸之心終不退轉。如是久久自然定慧圓	慶 幸 之 心 終 不 退 轉 如 是 久 久 自 然 定 慧 圓 
T48n2019B_001:1004c29	明見自心性。用如幻悲智還度眾生。作人天	明 見 自 心 性 用 如 幻 悲 智 還 度 眾 生 作 人 天 
T48n2019B_001:1005a01	大福田。切須勉之。泰和乙丑冬月。海東曹溪	大 福 田 切 須 勉 之 泰 和 乙 丑 冬 月 海 東 曹 溪 
T48n2019B_001:1005a02	山老衲知訥誌。	山 老 衲 知 訥 誌 
