T54n2129_001:0934a04	續一切經音義卷第一(并序)	續 一 切 經 音 義 卷 第 一 并 序 
T54n2129_001:0934a06	燕京崇仁寺沙門希麟集	燕 京 崇 仁 寺 沙 門 希 麟 集 
T54n2129_001:0934a07	葢聞。殘純樸而薄道德。仁義漸開。廢結繩而	葢 聞 殘 純 樸 而 薄 道 德 仁 義 漸 開 廢 結 繩 而 
T54n2129_001:0934a08	定蓍龜。文字乃作。仰觀玄象。俯視成形。蒼頡	定 蓍 龜 文 字 乃 作 仰 觀 玄 象 俯 視 成 形 蒼 頡 
T54n2129_001:0934a09	始制於古文。史籀纂成乎大篆。相沿歷世。更	始 制 於 古 文 史 籀 纂 成 乎 大 篆 相 沿 歷 世 更 
T54n2129_001:0934a10	變隨時。篆與古文。用之小異。逮周禮保氏掌	變 隨 時 篆 與 古 文 用 之 小 異 逮 周 禮 保 氏 掌 
T54n2129_001:0934a11	國子學。以道教之六書。謂象形指事。會意。形	國 子 學 以 道 教 之 六 書 謂 象 形 指 事 會 意 形 
T54n2129_001:0934a12	聲。轉注。假借。六者造字之本。雖蟲篆變體。	聲 轉 注 假 借 六 者 造 字 之 本 雖 蟲 篆 變 體 
T54n2129_001:0934a13	古今異文。離此六書。竝為謬惑。春秋之末。保	古 今 異 文 離 此 六 書 竝 為 謬 惑 春 秋 之 末 保 
T54n2129_001:0934a14	氏教廢。秦并海內。丞相李斯。考較籀文。別為	氏 教 廢 秦 并 海 內 丞 相 李 斯 考 較 籀 文 別 為 
T54n2129_001:0934a15	小篆。吏趨省易。變體稍訛。程邈改文。謂之隷	小 篆 吏 趨 省 易 變 體 稍 訛 程 邈 改 文 謂 之 隷 
T54n2129_001:0934a16	本。漢興書學。楊雄作訓纂八十九章。班固加	本 漢 興 書 學 楊 雄 作 訓 纂 八 十 九 章 班 固 加 
T54n2129_001:0934a17	十三章。羣書用字略備。後漢許慎。集古文籀	十 三 章 羣 書 用 字 略 備 後 漢 許 慎 集 古 文 籀 
T54n2129_001:0934a18	篆諸家之學。出目錄五百四十篇。就隷為訓	篆 諸 家 之 學 出 目 錄 五 百 四 十 篇 就 隷 為 訓 
T54n2129_001:0934a19	注。作說文解字。時蔡伯喈。亦以滅學之後。請	注 作 說 文 解 字 時 蔡 伯 喈 亦 以 滅 學 之 後 請 
T54n2129_001:0934a20	刊定五經備體。刻石立於太學之門。謂之石	刊 定 五 經 備 體 刻 石 立 於 太 學 之 門 謂 之 石 
T54n2129_001:0934a21	經。仍有呂忱。作字林五篇。以補許蔡之漏略	經 仍 有 呂 忱 作 字 林 五 篇 以 補 許 蔡 之 漏 略 
T54n2129_001:0934a22	洎有唐。立說文石經字林之學。至大曆中。命	洎 有 唐 立 說 文 石 經 字 林 之 學 至 大 曆 中 命 
T54n2129_001:0934a23	孝廉生。顏傳經。國子司業張參等。刊定五經。	孝 廉 生 顏 傳 經 國 子 司 業 張 參 等 刊 定 五 經 
