T54n2135_001:1223a21	梵語雜名	梵 語 雜 名 
T54n2135_001:1223a23	翻經大德兼翰林待詔光定寺	翻 經 大 德 兼 翰 林 待 詔 光 定 寺 
T54n2135_001:1223a24	歸茲國沙門　禮言集	歸 茲 國 沙 門 禮 言 集 
T54n2135_001:1223a25	睿山沙門　真源較	睿 山 沙 門 真 源 較 
T54n2135_001:1223a26	有情身分	有 情 身 分 
T54n2135_001:1223a27	天　泥[口*縳]又素羅　  ‧  	天 泥 [口縳] 又 素 羅 
T54n2135_001:1223a28	人　摩拏史也(二合)又娜羅　   ‧  	人 摩 拏 史 也 二 合 又 娜 羅 
T54n2135_001:1223a29	眾　誐儞難又若曩　   ‧  	眾 誐 儞 難 又 若 曩 
T54n2135_001:1223b01	肉　麼娑　  	肉 麼 娑 
T54n2135_001:1223b02	皮　折[口*束*頁]麼　  	皮 折 [口束頁] 麼 
T54n2135_001:1223b03	血　嚕地羅　   	血 嚕 地 羅 
T54n2135_001:1223b04	膿　布野　  	膿 布 野 
T54n2135_001:1223b05	筋　薩曩庾　   	筋 薩 曩 庾 
T54n2135_001:1223b06	骨　阿悉地儞　   	骨 阿 悉 地 儞 
T54n2135_001:1223b07	髓　末熱[日*若]　  	髓 末 熱 [日若] 
T54n2135_001:1223b08	毛　嚕(去)(引)忙　  	毛 嚕 去 引 忙 
T54n2135_001:1223b09	唾　施[款欠+余](二合)史也[□@審]忙　   	唾 施 [款欠余]二合史也[審] 忙 
T54n2135_001:1223b10	脂　謎娜　  	脂 謎 娜 
T54n2135_001:1223b11	脈　始羅　泥茗　  　  	脈 始 羅 泥 茗 
T54n2135_001:1223b12	糞　戍娜　  	糞 戍 娜 
T54n2135_001:1223b13	尿　母怛羅(二合)　  	尿 母 怛 羅 二 合 
T54n2135_001:1223b14	精　戍訖攞　  	精 戍 訖 攞 
T54n2135_001:1223b15	面　母騫　  	面 母 騫 
T54n2135_001:1223b16	頭　麼(引)薩頗　  	頭 麼 引 薩 頗 
T54n2135_001:1223b17	頂　始囉　  	頂 始 囉 
T54n2135_001:1223b18	額　囉邏吒　   	額 囉 邏 吒 
T54n2135_001:1223b19	臂　部(引)喏　  	臂 部 引 喏 
T54n2135_001:1223b20	咽　儗里幡　  	咽 儗 里 幡 
T54n2135_001:1223b21	喉　揭拏(入)咤　   	喉 揭 拏 入 咤 
T54n2135_001:1223b22	眼　斫乞芻又泥呍嚕又阿魯者迦　  	眼 斫 乞 芻 又 泥 呍 嚕 又 阿 魯 者 迦 
T54n2135_001:1223b23	  ‧    	 
T54n2135_001:1223b24	眼睫　斫乞芻鉢怛羅　    	眼 睫 斫 乞 芻 鉢 怛 羅 
T54n2135_001:1223b25	耳　羯[口*束*頁]拏又喝叻娜又述嚕怛羅　  	耳 羯 [口束頁] 拏 又 喝 叻 娜 又 述 嚕 怛 羅 
T54n2135_001:1223b26	  ‧  	 
T54n2135_001:1223c01	聾　阿波曳　   	聾 阿 波 曳 
T54n2135_001:1223c02	鼻　竭囉(引)拏　   	鼻 竭 囉 引 拏 
T54n2135_001:1223c03	口　歿地　  	口 歿 地 
T54n2135_001:1223c04	舌　爾賀[口*縳](二合)(縛字（無可反）)　  	舌 爾 賀 [口縳] 二 合 縛 字 無 可 反 
T54n2135_001:1223c05	齒　娜多(去)(重)　  	齒 娜 多 去 重 
T54n2135_001:1223c06	牙　能瑟吒囉(三合)　  	牙 能 瑟 吒 囉 三 合 
T54n2135_001:1223c07	頂　秫遮　  	頂 秫 遮 
T54n2135_001:1223c08	心　紇哩(二合)娜耶　   	心 紇 哩 二 合 娜 耶 
T54n2135_001:1223c09	腎　物力迦　  	腎 物 力 迦 
