T55n2182_001:1144c10	律宗章疏	律 宗 章 疏 
T55n2182_001:1144c12	藥師寺榮穩大法師奉聖王勅錄上	藥 師 寺 榮 穩 大 法 師 奉 聖 王 勅 錄 上 
T55n2182_001:1144c13	鼻奈耶律十卷(竺佛念於符秦代譯)	鼻 奈 耶 律 十 卷 竺 佛 念 於 符 秦 代 譯 
T55n2182_001:1144c14	四分律六十卷(三藏佛陀耶舍共竺佛念譯)	四 分 律 六 十 卷 三 藏 佛 陀 耶 舍 共 竺 佛 念 譯 
T55n2182_001:1144c15	五分律三十卷(三藏佛陀什共竺道生等譯)	五 分 律 三 十 卷 三 藏 佛 陀 什 共 竺 道 生 等 譯 
T55n2182_001:1144c16	五分比丘尼戒本一卷(梁明徽集)	五 分 比丘尼戒 本 一 卷 梁 明 徽 集 
T55n2182_001:1144c17	十誦戒本一卷(三藏鳩摩羅什譯)	十 誦 戒 本 一 卷 三 藏 鳩 摩 羅 什 譯 
T55n2182_001:1144c18	十誦律六十一卷(前五十八卷姚秦三藏弗若多羅等譯後毘尼序三卷東晉三藏卑摩羅	十 誦 律 六 十 一 卷 前 五 十 八 卷 姚 秦 三 藏 弗 若 多 羅 等 譯 後 毘 尼 序 三 卷 東 晉 三 藏 卑 摩 羅 
T55n2182_001:1144c19	叉續譯)	叉 續 譯 
T55n2182_001:1144c20	摩訶僧祇律四十卷(三藏佛陀跋陀羅共法顯譯)	摩 訶 僧 祇 律 四 十 卷 三 藏 佛 陀 跋 陀 羅 共 法 顯 譯 
T55n2182_001:1144c21	摩訶僧祇戒本一卷(三藏佛陀跋陀羅譯)	摩 訶 僧 祇 戒 本 一 卷 三 藏 佛 陀 跋 陀 羅 譯 
T55n2182_001:1144c22	毘跋律一卷	毘 跋 律 一 卷 
T55n2182_001:1145a01	根本薩婆多部律攝二十卷	根 本 薩 婆 多 部 律 攝 二 十 卷 
T55n2182_001:1145a02	根本說一切有部苾芻尼毘奈耶二十卷	根 本 說 一 切 有 部 苾 芻 尼 毘 奈 耶 二 十 卷 
T55n2182_001:1145a03	根本說一切有部毘奈耶五十卷	根 本 說 一 切 有 部 毘 奈 耶 五 十 卷 
T55n2182_001:1145a04	根本說一切有部毘奈耶雜事四十卷	根 本 說 一 切 有 部 毘 奈 耶 雜 事 四 十 卷 
T55n2182_001:1145a05	根本說一切有部尼陀那目得迦十卷	根 本 說 一 切 有 部 尼 陀 那 目 得 迦 十 卷 
T55n2182_001:1145a06	根本說一切有部毘奈耶頌五卷	根 本 說 一 切 有 部 毘 奈 耶 頌 五 卷 
T55n2182_001:1145a07	根本說一切有部毘奈耶雜事攝頌一卷	根 本 說 一 切 有 部 毘 奈 耶 雜 事 攝 頌 一 卷 
T55n2182_001:1145a08	根本說一切有部毘奈耶尼陀那目得迦攝頌	根 本 說 一 切 有 部 毘 奈 耶 尼 陀 那 目 得 迦 攝 頌 
T55n2182_001:1145a09	一卷	一 卷 
T55n2182_001:1145a10	根本說一切有部百一羯磨十卷(已上九部並三藏義淨譯)	根 本 說 一 切 有 部 百 一 羯 磨 十 卷 已 上 九 部 並 三 藏 義 淨 譯 
T55n2182_001:1145a11	沙彌十戒法并威儀一卷(失譯人名)	沙彌十戒 法 并 威 儀 一 卷 失 譯 人 名 
T55n2182_001:1145a12	沙彌威儀一卷(三藏求那跋摩譯)	沙 彌 威 儀 一 卷 三 藏 求 那 跋 摩 譯 
T55n2182_001:1145a13	沙彌尼雜戒文一卷(失譯人名)	沙 彌 尼 雜 戒 文 一 卷 失 譯 人 名 
T55n2182_001:1145a14	優婆塞戒一卷	優婆塞戒 一 卷 
T55n2182_001:1145a15	大沙門百一羯磨法一卷(僧祐錄中失譯人名)	大 沙 門 百 一 羯 磨 法 一 卷 僧 祐 錄 中 失 譯 人 名 
T55n2182_001:1145a16	曇無德羯磨一卷(沙門曇諦譯)	曇 無 德 羯 磨 一 卷 沙 門 曇 諦 譯 
T55n2182_001:1145a17	四分雜羯磨一卷(三藏康僧鎧譯)	四 分 雜 羯 磨 一 卷 三 藏 康 僧 鎧 譯 
T55n2182_001:1145a18	四分比丘尼羯磨法一卷(三藏求那跋摩譯)	四 分 比 丘 尼 羯 磨 法 一 卷 三 藏 求 那 跋 摩 譯 
T55n2182_001:1145a19	四分刪補隨機羯磨一卷(終南山道宣集)	四 分 刪 補 隨 機 羯 磨 一 卷 終 南 山 道 宣 集 
T55n2182_001:1145a20	四分僧羯磨三卷(懷素集)	四 分 僧 羯 磨 三 卷 懷 素 集 
T55n2182_001:1145a21	四分尼羯磨三卷(懷素集)	四 分 尼 羯 磨 三 卷 懷 素 集 
T55n2182_001:1145a22	五分羯磨一卷(大開業寺愛同集)	五 分 羯 磨 一 卷 大 開 業 寺 愛 同 集 
T55n2182_001:1145a23	十誦羯磨比丘要用一卷(中興寺僧璩集)	十 誦 羯 磨 比 丘 要 用 一 卷 中 興 寺 僧 璩 集 
T55n2182_001:1145a24	四分戒本鈔三卷	四 分 戒 本 鈔 三 卷 
T55n2182_001:1145a25	三卷鈔一卷	三 卷 鈔 一 卷 
T55n2182_001:1145a26	六卷鈔六卷(道宣述)	六 卷 鈔 六 卷 道 宣 述 
T55n2182_001:1145a27	四分律疏十卷(懷素述)	四 分 律 疏 十 卷 懷 素 述 
T55n2182_001:1145a28	四分戒本疏三卷(定賓述)	四 分 戒 本 疏 三 卷 定 賓 述 
T55n2182_001:1145b01	四分律疏十卷(法礪述)	四 分 律 疏 十 卷 法 礪 述 
T55n2182_001:1145b02	一卷羯磨疏三卷	一 卷 羯 磨 疏 三 卷 
T55n2182_001:1145b03	六卷鈔料簡一卷(道宣述)	六 卷 鈔 料 簡 一 卷 道 宣 述 
T55n2182_001:1145b04	六卷鈔記十卷(新羅智仁述)	六 卷 鈔 記 十 卷 新 羅 智 仁 述 
T55n2182_001:1145b05	六卷鈔記一卷(安東域云玄憬)	六 卷 鈔 記 一 卷 安 東 域 云 玄 憬 
T55n2182_001:1145b06	飾宗義記十卷(定賓述)	飾 宗 義 記 十 卷 定 賓 述 
T55n2182_001:1145b07	開宗記十卷(定賓述)	開 宗 記 十 卷 定 賓 述 
T55n2182_001:1145b08	發正義記十卷	發 正 義 記 十 卷 
T55n2182_001:1145b09	阿毘曇義記一卷	阿 毘 曇 義 記 一 卷 
T55n2182_001:1145b10	四分律輕重儀一卷(道宣述)	四 分 律 輕 重 儀 一 卷 道 宣 述 
T55n2182_001:1145b11	四分律輕重記三卷	四 分 律 輕 重 記 三 卷 
T55n2182_001:1145b12	四分律疏鈔記十卷(覺詮述)	四 分 律 疏 鈔 記 十 卷 覺 詮 述 
T55n2182_001:1145b13	諸經要集二十卷(道宣述)	諸 經 要 集 二 十 卷 道 宣 述 
T55n2182_001:1145b14	沙彌沙彌尼未進一卷	沙 彌 沙 彌 尼 未 進 一 卷 
T55n2182_001:1145b15	四分律鈔批十四卷(華嚴寺大覺述)	四 分 律 鈔 批 十 四 卷 華 嚴 寺 大 覺 述 
T55n2182_001:1145b16	比丘尼傳四卷(莊嚴寺寶唱述)	比 丘 尼 傳 四 卷 莊 嚴 寺 寶 唱 述 
T55n2182_001:1145b17	大唐南海寄歸內法傳四卷(三藏義淨述)	大 唐 南 海 寄 歸 內 法 傳 四 卷 三 藏 義 淨 述 
