T85n2752_001:0199a16	法華問答	法 華 問 答 
T85n2752_001:0199a18	蓮花顯教登聞據顯即異故說無量義經。後	蓮 花 顯 教 登 聞 據 顯 即 異 故 說 無 量 義 經 後 
T85n2752_001:0199a19	方□□□□□□同故十七名中無量義經	方 同 故 十 七 名 中 無 量 義 經 
T85n2752_001:0199a20	且法花　問。依於三法而說法花。云何名三	且 法 花 問 依 於 三 法 而 說 法 花 云 何 名 三 
T85n2752_001:0199a21	法　答。論說依於三法者。一依三昧。謂無量	法 答 論 說 依 於 三 法 者 一 依 三 昧 謂 無 量 
T85n2752_001:0199a22	義處三昧。二依器世間。謂天雨四花地六振	義 處 三 昧 二 依 器 世 間 謂 天 雨 四 花 地 六 振 
T85n2752_001:0199a23	動。三依眾生世間。謂四眾八部心生歡悅。依	動 三 依 眾 生 世 間 謂 四 眾 八 部 心 生 歡 悅 依 
T85n2752_001:0199a24	此三法而說法花　問。彌勒文殊俱當補處。	此 三 法 而 說 法 花 問 彌 勒 文 殊 俱 當 補 處 
T85n2752_001:0199a25	有何勝劣。一疑一決　答。彌勒是次近當成	有 何 勝 劣 一 疑 一 決 答 彌 勒 是 次 近 當 成 
T85n2752_001:0199a26	佛。何以能疑復能何。文殊是分遠過去佛。所	佛 何 以 能 疑 復 能 何 文 殊 是 分 遠 過 去 佛 所 
T85n2752_001:0199a27	以能解復答。雖迹同補處。而實次有高下	以 能 解 復 答 雖 迹 同 補 處 而 實 次 有 高 下 
T85n2752_001:0199a28	　問　文殊以何智答彌勒問　答。依德以宿命	 問 文 殊 以 何 智 答 彌 勒 問 答 依 德 以 宿 命 
T85n2752_001:0199a29	智現見過去二相。謂因相果相。因者謂見自	智 現 見 過 去 二 相 謂 因 相 果 相 因 者 謂 見 自 
T85n2752_001:0199b01	身過去次種種事故。果相者謂見自身過去	身 過 去 次 種 種 事 故 果 相 者 謂 見 自 身 過 去 
T85n2752_001:0199b02	說種種法故。依此智以答彌勒問也。	說 種 種 法 故 依 此 智 以 答 彌 勒 問 也 
T85n2752_001:0199b03	方便品十條　問。方便品五分破二明一。云	方 便 品 十 條 問 方 便 品 五 分 破 二 明 一 云 
T85n2752_001:0199b04	何五分云何破二明一　答。五分者。一歎妙	何 五 分 云 何 破 二 明 一 答 五 分 者 一 歎 妙 
T85n2752_001:0199b05	法功德分。二歎法師功德分。三疑請分。四授	法 功 德 分 二 歎 法 師 功 德 分 三 疑 請 分 四 授 
T85n2752_001:0199b06	記分。五斷疑分。破二明一者。破二乘執明一	記 分 五 斷 疑 分 破 二 明 一 者 破 二 乘 執 明 一 
T85n2752_001:0199b07	乘道。何者歎妙法分標所明一。歎師分示能	乘 道 何 者 歎 妙 法 分 標 所 明 一 歎 師 分 示 能 
T85n2752_001:0199b08	明之人。疑請分即所破之二機。授記分是能	明 之 人 疑 請 分 即 所 破 之 二 機 授 記 分 是 能 
T85n2752_001:0199b09	破之一道。斷疑分更總定時處。通明機五分	破 之 一 道 斷 疑 分 更 總 定 時 處 通 明 機 五 分 
T85n2752_001:0199b10	略同一乘義現故。曰五分破二明一　問。諸	略 同 一 乘 義 現 故 曰 五 分 破 二 明 一 問 諸 
T85n2752_001:0199b11	佛智慧甚深無量。何者是智慧何者甚深	佛 智 慧 甚 深 無 量 何 者 是 智 慧 何 者 甚 深 
T85n2752_001:0199b12	　答。智慧有二種。一一切諸佛如理智。二一切	 答 智 慧 有 二 種 一 一切諸佛 如 理 智 二 一 切 
T85n2752_001:0199b13	種智。謂如無量智。甚深亦二種。一證甚深。	種 智 謂 如 無 量 智 甚 深 亦 二 種 一 證 甚 深 
T85n2752_001:0199b14	謂理法。二阿含甚深。謂教法阿含。此翻為淨	謂 理 法 二 阿 含 甚 深 謂 教 法 阿 含 此 翻 為 淨 
T85n2752_001:0199b15	教　問。證明甚深有五。何者是五　答。一義	教 問 證 明 甚 深 有 五 何 者 是 五 答 一 義 
T85n2752_001:0199b16	甚深。二實體甚深。三內證甚深。四依止甚	甚 深 二 實 體 甚 深 三 內 證 甚 深 四 依 止 甚 
T85n2752_001:0199b17	深。五無上甚深　問。論說法師功德有四種。	深 五 無 上 甚 深 問 論 說 法 師 功 德 有 四 種 
T85n2752_001:0199b18	何者是四　答。一往成就。謂起眾生機。二教	何 者 是 四 答 一 往 成 就 謂 起 眾 生 機 二 教 
T85n2752_001:0199b19	化成就。謂六通身是。三功德畢竟成就。謂智	化 成 就 謂 六 通 身 是 三 功 德 畢 竟 成 就 謂 智 
T85n2752_001:0199b20	定圓滿。四說成就。謂四辯說法。是名法師四	定 圓 滿 四 說 成 就 謂 四 辯 說 法 是 名 法 師 四 
T85n2752_001:0199b21	種功德　問。止止不須說者如智慧周萬物	種 功 德 問 止 止 不 須 說 者 如 智 慧 周 萬 物 
T85n2752_001:0199b22	慈洽。四生何不當機即說而便唱土以要諸	慈 洽 四 生 何 不 當 機 即 說 而 便 唱 土 以 要 諸 
T85n2752_001:0199b23	者何　答。洪鐘雖響。必待擊而方鳴。大聖雖	者 何 答 洪 鐘 雖 響 必 待 擊 而 方 鳴 大 聖 雖 
T85n2752_001:0199b24	慈。亦待請而方說。若請而說。或致自讚之機	慈 亦 待 請 而 方 說 若 請 而 說 或 致 自 讚 之 機 
T85n2752_001:0199b25	有情方便令生企道之教　問。示悟入云何	有 情 方 便 令 生 企 道 之 教 問 示 悟 入 云 何 
