T85n2755_001:0217b16	華嚴經疏	華 嚴 經 疏 
T85n2755_001:0217b18	剎准可知。頌中有十。初一頌劫差別。二劫	剎 准 可 知 頌 中 有 十 初 一 頌 劫 差 別 二 劫 
T85n2755_001:0217b19	長短。三劫多少。已上通頌前列名。四劫染淨。	長 短 三 劫 多 少 已 上 通 頌 前 列 名 四 劫 染 淨 
T85n2755_001:0217b20	五釋劫淨因。六顯諸劫名。七劫中佛出。八一	五 釋 劫 淨 因 六 顯 諸 劫 名 七 劫 中 佛 出 八 一 
T85n2755_001:0217b21	多劫相入。九劫內嚴具相入。十結歸心想。是	多 劫 相 入 九 劫 內 嚴 具 相 入 十 結 歸 心 想 是 
T85n2755_001:0217b22	故得無礙並可知。	故 得 無 礙 並 可 知 
T85n2755_001:0217b23	第九明世界海劫轉變。隨所居眾生作業善	第 九 明 世 界 海 劫 轉 變 隨 所 居 眾 生 作 業 善 
T85n2755_001:0217b24	惡命。一劫中或初染後淨。或初淨後染。如是	惡 命 一 劫 中 或 初 染 後 淨 或 初 淨 後 染 如 是 
T85n2755_001:0217b25	轉變塵數多端。略列十種。初一總說。謂世界	轉 變 塵 數 多 端 略 列 十 種 初 一 總 說 謂 世 界 
T85n2755_001:0217b26	法爾隨業轉變也。餘九別顯。一惡業所感名	法 爾 隨 業 轉 變 也 餘 九 別 顯 一 惡 業 所 感 名 
T85n2755_001:0217b27	染眾生。如下文云。泉池皆枯槁等。二修人天	染 眾 生 如 下 文 云 泉 池 皆 枯 槁 等 二 修 人 天 
T85n2755_001:0217b28	大福。令世界亦染亦淨。如下文。大王出興	大 福 令 世 界 亦 染 亦 淨 如 下 文 大 王 出 興 
T85n2755_001:0217b29	世。粳米自然生等。三地前信解菩薩所住亦	世 粳 米 自 然 生 等 三 地 前 信 解 菩 薩 所 住 亦 
T85n2755_001:0217c01	令染淨。以未斷障故非純淨也。四發地上證	令 染 淨 以 未 斷 障 故 非 純 淨 也 四 發 地 上 證 
