T85n2765_001:0304a10	涅槃經疏	涅 槃 經 疏 
T85n2765_001:0304a12	得理踰明除身口意十惡名觸。三業淨得正	得 理 踰 明 除 身 口 意 十 惡 名 觸 三 業 淨 得 正 
T85n2765_001:0304a13	命者。除十惡□命相續名得正命觸也。受名	命 者 除 十 惡 命 相 續 名 得 正 命 觸 也 受 名 
T85n2765_001:0304a14	攝取者。眾生受時取境苦□有無名受。二地	攝 取 者 眾 生 受 時 取 境 苦 有 無 名 受 二 地 
T85n2765_001:0304a15	智慧踰明領納二地下功德故名受為攝取也。	智 慧 踰 明 領 納 二 地 下 功 德 故 名 受 為 攝 取 也 
T85n2765_001:0304a16	受故起煩惱。三十七品能懷三惡道報。故以	受 故 起 煩 惱 三十七品 能 懷 三 惡 道 報 故 以 
T85n2765_001:0304a17	受為攝取。此就所除制名也。思惟是三地心。	受 為 攝 取 此 就 所 除 制 名 也 思 惟 是 三 地 心 
T85n2765_001:0304a18	斷見諦麁細惑盡。解心勝前二地名增得。是	斷 見 諦 麁 細 惑 盡 解 心 勝 前 二 地 名 增 得 是 
T85n2765_001:0304a19	三十七品破煩惱者。是四地心。能破修道中	三十七品 破 煩 惱 者 是 四 地 心 能 破 修 道 中 
T85n2765_001:0304a20	上品煩惱。要藉正念主領功德□念為主也。	上 品 煩 惱 要 藉 正 念 主 領 功 德 念 為 主 也 
T85n2765_001:0304a21	如世間中已下以喻來解也。既入定者五地	如 世 間 中 已 下 以 喻 來 解 也 既 入 定 者 五 地 
T85n2765_001:0304a22	心。修三十七品能善分別法相引生後慧故。	心 修 三十七品 能 善 分 別 法 相 引 生 後 慧 故 
T85n2765_001:0304a23	以主為導也。是三十七品者。六地緣空般若。	以 主 為 導 也 是 三十七品 者 六 地 緣 空 般 若 
T85n2765_001:0304a24	七地便般若能分別法相。智解最勝。以慧為	七 地 便 般 若 能 分 別 法 相 智 解 最 勝 以 慧 為 
T85n2765_001:0304a25	勝也。若壞煩惱去三種□□功德。八地九	勝 也 若 壞 煩 惱 去 三 種 功 德 八 地 九 
T85n2765_001:0304a26	地十地。此三地勝解乃名為實。是三十七品	地 十 地 此 三 地 勝 解 乃 名 為 實 是 三十七品 
T85n2765_001:0304a27	雖得四沙門及以解脫者。須陀洹乃至羅漢。	雖 得 四 沙 門 及 以 解 脫 者 須 陀 洹 乃 至 羅 漢 
T85n2765_001:0304a28	此四果猶不得名畢竟。斷除三十七品所行	此 四 果 猶 不 得 名 畢 竟 斷 除 三十七品 所 行 
T85n2765_001:0304a29	之事。心行處滅名大涅槃。復次已下第四	之 事 心行處滅 名 大 涅 槃 復 次 已 下 第 四 
T85n2765_001:0304b01	就因果相發生解。愛念心是欲者。念欲得菩	就 因 果 相 發 生 解 愛 念 心 是 欲 者 念 欲 得 菩 
T85n2765_001:0304b02	提念欲生二地名欲也。因下品愛念為善發	提 念 欲 生 二 地 名 欲 也 因 下 品 愛 念 為 善 發 
T85n2765_001:0304b03	生上品□為觸。是名為因也。前二心發二地	生 上 品 為 觸 是 名 為 因 也 前 二 心 發 二 地 
T85n2765_001:0304b04	名受為攝取。因近善友者。因前二地□惟常	名 受 為 攝 取 因 近 善 友 者 因 前 二 地 惟 常 
T85n2765_001:0304b05	理解理踰明名增也。因是四法者。藉因前根	理 解 理 踰 明 名 增 也 因 是 四 法 者 藉 因 前 根 
T85n2765_001:0304b06	因攝增四法能生長四地無漏名念定五地心	因 攝 增 四 法 能 生 長 四 地 無 漏 名 念 定 五 地 心 
T85n2765_001:0304b07	智是六地七地則名主勝也。因是三法者。因	智 是 六 地 七 地 則 名 主 勝 也 因 是 三 法 者 因 
T85n2765_001:0304b08	主□智發後三地名二解脫。癡能障慧愛能	主 智 發 後 三 地 名 二 解 脫 癡 能 障 慧 愛 能 
T85n2765_001:0304b09	縛心。斷愛故心得脫。除癡故慧得明。心慧	縛 心 斷 愛 故 心 得 脫 除 癡 故 慧 得 明 心 慧 
T85n2765_001:0304b10	二解脫是名為實。如是八法空解相續畢竟	二 解 脫 是 名 為 實 如 是 八 法 空 解 相 續 畢 竟 
T85n2765_001:0304b11	得果名大涅槃。欲者是發心已下。第五就出	得 果 名 大 涅 槃 欲 者 是 發 心 已 下 第 五 就 出 
T85n2765_001:0304b12	家法中深淺解。初地下品心是初無漏名初	家 法 中 深 淺 解 初 地 下 品 心 是 初 無 漏 名 初 
T85n2765_001:0304b13	發出家也。觸是白四羯磨者。觸是上心品	發 出 家 也 觸 是 白四羯磨 者 觸 是 上 心 品 
T85n2765_001:0304b14	如似出家後白四羯磨名二地心名。攝如白	如 似 出 家 後 白四羯磨 名 二 地 心 名 攝 如 白 
T85n2765_001:0304b15	四羯磨後發二種戒。增者踰勝如因二種戒	四 羯 磨 後 發 二 種 戒 增 者 踰 勝 如 因 二 種 戒 
T85n2765_001:0304b16	修得四禪定心也。主轉強如似定後發慧斷	修 得 四 禪 定 心 也 主 轉 強 如 似 定 後 發 慧 斷 
T85n2765_001:0304b17	見諦結盡。修道中六品結盡。證須陀洹斯陀	見 諦 結 盡 修 道 中 六 品 結 盡 證 須 陀 洹 斯 陀 
T85n2765_001:0304b18	二果。導者斷三微惑盡。如似阿那含也。勝者	二 果 導 者 斷 三 微 惑 盡 如 似 阿 那 含 也 勝 者 
T85n2765_001:0304b19	二種般若是勝名阿羅漢。實者後三地真心	二 種 般 若 是 勝 名 阿 羅 漢 實 者 後 三 地 真 心 
T85n2765_001:0304b20	法流有無雙照最利名辟支也。畢竟者有遂	法 流 有 無 雙 照 最 利 名 辟 支 也 畢 竟 者 有 遂 
T85n2765_001:0304b21	因義名無上大果也。欲名為識者。九法中欲	因 義 名 無 上 大 果 也 欲 名 為 識 者 九 法 中 欲 
T85n2765_001:0304b22	最是其初。如似一報中識最是初故言欲名	最 是 其 初 如 似 一 報 中 識 最 是 初 故 言 欲 名 
T85n2765_001:0304b23	識也。觸名六入者根本觸對六塵。如似初地	識 也 觸 名 六 入 者 根 本 觸 對 六 塵 如 似 初 地 
T85n2765_001:0304b24	上品心觸對二地亦可觸境生解。故名觸六	上 品 心 觸 對 二 地 亦 可 觸 境 生 解 故 名 觸 六 
T85n2765_001:0304b25	入。攝名為受者。受本納領苦樂名受攝能領	入 攝 名 為 受 者 受 本 納 領 苦 樂 名 受 攝 能 領 
T85n2765_001:0304b26	納二地下功德故言攝名為受也。增名無明	納 二 地 下 功 德 故 言 攝 名 為 受 也 增 名 無 明 
T85n2765_001:0304b27	者。過去無明生惑中強。如似三地信忍之上	者 過 去 無 明 生 惑 中 強 如 似 三 地 信 忍 之 上 
T85n2765_001:0304b28	品有強於前名。增主名名色者。名色相依使	品 有 強 於 前 名 增 主 名 名 色 者 名 色 相 依 使 
T85n2765_001:0304b29	不壞散相續受百年一段果報。如似四地下	不 壞 散 相 續 受 百 年 一 段 果 報 如 似 四 地 下 
T85n2765_001:0304c01	心無漏相續故言主名名色也。導名為愛者。	心 無 漏 相 續 故 言 主 名 名 色 也 導 名 為 愛 者 
T85n2765_001:0304c02	愛本貪染境界。如似五地心能引生後慧。故	愛 本 貪 染 境 界 如 似 五 地 心 能 引 生 後 慧 故 
T85n2765_001:0304c03	言導名愛也。勝為取者。染取境界名取。如	言 導 名 愛 也 勝 為 取 者 染 取 境 界 名 取 如 
T85n2765_001:0304c04	似六地智慧般若。七地方便般若。此之二慧	似 六 地 智 慧 般 若 七 地 方便般若 此 之 二 慧 
T85n2765_001:0304c05	得理踰明故言勝也。實名有者。含果未吐名	得 理 踰 明 故 言 勝 也 實 名 有 者 含 果 未 吐 名 
T85n2765_001:0304c06	有。辯生老中強名有。欲明八地九地十地此	有 辯 生 老 中 強 名 有 欲 明 八 地 九 地 十 地 此 
T85n2765_001:0304c07	三地心是大無生忍。功德踰明辯大果義強。	三 地 心 是 大 無 生 忍 功 德 踰 明 辯 大 果 義 強 
T85n2765_001:0304c08	故言實名為有。畢竟名老死。老死本一報之	故 言 實 名 為 有 畢 竟 名 老 死 老 死 本 一 報 之 
T85n2765_001:0304c09	最終。如似涅槃果是終極之處。故言畢竟名	最 終 如 似 涅 槃 果 是 終 極 之 處 故 言 畢 竟 名 
T85n2765_001:0304c10	老死。為前十二因得如涅槃為前八法所得	老 死 為 前 十 二 因 得 如 涅 槃 為 前 八 法 所 得 
T85n2765_001:0304c11	也。	也 
T85n2765_001:0304c12	迦葉言已下第四文略上九法為三法也。就	迦 葉 言 已 下 第 四 文 略 上 九 法 為 三 法 也 就 
T85n2765_001:0304c13	中亦有六幡明義。初一直列名。第二根即是	中 亦 有 六 幡 明 義 初 一 直 列 名 第 二 根 即 是 
T85n2765_001:0304c14	作已下轉名解義。第三未來之世已下直就	作 已 下 轉 名 解 義 第 三 未 來 之 世 已 下 直 就 
T85n2765_001:0304c15	當現二法解。第四根即是求已下正三法名。	當 現 二 法 解 第 四 根 即 是 求 已 下 正 三 法 名 
T85n2765_001:0304c16	第五根即見道已下就覺無覺明義。第六根	第 五 根 即 見 道 已 下 就 覺 無 覺 明 義 第 六 根 
T85n2765_001:0304c17	即正因已下就因果相發生解義。根本因增	即 正 因 已 下 就 因 果 相 發 生 解 義 根 本 因 增 
T85n2765_001:0304c18	云何取異。善男子已下答。初地至七地皆是	云 何 取 異 善 男 子 已 下 答 初 地 至 七 地 皆 是 
T85n2765_001:0304c19	初發。因者後三地同在法流位中不為相間	初 發 因 者 後 三 地 同 在 法 流 位 中 不 為 相 間 
T85n2765_001:0304c20	故名相似。增者滅向者三相似得果中真相	故 名 相 似 增 者 滅 向 者 三 相 似 得 果 中 真 相 
