T85n2770_001:0355a08	維摩經疏	維 摩 經 疏 
T85n2770_001:0355a10	故若在果中自□□□□□□□□□□□	故 若 在 果 中 自 
T85n2770_001:0355a11	□□□□□□□□□伏故降魔如是今就	 伏 故 降 魔 如 是 今 就 
T85n2770_001:0355a12	利他□□□魔菩薩自降。多用神通下制外	利 他 魔 菩 薩 自 降 多 用 神 通 下 制 外 
T85n2770_001:0355a13	道。法外妄計斯稱外道。此亦妨於自行外化。	道 法 外 妄 計 斯 稱 外 道 此 亦 妨 於 自 行 外 化 
T85n2770_001:0355a14	並須制伏。但隨行別用法不同。自行因中正	並 須 制 伏 但 隨 行 別 用 法 不 同 自 行 因 中 正 
T85n2770_001:0355a15	見降伏。正見道理不從邪。故自行果中無畏	見 降 伏 正 見 道 理 不 從 邪 故 自 行 果 中 無 畏 
T85n2770_001:0355a16	降伏外道。邪智難佛無德。如來有德於彼不	降 伏 外 道 邪 智 難 佛 無 德 如 來 有 德 於 彼 不 
T85n2770_001:0355a17	怯能降伏。故自行如是。化他純用四辨降伏。	怯 能 降 伏 故 自 行 如 是 化 他 純 用 四 辨 降 伏 
T85n2770_001:0355a18	四無礙辨廣知法義能難論。故今就化他四	四 無 礙 辨 廣 知 法 義 能 難 論 故 今 就 化 他 四 
T85n2770_001:0355a19	辨摧邪名制外道。上來利他。	辨 摧 邪 名 制 外 道 上 來 利 他 
T85n2770_001:0355a20	下明自利。於中初先明其斷德。心常安下明	下 明 自 利 於 中 初 先 明 其 斷 德 心 常 安 下 明 
T85n2770_001:0355a21	其行德。前斷德中悉已清淨明其攝治。永離	其 行 德 前 斷 德 中 悉 已 清 淨 明 其 攝 治 永 離 
T85n2770_001:0355a22	蓋等彰其離障。又悉清淨明離惡業。正習斯	蓋 等 彰 其 離 障 又 悉 清 淨 明 離 惡 業 正 習 斯 
T85n2770_001:0355a23	亡名悉己淨。永離蓋纏明無煩惱。蓋謂五蓋。	亡 名 悉 己 淨 永 離 蓋 纏 明 無 煩 惱 蓋 謂 五 蓋 
T85n2770_001:0355a24	貪欲嗔恚睡眠掉悔及疑是也。廣如別章。亦	貪 欲 嗔 恚 睡 眠 掉 悔 及 疑 是 也 廣 如 別 章 亦 
T85n2770_001:0355a25	可。一切諸煩惱結通名為蓋。蓋眾生故。蓋	可 一 切 諸 煩 惱 結 通 名 為 蓋 蓋 眾 生 故 蓋 
T85n2770_001:0355a26	淨心故。纏謂十纏。無漸無愧睡悔慳嫉悼眠	淨 心 故 纏 謂 十 纏 無 漸 無 愧 睡 悔 慳 嫉 悼 眠 
T85n2770_001:0355a27	忿及覆是其十也。亦如別章。亦可。一切諸煩	忿 及 覆 是 其 十 也 亦 如 別 章 亦 可 一 切 諸 煩 
T85n2770_001:0355a28	惱結通名為纏。纏眾生故纏縛心故。於此蓋	惱 結 通 名 為 纏 纏 眾 生 故 纏 縛 心 故 於 此 蓋 
T85n2770_001:0355a29	纏止習斯亡故云永離。	纏 止 習 斯 亡 故 云 永 離 
T85n2770_001:0355b01	下行德中文別有二。一隨德別歎。二布施下	下 行 德 中 文 別 有 二 一 隨 德 別 歎 二 布 施 下 
T85n2770_001:0355b02	隨位別嘆。前隨德中心常安住無礙解脫空	隨 位 別 嘆 前 隨 德 中 心 常 安 住 無礙解脫 空 
T85n2770_001:0355b03	解脫也。亦可。安住一切法界無礙解脫。此即	解 脫 也 亦 可 安 住 一 切 法 界 無礙解脫 此 即 
T85n2770_001:0355b04	十地解脫大也。念謂正念。念門不同。或說三	十 地 解 脫 大 也 念 謂 正 念 念 門 不 同 或 說 三 
T85n2770_001:0355b05	種。念佛法僧。或說四種。身受心法。又如地	種 念 佛 法 僧 或 說 四 種 身 受 心 法 又 如 地 
T85n2770_001:0355b06	論上。念同法功德求義亦是四也。或說六種。	論 上 念 同 法 功 德 求 義 亦 是 四 也 或 說 六 種 
T85n2770_001:0355b07	念佛法僧戒施及天。如涅槃釋。或說八種。如	念 佛 法 僧 戒 施 及 天 如 涅 槃 釋 或 說 八 種 如 
T85n2770_001:0355b08	龍樹說。前六種上更加二種。一念出入息。繫	龍 樹 說 前 六 種 上 更 加 二 種 一 念 出 入 息 繫 
T85n2770_001:0355b09	心住於數息法門。二者念死。常修死相。或	心 住 於 數 息 法 門 二 者 念 死 常 修 死 相 或 
T85n2770_001:0355b10	說十種如大智論摩訶衍品說。前八種上更	說 十 種 如 大 智 論 摩 訶 衍 品 說 前 八 種 上 更 
T85n2770_001:0355b11	加二種。一者念滅。念彼涅槃無為寂滅起意	加 二 種 一 者 念 滅 念 彼 涅 槃 無 為 寂 滅 起 意 
T85n2770_001:0355b12	趣求。二者念身。自念己身無常苦空無我不	趣 求 二 者 念 身 自 念 己 身 無 常 苦 空 無 我 不 
T85n2770_001:0355b13	淨修行厭離。或說十一。如地經說。念菩薩行。	淨 修 行 厭 離 或 說 十 一 如 地 經 說 念 菩 薩 行 
T85n2770_001:0355b14	念波羅蜜。念十地。念不懷力。念無畏。念不共	念 波 羅 蜜 念 十 地 念 不 懷 力 念 無 畏 念 不 共 
T85n2770_001:0355b15	法乃至不離。念一切智。廣則無量菩薩悉念。	法 乃 至 不 離 念 一 切 智 廣 則 無 量 菩 薩 悉 念 
T85n2770_001:0355b16	定者。所謂九次第定。八禪滅盡是九定也。亦	定 者 所 謂 九次第定 八 禪 滅 盡 是 九 定 也 亦 
T85n2770_001:0355b17	可。一切所得三昧悉名為定。此即十地三昧	可 一 切 所 得 三 昧 悉 名 為 定 此 即 十 地 三 昧 
T85n2770_001:0355b18	大也。言總持者。陀羅尼大。此即十地陀羅尼	大 也 言 總 持 者 陀 羅 尼 大 此 即 十 地 陀 羅 尼 
T85n2770_001:0355b19	大。言辨才者。四無礙辨。知法辨了名之為辨。	大 言 辨 才 者 四 無 礙 辨 知 法 辨 了 名 之 為 辨 
T85n2770_001:0355b20	又說。辨了亦名為辨。言辭才巧故名為才。念	又 說 辨 了 亦 名 為 辨 言 辭 才 巧 故 名 為 才 念 
T85n2770_001:0355b21	念常現故云不斷。又說無間亦云不斷。上來	念 常 現 故 云 不 斷 又 說 無 間 亦 云 不 斷 上 來 
T85n2770_001:0355b22	第一隨德別嘆。人言此嘆地前功德。當應不	第 一 隨 德 別 嘆 人 言 此 嘆 地 前 功 德 當 應 不 
T85n2770_001:0355b23	然。嘆地前行多不舉此勝上功德。	然 嘆 地 前 行 多 不 舉 此 勝 上 功 德 
T85n2770_001:0355b24	自下第二隨位別嘆。謂嘆初地至十地德。何	自 下 第 二 隨 位 別 嘆 謂 嘆 初 地 至 十 地 德 何 
T85n2770_001:0355b25	故須然。菩薩住於一地之中普攝一切諸地	故 須 然 菩 薩 住 於 一 地 之 中 普 攝 一 切 諸 地 
T85n2770_001:0355b26	功德。故歷諸位而以歎之。言布施者初地功	功 德 故 歷 諸 位 而 以 歎 之 言 布 施 者 初 地 功 
T85n2770_001:0355b27	德。言持戒者二地功德。言忍辱者三地功德。	德 言 持 戒 者 二 地 功 德 言 忍 辱 者 三 地 功 德 
T85n2770_001:0355b28	言精進者四地功德。言禪定者五地功德。言	言 精 進 者 四 地 功 德 言 禪 定 者 五 地 功 德 言 
T85n2770_001:0355b29	智慧者六地功德。六度之義廣如別章。此應	智 慧 者 六 地 功 德 六 度 之 義 廣 如 別 章 此 應 
T85n2770_001:0355c01	具論。今且釋名。言布施者以已財事分布與	具 論 今 且 釋 名 言 布 施 者 以 已 財 事 分 布 與 
T85n2770_001:0355c02	他。名之為布。惙已惠人。目之為施。言持戒	他 名 之 為 布 惙 已 惠 人 目 之 為 施 言 持 戒 
T85n2770_001:0355c03	者。胡語尸羅。此方正翻名曰清涼。三業炎	者 胡 語 尸 羅 此 方 正 翻 名 曰 清 涼 三 業 炎 
T85n2770_001:0355c04	非焚燒行。人事等如熱。戒能防息故號。此	非 焚 燒 行 人 事 等 如 熱 戒 能 防 息 故 號 此 
T85n2770_001:0355c05	清涼行有能防止禁思之義。故復名戒。堅守	清 涼 行 有 能 防 止 禁 思 之 義 故 復 名 戒 堅 守 
T85n2770_001:0355c06	曰持。言忍辱者。他人加惡名之為辱。於能	曰 持 言 忍 辱 者 他 人 加 惡 名 之 為 辱 於 能 
T85n2770_001:0355c07	安說之為忍。言精進者。練心於法名之為精。	安 說 之 為 忍 言 精 進 者 練 心 於 法 名 之 為 精 
T85n2770_001:0355c08	精心務達說以為進。言禪定者。禪那胡語。此	精 心 務 達 說 以 為 進 言 禪 定 者 禪 那 胡 語 此 
T85n2770_001:0355c09	翻名為思惟修。習上界靜法審觀方成名思	翻 名 為 思 惟 修 習 上 界 靜 法 審 觀 方 成 名 思 
T85n2770_001:0355c10	惟修。又亦名為功德叢林。此乃從其所生為	惟 修 又 亦 名 為 功 德 叢 林 此 乃 從 其 所 生 為 
T85n2770_001:0355c11	名。能生多德。是故名為功德叢林。言智慧者。	名 能 生 多 德 是 故 名 為 功 德 叢 林 言 智 慧 者 
T85n2770_001:0355c12	照見名智。觀達稱慧。此六經中名波羅蜜。是	照 見 名 智 觀 達 稱 慧 此 六 經 中 名 波 羅 蜜 是 
T85n2770_001:0355c13	外國語。此翻名度。又亦翻之名到彼岸。所言	外 國 語 此 翻 名 度 又 亦 翻 之 名 到 彼 岸 所 言 
