T85n2789_001:0644c17	律戒本疏	律 戒 本 疏 
T85n2789_001:0644c19	戒為稱。乞求著割截衣。就如□□□□□□	戒 為 稱 乞 求 著 割 截 衣 就 如 
T85n2789_001:0644c20	□□□□□□□□□□□□一義而名同	 一 義 而 名 同 
T85n2789_001:0644c21	美稱故曰為比丘。□□□□□□□□□	美 稱 故 曰 為 比 丘 
T85n2789_001:0644c22	□□□□□□□□以少有所得故稱相似	 以 少 有 所 得 故 稱 相 似 
T85n2789_001:0644c23	也。□□□□□□□□□□□□□□□	也 
T85n2789_001:0644c24	□□言稱已因中遠要有為無漏□□□□□	 言 稱 已 因 中 遠 要 有 為 無 漏 
T85n2789_001:0644c25	□□□□□□□□□□□□□□□　結使	 結 使 
T85n2789_001:0644c26	者明具足無為功德也。□□□□□□□□	者 明 具 足 無 為 功 德 也 
T85n2789_001:0644c27	□□□□□□□□□□□餘四可知也。白	 餘 四 可 知 也 白 
T85n2789_001:0644c28	四羯磨心曰　□□□□□□□□□□□	四 羯 磨 心 曰 
T85n2789_001:0644c29	□□□□□□具四緣與出家成軌。故曰	 具 四 緣 與 出 家 成 軌 故 曰 
T85n2789_001:0645a01	如□□□□□□□□□□□□□□□□	如 
T85n2789_001:0645a02	□□界內不別眾四受戒人年滿□□□□	 界 內 不 別 眾 四 受 戒 人 年 滿 
T85n2789_001:0645a03	□□□□□□□□□□□□□　成就何	 成 就 何 
T85n2789_001:0645a04	者足文足中比丘者此　□□□□□□□□	者 足 文 足 中 比 丘 者 此 
T85n2789_001:0645a05	□□□□□□□□□□成就得處所。此文	 成 就 得 處 所 此 文 
T85n2789_001:0645a06	即是界內　□□□□□□□□□□□□□	即 是 界 內 
T85n2789_001:0645a07	□□□□□□遮彰正以無彰故得戒□□	 遮 彰 正 以 無 彰 故 得 戒 
T85n2789_001:0645a08	□□□□□□□□□□□□□□□□□	 
T85n2789_001:0645a09	戒義也。一戒者無作止惡。雖眾□□□□□	戒 義 也 一 戒 者 無 作 止 惡 雖 眾 
T85n2789_001:0645a10	□□□□□□□□□□□□□　故曰同戒	 故 曰 同 戒 
T85n2789_001:0645a11	等者上句禁身口七　□□□□□□□□□	等 者 上 句 禁 身 口 七 
T85n2789_001:0645a12	□□□□□□□□□防三毒故明三句。云	 防 三 毒 故 明 三 句 云 
T85n2789_001:0645a13	何名不捨　□□□□□□□□□□□□□	何 名 不 捨 
T85n2789_001:0645a14	□□□□□□　心備物無私欲使去時如法	 心 備 物 無 私 欲 使 去 時 如 法 
T85n2789_001:0645a15	□□□□□□□□□□□□□□□□□□	 
T85n2789_001:0645a16	初訖至不名捨戒已來明不成　□□□□□	初 訖 至 不 名 捨 戒 已 來 明 不 成 
T85n2789_001:0645a17	□□□□□□□□□□□□□成捨中國	 成 捨 中 國 
