T85n2790_001:0653a10	律雜抄	律 雜 抄 
T85n2790_001:0653a12	律一卷雜抄　律一卷雜抄　律策一卷	律 一 卷 雜 抄 律 一 卷 雜 抄 律 策 一 卷 
T85n2790_001:0653a13	　問。比丘是何義　答。□□□□。	 問 比 丘 是 何 義 答 
T85n2790_001:0653a14	□□□□□有三種義□□□□怖魔。三能	 有 三 種 義 怖 魔 三 能 
T85n2790_001:0653a15	破煩惱故名比丘。	破 煩 惱 故 名 比 丘 
T85n2790_001:0653a16	□□□□□　答□□□比丘。二相似比	 答 比 丘 二 相 似 比 
T85n2790_001:0653a17	丘。三自稱比丘。四乞求比丘。五割截衣比丘。	丘 三 自 稱 比 丘 四 乞 求 比 丘 五 割 截 衣 比 丘 
T85n2790_001:0653a18	六破結使比丘。七善來比丘。八羯磨比丘。	六 破 結 使 比 丘 七 善 來 比 丘 八 羯 磨 比 丘 
T85n2790_001:0653a19	□□□□□種　答。依四分律有四種。一善	 種 答 依 四 分 律 有 四 種 一 善 
T85n2790_001:0653a20	來。二三歸。三八敬。四羯磨。	來 二 三 歸 三 八 敬 四 羯 磨 
T85n2790_001:0653a21	□□□刑有幾種　答依俱舍論有五種。一	 刑 有 幾 種 答 依 俱 舍 論 有 五 種 一 
T85n2790_001:0653a22	命終捨戒。二斷善根捨。三二形捨捨。五度捨	命 終 捨 戒 二 斷 善 根 捨 三 二 形 捨 捨 五 度 捨 
T85n2790_001:0653a23	戒。四作法捨。	戒 四 作 法 捨 
T85n2790_001:0653a24	□。羯磨有幾種。復是何義　答。羯磨有三	 羯 磨 有 幾 種 復 是 何 義 答 羯 磨 有 三 
T85n2790_001:0653a25	種。一單白羯磨。二白二羯磨。三白四羯磨。	種 一 單 白 羯 磨 二 白二羯磨 三 白四羯磨 
T85n2790_001:0653a26	所言義有是辨事義。然辨前法事故名辨事	所 言 義 有 是 辨 事 義 然 辨 前 法 事 故 名 辨 事 
T85n2790_001:0653a27	義也。	義 也 
T85n2790_001:0653a28	問。羯磨所為事有幾種　答。總束為三種。一	問 羯 磨 所 為 事 有 幾 種 答 總 束 為 三 種 一 
T85n2790_001:0653a29	情道事為受戒等。二非常事為結界等。三情	情 道 事 為 受 戒 等 二 非 常 事 為 結 界 等 三 情 
T85n2790_001:0653b01	非情事為乞杖離衣等。	非 情 事 為 乞 杖 離 衣 等 
T85n2790_001:0653b02	問。比丘所食藥總有幾種　答。有其四種。一	問 比 丘 所 食 藥 總 有 幾 種 答 有 其 四 種 一 
T85n2790_001:0653b03	時藥。二非時藥。三七日藥。四盡形藥。	時 藥 二 非 時 藥 三 七 日 藥 四 盡 形 藥 
T85n2790_001:0653b04	問。戒與律毘尼波羅提木叉有何差別　答。	問 戒 與 律 毘 尼 波羅提木叉 有何差別 答 
T85n2790_001:0653b05	戒者防非止惡。若不造惡故名為戒。律者法	戒 者 防 非 止 惡 若 不 造 惡 故 名 為 戒 律 者 法 
T85n2790_001:0653b06	也。非法無以齋戒儀伏。是會意形聲釋也。故	也 非 法 無 以 齋 戒 儀 伏 是 會 意 形 聲 釋 也 故 
T85n2790_001:0653b07	名為律。毘尼者名調伏義能調身三等業。木	名 為 律 毘 尼 者 名 調 伏 義 能 調 身 三 等 業 木 
T85n2790_001:0653b08	叉者此名解脫。解脫一切諸縛名為解脫。	叉 者 此 名 解 脫 解 脫 一 切 諸 縛 名 為 解 脫 
T85n2790_001:0653b09	問。何名五毘尼者　答。一謂戒由序。二制比	問 何 名 五 毘 尼 者 答 一 謂 戒 由 序 二 制 比 
T85n2790_001:0653b10	丘戒。三重制比丘尼戒本。四修多羅。謂諸軌	丘 戒 三 重 制 比丘尼戒 本 四 修 多 羅 謂 諸 軌 
T85n2790_001:0653b11	度。五隨順修多羅增一比尼等。	度 五 隨 順 修 多 羅 增 一 比 尼 等 
T85n2790_001:0653b12	問。律儀有幾種　答。有四種。一淨慮律儀。是	問 律 儀 有 幾 種 答 有 四 種 一 淨 慮 律 儀 是 
T85n2790_001:0653b13	色界尸羅。二無漏律儀。為無漏人身中所起	色 界 尸 羅 二 無 漏 律 儀 為 無 漏 人 身 中 所 起 
T85n2790_001:0653b14	尸羅是。三斷律義。為斷煩惱名斷律義。四別	尸 羅 是 三 斷 律 義 為 斷 煩 惱 名 斷 律 義 四 別 
T85n2790_001:0653b15	解脫律儀。為欲界尸羅別防非名解脫律儀。	解 脫 律 儀 為 欲 界 尸 羅 別 防 非 名 解 脫 律 儀 
T85n2790_001:0653b16	問。略說戒有幾種。緩急如何　答有三種。一	問 略 說 戒 有 幾 種 緩 急 如 何 答 有 三 種 一 
T85n2790_001:0653b17	羯磨說戒。二對首說戒。三心念說戒。然略說	羯 磨 說 戒 二 對 首 說 戒 三 心 念 說 戒 然 略 說 
T85n2790_001:0653b18	戒有三五十五種。七種從緩向急。有七略。從	戒 有 三 五 十 五 種 七 種 從 緩 向 急 有 七 略 從 
T85n2790_001:0653b19	急向緩有十五種略也。	急 向 緩 有 十 五 種 略 也 
T85n2790_001:0653b20	問。安居有幾種　答。有四種。一忘成安居。二	問 安 居 有 幾 種 答 有 四 種 一 忘 成 安 居 二 
T85n2790_001:0653b21	及界安居。三對首安居。四心念託緣。慮淨名	及 界 安 居 三 對 首 安 居 四 心 念 託 緣 慮 淨 名 
T85n2790_001:0653b22	安。處名居。	安 處 名 居 
T85n2790_001:0653b23	問。安居是何義　答。九旬修道標心。此住故	問 安 居 是 何 義 答 九 旬 修 道 標 心 此 住 故 
