T85n2813_001:1089a03	大乘起信論略述序	大 乘 起 信 論 略 述 序 
T85n2813_001:1089a05	沙門澄漪述	沙 門 澄 漪 述 
T85n2813_001:1089a06	至覺潛輝異學峯起。不有甄述正法斯訛。故	至 覺 潛 輝 異 學 峯 起 不 有 甄 述 正 法 斯 訛 故 
T85n2813_001:1089a07	大士馬鳴發揮真諦。括眾論綰群經。破二邊	大 士 馬 鳴 發 揮 真 諦 括 眾 論 綰 群 經 破 二 邊 
T85n2813_001:1089a08	協中道。作此正論以獎將來。福潤河沙聲流	協 中 道 作 此 正 論 以 獎 將 來 福 潤 河 沙 聲 流 
T85n2813_001:1089a09	法界。張皇教義融會真筌。為學人之宗源作	法 界 張 皇 教 義 融 會 真 筌 為 學 人 之 宗 源 作 
T85n2813_001:1089a10	道者之龜鏡。故先賢碩德開釋巨多。廣略之	道 者 之 龜 鏡 故 先 賢 碩 德 開 釋 巨 多 廣 略 之 
T85n2813_001:1089a11	體互殊。是非之途或異。臨文俯義得失交。并	體 互 殊 是 非 之 途 或 異 臨 文 俯 義 得 失 交 并 
T85n2813_001:1089a12	有建康沙門曇曠者。幼而好學長而成德。妙	有 建 康 沙 門 曇 曠 者 幼 而 好 學 長 而 成 德 妙 
T85n2813_001:1089a13	閑製述善□清詞。先造廣釋後學賴焉。包含	閑 製 述 善 清 詞 先 造 廣 釋 後 學 賴 焉 包 含 
T85n2813_001:1089a14	事理網羅邪正。無執而不改有疑而不皆遣。	事 理 網 羅 邪 正 無 執 而 不 改 有 疑 而 不 皆 遣 
T85n2813_001:1089a15	恐初心者仰崇崖而起退望渤海而迷神廼。	恐 初 心 者 仰 崇 崖 而 起 退 望 渤 海 而 迷 神 廼 
T85n2813_001:1089a16	復探其旨歸為之略述。可謂尋其源而知其	復 探 其 旨 歸 為 之 略 述 可 謂 尋 其 源 而 知 其 
T85n2813_001:1089a17	流折其檊而得其枝。至如開發題端該談教	流 折 其 檊 而 得 其 枝 至 如 開 發 題 端 該 談 教 
T85n2813_001:1089a18	藏。傍探異說委闢義門。引經證成會論宗趣。	藏 傍 探 異 說 委 闢 義 門 引 經 證 成 會 論 宗 趣 
T85n2813_001:1089a19	法喻周舉問答折疑略而不明。具如廣釋。好	法 喻 周 舉 問 答 折 疑 略 而 不 明 具 如 廣 釋 好 
T85n2813_001:1089a20	博聞者尋而究之。且欲指陳綰攝綱要。澄漪	博 聞 者 尋 而 究 之 且 欲 指 陳 綰 攝 綱 要 澄 漪 
T85n2813_001:1089a21	不才喜承餘論揚攉深旨以示方來。冀法鏡	不 才 喜 承 餘 論 揚 攉 深 旨 以 示 方 來 冀 法 鏡 
T85n2813_001:1089a22	高懸真風不墜耳。	高 懸 真 風 不 墜 耳 
T85n2813_001:1089a26	大乘起信論略述卷上	大 乘 起 信 論 略 述 卷 上 
T85n2813_001:1089a28	建康沙門曇曠撰	建 康 沙 門 曇 曠 撰 
T85n2813_001:1089a29	將釋此論。三門分別。一明造論意。二顯論	將 釋 此 論 三 門 分 別 一 明 造 論 意 二 顯 論 
T85n2813_001:1089b01	宗。三解論文義。初造意者。准論四義及八種	宗 三 解 論 文 義 初 造 意 者 准 論 四 義 及 八 種 
T85n2813_001:1089b02	因如下廣說。今總略攝以為二義。一令離妄。	因 如 下 廣 說 今 總 略 攝 以 為 二 義 一 令 離 妄 
T85n2813_001:1089b03	二為顯真。此二各二。一自。二他。謂諸眾生一	二 為 顯 真 此 二 各 二 一 自 二 他 謂 諸 眾 生 一 
T85n2813_001:1089b04	心本性非動非靜非生非滅非淨非染。由無	心 本 性 非 動 非 靜 非 生 非 滅 非 淨 非 染 由 無 
T85n2813_001:1089b05	明熏動成妄念。流轉生死備受諸苦。今令眾	明 熏 動 成 妄 念 流轉生死 備 受 諸 苦 今 令 眾 
T85n2813_001:1089b06	生了自心性本來寂滅。令無動念。有動者皆	生 了 自 心 性 本 來 寂 滅 令 無 動 念 有 動 者 皆 
T85n2813_001:1089b07	是無明動念。無明亦無所起。知心無動不起	是 無 明 動 念 無 明 亦 無 所 起 知 心 無 動 不 起 
T85n2813_001:1089b08	念者契證心源永無流轉。即經所說離自心	念 者 契 證 心 源 永 無 流 轉 即 經 所 說 離 自 心 
T85n2813_001:1089b09	妄相得自覺聖智。此是法經所說宗要。依所	妄 相 得 自覺聖智 此 是 法 經 所 說 宗 要 依 所 
T85n2813_001:1089b10	通達而能修行。依自所修能為他說。即經所	通 達 而 能 修 行 依 自 所 修 能 為 他 說 即 經 所 
T85n2813_001:1089b11	言宗通說通。宗通為修行。說通為愚者。顯如	言 宗 通 說 通 宗 通 為 修 行 說 通 為 愚 者 顯 如 
T85n2813_001:1089b12	是義故造此論。	是 義 故 造 此 論 
T85n2813_001:1089b13	明宗趣者。修有二種。一明所宗。二明所趣。所	明 宗 趣 者 修 有 二 種 一 明 所 宗 二 明 所 趣 所 
T85n2813_001:1089b14	宗有二。一大乘教。二大乘理。所趣有二。一大	宗 有 二 一 大 乘 教 二 大 乘 理 所 趣 有 二 一 大 
T85n2813_001:1089b15	乘行。二大乘果。大乘教者。謂說一心二門等	乘 行 二 大 乘 果 大 乘 教 者 謂 說 一 心 二 門 等 
T85n2813_001:1089b16	教。此能詮教但是假者巧雖實義。是可崇故。	教 此 能 詮 教 但 是 假 者 巧 雖 實 義 是 可 崇 故 
T85n2813_001:1089b17	大乘理者。謂法與義。所言法者。謂即一心二	大 乘 理 者 謂 法 與 義 所 言 法 者 謂 即 一 心 二 
T85n2813_001:1089b18	門之法。所言義者。謂體相用三大之義。此法	門 之 法 所 言 義 者 謂 體 相 用 三 大 之 義 此 法 
T85n2813_001:1089b19	與義是實所詮皆無虛妄。可尊主故。大乘行	與 義 是 實 所 詮 皆 無 虛 妄 可 尊 主 故 大 乘 行 
T85n2813_001:1089b20	者。謂信與行。信謂四信。行謂五行。是修行者	者 謂 信 與 行 信 謂 四 信 行 謂 五 行 是 修 行 者 
T85n2813_001:1089b21	所歸趣故。大乘果者。謂大法身。此大身法具	所 歸 趣 故 大 乘 果 者 謂 大 法 身 此 大 身 法 具 
T85n2813_001:1089b22	體相用。是前所行因所歸趣故。此等諸義下	體 相 用 是 前 所 行 因 所 歸 趣 故 此 等 諸 義 下 
T85n2813_001:1089b23	文當說示。廣說者應尋引之。	文 當 說 示 廣 說 者 應 尋 引 之 
T85n2813_001:1089b24	解論文者。修有二種。先釋題目。後述論文。釋	解 論 文 者 修 有 二 種 先 釋 題 目 後 述 論 文 釋 
T85n2813_001:1089b25	題有三。一釋大乘。二明起信。三釋論字。言大	題 有 三 一 釋 大 乘 二 明 起 信 三 釋 論 字 言 大 
T85n2813_001:1089b26	乘者。謂即一心。而言大者。當體立名。以廣包	乘 者 謂 即 一 心 而 言 大 者 當 體 立 名 以 廣 包 
