T85n2819_001:1192c21	諸經要抄	諸 經 要 抄 
T85n2819_001:1192c23	諍。舍利弗。如是見人。我則不聽出家受戒。	諍 舍 利 弗 如 是 見 人 我 則 不 聽 出 家 受 戒 
T85n2819_001:1192c24	舍利弗。如是見人。我則不聽受一飲水以自	舍 利 弗 如 是 見 人 我 則 不 聽 受 一 飲 水 以 自 
T85n2819_001:1192c25	供養。但懃修習無相三昧。於無相三昧亦取	供 養 但 懃 修 習 無相三昧 於 無相三昧 亦 取 
T85n2819_001:1192c26	相。是人通達一切諸法相皆是一相。所謂無	相 是 人 通 達 一切諸法 相 皆 是 一 相 所 謂 無 
T85n2819_001:1192c27	相。	相 
T85n2819_001:1192c28	佛藏經念佛品云　惡知識。	佛 藏 經 念 佛 品 云 惡 知 識 
T85n2819_001:1192c29	佛告舍利弗。若有比丘教餘比丘。汝當念佛	佛 告 舍 利 弗 若 有 比 丘 教 餘 比 丘 汝 當 念 佛 
T85n2819_001:1193a01	念法念僧念戒念施念天。唯愛涅槃畢竟清	念 法 念 僧 念 戒 念 施 念 天 唯 愛 涅 槃 畢 竟 清 
T85n2819_001:1193a02	淨。如是教者名為邪教。謂是正教而是邪教。	淨 如 是 教 者 名 為 邪 教 謂 是 正 教 而 是 邪 教 
T85n2819_001:1193a03	舍利弗。如是教者名為惡知識。是人名為誹	舍 利 弗 如 是 教 者 名 為 惡 知 識 是 人 名 為 誹 
T85n2819_001:1193a04	謗於我助於外道。亦為他人說邪道法。舍利	謗 於 我 助 於 外 道 亦 為 他 人 說 邪 道 法 舍 利 
T85n2819_001:1193a05	弗。如是惡人我乃不聽受一飲水以自供養。	弗 如 是 惡 人 我 乃 不 聽 受 一 飲 水 以 自 供 養 
T85n2819_001:1193a06	舍利弗。是念佛法斷語言道過出諸念。不	舍 利 弗 是 念 佛 法 斷 語 言 道 過 出 諸 念 不 
T85n2819_001:1193a07	可得念是名念佛。舍利弗。一切諸念皆寂滅	可 得 念 是 名 念 佛 舍 利 弗 一 切 諸 念 皆 寂 滅 
T85n2819_001:1193a08	相。隨順是法。此即名為修習念佛。不可以色	相 隨 順 是 法 此 即 名 為 修 習 念 佛 不 可 以 色 
T85n2819_001:1193a09	念佛。何以故。念色取相貪味為識。無形無	念 佛 何 以 故 念 色 取 相 貪 味 為 識 無 形 無 
T85n2819_001:1193a10	色無緣無性。是名念佛。是故當知。無有分別	色 無 緣 無 性 是 名 念 佛 是故當知 無有分別 
T85n2819_001:1193a11	無取無捨。是真念佛。	無 取 無 捨 是 真 念 佛 
T85n2819_001:1193a12	佛藏經念法品云　善知識。	佛 藏 經 念 法 品 云 善 知 識 
T85n2819_001:1193a13	舍利弗。是人爾時都無所有寂滅無性。不集	舍 利 弗 是 人 爾 時 都無所有 寂 滅 無 性 不 集 
T85n2819_001:1193a14	諸相滅一切法。是則名為修習念佛。念佛名	諸 相 滅 一 切 法 是 則 名 為 修 習 念 佛 念 佛 名 
T85n2819_001:1193a15	為破善不善一切覺觀。無覺無觀寂然無想。	為 破 善 不 善 一 切 覺 觀 無 覺 無 觀 寂 然 無 想 
T85n2819_001:1193a16	名為念佛。何以故。不應以覺觀憶念諸佛。無	名 為 念 佛 何 以 故 不 應 以 覺 觀 憶 念 諸 佛 無 
T85n2819_001:1193a17	覺無觀名為清淨念佛。舍利弗。隨所念起一	覺 無 觀 名 為 清 淨 念 佛 舍 利 弗 隨 所 念 起 一 
T85n2819_001:1193a18	切諸想皆是邪見。舍利弗。隨無所有無覺無	切 諸 想 皆 是 邪 見 舍 利 弗 隨 無 所 有 無 覺 無 
T85n2819_001:1193a19	觀無生無滅。通達是者名為念佛。如是念	觀 無生無滅 通 達 是 者 名 為 念 佛 如 是 念 
