T85n2843_001:1295b26	大悲啟請	大 悲 啟 請 
T85n2843_001:1295b28	大悲啟請(准經凡欲受持。先志心念阿彌陀佛三遍緣。阿彌陀佛是觀音本師矣)。	大 悲 啟 請 准 經 凡 欲 受 持 先 志 心 念 阿 彌 陀 佛 三 遍 緣 阿 彌 陀 佛 是 觀 音 本 師 矣 
T85n2843_001:1295b29	　仰啟月輪觀自在　　廣大圓滿紫金身	 仰 啟 月 輪 觀 自 在 廣 大 圓 滿 紫 金 身 
T85n2843_001:1295c01	　千臂恒伸現世間　　千眼光明常遍照	 千 臂 恒 伸 現 世 間 千 眼 光 明 常 遍 照 
T85n2843_001:1295c02	　一千二百真言契　　能滿眾生所願心	 一 千 二 百 真 言 契 能 滿 眾 生 所 願 心 
T85n2843_001:1295c03	　面安三目遍莊嚴　　頂戴彌陀持寶器	 面 安 三 目 遍 莊 嚴 頂 戴 彌 陀 持 寶 器 
T85n2843_001:1295c04	　宣讚真言微妙法　　受持當證佛菩提	 宣 讚 真 言 微 妙 法 受 持 當 證 佛 菩 提 
T85n2843_001:1295c05	　辯才無礙化人天　　菩薩眾中為上首	 辯才無礙 化 人 天 菩 薩 眾 中 為 上 首 
T85n2843_001:1295c06	　暫聞尚滅塵沙業　　諷念惟增成佛因	 暫 聞 尚 滅 塵 沙 業 諷 念 惟 增 成 佛 因 
T85n2843_001:1295c07	　大悲願力不思議　　是故我今恒讚念	 大 悲 願 力 不 思 議 是 故 我 今 恒 讚 念 
T85n2843_001:1295c08	　南無大悲觀世音　　願我速知一切法	 南 無 大 悲 觀 世 音 願 我 速 知一切法 
T85n2843_001:1295c09	　南無大悲觀世音　　願我早得智慧眼	 南 無 大 悲 觀 世 音 願 我 早 得 智 慧 眼 
T85n2843_001:1295c10	　南無大悲觀世音　　願我速度一切眾	 南 無 大 悲 觀 世 音 願 我 速 度 一 切 眾 
T85n2843_001:1295c11	　南無大悲觀世音　　願我早得善方便	 南 無 大 悲 觀 世 音 願 我 早 得 善 方 便 
T85n2843_001:1295c12	　南無大悲觀世音　　願我速乘般若舡	 南 無 大 悲 觀 世 音 願 我 速 乘 般 若 舡 
T85n2843_001:1295c13	　南無大悲觀世音　　願我早得越苦海	 南 無 大 悲 觀 世 音 願 我 早 得 越 苦 海 
T85n2843_001:1295c14	　南無大悲觀世音　　願我速得戒定道	 南 無 大 悲 觀 世 音 願 我 速 得 戒 定 道 
T85n2843_001:1295c15	　南無大悲觀世音　　願我早登涅槃山	 南 無 大 悲 觀 世 音 願 我 早 登 涅 槃 山 
T85n2843_001:1295c16	　南無大悲觀世音　　願我速會無為舍	 南 無 大 悲 觀 世 音 願 我 速 會 無 為 舍 
T85n2843_001:1295c17	　南無大悲觀世音　　願我早同法性身	 南 無 大 悲 觀 世 音 願 我 早 同 法 性 身 
T85n2843_001:1295c18	　我若向刀山刀山自摧折	 我 若 向 刀 山 刀 山 自 摧 折 
T85n2843_001:1295c19	　我若向火湯火湯自消滅	 我 若 向 火 湯 火 湯 自 消 滅 
T85n2843_001:1295c20	　我若向地獄地獄自枯渴	 我 若 向 地 獄 地 獄 自 枯 渴 
T85n2843_001:1295c21	　我若向餓鬼餓鬼自飽滿	 我 若 向 餓 鬼 餓 鬼 自 飽 滿 
T85n2843_001:1295c22	　我若向修羅惡心自調伏	 我 若 向 修 羅 惡 心 自 調 伏 
T85n2843_001:1295c23	　我若向畜生自得大智慧	 我 若 向 畜 生 自 得 大 智 慧 
T85n2843_001:1295c24	千手千眼觀世音菩薩廣大圓滿無障礙大悲	千 手 千 眼 觀 世 音 菩 薩 廣 大 圓 滿 無 障 礙 大 悲 
T85n2843_001:1295c25	心陀羅尼神妙章句	心 陀 羅 尼 神 妙 章 句 
T85n2843_001:1295c26	南無喝囉怛那哆囉夜耶(一)南無阿唎耶(二)婆	南 無 喝 囉 怛 那 哆 囉 夜 耶 一 南 無 阿 唎 耶 二 婆 
T85n2843_001:1295c27	盧羯帝爍鉢囉耶(三)菩提薩埵婆耶(四)摩訶薩	盧 羯 帝 爍 鉢 囉 耶 三 菩 提 薩 埵 婆 耶 四 摩 訶 薩 
T85n2843_001:1295c28	埵婆耶(五)摩訶迦盧尼迦耶(六)唵(七)薩皤囉罰	埵 婆 耶 五 摩 訶 迦 盧 尼 迦 耶 六 唵 七 薩 皤 囉 罰 
T85n2843_001:1295c29	曳(八)數怛那怛寫(九)南無悉吉[口*栗]埵伊蒙阿唎	曳 八 數 怛 那 怛 寫 九 南 無 悉 吉 [口栗] 埵 伊 蒙 阿 唎 
T85n2843_001:1296a01	耶(十)婆盧羯帝室佛楞馱婆(十一)南無那囉謹	耶 十 婆 盧 羯 帝 室 佛 楞 馱 婆 十 一 南 無 那 囉 謹 
T85n2843_001:1296a02	墀(十二)醯唎摩訶皤哆沙咩(羊聲呼十三)薩婆阿他豆	墀 十 二 醯 唎 摩 訶 皤 哆 沙 咩 羊 聲 呼 十 三 薩 婆 阿 他 豆 
T85n2843_001:1296a03	輸朋(十四)阿逝孕(十五)薩婆薩哆那摩婆伽(十六)	輸 朋 十 四 阿 逝 孕 十 五 薩 婆 薩 哆 那 摩 婆 伽 十 六 
T85n2843_001:1296a04	摩罰特豆(十七)怛姪他(十八)唵(十九)阿婆盧醯	摩 罰 特 豆 十 七 怛 姪 他 十 八 唵 十 九 阿 婆 盧 醯 
T85n2843_001:1296a05	盧迦帝(二十)迦囉帝(二十一)夷醯唎摩訶菩提	盧 迦 帝 二 十 迦 囉 帝 二 十 一 夷 醯 唎 摩訶菩提 
T85n2843_001:1296a06	薩埵(二十二)薩婆薩婆(二十三)摩囉摩囉(二十四弟子佛受持)	薩 埵 二 十 二 薩 婆 薩 婆 二 十 三 摩 囉 摩 囉 二 十 四 弟 子 佛 受 持 
T85n2843_001:1296a07	摩醯摩醯唎馱孕(二十五)俱盧俱盧羯懞(二十六)	摩 醯 摩 醯 唎 馱 孕 二 十 五 俱 盧 俱 盧 羯 懞 二 十 六 
T85n2843_001:1296a08	度嚧度嚧罰闍耶帝摩訶罰闍耶帝(二十七)陀	度 嚧 度 嚧 罰 闍 耶 帝 摩 訶 罰 闍 耶 帝 二 十 七 陀 
T85n2843_001:1296a09	囉陀囉(二十八)地唎尼(二十九)室佛囉耶(三十)遮	囉 陀 囉 二 十 八 地 唎 尼 二 十 九 室 佛 囉 耶 三 十 遮 
T85n2843_001:1296a10	囉遮囉(三十一)摩摩罰摩羅(三十二)穆帝麗伊醯	囉 遮 囉 三 十 一 摩 摩 罰 摩 羅 三 十 二 穆 帝 麗 伊 醯 
T85n2843_001:1296a11	移醯(三十四)室那室那(三十五)阿囉嘇佛囉舍利	移 醯 三 十 四 室 那 室 那 三 十 五 阿 囉 嘇 佛 囉 舍 利 
T85n2843_001:1296a12	(三十六)罰沙罰嘇(三十七)佛囉舍利(三十八)呼盧	 三 十 六 罰 沙 罰 嘇 三 十 七 佛 囉 舍 利 三 十 八 呼 盧 
T85n2843_001:1296a13	呼盧摩囉(三十九)呼盧呼盧醯唎(四十)娑囉娑囉	呼 盧 摩 囉 三 十 九 呼 盧 呼 盧 醯 唎 四 十 娑 囉 娑 囉 
T85n2843_001:1296a14	悉唎悉唎(四十二)蘇盧蘇盧(四十三)菩提夜菩提	悉 唎 悉 唎 四 十 二 蘇 盧 蘇 盧 四 十 三 菩 提 夜 菩 提 
T85n2843_001:1296a15	夜(四十四)菩馱夜菩馱夜(四十五)彌帝唎夜那囉	夜 四 十 四 菩 馱 夜 菩 馱 夜 四 十 五 彌 帝 唎 夜 那 囉 
T85n2843_001:1296a16	謹墀(四十六)他姪唎瑟尼那(四十七)波夜摩那(四	謹 墀 四 十 六 他 姪 唎 瑟 尼 那 四 十 七 波 夜 摩 那 四 
T85n2843_001:1296a17	十八)娑婆訶(四十九)悉陀夜(五十)娑婆訶(五十一)摩	十 八 娑 婆 訶 四 十 九 悉 陀 夜 五 十 娑 婆 訶 五 十 一 摩 
T85n2843_001:1296a18	訶悉陀夜(五十二)娑婆訶(五十三)悉陀喻藝(五十四)	訶 悉 陀 夜 五 十 二 娑 婆 訶 五 十 三 悉 陀 喻 藝 五 十 四 
T85n2843_001:1296a19	室皤囉耶(五十五)娑婆訶(五十六)那囉謹墀(五十	室 皤 囉 耶 五 十 五 娑 婆 訶 五 十 六 那 囉 謹 墀 五 十 
T85n2843_001:1296a20	七)娑婆訶(五十八)摩囉那囉(五十九)娑婆訶(六十)	七 娑 婆 訶 五 十 八 摩 囉 那 囉 五 十 九 娑 婆 訶 六 十 
T85n2843_001:1296a21	悉囉僧阿穆佉耶(六十一)娑婆訶(六十二)娑婆摩	悉 囉 僧 阿 穆 佉 耶 六 十 一 娑 婆 訶 六 十 二 娑 婆 摩 
T85n2843_001:1296a22	阿悉陀耶(六十三)娑婆訶(六十四)者吉囉阿悉陀	阿 悉 陀 耶 六 十 三 娑 婆 訶 六 十 四 者 吉 囉 阿 悉 陀 
T85n2843_001:1296a23	耶(六十五)娑婆訶(六十六)波陀摩羯悉哆耶(六十七)娑	耶 六 十 五 娑 婆 訶 六 十 六 波 陀 摩 羯 悉 哆 耶 六 十 七 娑 
T85n2843_001:1296a24	婆訶(六十八)那囉謹墀皤伽羅耶(六十九)娑婆訶	婆 訶 六 十 八 那 囉 謹 墀 皤 伽 羅 耶 六 十 九 娑 婆 訶 
T85n2843_001:1296a25	(七十)摩婆唎勝羯囉夜(七十一)娑婆訶(七十二)南無	 七 十 摩 婆 唎 勝 羯 囉 夜 七 十 一 娑 婆 訶 七 十 二 南 無 
T85n2843_001:1296a26	喝囉怛那哆囉夜耶(七十三)南無阿唎耶(七十四)	喝 囉 怛 那 哆 囉 夜 耶 七 十 三 南 無 阿 唎 耶 七 十 四 
T85n2843_001:1296a27	婆盧吉帝爍皤囉耶(七十五)娑婆訶(七十六)悉殿	婆 盧 吉 帝 爍 皤 囉 耶 七 十 五 娑 婆 訶 七 十 六 悉 殿 
T85n2843_001:1296a28	都(七十七)漫多羅佛陀耶(七十八)娑婆訶(七十九)	都 七 十 七 漫 多 羅 佛 陀 耶 七 十 八 娑 婆 訶 七 十 九 
