T85n2847_001:1298c09	祈願文	祈 願 文 
T85n2847_001:1298c11	即娑婆之界誓心利物故立方便之門□□□	即 娑 婆 之 界 誓 心 利 物 故 立 方 便 之 門 
T85n2847_001:1298c12	□□惠建八極安祥樂音競走[敲高+壹]來迎梵□□	 惠 建 八 極 安 祥 樂 音 競 走 [敲高壹] 來 迎 梵 
T85n2847_001:1298c13	□□前引意謂佃役難却妖分鬼魅遠千里□	 前 引 意 謂 佃 役 難 却 妖 分 鬼 魅 遠 千 里 
T85n2847_001:1298c14	□□□於地戶總斯多善莫限良緣先用□□	 於 地 戶 總 斯 多 善 莫 限 良 緣 先 用 
T85n2847_001:1298c15	□□四王龍天八部伏願威光熾盛福力彌增	 四 王 龍 天 八 部 伏 願 威 光 熾 盛 福 力 彌 增 
T85n2847_001:1298c16	興□□□□救人護國又持勝福次用莊嚴我	興 救 人 護 國 又 持 勝 福 次 用 莊 嚴 我 
T85n2847_001:1298c17	河西節□。	河 西 節 
T85n2847_001:1298c18	使□□大王貴位。伏願南□□□北極標尊	使 大 王 貴 位 伏 願 南 北 極 標 尊 
T85n2847_001:1298c19	長。為菩薩之人王。永應如來之付囑。又持勝	長 為 菩 薩 之 人 王 永 應 如 來 之 付 囑 又 持 勝 
T85n2847_001:1298c20	福次用莊嚴。我河西都僧統和尚貴位。伏願	福 次 用 莊 嚴 我 河 西 都 僧 統 和 尚 貴 位 伏 願 
T85n2847_001:1298c21	敫楊政述鎮遏□□色力堅於丘山。惠命延	敫 楊 政 述 鎮 遏 色 力 堅 於 丘 山 惠 命 延 
T85n2847_001:1298c22	於遐□□□勝福次用□□□指撝尚書貴	於 遐 勝 福 次 用 指 撝 尚 書 貴 
T85n2847_001:1298c23	位。伏願金柯永茂玉葉時芳盤石增薰唯城	位 伏 願 金 柯 永 茂 玉 葉 時 芳 盤 石 增 薰 唯 城 
T85n2847_001:1298c24	作鎮。又持勝福次用莊嚴。閻都衙薰都衙諸	作 鎮 又 持 勝 福 次 用 莊 嚴 閻 都 衙 薰 都 衙 諸 
T85n2847_001:1298c25	都頭貴位。伏願奇才出眾無藝召輪歸懷戍	都 頭 貴 位 伏 願 奇 才 出 眾 無 藝 召 輪 歸 懷 戍 
T85n2847_001:1298c26	物之能共助明王之道。然後天下定海內清。	物 之 能 共 助 明 王 之 道 然 後 天 下 定 海 內 清 
T85n2847_001:1298c27	無聞征戰之名。有賴擁為之□。摩訶般若利	無 聞 征 戰 之 名 有 賴 擁 為 之 摩訶般若 利 
T85n2847_001:1298c28	樂無邊。大眾虔誠一切普誦。	樂 無 邊 大 眾 虔 誠 一 切 普 誦 
