T85n2848_001:1299a03	迴向文	迴 向 文 
T85n2848_001:1299a05	復持勝善次用莊嚴。當今大唐聖主。伏願聖	復 持 勝 善 次 用 莊 嚴 當 今 大 唐 聖 主 伏 願 聖 
T85n2848_001:1299a06	壽剋昌皇□□□金輪與沈輪齊轉。舜日與	壽 剋 昌 皇 金 輪 與 沈 輪 齊 轉 舜 日 與 
T85n2848_001:1299a07	佛日□□高視百王長新萬劫　皇大子潛星。	佛 日 高 視 百 王 長 新 萬 劫 皇 大 子 潛 星 
T85n2848_001:1299a08	少海澄闌。盤石增高。惟城作鎮。	少 海 澄 闌 盤 石 增 高 惟 城 作 鎮 
T85n2848_001:1299a09	故持勝善次用莊嚴。今六和尚伏願長承帝	故 持 勝 善 次 用 莊 嚴 今 六 和 尚 伏 願 長 承 帝 
T85n2848_001:1299a10	澤。為灌頂之國師。永鎮台階。贊明王之	澤 為 灌 頂 之 國 師 永 鎮 台 階 贊 明 王 之 
T85n2848_001:1299a11	治化。	治 化 
T85n2848_001:1299a12	次持勝善次用莊嚴　都僧統和尚。伏願智	次 持 勝 善 次 用 莊 嚴 都 僧 統 和 尚 伏 願 智 
T85n2848_001:1299a13	山峯崇聳。德海洪深。命等松筠。福慶遐遠。即	山 峯 崇 聳 德 海 洪 深 命 等 松 筠 福 慶 遐 遠 即 
T85n2848_001:1299a14	使長承國寵。永扇慈風。嘉聲溢於□中。雅範	使 長 承 國 寵 永 扇 慈 風 嘉 聲 溢 於 中 雅 範 
T85n2848_001:1299a15	流於像季。	流 於 像 季 
T85n2848_001:1299a16	次持勝善次用莊嚴　尚書貴體。伏願福山	次 持 勝 善 次 用 莊 嚴 尚 書 貴 體 伏 願 福 山 
T85n2848_001:1299a17	永固。神壽無疆。功業高於雲山。德量深於	永 固 神 壽 無 疆 功 業 高 於 雲 山 德 量 深 於 
T85n2848_001:1299a18	巨海。出持旌節以靜萬方。入坐朝堂百寮取	巨 海 出 持 旌 節 以 靜 萬 方 入 坐 朝 堂 百 寮 取 
T85n2848_001:1299a19	則。來逢元日恒保□春。命等松筠壽同劫石。	則 來 逢 元 日 恒 保 春 命 等 松 筠 壽 同 劫 石 
T85n2848_001:1299a20	又持勝福次用莊嚴　大夫伏願形同大地歷	又 持 勝 福 次 用 莊 嚴 大 夫 伏 願 形 同 大 地 歷 
T85n2848_001:1299a21	千載。所恒安福比山河。跨萬齡而永固。然後	千 載 所 恒 安 福 比 山 河 跨 萬 齡 而 永 固 然 後 
T85n2848_001:1299a22	振芳聲於帝里。翔翼雲衢流雅譽。於鸞池濯	振 芳 聲 於 帝 里 翔 翼 雲 衢 流 雅 譽 於 鸞 池 濯 
T85n2848_001:1299a23	鱗漢水。	鱗 漢 水 
T85n2848_001:1299a24	又持勝善次用莊嚴　安姚二侍御。伏願聳	又 持 勝 善 次 用 莊 嚴 安 姚 二 侍 御 伏 願 聳 
T85n2848_001:1299a25	瓊臺於天外。飛紫蓋於雲衢。命與天長福將	瓊 臺 於 天 外 飛 紫 蓋 於 雲 衢 命 與 天 長 福 將 
T85n2848_001:1299a26	地遠。保離區□動止獲安。嚮震八方往還清	地 遠 保 離 區 動 止 獲 安 嚮 震 八 方 往 還 清 
T85n2848_001:1299a27	吉。	吉 
T85n2848_001:1299a28	次持勝善次用莊嚴　尚書姟子紹千秋之	次 持 勝 善 次 用 莊 嚴 尚 書 姟 子 紹 千 秋 之 
T85n2848_001:1299a29	寵。恒居萬代之榮。忠孝雙全。朱門繼襲。	寵 恒 居 萬 代 之 榮 忠 孝 雙 全 朱 門 繼 襲 
