T85n2866_001:1326b03	護身命經	護 身 命 經 
T85n2866_001:1326b05	者信佛妙法受習不忘。六者不貪世榮斷俗	者 信 佛 妙 法 受 習 不 忘 六 者 不 貪 世 榮 斷 俗 
T85n2866_001:1326b06	因緣。七者願習聖慧為一切護。八者願集眾	因 緣 七 者 願 習 聖 慧 為 一 切 護 八 者 願 集 眾 
T85n2866_001:1326b07	生為作倡道。九者在所墮生常願值佛。十者	生 為 作 倡 道 九 者 在 所 墮 生 常 願 值 佛 十 者 
T85n2866_001:1326b08	守持禁戒廣度群生。十一者博學眾智宣示	守 持 禁 戒 廣 度 群 生 十 一 者 博 學 眾 智 宣 示 
T85n2866_001:1326b09	四輩。十二者常願與佛世世相值廣說道要	四 輩 十 二 者 常 願 與 佛 世 世 相 值 廣 說 道 要 
T85n2866_001:1326b10	度人無量。是為十二聖慧者。	度 人 無 量 是 為 十 二 聖 慧 者 
T85n2866_001:1326b11	佛告阿難。若有比丘尼優婆塞優婆夷國王	佛 告 阿 難 若 有 比 丘 尼 優 婆 塞 優 婆 夷 國 王 
T85n2866_001:1326b12	子及諸婇女。有能奉行此十二法者。在所墮	子 及 諸 婇 女 有 能 奉 行 此 十 二 法 者 在 所 墮 
T85n2866_001:1326b13	生常得值佛。周旋教化長離眾苦入三法門	生 常 得 值 佛 周 旋 教 化 長 離 眾 苦 入 三 法 門 
T85n2866_001:1326b14	功得成就。疾得至佛猶步三界。無所罣礙無	功 得 成 就 疾 得 至 佛 猶 步 三 界 無 所 罣 礙 無 
T85n2866_001:1326b15	能斷者。自五前世修行此事自致得佛。若有	能 斷 者 自 五 前 世 修 行 此 事 自 致 得 佛 若 有 
T85n2866_001:1326b16	國王大臣長者中宮眷屬及諸善男子善女人	國 王 大 臣 長 者 中 宮 眷 屬 及 諸 善 男 子 善 女 人 
T85n2866_001:1326b17	四部弟子。欲求此無上道廣度一切者。亦當	四 部 弟 子 欲 求 此 無 上 道 廣 度 一 切 者 亦 當 
T85n2866_001:1326b18	讀此經。欲求三乘法者。亦當讀此經。欲求	讀 此 經 欲 求 三 乘 法 者 亦 當 讀 此 經 欲 求 
T85n2866_001:1326b19	早度世取無為者。亦當讀此經。欲求上生妙	早 度 世 取 無 為 者 亦 當 讀 此 經 欲 求 上 生 妙 
T85n2866_001:1326b20	樂天上者。亦當讀此經。欲求轉輪聖王者。亦	樂 天 上 者 亦 當 讀 此 經 欲 求 轉輪聖王 者 亦 
T85n2866_001:1326b21	當讀此經。欲求尊貴富者。亦當讀此經。若	當 讀 此 經 欲 求 尊 貴 富 者 亦 當 讀 此 經 若 
T85n2866_001:1326b22	有女人求男子身者。亦當讀此經。欲求世世	有 女 人 求 男 子 身 者 亦 當 讀 此 經 欲 求 世 世 
T85n2866_001:1326b23	常與明師相隨教化者。亦當讀此經。如是一	常 與 明 師 相 隨 教 化 者 亦 當 讀 此 經 如 是 一 
T85n2866_001:1326b24	切諸願所欲者。皆當讀此經。此經尊猛。善男	切 諸 願 所 欲 者 皆 當 讀 此 經 此 經 尊 猛 善 男 
T85n2866_001:1326b25	子善女人能奉行持此經者。常為十方現在	子 善 女 人 能 奉 行 持 此 經 者 常 為 十 方 現 在 
T85n2866_001:1326b26	諸佛威神所護。亦為過去七佛所護。及諸尊	諸 佛 威 神 所 護 亦 為 過 去 七 佛 所 護 及 諸 尊 
T85n2866_001:1326b27	菩薩大弟子所護為。又天龍鬼神日月五星二	菩 薩 大 弟 子 所 護 為 又 天 龍 鬼 神 日 月 五 星 二 
T85n2866_001:1326b28	十八宿一切諸尊天等。常隨擁護讀是經者。	十 八 宿 一 切 諸 尊 天 等 常 隨 擁 護 讀 是 經 者 
