X17n0327_001:0471c06	楞伽補遺	楞 伽 補 遺 
X17n0327_001:0471c08	明　德清　補遺	明 德 清 補 遺 
X17n0327_001:0471c09	楞伽阿跋多羅寶經者。楞伽寶名。具云釋迦毗楞伽。	楞 伽 阿 跋 多 羅 寶 經 者 楞 伽 寶 名 具 云 釋 迦 毗 楞 伽 
X17n0327_001:0471c10	此云能勝。義云堅固。阿跋多羅。此云無上。謂此楞伽。	此 云 能 勝 義 云 堅 固 阿 跋 多 羅 此 云 無 上 謂 此 楞 伽 
X17n0327_001:0471c11	乃無上寶也。聞之梵師云。此寶八楞。視之渾圓。其體	乃 無 上 寶 也 聞 之 梵 師 云 此 寶 八 楞 視 之 渾 圓 其 體 
X17n0327_001:0471c12	光明瑩徹。最極堅固。不可鑽穿。世間之寶無過勝者。	光 明 瑩 徹 最 極 堅 固 不 可 鑽 穿 世 間 之 寶 無 過 勝 者 
X17n0327_001:0471c13	目能勝一切。故云無上寶也。西域南海。有楞伽寶山。	目 能 勝 一 切 故 云 無 上 寶 也 西 域 南 海 有 楞 伽 寶 山 
X17n0327_001:0471c14	居大海濱。目山純此寶所成故。山以寶名。山高五百	居 大 海 濱 目 山 純 此 寶 所 成 故 山 以 寶 名 山 高 五 百 
X17n0327_001:0471c15	由旬。山頂有城。亦名楞伽寶城。無門可入。為夜叉王	由 旬 山 頂 有 城 亦 名 楞 伽 寶 城 無 門 可 入 為 夜 叉 王 
X17n0327_001:0471c16	所據。山形下細上大。因名不可往。有神通者乃能入。	所 據 山 形 下 細 上 大 因 名 不 可 往 有 神 通 者 乃 能 入 
X17n0327_001:0471c17	此經發起因。佛于大海龍宮。說法七日。迴過山下。顧	此 經 發 起 因 佛 于 大 海 龍 宮 說 法 七 日 迴 過 山 下 顧 
X17n0327_001:0471c18	謂眾曰。過去諸佛。皆于此山。說自證境界。我亦當說。	謂 眾 曰 過去諸佛 皆 于 此 山 說 自 證 境 界 我 亦 當 說 
X17n0327_001:0471c19	時夜叉王。目神力故。知佛言念。故往請佛入城演說	時 夜 叉 王 目 神 力 故 知 佛 言 念 故 往 請 佛 入 城 演 說 
X17n0327_001:0471c20	此經。是則山目寶名。經目處名。通取為喻。乃單喻為	此 經 是 則 山 目 寶 名 經 目 處 名 通 取 為 喻 乃 單 喻 為 
X17n0327_001:0471c21	題也。然單約喻明經者。第一義如來藏心。亦名寶明	題 也 然 單 約 喻 明 經 者 第 一 義 如來藏心 亦 名 寶 明 
X17n0327_001:0471c22	玅性。又云寶覺明心。是為堅固法身不動智體。名自	玅 性 又 云 寶 覺 明 心 是 為 堅 固 法 身 不 動 智 體 名 自 
X17n0327_001:0471c23	覺聖智。寂滅一心。名大寂滅海。亦云智海。覺海。寶明	覺 聖 智 寂 滅 一 心 名 大 寂 滅 海 亦 云 智 海 覺 海 寶 明 
X17n0327_001:0471c24	空海。下經云藏識海。謂眾生本具如來藏清淨法身。	空 海 下 經 云 藏 識 海 謂 眾 生 本 具 如 來 藏 清 淨 法 身 
X17n0327_001:0472a01	迷之而為藏。識變成五蘊之眾生。自覺聖智。變為妄	迷 之 而 為 藏 識 變 成 五 蘊 之 眾 生 自覺聖智 變 為 妄 
X17n0327_001:0472a02	想煩惱。寶明空海。成生死之業海。夜叉乃惡鬼飛行	想 煩 惱 寶 明 空 海 成 生 死 之 業 海 夜 叉 乃 惡 鬼 飛 行 
X17n0327_001:0472a03	而食人肉者。故山高五百由旬。居大海中。而為煩惱	而 食 人 肉 者 故 山 高 五 百 由 旬 居 大 海 中 而 為 煩 惱 
X17n0327_001:0472a04	生死夜叉所據也。佛在此山。說自證境界者。謂目自	生 死 夜 叉 所 據 也 佛 在 此 山 說 自 證 境 界 者 謂 目 自 
X17n0327_001:0472a05	覺聖智。而觀識藏。即如來藏。生死即涅槃。煩惱即菩	覺 聖 智 而 觀 識 藏 即 如 來 藏 生 死 即 涅 槃 煩 惱 即 菩 
X17n0327_001:0472a06	提。現前五蘊身心即是如來常住法身。頓證一心。更	提 現 前 五 蘊 身 心 即 是 如 來 常 住 法 身 頓 證 一 心 更 
X17n0327_001:0472a07	無別法。此乃最上乘。非心識思量境界。唯許上上根	無 別 法 此 乃 最 上 乘 非 心 識 思 量 境 界 唯 許 上 上 根 
X17n0327_001:0472a08	人一悟頓悟。不悟則不許。意識湊泊故。山名不可往。	人 一 悟 頓 悟 不 悟 則 不 許 意 識 湊 泊 故 山 名 不 可 往 
X17n0327_001:0472a09	有神通者。乃能入故。寶乃無上之寶。處乃不可往之	有 神 通 者 乃 能 入 故 寶 乃 無 上 之 寶 處 乃 不 可 往 之 
X17n0327_001:0472a10	處。通喻此經顯示第一義心。乃離心意意識境界。為	處 通 喻 此 經 顯 示 第 一 義 心 乃 離 心意意識 境 界 為 
X17n0327_001:0472a11	無上法門也。此經發明五法三自性皆空。八識二無	無 上 法 門 也 此 經 發 明 五 法 三 自 性 皆 空 八 識 二 無 
X17n0327_001:0472a12	我俱遣。直顯離心意意識境界。故達磨指此為心印。	我 俱 遣 直 顯 離 心意意識 境 界 故 達 磨 指 此 為 心 印 
X17n0327_001:0472a13	是則全經旨趣。在此一題。目喻發明。及夜叉王發起	是 則 全 經 旨 趣 在 此 一 題 目 喻 發 明 及 夜 叉 王 發 起 
X17n0327_001:0472a14	因緣。已盡甚深玅義矣。約天台五種釋題。此經目單	因 緣 已 盡 甚 深 玅 義 矣 約 天 台 五 種 釋 題 此 經 目 單 
X17n0327_001:0472a15	喻為名。寂滅一心如來藏性為體。自覺聖智為宗。專	喻 為 名 寂 滅 一 心 如 來 藏 性 為 體 自覺聖智 為 宗 專 
X17n0327_001:0472a16	破二乘外道邪執故。目摧邪顯正為用。目無上頓教	破 二乘外道 邪 執 故 目 摧 邪 顯 正 為 用 目 無 上 頓 教 
X17n0327_001:0472a17	大乘為教相。以此經顯示五性三乘無性闡提皆許	大 乘 為 教 相 以 此 經 顯 示 五 性 三 乘 無 性 闡 提 皆 許 
