X26n0540_001:0816b02	 般若波羅蜜多心經略疏序	 般 若 波羅蜜多 心 經 略 疏 序 
X26n0540_001:0816b05	唐翻經沙門賢首大師　法藏　著	唐 翻 經 沙 門 賢 首 大 師 法 藏 著 
X26n0540_001:0816b06	夫以真源素範。沖漠隔於筌[(ㄇ@(企止))/弟]。玅覺玄猷。奧賾超於	夫 以 真 源 素 範 沖 漠 隔 於 筌 [ㄇ企止弟] 玅 覺 玄 猷 奧 賾 超 於 
X26n0540_001:0816b07	言象。雖真俗雙泯。二諦恒存。空有兩亡。一味常顯。良	言 象 雖 真 俗 雙 泯 二 諦 恒 存 空 有 兩 亡 一 味 常 顯 良 
X26n0540_001:0816b08	以真空未嘗不有。即有以辨於空。幻有未始不空。即	以 真 空 未 嘗 不 有 即 有 以 辨 於 空 幻 有 未 始 不 空 即 
X26n0540_001:0816b09	空以明於有。有空有。故不有。空有空。故不空。不空之	空 以 明 於 有 有 空 有 故 不 有 空 有 空 故 不 空 不 空 之 
X26n0540_001:0816b10	空。空而非斷。不有之有。有而非常。四執既亡。百非俱	空 空 而 非 斷 不 有 之 有 有 而 非 常 四 執 既 亡 百 非 俱 
X26n0540_001:0816b11	遣。般若玄旨。斯之謂歟。若歷事備陳。言過二十萬頌。	遣 般 若 玄 旨 斯 之 謂 歟 若 歷 事 備 陳 言 過 二 十 萬 頌 
X26n0540_001:0816b12	若撮其樞要。理盡一十四行。是知詮真之教。乍廣略	若 撮 其 樞 要 理 盡 一 十 四 行 是 知 詮 真 之 教 乍 廣 略 
X26n0540_001:0816b13	而隨緣。超言之宗。性圓通而俱顯。般若心經者。實謂	而 隨 緣 超 言 之 宗 性 圓 通 而 俱 顯 般 若 心 經 者 實 謂 
X26n0540_001:0816b14	曜昏衢之高炬。濟苦海之迅航。拯物導迷。莫斯為最。	曜 昏 衢 之 高 炬 濟 苦 海 之 迅 航 拯 物 導 迷 莫 斯 為 最 
X26n0540_001:0816b15	然則般若以神鑑為體。波羅蜜多以到彼岸為功。心	然 則 般 若 以 神 鑑 為 體 波羅蜜多 以 到 彼 岸 為 功 心 
X26n0540_001:0816b16	顯要玅所歸。經乃貫穿言教。從法就喻。詮旨為目。故	顯 要 玅 所 歸 經 乃 貫 穿 言 教 從 法 就 喻 詮 旨 為 目 故 
X26n0540_001:0816b17	云般若波羅蜜多心經。	云 般 若 波羅蜜多 心 經 
X26n0540_001:0816b18	此序文約義豐。辭無枝葉。玩其真空。未甞不有。即	此 序 文 約 義 豐 辭 無 枝 葉 玩 其 真 空 未 甞 不 有 即 
X26n0540_001:0816b19	有以辨於空。(云云)十二轉語。撥出一個真空實相	有 以 辨 於 空 云 云 十 二 轉 語 撥 出 一 個 真 空 實 相 
X26n0540_001:0816b20	親切嚴密。非具雙眼者。莫能言也。愚每誦斯文。爽	親 切 嚴 密 非 具 雙 眼 者 莫 能 言 也 愚 每 誦 斯 文 爽 
X26n0540_001:0816b21	酥毛骨。得其印券者多矣。固不可掩師之善。亦不	酥 毛 骨 得 其 印 券 者 多 矣 固 不 可 掩 師 之 善 亦 不 
X26n0540_001:0816b22	敢自私於心。敬錄卷端。以公天下為後來同志者	敢 自 私 於 心 敬 錄 卷 端 以 公 天 下 為 後 來 同 志 者 
X26n0540_001:0816b23	的。觀光	的 觀 光 
X26n0540_001:0816c02	 般若波羅蜜多心經釋義序	 般 若 波羅蜜多 心 經 釋 義 序 
X26n0540_001:0816c05	佛說心經。首尾五十三言。能了一十二部大藏經中	佛 說 心 經 首 尾 五 十 三 言 能 了 一 十 二 部 大 藏 經 中 
X26n0540_001:0816c06	之玅義。非他經可比。故謂之了義心經。經謂之心者。	之 玅 義 非 他 經 可 比 故 謂 之 了 義 心 經 經 謂 之 心 者 
X26n0540_001:0816c07	心所以至宰乎一身。而運用乎百骸者也。夫心之時	心 所 以 至 宰 乎 一 身 而 運 用 乎 百 骸 者 也 夫 心 之 時 
X26n0540_001:0816c08	義大矣哉。何後之註解者。與經文無所發明。惟唐高	義 大 矣 哉 何 後 之 註 解 者 與 經 文 無 所 發 明 惟 唐 高 
X26n0540_001:0816c09	僧賢首。諱法藏者。所註心經略疏。及真覺諱文才者。	僧 賢 首 諱 法 藏 者 所 註 心 經 略 疏 及 真 覺 諱 文 才 者 
X26n0540_001:0816c10	註慧燈集。盡略疏之詳。此二家之註。不離本文。義理	註 慧 燈 集 盡 略 疏 之 詳 此 二 家 之 註 不 離 本 文 義 理 
X26n0540_001:0816c11	切實。但言淡意清。科條繁細。初機學者。神流氣矂。一	切 實 但 言 淡 意 清 科 條 繁 細 初 機 學 者 神 流 氣 矂 一 
