X26n0554_001:0876a03	心經貫義	心 經 貫 義 
X26n0554_001:0876a05	此經。本觀自在菩薩所修之妙行。所證之究竟涅槃。	此 經 本 觀 自 在 菩 薩 所 修 之 妙 行 所 證 之 究竟涅槃 
X26n0554_001:0876a06	妙行即行深般若。涅槃。體具三德。所謂法身般若解	妙 行 即 行 深 般 若 涅 槃 體 具 三 德 所 謂 法 身 般 若 解 
X26n0554_001:0876a07	脫。般若。即照見。法身。即蘊空。解脫。即度苦。故曰照見	脫 般 若 即 照 見 法 身 即 蘊 空 解 脫 即 度 苦 故 曰 照 見 
X26n0554_001:0876a08	五蘊皆空度一切苦厄。而佛欲人之得。同菩薩之得。	五 蘊 皆 空 度 一 切 苦 厄 而 佛 欲 人 之 得 同 菩 薩 之 得 
X26n0554_001:0876a09	故曰色不異空空不異色。復恐空色名生。不知當體	故 曰 色不異空 空不異色 復 恐 空 色 名 生 不 知 當 體 
X26n0554_001:0876a10	即是。故曰色即是空空即是色。其有欲得此者。直下	即 是 故 曰 色 即 是 空 空 即 是 色 其 有 欲 得 此 者 直 下 
X26n0554_001:0876a11	一念不生。體露真常。即名觀自在。其迷此者。身心熾	一 念 不 生 體 露 真 常 即 名 觀 自 在 其 迷 此 者 身 心 熾 
X26n0554_001:0876a12	然。是為六道四生。如或於此未能一念相應。即當秉	然 是 為 六 道 四 生 如 或 於 此 未 能 一 念 相 應 即 當 秉 
X26n0554_001:0876a13	起大丈夫志。截斷心意識路。不落卜度知見。以無分	起 大 丈 夫 志 截 斷 心 意 識 路 不 落 卜 度 知 見 以 無 分 
X26n0554_001:0876a14	別智。凝然在前。照此如幻身心。當處寂滅。即是真空。	別 智 凝 然 在 前 照 此 如 幻 身 心 當 處 寂 滅 即 是 真 空 
X26n0554_001:0876a15	真空獨露。是曰法身。法身無著。名為解脫。法身體離	真 空 獨 露 是 曰 法 身 法 身 無 著 名 為 解 脫 法 身 體 離 
X26n0554_001:0876a16	生滅虗妄等相。故無世之根塵識。法身前後際斷。故	生 滅 虗 妄 等 相 故 無 世 之 根 塵 識 法 身 前後際斷 故 
X26n0554_001:0876a17	無三世十二因緣。法身不屬世出世間因果。故無苦	無 三 世 十二因緣 法 身 不 屬 世出世間 因 果 故 無 苦 
X26n0554_001:0876a18	集滅道。法身本自圓成。初離能所修證。故無智亦無	集 滅 道 法 身 本 自 圓 成 初 離 能 所 修 證 故 無 智 亦 無 
X26n0554_001:0876a19	得。法身離一切相。而非斷滅。故以無修而修。是依般	得 法 身 離一切相 而 非 斷 滅 故 以 無 修 而 修 是 依 般 
X26n0554_001:0876a20	若波羅蜜多。以無證而證。是證究竟涅槃。以無得而	若 波羅蜜多 以 無 證 而 證 是 證 究竟涅槃 以 無 得 而 
X26n0554_001:0876a21	得。是得阿耨菩提。出入六根門頭。周遍法界。靈而莫	得 是 得 阿耨菩提 出 入 六 根 門 頭 周 遍 法 界 靈 而 莫 
X26n0554_001:0876a22	測。故曰是大神呪。靈光獨耀。故曰是大明呪。出於數	測 故 曰 是 大 神 呪 靈 光 獨 耀 故 曰 是 大 明 呪 出 於 數 
X26n0554_001:0876a23	量之表。故曰是無上呪。非三賢十聖可比。故曰是無	量 之 表 故 曰 是 無 上 呪 非 三 賢 十 聖 可 比 故 曰 是 無 
X26n0554_001:0876a24	等等呪。離名絕義。故曰揭諦揭諦。波羅揭諦。波羅僧	等 等 呪 離 名 絕 義 故 曰 揭 諦 揭 諦 波 羅 揭 諦 波 羅 僧 
X26n0554_001:0876b01	揭諦。菩提薩婆訶。	揭 諦 菩 提 薩 婆 訶 
X26n0554_001:0876b02	心經貫義(終)	心 經 貫 義 終 
