X53n0837_001:0106a06	法宗原	法 宗 原 
X53n0837_001:0106a08	大乘　光法師　撰	大 乘 光 法 師 撰 
X53n0837_001:0106a09	依說一切有部諸法宗原略有五種一色法二心法	依 說 一 切 有 部 諸 法 宗 原 略 有 五 種 一 色 法 二 心 法 
X53n0837_001:0106a10	三心所有法四心不相應行法五無為法。	三 心所有法 四 心不相應行法 五 無 為 法 
X53n0837_001:0106a11	第一色法略有十一種謂一眼二耳三鼻四舌五身	第 一 色 法 略 有 十 一 種 謂 一 眼 二 耳 三 鼻 四 舌 五 身 
X53n0837_001:0106a12	六色七聲八香九味十觸十一無表也。	六 色 七 聲 八 香 九 味 十 觸 十 一 無 表 也 
X53n0837_001:0106a13	第二心法略有一種所謂心王。	第 二 心 法 略 有 一 種 所 謂 心 王 
X53n0837_001:0106a14	第三心所有法略有四十六種謂大地法十大善地	第 三 心所有法 略 有 四 十 六 種 謂 大 地 法 十 大 善 地 
X53n0837_001:0106a15	法十大煩惱地法六大不善地法二小煩惱地法十	法 十 大煩惱地法 六 大不善地法 二 小煩惱地法 十 
X53n0837_001:0106a16	不定有八大地法十者一受二想三思四觸五欲六	不 定 有 八 大 地 法 十 者 一 受 二 想 三 思 四 觸 五 欲 六 
X53n0837_001:0106a17	惠七念八作意九勝解十三摩地大善地法十者一	惠 七 念 八 作 意 九 勝 解 十 三 摩 地 大善地法 十 者 一 
X53n0837_001:0106a18	信二不放逸三輕安四捨五慙六愧七無貪八無嗔	信 二 不 放 逸 三 輕 安 四 捨 五 慙 六 愧 七 無 貪 八 無 嗔 
X53n0837_001:0106a19	九不害十懃大煩惱地法六者一無明二放逸三懈	九 不 害 十 懃 大煩惱地法 六 者 一 無 明 二 放 逸 三 懈 
X53n0837_001:0106a20	怠四不信五惛沈六掉舉大不善地法二者一無慙	怠 四 不 信 五 惛 沈 六 掉 舉 大不善地法 二 者 一 無 慙 
X53n0837_001:0106a21	二無愧小煩惱地法十者一忿二覆三慳四嫉五惱	二 無 愧 小煩惱地法 十 者 一 忿 二 覆 三 慳 四 嫉 五 惱 
X53n0837_001:0106a22	六害七恨八謟九誑十憍不定有八者一尋二伺三	六 害 七 恨 八 謟 九 誑 十 憍 不 定 有 八 者 一 尋 二 伺 三 
X53n0837_001:0106a23	睡眠四惡作五貪六瞋七慢八疑。	睡 眠 四 惡 作 五 貪 六 瞋 七 慢 八 疑 
X53n0837_001:0106a24	第四心不相應行法略有十四一得二非得三同分	第 四 心不相應行法 略 有 十 四 一 得 二 非 得 三 同 分 
X53n0837_001:0106b01	四無想異熟五無想定六滅盡定七命根八生九住	四 無 想 異 熟 五 無 想 定 六 滅 盡 定 七 命 根 八 生 九 住 
X53n0837_001:0106b02	十異十一滅十二名十三句十四文。	十 異 十 一 滅 十 二 名 十 三 句 十 四 文 
X53n0837_001:0106b03	第五無為法略有三種一虗空二擇滅三非擇滅以	第 五 無 為 法 略 有 三 種 一 虗 空 二 擇 滅 三 非 擇 滅 以 
X53n0837_001:0106b04	上總有七十五法為諸法體應善思之。	上 總 有 七十五法 為 諸 法 體 應 善 思 之 
