X55n0907_001:0642c03	禪門章	禪 門 章 
X55n0907_001:0642c05	隋天台　智者大師　說	隋 天 台 智 者 大 師 說 
X55n0907_001:0642c06	祖習觀行。凡有三通明禪。一則次第。二非次第。三赴	祖 習 觀 行 凡 有 三 通 明 禪 一 則 次 第 二 非 次 第 三 赴 
X55n0907_001:0642c07	緣不定或次不次。若次者。初從安般數息．欲界未到．	緣 不 定 或 次 不 次 若 次 者 初 從 安 般 數 息 欲 界 未 到 
X55n0907_001:0642c08	四禪．四無量．四空．六妙門．十六特勝。通明九想．十想．	四 禪 四 無 量 四 空 六 妙 門 十 六 特 勝 通 明 九 想 十 想 
X55n0907_001:0642c09	八念．八背捨。勝處一切處變化。六通．九定．奮迅．超越	八 念 八 背 捨 勝 處 一 切 處 變 化 六 通 九 定 奮 迅 超 越 
X55n0907_001:0642c10	等行行諸禪。次從五停心．四諦．十六行。生諸品道無	等 行 行 諸 禪 次 從 五 停 心 四 諦 十 六 行 生 諸 品 道 無 
X55n0907_001:0642c11	漏根十智等行慧諸禪。乃至於佛三十四心樹下跏	漏 根 十 智 等 行 慧 諸 禪 乃 至 於 佛 三 十 四 心 樹 下 跏 
X55n0907_001:0642c12	趺斷惑成聖。齊方便教中為鈍根弟子。漸次明禪從	趺 斷 惑 成 聖 齊 方 便 教 中 為 鈍 根 弟 子 漸 次 明 禪 從 
X55n0907_001:0642c13	淺至深。一一分別不相混濫。不可以念處之名安無	淺 至 深 一 一 分 別 不 相 混 濫 不 可 以 念 處 之 名 安 無 
X55n0907_001:0642c14	學之後。不得將四空在數息之前。便乖經論不成次	學 之 後 不 得 將 四 空 在 數 息 之 前 便 乖 經 論 不 成 次 
X55n0907_001:0642c15	第。故次依案綸緒而辨名相。故言次第禪也。非次第	第 故 次 依 案 綸 緒 而 辨 名 相 故 言 次 第 禪 也 非 次 第 
X55n0907_001:0642c16	者。即是利根頓悟大乘之人。如華嚴可集八禪之眾。	者 即 是 利 根 頓 悟 大 乘 之 人 如 華 嚴 可 集 八 禪 之 眾 
