X58n1023_001:0623c06	華嚴大意	華 嚴 大 意 
X58n1023_001:0623c08	皇明　古庭善堅　撰	皇 明 古 庭 善 堅 撰 
X58n1023_001:0623c09	華嚴之說。其義也大。其文也長。非盡得其玅者。難以	華 嚴 之 說 其 義 也 大 其 文 也 長 非 盡 得 其 玅 者 難 以 
X58n1023_001:0623c10	筆舌。毗盧老人。一真三昧。于當人分上最真最切。開	筆 舌 毗 盧 老 人 一 真 三 昧 于 當 人 分 上 最 真 最 切 開 
X58n1023_001:0623c11	口也說著。不開口也說著。開口不開口總說著。一切	口 也 說 著 不 開 口 也 說 著 開 口 不 開 口 總 說 著 一 切 
X58n1023_001:0623c12	佛法。一切玄玅。一切機用。一切拈提。一切棒喝。一切	佛 法 一 切 玄 玅 一 切 機 用 一 切 拈 提 一 切 棒 喝 一 切 
X58n1023_001:0623c13	語言。一切文字。一切三昧。用則總用。不用則總不用。	語 言 一 切 文 字 一 切 三 昧 用 則 總 用 不 用 則 總 不 用 
X58n1023_001:0623c14	用與不用。總不相礙。世尊陞座。文殊白槌云。諦觀法	用 與 不 用 總 不 相 礙 世 尊 陞 座 文 殊 白 槌 云 諦 觀 法 
X58n1023_001:0623c15	王法。法王法如是。世尊便下座。文殊便是開口用處。	王 法 法 王 法 如 是 世 尊 便 下 座 文 殊 便 是 開 口 用 處 
X58n1023_001:0623c16	世尊便下座是不開口用處。到這裏世尊說箇什麼。	世 尊 便 下 座 是 不 開 口 用 處 到 這 裏 世 尊 說 箇 什 麼 
X58n1023_001:0623c17	若道有說。文殊早自錯了。若道無說。世尊陞座。又自	若 道 有 說 文 殊 早 自 錯 了 若 道 無 說 世 尊 陞 座 又 自 
X58n1023_001:0623c18	錯了。若論華藏大意。說與未說。錯與未錯。開口不開	錯 了 若 論 華 藏 大 意 說 與 未 說 錯 與 未 錯 開 口 不 開 
X58n1023_001:0623c19	口。舉目之間。一點瞞人不得。如趙州問投子。大死的	口 舉 目 之 間 一 點 瞞 人 不 得 如 趙 州 問 投 子 大 死 的 
X58n1023_001:0623c20	人却活時如何。子云。不許夜行。投明早到。似此一問	人 却 活 時 如 何 子 云 不 許 夜 行 投 明 早 到 似 此 一 問 
