X59n1084_001:0324b06	 纂要序	 纂 要 序 
X59n1084_001:0324b08	閱大藏作陀羅尼法。須得五智灌頂。紹阿闍黎位。方	閱 大 藏 作 陀 羅 尼 法 須 得 五 智 灌 頂 紹 阿 闍 黎 位 方 
X59n1084_001:0324b09	可傳授。若不爾者。自招殃咎。此世尊授阿難之密囑	可 傳 授 若 不 爾 者 自 招 殃 咎 此 世 尊 授 阿 難 之 密 囑 
X59n1084_001:0324b10	耳。相傳既久。法臣成弊。後蓮大師去華就實。稽古考	耳 相 傳 既 久 法 臣 成 弊 後 蓮 大 師 去 華 就 實 稽 古 考 
X59n1084_001:0324b11	定。時流奇好。痛口訶責。今觀	定 時 流 奇 好 痛 口 訶 責 今 觀 
X59n1084_001:0324b12	巨澈上座之纂要。深得先哲之訓。以正季世之訛。可	巨 澈 上 座 之 纂 要 深 得 先 哲 之 訓 以 正 季 世 之 訛 可 
X59n1084_001:0324b13	謂洞開古詻。枝蔓剪除。功補緇門。饒益有情者也。	謂 洞 開 古 詻 枝 蔓 剪 除 功 補 緇 門 饒益有情 者 也 
X59n1084_001:0324b14	歲在乙卯重陽前五日桃村無隱千峰立書。	歲 在 乙 卯 重 陽 前 五 日 桃 村 無 隱 千 峰 立 書 
X59n1084_001:0324b20	 瑜伽燄口儀軌六則	 瑜 伽 燄 口 儀 軌 六 則 
X59n1084_001:0324b22	苕水(子若觀內衡銓)仝攷正	苕 水 子 若 觀 內 衡 銓 仝 攷 正 
X59n1084_001:0324b23	瑜伽密教	瑜 伽 密 教 
X59n1084_001:0324b24	釋迦說灋。有顯有密。顯通大小。密唯大乘。瑜伽本	釋 迦 說 灋 有 顯 有 密 顯 通 大 小 密 唯 大 乘 瑜 伽 本 
X59n1084_001:0324c01	經。都十萬偈。有十八會。除十八會。餘經屬顯。今大	經 都 十 萬 偈 有 十 八 會 除 十 八 會 餘 經 屬 顯 今 大 
X59n1084_001:0324c02	藏中。佛說救拔燄口餓鬼陀羅尼經。是不空譯。佛	藏 中 佛 說 救 拔 燄 口 餓 鬼 陀 羅 尼 經 是 不 空 譯 佛 
X59n1084_001:0324c03	說救面然餓鬼陀羅尼神呪經。實叉難陀譯。一經	說 救 面 然 餓 鬼 陀 羅 尼 神 呪 經 實 叉 難 陀 譯 一 經 
X59n1084_001:0324c04	二譯。俱唯有變食真言。此經自屬顯教。不空又譯	二 譯 俱 唯 有 變 食 真 言 此 經 自 屬 顯 教 不 空 又 譯 
X59n1084_001:0324c05	出瑜伽集要救阿難陀羅尼燄口儀軌經。復用密	出 瑜 伽 集 要 救 阿 難 陀 羅 尼 燄 口 儀 軌 經 復 用 密 
X59n1084_001:0324c06	部大悲空智儀軌經云。瑜伽即相應義。謂一切乘	部 大 悲 空 智 儀 軌 經 云 瑜 伽 即 相 應 義 謂 一 切 乘 
X59n1084_001:0324c07	境行果所有諸法。皆相應也。其密教相。如顯密圓	境 行 果 所 有 諸 法 皆 相 應 也 其 密 教 相 如 顯 密 圓 
X59n1084_001:0324c08	通中說。施食緣起。如本經說。	通 中 說 施 食 緣 起 如 本 經 說 
X59n1084_001:0324c09	壇儀	壇 儀 
X59n1084_001:0324c10	一切如來真實攝經說。大曼茶囉有五部。初佛部。	一 切 如 來 真 實 攝 經 說 大 曼 茶 囉 有 五 部 初 佛 部 
X59n1084_001:0324c11	毗盧遮那佛為部主。次金剛部。阿閦佛為部主。次	毗 盧 遮 那 佛 為 部 主 次 金 剛 部 阿 閦 佛 為 部 主 次 
X59n1084_001:0324c12	寶部。寶生佛為部主。次蓮華部。阿彌陀佛為部主。	寶 部 寶 生 佛 為 部 主 次 蓮 華 部 阿 彌 陀 佛 為 部 主 
X59n1084_001:0324c13	次羯磨部。不空成就佛為部主。又五部各有四大	次 羯 磨 部 不 空 成 就 佛 為 部 主 又 五 部 各 有 四 大 
X59n1084_001:0324c14	品。一金剛界。二降三世。三徧調伏。四一切義成就。	品 一 金 剛 界 二 降 三 世 三 徧 調 伏 四 一切義成就 
X59n1084_001:0324c15	又四品中各建立六曼茶囉。所謂大曼茶囉。三昧	又 四 品 中 各 建 立 六 曼 茶 囉 所 謂 大 曼 茶 囉 三 昧 
X59n1084_001:0324c16	耶曼茶囉。法曼茶囉。羯磨曼茶囉。四印曼茶囉。一	耶 曼 茶 囉 法 曼 茶 囉 羯 磨 曼 茶 囉 四 印 曼 茶 囉 一 
X59n1084_001:0324c17	印曼茶囉。今本壇儀。于五部中。屬蓮華部。于四大	印 曼 茶 囉 今 本 壇 儀 于 五 部 中 屬 蓮 華 部 于 四 大 
X59n1084_001:0324c18	品。徧是調伏。千手千眼觀自在菩薩念誦儀軌。明四	品 徧 是 調 伏 千 手 千 眼 觀 自 在 菩 薩 念 誦 儀 軌 明 四 
X59n1084_001:0324c19	種壇法。所謂息災增益敬愛降伏。今是增益。出世	種 壇 法 所 謂 息 災 增 益 敬 愛 降 伏 今 是 增 益 出 世 
X59n1084_001:0324c20	悉地。梵語曼茶囉。或云曼荼囉等。有翻即壇義。準	悉 地 梵 語 曼 茶 囉 或 云 曼 荼 囉 等 有 翻 即 壇 義 準 
X59n1084_001:0324c21	千手眼儀軌中。結纔發意轉法輪菩薩印云。以印	千 手 眼 儀 軌 中 結 纔 發 意 轉法輪菩薩 印 云 以 印 
X59n1084_001:0324c22	置身前空中。即滿虗空界。成大曼茶囉。以印安于	置 身 前 空 中 即 滿 虗 空 界 成 大 曼 茶 囉 以 印 安 于 
X59n1084_001:0324c23	心上。即自身成大曼茶囉等。則知曼茶囉非止是	心 上 即 自 身 成 大 曼 茶 囉 等 則 知 曼 茶 囉 非 止 是 
X59n1084_001:0324c24	壇義。後當再明。而本經儀軌名三昧耶壇者。即與	壇 義 後 當 再 明 而 本 經 儀 軌 名 三 昧 耶 壇 者 即 與 
X59n1084_001:0325a01	弟子及鬼神授戒壇也。般若理趣釋中。梵語三昧	弟 子 及 鬼 神 授 戒 壇 也 般 若 理 趣 釋 中 梵 語 三 昧 
X59n1084_001:0325a02	耶含四義。第四義云。三昧耶亦為曼茶囉之異名。	耶 含 四 義 第 四 義 云 三 昧 耶 亦 為 曼 茶 囉 之 異 名 
X59n1084_001:0325a03	故六曼茶囉中。第二名三昧耶曼茶囉。其名義一	故 六 曼 茶 囉 中 第 二 名 三 昧 耶 曼 茶 囉 其 名 義 一 
X59n1084_001:0325a04	也。金剛頂瑜伽略出念誦法。有畵像壇手印壇。此	也 金 剛 頂 瑜 伽 略 出 念 誦 法 有 畵 像 壇 手 印 壇 此 
X59n1084_001:0325a05	用手印壇也。手印壇亦名隨心壇。隨心變現故。千	用 手 印 壇 也 手 印 壇 亦 名 隨 心 壇 隨 心 變 現 故 千 
X59n1084_001:0325a06	手眼觀自在菩薩十肘曼茶囉法門云。以曾入大	手 眼 觀 自 在 菩 薩 十 肘 曼 茶 囉 法 門 云 以 曾 入 大 
X59n1084_001:0325a07	會三曼拏囉金剛大道場者。不須作曼拏囉。唯結	會 三 曼 拏 囉 金 剛 大 道 場 者 不 須 作 曼 拏 囉 唯 結 
X59n1084_001:0325a08	印誦呪。無願不果。大毗盧遮那成佛神變經本尊	印 誦 呪 無 願 不 果 大 毗 盧 遮 那 成 佛 神 變 經 本 尊 
X59n1084_001:0325a09	三昧品云。諸尊有三種身。所謂字印形相。其畵像	三 昧 品 云 諸 尊 有 三 種 身 所 謂 字 印 形 相 其 畵 像 
X59n1084_001:0325a10	法。必須作曼拏囉如法故。藏本集施食儀。人慮末	法 必 須 作 曼 拏 囉 如 法 故 藏 本 集 施 食 儀 人 慮 末 
X59n1084_001:0325a11	世不能建畵像曼拏囉。亦恐不得金剛阿闍黎。故	世 不 能 建 畵 像 曼 拏 囉 亦 恐 不 得 金 剛 阿 闍 黎 故 
X59n1084_001:0325a12	權用大輪明王呪印。與轉法輪呪印起首。深為有	權 用 大 輪 明 王 呪 印 與 轉 法 輪 呪 印 起 首 深 為 有 
X59n1084_001:0325a13	理。宜可準行。又曼拏疏云。夫為道者。析運為宗。上	理 宜 可 準 行 又 曼 拏 疏 云 夫 為 道 者 析 運 為 宗 上 
X59n1084_001:0325a14	若不供諸佛菩薩。何處展智。欲求菩提。下若不濟	若 不 供 諸佛菩薩 何 處 展 智 欲 求 菩 提 下 若 不 濟 
X59n1084_001:0325a15	諸仙餓鬼。何處行悲。以度薩埵。有信之流。無遺斯	諸 仙 餓 鬼 何 處 行 悲 以 度 薩 埵 有 信 之 流 無 遺 斯 
X59n1084_001:0325a16	業。今本印現壇儀以前。是上供求菩提。啟告以後。	業 今 本 印 現 壇 儀 以 前 是 上 供 求 菩 提 啟 告 以 後 
X59n1084_001:0325a17	是下濟度薩埵。	是 下 濟 度 薩 埵 
X59n1084_001:0325a18	阿闍黎(國師金剛智。乃西域人。親傳龍智阿闍黎法。唐開元七年來支那。所至結	阿 闍 黎 國 師 金 剛 智 乃 西 域 人 親 傳 龍 智 阿 闍 黎 法 唐 開 元 七 年 來 支 那 所 至 結 
X59n1084_001:0325a19	壇。作灌頂道場。即此土阿闍黎之始祖也)。	壇 作 灌 頂 道 場 即 此 土 阿 闍 黎 之 始 祖 也 
X59n1084_001:0325a20	準瑜伽大教王經。乃是十地灌頂位菩薩。其次或	準 瑜 伽 大 教 王 經 乃 是 十 地 灌 頂 位 菩 薩 其 次 或 
X59n1084_001:0325a21	是解行地菩薩。故最上大乘金剛大教寶王經。稱	是 解 行 地 菩 薩 故 最 上 大 乘 金 剛 大 教 寶 王 經 稱 
X59n1084_001:0325a22	為金剛阿闍黎。燄口儀軌經云。若樂修行者。應從	為 金 剛 阿 闍 黎 燄 口 儀 軌 經 云 若 樂 修 行 者 應 從 
X59n1084_001:0325a23	瑜伽阿闍黎學。發無上大菩提心。受三昧耶戒。入	瑜 伽 阿 闍 黎 學 發 無 上 大菩提心 受 三 昧 耶 戒 入 
X59n1084_001:0325a24	大曼拏囉。得灌頂者。然許受之。受大毗盧遮那如	大 曼 拏 囉 得 灌 頂 者 然 許 受 之 受 大 毗 盧 遮 那 如 
X59n1084_001:0325b01	來五智灌頂。紹阿闍黎位。方可傳教也。若不爾者。	來 五 智 灌 頂 紹 阿 闍 黎 位 方 可 傳 教 也 若 不 爾 者 
X59n1084_001:0325b02	遞相不許。設爾修行。自招殃咎。成盜法罪。終無功	遞 相 不 許 設 爾 修 行 自 招 殃 咎 成 盜 法 罪 終 無 功 
X59n1084_001:0325b03	效。佛說持明藏儀軌經云。行人若欲修習諸成就	效 佛 說 持 明 藏 儀 軌 經 云 行 人 若 欲 修 習 諸 成 就 
X59n1084_001:0325b04	法者。先須修習觀智。及諸印相。皆令精熟。毋使謬	法 者 先 須 修 習 觀 智 及 諸 印 相 皆 令 精 熟 毋 使 謬 
X59n1084_001:0325b05	誤。于作法時。若稍疑誤。不成印契。即賢聖不喜。凡	誤 于 作 法 時 若 稍 疑 誤 不 成 印 契 即 賢 聖 不 喜 凡 
X59n1084_001:0325b06	所祈求。不獲成就。	所 祈 求 不 獲 成 就 
