X60n1112_001:0080a03	蓬折箴	蓬 折 箴 
X60n1112_001:0080a06	傳曰實行韜光高而不名寡德適時名而不高吾宗	傳 曰 實 行 韜 光 高 而 不 名 寡 德 適 時 名 而 不 高 吾 宗 
X60n1112_001:0080a07	有鐵翁者自謂實學好揚名於後世高則不高名品	有 鐵 翁 者 自 謂 實 學 好 揚 名 於 後 世 高 則 不 高 名 品 
X60n1112_001:0080a08	非名鳥鼠之喻可也羊齒右吾之後聞律亦未我先	非 名 鳥 鼠 之 喻 可 也 羊 齒 右 吾 之 後 聞 律 亦 未 我 先 
X60n1112_001:0080a09	性好攻異評薄前人為先師所惡每謂彼輕狂出言	性 好 攻 異 評 薄 前 人 為 先 師 所 惡 每 謂 彼 輕 狂 出 言 
X60n1112_001:0080a10	無度有束篾之詣余雖知彼天性且爾品可住其勤	無 度 有 束 篾 之 詣 余 雖 知 彼 天 性 且 爾 品 可 住 其 勤 
X60n1112_001:0080a11	使學而知之惜乎曾未經遠勃興慢習初無正傳唯	使 學 而 知 之 惜 乎 曾 未 經 遠 勃 興 慢 習 初 無 正 傳 唯 
X60n1112_001:0080a12	自師心妄生穿鑿戕賊祖教傍若無人規攝愚徒斐	自 師 心 妄 生 穿 鑿 戕 賊 祖 教 傍 若 無 人 規 攝 愚 徒 斐 
X60n1112_001:0080a13	然著撰甚多紕繆略不缺疑若較之於祖道未甞染	然 著 撰 甚 多 紕 繆 略 不 缺 疑 若 較 之 於 祖 道 未 甞 染 
X60n1112_001:0080a14	指叨名叨位者彼亦粗有取焉余紹定間退自三山	指 叨 名 叨 位 者 彼 亦 粗 有 取 焉 余 紹 定 間 退 自 三 山 
X60n1112_001:0080a15	叨濫湖心座司一日忽來相訪袖出所撰文藁一卷	叨 濫 湖 心 座 司 一 日 忽 來 相 訪 袖 出 所 撰 文 藁 一 卷 
X60n1112_001:0080a16	口謂求證意意在程伎素知彼不識分量妄作可[女*血]	口 謂 求 證 意 意 在 程 伎 素 知 彼 不 識 分 量 妄 作 可 [女血] 
X60n1112_001:0080a17	說妙談玄既無尺寸如遠方村民誇於上國醜婦說	說 妙 談 玄 既 無 尺 寸 如 遠 方 村 民 誇 於 上 國 醜 婦 說 
X60n1112_001:0080a18	少時容貌略無羞灑余正若醒人隌於醉漢只不苦	少 時 容 貌 略 無 羞 灑 余 正 若 醒 人 隌 於 醉 漢 只 不 苦 
X60n1112_001:0080a19	較其是非置於案上經乎載後作一書略示幾件太	較 其 是 非 置 於 案 上 經 乎 載 後 作 一 書 略 示 幾 件 太 
X60n1112_001:0080a20	叨濫處而送還之未知此文今亦流傳否淳祐初於	叨 濫 處 而 送 還 之 未 知 此 文 今 亦 流 傳 否 淳 祐 初 於 
X60n1112_001:0080a21	滄洲方丈忽得終南家業一見名題不勝忻仰豈謂	滄 洲 方 丈 忽 得 終 南 家 業 一 見 名 題 不 勝 忻 仰 豈 謂 
X60n1112_001:0080a22	宗中有此寧馨及至展卷臨之披讀首章元來恰是	宗 中 有 此 寧 馨 及 至 展 卷 臨 之 披 讀 首 章 元 來 恰 是 
X60n1112_001:0080a23	懷家之子破題便謂吾祖弘律以妙觀為本蓋唯律	懷 家 之 子 破 題 便 謂 吾 祖 弘 律 以 妙 觀 為 本 蓋 唯 律 
X60n1112_001:0080a24	中觀念對治常爾一心念除諸蓋等但猶屬小觀故	中 觀 念 對 治 常 爾 一 心 念 除 諸 蓋 等 但 猶 屬 小 觀 故 
X60n1112_001:0080b01	引唯識妙觀而導之為弘律本未審吾祖為弘律耶	引 唯 識 妙 觀 而 導 之 為 弘 律 本 未 審 吾 祖 為 弘 律 耶 
X60n1112_001:0080b02	為弘觀耶若謂弘律律何無本若謂弘觀何云弘律	為 弘 觀 耶 若 謂 弘 律 律 何 無 本 若 謂 弘 觀 何 云 弘 律 
X60n1112_001:0080b03	謂雙弘在人據行無可不可既言弘律正是約教教	謂 雙 弘 在 人 據 行 無 可 不 可 既 言 弘 律 正 是 約 教 教 
X60n1112_001:0080b04	有耳在何庸借本斷彼為心欲顯吾宗非事相之學	有 耳 在 何 庸 借 本 斷 彼 為 心 欲 顯 吾 宗 非 事 相 之 學 
X60n1112_001:0080b05	謂能除究超拔苦賢豈知翻為不識心境弄巧成拙	謂 能 除 究 超 拔 苦 賢 豈 知 翻 為 不 識 心 境 弄 巧 成 拙 
X60n1112_001:0080b06	文中所論衣食四儀諸戒對治用心之處在日用時	文 中 所 論 衣 食 四 儀 諸 戒 對 治 用 心 之 處 在 日 用 時 
X60n1112_001:0080b07	須故曲盡規猷正明戒行彼謂妙觀乃是迷名不知	須 故 曲 盡 規 猷 正 明 戒 行 彼 謂 妙 觀 乃 是 迷 名 不 知 
X60n1112_001:0080b08	於何處持戒而論心境即事而真除位方能至此地	於 何 處 持 戒 而 論 心 境 即 事 而 真 除 位 方 能 至 此 地 
X60n1112_001:0080b09	位亦何忘戒祖教專弘所被之人本為新學除明觀	位 亦 何 忘 戒 祖 教 專 弘 所 被 之 人 本 為 新 學 除 明 觀 
X60n1112_001:0080b10	慧酌示境緣是約圓宗而成受體善惡事法正作奉	慧 酌 示 境 緣 是 約 圓 宗 而 成 受 體 善 惡 事 法 正 作 奉 
X60n1112_001:0080b11	持識對五塵不容微蹤要令愽地發趣知歸大小雖	持 識 對 五 塵 不 容 微 蹤 要 令 愽 地 發 趣 知 歸 大 小 雖 
