X60n1115_001:0157a03	毗尼日用切要	毗 尼 日 用 切 要 
X60n1115_001:0157a05	寶華山弘戒比丘　讀體　彚集	寶 華 山 弘 戒 比 丘 讀 體 彚 集 
X60n1115_001:0157a06	早覺(經律通制。出家弟子。初夜。後夜。精勤佛道勿貪睡眠。懶惰放逸。故惺覺時。當誦此偈)。	早 覺 經 律 通 制 出 家 弟 子 初 夜 後 夜 精 勤 佛 道 勿 貪 睡 眠 懶 惰 放 逸 故 惺 覺 時 當 誦 此 偈 
X60n1115_001:0157a07	　睡眠始寤　　當願眾生　　一切智覺　　周顧十方	 睡 眠 始 寤 當 願 眾 生 一 切 智 覺 周 顧 十 方 
X60n1115_001:0157a08	鳴鐘(凡晨昏鳴鐘時。詣鐘前。至誠合掌。誦此偈已。手方鳴鐘。口或誦諸佛德號。或誦大乘經名。	鳴 鐘 凡 晨 昏 鳴 鐘 時 詣 鐘 前 至 誠 合 掌 誦 此 偈 已 手 方 鳴 鐘 口 或 誦 諸 佛 德 號 或 誦 大 乘 經 名 
X60n1115_001:0157a09	或誦祕呪。令一切有情。聞聲離苦。咸得解脫)。	或 誦 祕 呪 令 一切有情 聞 聲 離 苦 咸 得 解 脫 
X60n1115_001:0157a10	　願此鐘聲超法界　　鐵圍幽闇悉皆聞	 願 此 鐘 聲 超 法 界 鐵 圍 幽 闇 悉 皆 聞 
X60n1115_001:0157a11	　聞塵清淨證圓通　　一切眾生成正覺	 聞 塵 清 淨 證 圓 通 一 切 眾 生 成 正 覺 
X60n1115_001:0157a12	聞鐘(晨昏於行住坐臥間。一聞鐘聲時。即誦此偈呪)。	聞 鐘 晨 昏 於 行住坐臥 間 一 聞 鐘 聲 時 即 誦 此 偈 呪 
X60n1115_001:0157a13	　聞鐘聲　　煩惱輕　　智慧長　　菩提生	 聞 鐘 聲 煩 惱 輕 智 慧 長 菩 提 生 
X60n1115_001:0157a14	　離地獄　　出火坑　　願成佛　　度眾生	 離 地 獄 出 火 坑 願 成 佛 度 眾 生 
