X60n1120_001:0334a03	 序言	 序 言 
X60n1120_001:0334a05	佛言乘戒俱急。即祖言解行相應。禪與戒。佛祖未甞	佛 言 乘 戒 俱 急 即 祖 言 解 行 相 應 禪 與 戒 佛 祖 未 甞 
X60n1120_001:0334a06	畫為二法也。去聖時遙。法門好諍。習禪者呵木叉為	畫 為 二 法 也 去 聖 時 遙 法 門 好 諍 習 禪 者 呵 木 叉 為 
X60n1120_001:0334a07	粃糠。而恣意莾蕩。縛律者視參究如水火。而執相終	粃 糠 而 恣 意 莾 蕩 縛 律 者 視 參 究 如 水 火 而 執 相 終 
X60n1120_001:0334a08	身。大同法中。割裂殆盡。惟天山老人。遵　先佛遺勑。	身 大 同 法 中 割 裂 殆 盡 惟 天 山 老 人 遵 先 佛 遺 勑 
X60n1120_001:0334a09	示禪以培佛命。弘律以選人根。雙眼圓明。昭于日月	示 禪 以 培 佛 命 弘 律 以 選 人 根 雙 眼 圓 明 昭 于 日 月 
X60n1120_001:0334a10	矣。我石樹岳兄。博洽多聞。識法懷懼。匿影萬峯。較讐	矣 我 石 樹 岳 兄 博 洽 多 聞 識 法 懷 懼 匿 影 萬 峯 較 讐 
X60n1120_001:0334a11	碧巖集。已經刊布。又慨律學荒蕪。漸成淺陋。先取沙	碧 巖 集 已 經 刊 布 又 慨 律 學 荒 蕪 漸 成 淺 陋 先 取 沙 
X60n1120_001:0334a12	彌要略毗尼日用。蒐刮義類。參合箋釋。自琅函海藏。	彌 要 略 毗 尼 日 用 蒐 刮 義 類 參 合 箋 釋 自 琅 函 海 藏 
X60n1120_001:0334a13	逮世間經史。內外典籍。無不搜羅。又每事逐句下。穿	逮 世 間 經 史 內 外 典 籍 無 不 搜 羅 又 每 事 逐 句 下 穿 
X60n1120_001:0334a14	貫禪燈。引據公案。不惟初學童蒙開卷瞭然。知禪律	貫 禪 燈 引 據 公 案 不 惟 初 學 童 蒙 開 卷 瞭 然 知 禪 律 
X60n1120_001:0334a15	同條。即老於參學者。欲得深細行持。亦必向此中潛	同 條 即 老 於 參 學 者 欲 得 深 細 行 持 亦 必 向 此 中 潛 
X60n1120_001:0334a16	討。初祖言。皮肉骨髓。一以貫之矣。昔雲棲蓮翁。以彌	討 初 祖 言 皮 肉 骨 髓 一 以 貫 之 矣 昔 雲 棲 蓮 翁 以 彌 
X60n1120_001:0334a17	陀經。演為疏鈔。或謂經本顯明。反成深晦。不知佛法	陀 經 演 為 疏 鈔 或 謂 經 本 顯 明 反 成 深 晦 不 知 佛 法 
X60n1120_001:0334a18	本無淺深。粗言細語。皆第一義。正眼迷麻。雖栗棘金	本 無 淺 深 粗 言 細 語 皆 第 一 義 正 眼 迷 麻 雖 栗 棘 金 
X60n1120_001:0334a19	圈。亦是門頭戶口。智照洞明。即市語街談。皆成金章	圈 亦 是 門 頭 戶 口 智 照 洞 明 即 市 語 街 談 皆 成 金 章 
X60n1120_001:0334a20	玉句。何要略日用。不可神而明之也哉。願讀是集者。	玉 句 何 要 略 日 用 不 可 神 而 明 之 也 哉 願 讀 是 集 者 
X60n1120_001:0334a21	廓去樊籬。勿以大小精觕起見。庶乘戒俱急。行解相	廓 去 樊 籬 勿 以 大 小 精 觕 起 見 庶 乘 戒 俱 急 行 解 相 
X60n1120_001:0334a22	應。為末法大光明幢矣。乎是為序。	應 為 末 法 大 光 明 幢 矣 乎 是 為 序 
X60n1120_001:0334a23	靈隱晦山法弟戒顯題并書	靈 隱 晦 山 法 弟 戒 顯 題 并 書 
X60n1120_001:0334b06	 自序	 自 序 
X60n1120_001:0334b08	余時在黃山慈光寺。展閱龍藏。至沙彌諸經。函函如	余 時 在 黃 山 慈 光 寺 展 閱 龍 藏 至 沙 彌 諸 經 函 函 如 
X60n1120_001:0334b09	日月麗天。不覺合掌讚歎曰。此經乃佛佛祖祖之關	日 月 麗 天 不 覺 合 掌 讚 歎 曰 此 經 乃 佛 佛 祖 祖 之 關 
X60n1120_001:0334b10	鍵也。如法華十六王子。請佛轉法輪。同時為沙彌。言	鍵 也 如 法 華 十 六 王 子 請 佛 轉 法 輪 同 時 為 沙 彌 言 
X60n1120_001:0334b11	教尚存。五燈趙州仰山。亦同時為沙彌。公案現在。未	教 尚 存 五 燈 趙 州 仰 山 亦 同 時 為 沙 彌 公 案 現 在 未 
X60n1120_001:0334b12	聞古人纔出母胎。便續燈傳也。既而較閱世本。惟雲	聞 古 人 纔 出 母 胎 便 續 燈 傳 也 既 而 較 閱 世 本 惟 雲 
X60n1120_001:0334b13	棲沙彌要略盛行。疑者謂。佛經反不及要略。或謂佛	棲 沙 彌 要 略 盛 行 疑 者 謂 佛 經 反 不 及 要 略 或 謂 佛 
X60n1120_001:0334b14	經文句。古奧難誦。賴我雲棲蓮翁。乃西方聖人再來。	經 文 句 古 奧 難 誦 賴 我 雲 棲 蓮 翁 乃 西 方 聖 人 再 來 
X60n1120_001:0334b15	降跡武林。玩遊庠序。而作沙門。言音與此方相契。學	降 跡 武 林 玩 遊 庠 序 而 作 沙 門 言 音 與 此 方 相 契 學 
X60n1120_001:0334b16	者便於讀誦。故觀其解十戒斷法如春秋。解威儀章	者 便 於 讀 誦 故 觀 其 解 十 戒 斷 法 如 春 秋 解 威 儀 章 
X60n1120_001:0334b17	法如禮記。然讀春秋者。不精研四傳。無以知春秋之	法 如 禮 記 然 讀 春 秋 者 不 精 研 四 傳 無 以 知 春 秋 之 
X60n1120_001:0334b18	源流。讀禮記者。不窮究諸史。不能達禮記之根本。況	源 流 讀 禮 記 者 不 窮 究 諸 史 不 能 達 禮 記 之 根 本 況 
X60n1120_001:0334b19	讀沙彌諸經。不深入經藏。曷為得宗旨哉。今要略。兼	讀 沙 彌 諸 經 不 深 入 經 藏 曷 為 得 宗 旨 哉 今 要 略 兼 
X60n1120_001:0334b20	通內外經史。宜乎盛行於世。但其間有不可解者。沙	通 內 外 經 史 宜 乎 盛 行 於 世 但 其 間 有 不 可 解 者 沙 
X60n1120_001:0334b21	彌諸經。元無偈呪。要略以別經偈呪。編入威儀篇中。	彌 諸 經 元 無 偈 呪 要 略 以 別 經 偈 呪 編 入 威 儀 篇 中 
X60n1120_001:0334b22	此眾人不敢為。而獨為之。乃見其識鑑力量。大有過	此 眾 人 不 敢 為 而 獨 為 之 乃 見 其 識 鑑 力 量 大 有 過 
