X62n1211_001:0825c06	 觀河集敘	 觀 河 集 敘 
X62n1211_001:0825c08	昔梵志出家。白首而歸。鄰人見之曰。昔人尚存乎。梵	昔 梵 志 出 家 白 首 而 歸 鄰 人 見 之 曰 昔 人 尚 存 乎 梵 
X62n1211_001:0825c09	志曰。吾猶昔人。非昔人也。予嘗味其言而悲之。予之	志 曰 吾 猶 昔 人 非 昔 人 也 予 嘗 味 其 言 而 悲 之 予 之 
X62n1211_001:0825c10	生。四十年於茲矣。思今歲之予。非猶夫往歲之予也。	生 四 十 年 於 茲 矣 思 今 歲 之 予 非 猶 夫 往 歲 之 予 也 
X62n1211_001:0825c11	思今日之予。非猶夫昨日之予也。薪火不停。念念遷	思 今 日 之 予 非 猶 夫 昨 日 之 予 也 薪 火 不 停 念 念 遷 
X62n1211_001:0825c12	謝。求其所以為予者。而不可得也。以不可得之予。斤	謝 求 其 所 以 為 予 者 而 不 可 得 也 以 不 可 得 之 予 斤 
X62n1211_001:0825c13	斤焉執而據之以為有。是非憎愛。紛紜轇轕。與生而	斤 焉 執 而 據 之 以 為 有 是 非 憎 愛 紛 紜 轇 轕 與 生 而 
X62n1211_001:0825c14	俱盡。誠可為痛心而顣頟者矣。雖然。此特言乎其變	俱 盡 誠 可 為 痛 心 而 顣 頟 者 矣 雖 然 此 特 言 乎 其 變 
X62n1211_001:0825c15	者耳。知其不可得也。而未始據之以為有。則其變者。	者 耳 知 其 不 可 得 也 而 未 始 據 之 以 為 有 則 其 變 者 
X62n1211_001:0825c16	即其不變者也。知變者之不變。雖萬死萬生。直與一	即 其 不 變 者 也 知 變 者 之 不 變 雖 萬 死 萬 生 直 與 一 
X62n1211_001:0825c17	剎那間等無有異。況其在四十年之頃哉。予年十八。	剎 那 間 等無有異 況 其 在 四 十 年 之 頃 哉 予 年 十 八 
X62n1211_001:0825c18	始為詩。積二十餘年。所作既多。編為二集。一為測海	始 為 詩 積 二 十 餘 年 所 作 既 多 編 為 二 集 一 為 測 海 
X62n1211_001:0825c19	集。專錄　列朝聖德詩。及思賢諸詠。一名觀河集。大	集 專 錄 列 朝 聖 德 詩 及 思 賢 諸 詠 一 名 觀 河 集 大 
X62n1211_001:0825c20	都感物興懷。永言成韻。其間天倫之離合。人事之進	都 感 物 興 懷 永 言 成 韻 其 間 天 倫 之 離 合 人 事 之 進 
X62n1211_001:0825c21	退。道術之從韋。具可攷而知焉。佛在祇桓精舍。為波	退 道 術 之 從 韋 具 可 攷 而 知 焉 佛 在 祇 桓 精 舍 為 波 
X62n1211_001:0825c22	斯匿王說法。問汝今觀此恒河。與昔童時觀河之見。	斯 匿 王 說 法 問 汝 今 觀 此 恒 河 與 昔 童 時 觀 河 之 見 
X62n1211_001:0825c23	有童耄否。答言不也。佛言。變者受滅。彼不變者原無	有 童 耄 否 答 言 不 也 佛 言 變 者 受 滅 彼 不 變 者 原 無 
X62n1211_001:0825c24	生滅。云何於中受汝生死。且奚獨童之與耄哉。由是	生 滅 云 何 於 中 受 汝 生 死 且 奚 獨 童 之 與 耄 哉 由 是 
X62n1211_001:0826a01	而百年千年。一劫十劫。乃至無量阿僧祇劫。見性不	而 百 年 千 年 一 劫 十 劫 乃 至 無量阿僧祇劫 見 性 不 
X62n1211_001:0826a02	遷。非童非耄。不離當念。直證菩提。是詩之作。無作者。	遷 非 童 非 耄 不 離 當 念 直 證 菩 提 是 詩 之 作 無 作 者 
X62n1211_001:0826a03	無無作者。其為觀也。若是而已矣。子在川上曰。逝者	無 無 作 者 其 為 觀 也 若 是 而 已 矣 子 在 川 上 曰 逝 者 
X62n1211_001:0826a04	如斯夫。不舍晝夜。其為觀也。亦若是而已矣。乾隆四	如 斯 夫 不 舍 晝 夜 其 為 觀 也 亦 若 是 而 已 矣 乾 隆 四 
X62n1211_001:0826a05	十四年。季春之望。彭升紹題。	十 四 年 季 春 之 望 彭 升 紹 題 
X62n1211_001:0826a08	觀河集節鈔	觀 河 集 節 鈔 
X62n1211_001:0826a10	知歸子彭際清著私淑弟子節鈔	知 歸 子 彭 際 清 著 私 淑 弟 子 節 鈔 
X62n1211_001:0826a11	會試榜發獲雋引疾不與殿試	會 試 榜 發 獲 雋 引 疾 不 與 殿 試 
X62n1211_001:0826a12	桂樹鬱奇懷。耐寒差自喜。殷勤謝東風。風吹不結子。	桂 樹 鬱 奇 懷 耐 寒 差 自 喜 殷 勤 謝 東 風 風 吹 不 結 子 
X62n1211_001:0826a13	古意	古 意 
X62n1211_001:0826a14	采得江頭春。移接堂前樹。枯榮兩難分。一氣誰所鑄。	采 得 江 頭 春 移 接 堂 前 樹 枯 榮 兩 難 分 一 氣 誰 所 鑄 
X62n1211_001:0826a15	臯橋懷梁伯鸞	臯 橋 懷 梁 伯 鸞 
X62n1211_001:0826a16	五噫賦就別京華。遠慕延陵向海涯。義薄君臣還念	五 噫 賦 就 別 京 華 遠 慕 延 陵 向 海 涯 義 薄 君 臣 還 念 
X62n1211_001:0826a17	友。身攜妻子更無家。逸情久逐寒流逝。殘照猶依野。	友 身 攜 妻 子 更 無 家 逸 情 久 逐 寒 流 逝 殘 照 猶 依 野 
X62n1211_001:0826a18	渡斜。不耐再尋梅尉市。紅塵何處臥煙霞。	渡 斜 不 耐 再 尋 梅 尉 市 紅 塵 何 處 臥 煙 霞 
X62n1211_001:0826a19	汪大紳詒余論學詩輙為繼作(錄一)	汪 大 紳 詒 余 論 學 詩 輙 為 繼 作 錄 一 
X62n1211_001:0826a20	汪子簡交游。乘興時來往。淡懷若無情。密意儼相餉。	汪 子 簡 交 游 乘 興 時 來 往 淡 懷 若 無 情 密 意 儼 相 餉 
X62n1211_001:0826a21	春風開哉扉。明日照君舫。何心問去留。莞爾發高唱。	春 風 開 哉 扉 明 日 照 君 舫 何 心 問 去 留 莞 爾 發 高 唱 
X62n1211_001:0826a22	北行書興十首之三	北 行 書 興 十 首 之 三 
X62n1211_001:0826a23	此身無去住。南北盡吾家。別酒從人勸。天涯未覺賒。	此 身 無 去 住 南 北 盡 吾 家 別 酒 從 人 勸 天 涯 未 覺 賒 
X62n1211_001:0826a24	湖山舒獨嘯。風雨入枯槎。坐引吟情發。空灘處處華。	湖 山 舒 獨 嘯 風 雨 入 枯 槎 坐 引 吟 情 發 空 灘 處 處 華 
X62n1211_001:0826b01	指點清沂路。依然契聖心。白雲無盡處。淥水一時深。	指 點 清 沂 路 依 然 契 聖 心 白 雲 無 盡 處 淥 水 一 時 深 
X62n1211_001:0826b02	味道遺通塞。忘言斷古人。長歌振林樾。樵牧有知音。	味 道 遺 通 塞 忘 言 斷 古 人 長 歌 振 林 樾 樵 牧 有 知 音 
X62n1211_001:0826b03	遙睇娟娟月。深閨此夜闌。閒持古佛偈。儉學腐儒飱。	遙 睇 娟 娟 月 深 閨 此 夜 闌 閒 持 古 佛 偈 儉 學 腐 儒 飱 
X62n1211_001:0826b04	秋水憐余抱。梅華共爾寒。鹿門斯不遠。妙在一枝安。	秋 水 憐 余 抱 梅 華 共 爾 寒 鹿 門 斯 不 遠 妙 在 一 枝 安 
X62n1211_001:0826b05	熱河寓館雜句四首之一	熱 河 寓 館 雜 句 四 首 之 一 
X62n1211_001:0826b06	矮屋泥牆抱[邱丘+桼]寬。愛將詩卷話團欒。門前車馬匇匇	矮 屋 泥 牆 抱 [邱丘桼] 寬 愛 將 詩 卷 話 團 欒 門 前 車 馬 匇 匇 
X62n1211_001:0826b07	過。鎮日青山帶笑看。	過 鎮 日 青 山 帶 笑 看 
X62n1211_001:0826b08	酬大紳	酬 大 紳 
X62n1211_001:0826b09	杏壇華信久闌珊。聞見堆中空自瞞。偶向靈山通綫	杏 壇 華 信 久 闌 珊 聞 見 堆 中 空 自 瞞 偶 向 靈 山 通 綫 
X62n1211_001:0826b10	道。開天一畫太無端。	道 開 天 一 畫 太 無 端 
X62n1211_001:0826b11	拘幽操(並敘)	拘 幽 操 並 敘 
X62n1211_001:0826b12	韓退之擬拘幽操。多愁苦之詞。其於演易心事。未	韓 退 之 擬 拘 幽 操 多 愁 苦 之 詞 其 於 演 易 心 事 未 
X62n1211_001:0826b13	之察也。因別擬之。	之 察 也 因 別 擬 之 
X62n1211_001:0826b14	日沈沈兮。不息其行。日窈窈兮。不悶其明。祗夙夜兮。	日 沈 沈 兮 不 息 其 行 日 窈 窈 兮 不 悶 其 明 祗 夙 夜 兮 
X62n1211_001:0826b15	庖羲是程。唯無作兮。匪虧與成。於戲斯文在茲兮。吾	庖 羲 是 程 唯 無 作 兮 匪 虧 與 成 於 戲 斯 文 在 茲 兮 吾 
X62n1211_001:0826b16	復何營。	復 何 營 
X62n1211_001:0826b17	有所思五首之二	有 所 思 五 首 之 二 
X62n1211_001:0826b18	我所思兮在杏壇。梁有雉兮谷有蘭。營四海兮本無	我 所 思 兮 在 杏 壇 梁 有 雉 兮 谷 有 蘭 營 四 海 兮 本 無 
X62n1211_001:0826b19	作。灑窮居兮飲水樂。樂復樂兮誰同心。拊曾瑟兮操	作 灑 窮 居 兮 飲 水 樂 樂 復 樂 兮 誰 同 心 拊 曾 瑟 兮 操 
X62n1211_001:0826b20	顏琴。泝遺津兮坦終古。山華開兮山日午。	顏 琴 泝 遺 津 兮 坦 終 古 山 華 開 兮 山 日 午 
X62n1211_001:0826b21	我所思兮在龍場。蹇正志兮發天光。掩陳編兮洞寥	我 所 思 兮 在 龍 場 蹇 正 志 兮 發 天 光 掩 陳 編 兮 洞 寥 
X62n1211_001:0826b22	廓。仰鳶飛兮俯魚樂。春風照兮會羣英。刁斗靜兮絃	廓 仰 鳶 飛 兮 俯 魚 樂 春 風 照 兮 會 羣 英 刁 斗 靜 兮 絃 
X62n1211_001:0826b23	歌鳴。拜伏波兮夢重續。憶故山兮草新綠。	歌 鳴 拜 伏 波 兮 夢 重 續 憶 故 山 兮 草 新 綠 
X62n1211_001:0826b24	毗陵驛與羅臺山話別	毗 陵 驛 與 羅 臺 山 話 別 
X62n1211_001:0826c01	江月照君去。江風吹我歸。飄然成遠別。莞爾信天機。	江 月 照 君 去 江 風 吹 我 歸 飄 然 成 遠 別 莞 爾 信 天 機 
