X63n1230_001:0081a04	警世	警 世 
X63n1230_001:0081a06	夫不體道本。沒溺生死。處胎卵濕化橫豎飛沈之類。	夫 不 體 道 本 沒 溺 生 死 處 胎 卵 濕 化 橫 豎 飛 沈 之 類 
X63n1230_001:0081a07	於中失人身者。如大地之土。得人身者。如爪上之塵。	於 中 失 人 身 者 如 大 地 之 土 得 人 身 者 如 爪 上 之 塵 
X63n1230_001:0081a08	於人身中多生邊夷下賤。及處中國。或受女身。若為	於 人 身 中 多 生 邊 夷 下 賤 及 處 中 國 或 受 女 身 若 為 
X63n1230_001:0081a09	男子。癃殘百疾。設得丈夫十相具足者。處恐畏世生	男 子 癃 殘 百 疾 設 得 丈 夫 十 相 具 足 者 處 恐 畏 世 生 
X63n1230_001:0081a10	五濁時。以肉為身以氣為命。一報之內如石火風燈。	五 濁 時 以 肉 為 身 以 氣 為 命 一 報 之 內 如 石 火 風 燈 
X63n1230_001:0081a11	逝波殘照瞬息而已。於中少天非橫殂者。不計其數。	逝 波 殘 照 瞬 息 而 已 於 中 少 天 非 橫 殂 者 不 計 其 數 
X63n1230_001:0081a12	或有得天年壽極耳順。萬中無一。脫得知命之歲。除	或 有 得 天 年 壽 極 耳 順 萬 中 無 一 脫 得 知 命 之 歲 除 
X63n1230_001:0081a13	童稚無知。至三十豪四十富。且約其間三十年。於中	童 稚 無 知 至 三 十 豪 四 十 富 且 約 其 間 三 十 年 於 中 
X63n1230_001:0081a14	有疾病灾禍愁憂苦惱。居強半矣。所以昔人有言。浮	有 疾 病 灾 禍 愁 憂 苦 惱 居 強 半 矣 所 以 昔 人 有 言 浮 
X63n1230_001:0081a15	生一月之中。可開口而咲。只四五日矣。故知憂長喜	生 一 月 之 中 可 開 口 而 咲 只 四 五 日 矣 故 知 憂 長 喜 
X63n1230_001:0081a16	促樂少苦多。如在萬仞之危峯。似處千尋之滄海。縱	促 樂 少 苦 多 如 在 萬 仞 之 危 峯 似 處 千 尋 之 滄 海 縱 
X63n1230_001:0081a17	得少樂畢慮漂沈。且夫有生勞我處胎。有老奪我壯	得 少 樂 畢 慮 漂 沈 且 夫 有 生 勞 我 處 胎 有 老 奪 我 壯 
X63n1230_001:0081a18	色。有病損我形貌。有死壞我神靈。有榮縱我驕奢。有	色 有 病 損 我 形 貌 有 死 壞 我 神 靈 有 榮 縱 我 驕 奢 有 
X63n1230_001:0081a19	辱敗我意氣。有貴使我憍倨。有賤挫我行藏。有富恣	辱 敗 我 意 氣 有 貴 使 我 憍 倨 有 賤 挫 我 行 藏 有 富 恣 
X63n1230_001:0081a20	我貪婪。有貧乏我依報。有樂動我情地。有苦痛我精	我 貪 婪 有 貧 乏 我 依 報 有 樂 動 我 情 地 有 苦 痛 我 精 
X63n1230_001:0081a21	神。有讚起我高心。有毀滅我聲價。乃至寒則逼切我	神 有 讚 起 我 高 心 有 毀 滅 我 聲 價 乃 至 寒 則 逼 切 我 
