X63n1233_001:0166c07	祇園正儀	祇 園 正 儀 
X63n1233_001:0166c09	夫出家者。為厭塵勞。求脫生死。休心息念。斷絕攀緣。	夫 出 家 者 為 厭 塵 勞 求 脫 生 死 休 心 息 念 斷 絕 攀 緣 
X63n1233_001:0166c10	故名出家。豈可以等閒利養埋沒平生。直須兩頭撒	故 名 出 家 豈 可 以 等 閒 利 養 埋 沒 平 生 直 須 兩 頭 撒 
X63n1233_001:0166c11	開。中間放下。遇聲遇色如石上栽花。見利見名似眼	開 中 間 放 下 遇 聲 遇 色 如 石 上 栽 花 見 利 見 名 似 眼 
X63n1233_001:0166c12	中著屑。況從無始以來。不是不曾經歷。又不是不知	中 著 屑 況 從 無 始 以 來 不 是 不 曾 經 歷 又 不 是 不 知 
X63n1233_001:0166c13	次第。不過翻頭作尾止於如此。何須苦苦貪戀。如今	次 第 不 過 翻 頭 作 尾 止 於 如 此 何 須 苦 苦 貪 戀 如 今 
X63n1233_001:0166c14	不歇。更待何時。所以先聖教人。只要盡却今時。能盡	不 歇 更 待 何 時 所 以 先 聖 教 人 只 要 盡 却 今 時 能 盡 
X63n1233_001:0166c15	今時更有何事。若得心中無事。佛祖猶是冤家。一切	今 時 更 有 何 事 若 得 心 中 無 事 佛 祖 猶 是 冤 家 一 切 
X63n1233_001:0166c16	世事自然冷淡。方始那邊相應。儞不見隱山至死不	世 事 自 然 冷 淡 方 始 那 邊 相 應 儞 不 見 隱 山 至 死 不 
X63n1233_001:0166c17	肯見人。趙州至死不昔告人。匾擔拾橡栗為食。大梅	肯 見 人 趙 州 至 死 不 昔 告 人 匾 擔 拾 橡 栗 為 食 大 梅 
X63n1233_001:0166c18	以荷葉為衣。紙衣道者只披紙。玄泰上座只著布。石	以 荷 葉 為 衣 紙 衣 道 者 只 披 紙 玄 泰 上 座 只 著 布 石 
X63n1233_001:0166c19	霜置枯木堂與眾座臥。只要死了儞心。投子使人辦	霜 置 枯 木 堂 與 眾 座 臥 只 要 死 了 儞 心 投 子 使 人 辦 
X63n1233_001:0166c20	米同煑共餐。要得省取儞事。且從上諸聖有如此榜	米 同 煑 共 餐 要 得 省 取 儞 事 且 從 上 諸 聖 有 如 此 榜 
X63n1233_001:0166c21	樣。若無長處如何甘得。諸仁者。若也於斯體究。的不	樣 若 無 長 處 如 何 甘 得 諸 仁 者 若 也 於 斯 體 究 的 不 
X63n1233_001:0166c22	虧人。若也不肯承當。向後深恐費力。山僧行業無取。	虧 人 若 也 不 肯 承 當 向 後 深 恐 費 力 山 僧 行 業 無 取 
X63n1233_001:0166c23	忝主山門。豈可坐費常住。頓忘先聖附囑。今者輙欲	忝 主 山 門 豈 可 坐 費 常 住 頓 忘 先 聖 附 囑 今 者 輙 欲 
X63n1233_001:0166c24	略斆古人為住持體例。與諸人議定。更不下山。不赴	略 斆 古 人 為 住 持 體 例 與 諸 人 議 定 更 不 下 山 不 赴 
X63n1233_001:0167a01	齋。不發化主。唯將本院莊課一歲所得均作三百六	齋 不 發 化 主 唯 將 本 院 莊 課 一 歲 所 得 均 作 三 百 六 
X63n1233_001:0167a02	十分。日取一分用之。更不隨人添減。可以備飯則作	十 分 日 取 一 分 用 之 更 不 隨 人 添 減 可 以 備 飯 則 作 
