X63n1255_001:0737b06	禪家龜鑑	禪 家 龜 鑑 
X63n1255_001:0737b08	曹谿　退隱　述	曹 谿 退 隱 述 
X63n1255_001:0737b09	有一物於此。從本以來昭昭靈靈。不曾生不曾滅。名	有 一 物 於 此 從本以來 昭 昭 靈 靈 不 曾 生 不 曾 滅 名 
X63n1255_001:0737b10	不得狀不得。	不 得 狀 不 得 
X63n1255_001:0737b11	一物者何物。古人頌云。古佛未生前。凝然一相圓。	一 物 者 何 物 古 人 頌 云 古 佛 未 生 前 凝 然 一 相 圓 
X63n1255_001:0737b12	釋迦猶未會。迦葉豈能傳。此一物之所以不曾生	釋 迦 猶 未 會 迦 葉 豈 能 傳 此 一 物 之 所 以 不 曾 生 
X63n1255_001:0737b13	不曾滅。名不得狀不得也。六祖告眾云。吾有一物	不 曾 滅 名 不 得 狀 不 得 也 六 祖 告 眾 云 吾 有 一 物 
X63n1255_001:0737b14	無名無字。諸人還識否。神會禪師即出曰。諸佛之	無 名 無 字 諸 人 還 識 否 神 會 禪 師 即 出 曰 諸 佛 之 
X63n1255_001:0737b15	本源。神會之佛性。此所以為六祖之孽子也。懷讓	本 源 神 會 之 佛 性 此 所 以 為 六 祖 之 孽 子 也 懷 讓 
X63n1255_001:0737b16	禪師自嵩山來。六祖問曰。什麼物。伊麼來。師罔措。	禪 師 自 嵩 山 來 六 祖 問 曰 什 麼 物 伊 麼 來 師 罔 措 
X63n1255_001:0737b17	至八年方自肯曰。說似一物即不中。此所以為六	至 八 年 方 自 肯 曰 說 似 一 物 即 不 中 此 所 以 為 六 
X63n1255_001:0737b18	祖之嫡子也。　三教聖人從此句出。誰是舉者。惜	祖 之 嫡 子 也 三 教 聖 人 從 此 句 出 誰 是 舉 者 惜 
X63n1255_001:0737b19	取眉毛。	取 眉 毛 
X63n1255_001:0737b20	佛祖出世。無風起浪。	佛 祖 出 世 無 風 起 浪 
X63n1255_001:0737b21	佛祖者世尊．迦葉也。出世者大悲為體度眾生也。	佛 祖 者 世 尊 迦 葉 也 出 世 者 大 悲 為 體 度 眾 生 也 
X63n1255_001:0737b22	然以一物觀之。則人人面目本來圓成。豈假他人	然 以 一 物 觀 之 則 人 人 面 目 本 來 圓 成 豈 假 他 人 
X63n1255_001:0737b23	添脂著粉也。此出世之所以起波浪也。虗空藏經	添 脂 著 粉 也 此 出 世 之 所 以 起 波 浪 也 虗 空 藏 經 
X63n1255_001:0737b24	云。文字是魔業。名相是魔業。至於佛語亦是魔業。	云 文 字 是 魔 業 名 相 是 魔 業 至 於 佛 語 亦 是 魔 業 
X63n1255_001:0737c01	是此意也。此直舉本分。佛祖無功能。　乾坤失色。	是 此 意 也 此 直 舉 本 分 佛 祖 無 功 能 乾 坤 失 色 
X63n1255_001:0737c02	日月無光。	日 月 無 光 
X63n1255_001:0737c03	然法有多義。人有多機。不妨施設。	然 法 有 多 義 人 有 多 機 不 妨 施 設 
X63n1255_001:0737c04	法者一物也。人者眾生也。法有不變隨緣之義。人	法 者 一 物 也 人 者 眾 生 也 法 有 不 變 隨 緣 之 義 人 
X63n1255_001:0737c05	有頓悟漸修之機。故不妨文字語言之施設也。此	有 頓 悟 漸 修 之 機 故 不 妨 文 字 語 言 之 施 設 也 此 
X63n1255_001:0737c06	所謂官不容針私通車馬者也。眾生雖曰圓成。生	所 謂 官 不 容 針 私 通 車 馬 者 也 眾 生 雖 曰 圓 成 生 
X63n1255_001:0737c07	無慧目甘受輪轉。故若非出世之金鎞。誰刮無明	無 慧 目 甘 受 輪 轉 故 若 非 出 世 之 金 鎞 誰 刮 無 明 
X63n1255_001:0737c08	之厚膜也。至於越苦海而登樂岸者。皆由大悲之	之 厚 膜 也 至 於 越 苦 海 而 登 樂 岸 者 皆 由 大 悲 之 
X63n1255_001:0737c09	恩也。然則恒沙身命難報萬一也。此廣舉新熏感	恩 也 然 則 恒 沙 身 命 難 報 萬 一 也 此 廣 舉 新 熏 感 
X63n1255_001:0737c10	佛祖深恩。　王登寶殿。野老謳歌。	佛 祖 深 恩 王 登 寶 殿 野 老 謳 歌 
X63n1255_001:0737c11	強立種種名字。或心或佛或眾生。不可守名而生解。	強 立 種 種 名 字 或 心 或 佛 或 眾 生 不 可 守 名 而 生 解 
X63n1255_001:0737c12	當躰便是。動念即乖。	當 躰 便 是 動 念 即 乖 
X63n1255_001:0737c13	一物上強立三名字者。教之不得已也。不可守名	一 物 上 強 立 三 名 字 者 教 之 不 得 已 也 不 可 守 名 
X63n1255_001:0737c14	生解者。亦禪之不得已也。一擡一搦旋立旋破。皆	生 解 者 亦 禪 之 不 得 已 也 一 擡 一 搦 旋 立 旋 破 皆 
X63n1255_001:0737c15	法王法令之自在者也。此結上起下。論佛祖事躰	法 王 法 令 之 自 在 者 也 此 結 上 起 下 論 佛 祖 事 躰 
X63n1255_001:0737c16	各別。　久旱逢佳雨。他鄉見故人。	各 別 久 旱 逢 佳 雨 他 鄉 見 故 人 
