X64n1271_001:0777a03	 牧牛圖序	 牧 牛 圖 序 
X64n1271_001:0777a05	遺教經云。譬如牧牛。執杖視之。不令縱逸。犯人苗稼。	遺 教 經 云 譬 如 牧 牛 執 杖 視 之 不 令 縱 逸 犯 人 苗 稼 
X64n1271_001:0777a06	則牧牛之說所自起也。嗣是馬祖問石鞏。汝在此何	則 牧 牛 之 說 所 自 起 也 嗣 是 馬 祖 問 石 鞏 汝 在 此 何 
X64n1271_001:0777a07	務。答曰。牧牛。又問。牛作麼生牧。答曰。一回入草去。驀	務 答 曰 牧 牛 又 問 牛 作 麼 生 牧 答 曰 一 回 入 草 去 驀 
X64n1271_001:0777a08	鼻拽將來。則善牧之人也。又大溈安公之在溈山也。	鼻 拽 將 來 則 善 牧 之 人 也 又 大 溈 安 公 之 在 溈 山 也 
X64n1271_001:0777a09	曰。吾依溈山住。不學溈山禪。但牧一頭水牯牛。又白	曰 吾 依 溈 山 住 不 學 溈 山 禪 但 牧 一 頭 水 牯 牛 又 白 
X64n1271_001:0777a10	雲端公之於郭功輔也。詰之曰。牛淳乎。而若自牧。若	雲 端 公 之 於 郭 功 輔 也 詰 之 曰 牛 淳 乎 而 若 自 牧 若 
X64n1271_001:0777a11	教他牧。層見疊出於古今者。益彰彰矣。後乃有繪之	教 他 牧 層 見 疊 出 於 古 今 者 益 彰 彰 矣 後 乃 有 繪 之 
X64n1271_001:0777a12	乎圖。始於未牧。終於雙泯。品而列之為十。其牛則如	乎 圖 始 於 未 牧 終 於 雙 泯 品 而 列 之 為 十 其 牛 則 如 
X64n1271_001:0777a13	次。初黑繼白。以至於無。粲如也。而普明復一一係之	次 初 黑 繼 白 以 至 於 無 粲 如 也 而 普 明 復 一 一 係 之 
X64n1271_001:0777a14	以頌。普明。未詳何許人。圖頌亦不知出一人之手否。	以 頌 普 明 未 詳 何 許 人 圖 頌 亦 不 知 出 一 人 之 手 否 
X64n1271_001:0777a15	今無論。惟是其為圖也。象顯而意深。其為頌也。言近	今 無 論 惟 是 其 為 圖 也 象 顯 而 意 深 其 為 頌 也 言 近 
X64n1271_001:0777a16	而旨遠。學人持為左券。因之審德稽業。俯察其已臻。	而 旨 遠 學 人 持 為 左 券 因 之 審 德 稽 業 俯 察 其 已 臻 
X64n1271_001:0777a17	仰希其所未到。免使得少為足。以墮於增上慢地。則	仰 希 其 所 未 到 免 使 得 少 為 足 以 墮 於 增 上 慢 地 則 
X64n1271_001:0777a18	裨益良多。遂錄而重壽諸梓。外更有尋牛以至入廛。	裨 益 良 多 遂 錄 而 重 壽 諸 梓 外 更 有 尋 牛 以 至 入 廛 
X64n1271_001:0777a19	亦為圖者十。與今大同小異。并及教中分別進脩次	亦 為 圖 者 十 與 今 大 同 小 異 并 及 教 中 分 別 進 脩 次 
X64n1271_001:0777a20	第。可比例而知者。俱附末簡。以便參考。若夫一超直	第 可 比 例 而 知 者 俱 附 末 簡 以 便 參 考 若 夫 一 超 直 
X64n1271_001:0777a21	入之士。無勞鞭挽而天然露地白牛。不落階級而剎	入 之 士 無 勞 鞭 挽 而 天 然 露 地 白 牛 不 落 階 級 而 剎 
X64n1271_001:0777a22	那能所雙絕。則圖成滯貨。頌成剩語。覧之當發一笑。	那 能 所 雙 絕 則 圖 成 滯 貨 頌 成 剩 語 覧 之 當 發 一 笑 
