X65n1282_001:0255a03	 自序	 自 序 
X65n1282_001:0255a05	陳年葛滕。多少人齩來嚼去百雜碎。依舊團團圞圞。	陳 年 葛 滕 多 少 人 齩 來 嚼 去 百 雜 碎 依 舊 團 團 圞 圞 
X65n1282_001:0255a06	直不得引蔓牽絲。尋枝摘葉。予留心此道久矣。一日	直 不 得 引 蔓 牽 絲 尋 枝 摘 葉 予 留 心 此 道 久 矣 一 日 
X65n1282_001:0255a07	博採諸書。取其符於旨者。參以己見。彚集成帙。名曰	博 採 諸 書 取 其 符 於 旨 者 參 以 己 見 彚 集 成 帙 名 曰 
X65n1282_001:0255a08	宗旨纂要。葢不欲支離汎濫。盲瞎後人。俾學者得所	宗 旨 纂 要 葢 不 欲 支 離 汎 濫 盲 瞎 後 人 俾 學 者 得 所 
X65n1282_001:0255a09	依歸。便於體究。若曰某也如是。某也如是。一即五。五	依 歸 便 於 體 究 若 曰 某 也 如 是 某 也 如 是 一 即 五 五 
X65n1282_001:0255a10	即一。厥宗厥旨。如是而已。咨予及門。止宜秘授。倘誤	即 一 厥 宗 厥 旨 如 是 而 已 咨 予 及 門 止 宜 秘 授 倘 誤 
X65n1282_001:0255a11	傳非人。妄加穿鑿。反道三山老漢蚤是畵蛇添足。則	傳 非 人 妄 加 穿 鑿 反 道 三 山 老 漢 蚤 是 畵 蛇 添 足 則 
X65n1282_001:0255a12	吾豈敢。	吾 豈 敢 
X65n1282_001:0255a13	旹	旹 
X65n1282_001:0255a14	順治丁酉孟夏既望　三山燈來題於五雲方丈	順 治 丁 酉 孟 夏 既 望 三 山 燈 來 題 於 五 雲 方 丈 
X65n1282_001:0255a16	慶忠鐵壁機老人五宗斷。	慶 忠 鐵 壁 機 老 人 五 宗 斷 
X65n1282_001:0255a17	用臨濟而不通曹洞。則類野狐。用曹洞而不通臨	用 臨 濟 而 不 通 曹 洞 則 類 野 狐 用 曹 洞 而 不 通 臨 
X65n1282_001:0255a18	濟。則落教網。是必濟洞兼通。則雲門．溈仰．法眼在	濟 則 落 教 網 是 必 濟 洞 兼 通 則 雲 門 溈 仰 法 眼 在 
X65n1282_001:0255a19	其中矣。	其 中 矣 
X65n1282_001:0255a23	目錄	目 錄 
X65n1282_001:0255a24	卷上	卷 上 
X65n1282_001:0255b01	臨濟宗	臨 濟 宗 
X65n1282_001:0255b02	卷中	卷 中 
X65n1282_001:0255b03	曹洞宗	曹 洞 宗 
X65n1282_001:0255b04	卷下	卷 下 
X65n1282_001:0255b05	溈仰宗	溈 仰 宗 
X65n1282_001:0255b06	雲門宗	雲 門 宗 
X65n1282_001:0255b07	法眼宗	法 眼 宗 
X65n1282_001:0255b08	附	附 
X65n1282_001:0255b09	三身四智說	三 身 四 智 說 
X65n1282_001:0255b10	八識拈評	八 識 拈 評 
X65n1282_001:0255b16	三山來禪師五家宗旨纂要卷上	三 山 來 禪 師 五 家 宗 旨 纂 要 卷 上 
X65n1282_001:0255b18	普陀嗣法門人　性統　編	普 陀 嗣 法 門 人 性 統 編 
X65n1282_001:0255b19	臨濟宗	臨 濟 宗 
X65n1282_001:0255b20	臨濟禪師。諱義玄。曹州南華人也。俗姓邢氏。幼而頴	臨 濟 禪 師 諱 義 玄 曹 州 南 華 人 也 俗 姓 邢 氏 幼 而 頴 
X65n1282_001:0255b21	異。長以孝聞。及落髮受具。居於講肆。精究毗尼。博賾	異 長 以 孝 聞 及 落 髮 受 具 居 於 講 肆 精 究 毗 尼 博 賾 
X65n1282_001:0255b22	經論。俄歎曰。此濟世之醫方也。非教外別傳之旨。即	經 論 俄 歎 曰 此 濟 世 之 醫 方 也 非 教 外 別 傳 之 旨 即 
X65n1282_001:0255b23	更衣遊方。首參黃檗。次謁大愚。其機緣語句載於行	更 衣 遊 方 首 參 黃 檗 次 謁 大 愚 其 機 緣 語 句 載 於 行 
X65n1282_001:0255b24	錄。既受黃檗印可。尋抵河北鎮州城東南隅臨滹沱	錄 既 受 黃 檗 印 可 尋 抵 河 北 鎮 州 城 東 南 隅 臨 滹 沱 
X65n1282_001:0255c01	河側小院住持。其臨濟葢因地得名也。唐咸通八年	河 側 小 院 住 持 其 臨 濟 葢 因 地 得 名 也 唐 咸 通 八 年 
X65n1282_001:0255c02	丁亥四月十日。攝衣據座。與三聖問答畢。寂然而逝。	丁 亥 四 月 十 日 攝 衣 據 座 與 三 聖 問 答 畢 寂 然 而 逝 
X65n1282_001:0255c03	門人以全身建塔於大明府西北隅。敕諡慧照禪師。	門 人 以 全 身 建 塔 於 大 明 府 西 北 隅 敕 諡 慧 照 禪 師 
X65n1282_001:0255c04	塔號澄靈。	塔 號 澄 靈 
X65n1282_001:0255c05	臨濟家風。全機大用。棒喝齊施。虎驟龍奔。星馳電掣。	臨 濟 家 風 全 機 大 用 棒 喝 齊 施 虎 驟 龍 奔 星 馳 電 掣 
X65n1282_001:0255c06	負冲天意氣。用格外提持。卷舒縱擒。殺活自在。埽除	負 冲 天 意 氣 用 格 外 提 持 卷 舒 縱 擒 殺 活 自 在 埽 除 
X65n1282_001:0255c07	情見。迥脫廉纖。以無位真人為宗。或喝或棒。或豎拂	情 見 迥 脫 廉 纖 以 無 位 真 人 為 宗 或 喝 或 棒 或 豎 拂 
X65n1282_001:0255c08	明之。	明 之 
X65n1282_001:0255c09	臨濟初至河北住院。見普化．克符二上座。乃謂曰。我	臨 濟 初 至 河 北 住 院 見 普 化 克 符 二 上 座 乃 謂 曰 我 
X65n1282_001:0255c10	欲於此建立黃檗宗旨。汝可成褫我。二人珍重下去。	欲 於 此 建 立 黃 檗 宗 旨 汝 可 成 褫 我 二 人 珍 重 下 去 
X65n1282_001:0255c11	三日後。普化却上來問。和尚三日前說甚麼。濟便打。	三 日 後 普 化 却 上 來 問 和 尚 三 日 前 說 甚 麼 濟 便 打 
X65n1282_001:0255c12	三日後。克符上來問。和尚三日前打普化作甚麼。濟	三 日 後 克 符 上 來 問 和 尚 三 日 前 打 普 化 作 甚 麼 濟 
X65n1282_001:0255c13	亦打。至晚。小參云。我有時奪人不奪境。我有時奪境	亦 打 至 晚 小 參 云 我 有 時 奪 人 不 奪 境 我 有 時 奪 境 
X65n1282_001:0255c14	不奪人。我有時人境兩俱奪。我有時人境俱不奪。又	不 奪 人 我 有 時 人 境 兩 俱 奪 我 有 時 人 境 俱 不 奪 又 
