X73n1447_001:0042c06	 前序	 前 序 
X73n1447_001:0042c08	靈源叟　惟清	靈 源 叟 惟 清 
X73n1447_001:0042c09	禪師。即所謂古塔主者也。淨行無垢。孤風絕攀。名重	禪 師 即 所 謂 古 塔 主 者 也 淨 行 無 垢 孤 風 絕 攀 名 重 
X73n1447_001:0042c10	當年。誠非虗得。垂機接物。深指悟中。語直標宗。世多	當 年 誠 非 虗 得 垂 機 接 物 深 指 悟 中 語 直 標 宗 世 多 
X73n1447_001:0042c11	參究。然判兩篇自已。列三要三玄。類聚因緣。品題緇	參 究 然 判 兩 篇 自 已 列 三 要 三 玄 類 聚 因 緣 品 題 緇 
X73n1447_001:0042c12	素。與夫不見雲門。而公稱嫡嗣。情猜之士。或致譏評。	素 與 夫 不 見 雲 門 而 公 稱 嫡 嗣 情 猜 之 士 或 致 譏 評 
X73n1447_001:0042c13	是猶循器定空。刻舟尋劒。親逢大藥。反益沉痾。儻善	是 猶 循 器 定 空 刻 舟 尋 劒 親 逢 大 藥 反 益 沉 痾 儻 善 
X73n1447_001:0042c14	退思。歷然神會。則知彼上人者。豈徒然哉。禪者道宣。	退 思 歷 然 神 會 則 知 彼 上 人 者 豈 徒 然 哉 禪 者 道 宣 
X73n1447_001:0042c15	竦聞。通辯。請將其錄鏤板流傳。仍乞斯言。為之冠引。	竦 聞 通 辯 請 將 其 錄 鏤 板 流 傳 仍 乞 斯 言 為 之 冠 引 
X73n1447_001:0042c16	實紹聖四年中秋日也。	實 紹 聖 四 年 中 秋 日 也 
X73n1447_001:0042c20	雲門村叟妙喜　宗	雲 門 村 叟 妙 喜 宗 
X73n1447_001:0042c21	禪無傳授。可傳授者。教乘文字。先德語言而已。非心	禪 無 傳 授 可 傳 授 者 教 乘 文 字 先 德 語 言 而 已 非 心 
X73n1447_001:0042c22	之至妙也。其至妙之心。貴不越一念而契證。苟如實	之 至 妙 也 其 至 妙 之 心 貴 不 越 一 念 而 契 證 苟 如 實 
X73n1447_001:0042c23	契證。則教乘文字。先德語言。無少無剩。皆此心之妙	契 證 則 教 乘 文 字 先 德 語 言 無 少 無 剩 皆 此 心 之 妙 
X73n1447_001:0042c24	用。如柝旃檀。片片匪異。故曰。教外別傳。不立文字。直	用 如 柝 旃 檀 片 片 匪 異 故 曰 教 外 別 傳 不 立 文 字 直 
X73n1447_001:0043a01	指人心。見性成佛。此萬世不易之論。近日叢林。誑妄	指 人 心 見 性 成 佛 此 萬 世 不 易 之 論 近 日 叢 林 誑 妄 
X73n1447_001:0043a02	說法之流。不信有妙悟。而專事教乘文字。先德語言。	說 法 之 流 不 信 有 妙 悟 而 專 事 教 乘 文 字 先 德 語 言 
X73n1447_001:0043a03	尋章摘句。狐媚學者。傳襲以為家寶。或以隻履西歸	尋 章 摘 句 狐 媚 學 者 傳 襲 以 為 家 寶 或 以 隻 履 西 歸 
X73n1447_001:0043a04	之話。為末後大事。或以五位功勳。偏正回互為箕裘。	之 話 為 末 後 大 事 或 以 五 位 功 勳 偏 正 回 互 為 箕 裘 
X73n1447_001:0043a05	各立門戶。各秉師承。謂之宗旨。觀斯之說。何異群虱	各 立 門 戶 各 秉 師 承 謂 之 宗 旨 觀 斯 之 說 何 異 群 虱 
X73n1447_001:0043a06	之處裩中。逃乎深縫。匿乎壞絮。自以為吉宅。炎丘火	之 處 裩 中 逃 乎 深 縫 匿 乎 壞 絮 自 以 為 吉 宅 炎 丘 火 
X73n1447_001:0043a07	流。燋邑滅都。群虱裩中不能出。此之謂也。臨際曰。有	流 燋 邑 滅 都 群 虱 裩 中 不 能 出 此 之 謂 也 臨 際 曰 有 
X73n1447_001:0043a08	一種不識好惡。向教乘中。取意度商量。成於句義。如	一 種 不 識 好 惡 向 教 乘 中 取 意 度 商 量 成 於 句 義 如 
X73n1447_001:0043a09	把屎塊子。口中味了。却吐過與人。三復斯言。未嘗不	把 屎 塊 子 口 中 味 了 却 吐 過 與 人 三 復 斯 言 未 嘗 不 
X73n1447_001:0043a10	喟然嘆息也。嗚呼。安得此老復出。為後進針膏肓起	喟 然 嘆 息 也 嗚 呼 安 得 此 老 復 出 為 後 進 針 膏 肓 起 
X73n1447_001:0043a11	癈疾乎。	癈 疾 乎 
X73n1447_001:0043a17	古禪師語錄	古 禪 師 語 錄 
X73n1447_001:0043a19	豫章參學門人　文智　編	豫 章 參 學 門 人 文 智 編 
X73n1447_001:0043a20	皇宋景祐四年丁丑歲。十月初三日。知郡待制范公。	皇 宋 景 祐 四 年 丁 丑 歲 十 月 初 三 日 知 郡 待 制 范 公 
X73n1447_001:0043a21	躬率四眾。就芝山迎師歸本院。師陞堂。據座不語。安	躬 率 四 眾 就 芝 山 迎 師 歸 本 院 師 陞 堂 據 座 不 語 安 
X73n1447_001:0043a22	國長老。乃白眾云。當觀法王法。法王法如是。眾猶不	國 長 老 乃 白 眾 云 當 觀 法 王 法 法 王 法 如 是 眾 猶 不 
X73n1447_001:0043a23	退　師云。安國和尚。適來已是郎當不少。老僧不可	退 師 云 安 國 和 尚 適 來 已 是 郎 當 不 少 老 僧 不 可 
X73n1447_001:0043a24	向土上加泥。大眾。更莫久立。便下座。	向 土 上 加 泥 大 眾 更 莫 久 立 便 下 座 
