X74n1467_001:0076a03	 重刊禮念彌陀道場懺法序	 重 刊 禮 念 彌 陀 道 場 懺 法 序 
X74n1467_001:0076a05	余觀古今論念佛往生者。多誇自力。所謂唯心淨土	余 觀 古 今 論 念 佛 往 生 者 多 誇 自 力 所 謂 唯 心 淨 土 
X74n1467_001:0076a06	不往而往。自性彌陀不成而成之類也。竊意斯論似	不 往 而 往 自 性 彌 陀 不 成 而 成 之 類 也 竊 意 斯 論 似 
X74n1467_001:0076a07	輕佛力也。夫佛也者。其體明淨。無幽不燭。或有人雖	輕 佛 力 也 夫 佛 也 者 其 體 明 淨 無 幽 不 燭 或 有 人 雖 
X74n1467_001:0076a08	不知佛之所以為佛。但隨人言稱南無佛。其人已於	不 知 佛 之 所 以 為 佛 但 隨 人 言 稱 南 無 佛 其 人 已 於 
X74n1467_001:0076a09	如來妙觀察智中。成就佛地正因之謂蓮生瑤池矣。	如 來 妙觀察智 中 成 就 佛 地 正 因 之 謂 蓮 生 瑤 池 矣 
X74n1467_001:0076a10	譬如游魚吞鈎。雖不知鈎之所以為鈎其魚。已入鈎	譬 如 游 魚 吞 鈎 雖 不 知 鈎 之 所 以 為 鈎 其 魚 已 入 鈎 
X74n1467_001:0076a11	者之手矣。故知佛之一字即覺海之一鈎也。	者 之 手 矣 故 知 佛 之 一 字 即 覺 海 之 一 鈎 也 
X74n1467_001:0076a12	大都大天源延聖寺高麗三藏法師旋公。久默斯要。	大 都 大 天 源 延 聖 寺 高 麗 三藏法師 旋 公 久 默 斯 要 
X74n1467_001:0076a13	偶觀金時王子成所撰彌陀懺法。其開誘之術。與公	偶 觀 金 時 王 子 成 所 撰 彌 陀 懺 法 其 開 誘 之 術 與 公 
X74n1467_001:0076a14	兼濟之心。若合符契。仍損己資。委其同志比丘祖栢。	兼 濟 之 心 若 合 符 契 仍 損 己 資 委 其 同 志 比 丘 祖 栢 
X74n1467_001:0076a15	旁募眾緣。鳩工入梓。以傳諸遠。俾余為之序引。余曰	旁 募 眾 緣 鳩 工 入 梓 以 傳 諸 遠 俾 余 為 之 序 引 余 曰 
X74n1467_001:0076a16	未曾有也。佛有八萬四千相好光明。徧照十方世界	未 曾 有 也 佛 有 八萬四千 相 好 光 明 徧 照 十方世界 
X74n1467_001:0076a17	念佛眾生。攝取不捨。何如吾三藏公以文字般若。攝	念 佛 眾 生 攝 取 不 捨 何 如 吾 三 藏 公 以 文 字 般 若 攝 
X74n1467_001:0076a18	取眾生。其光亘於萬古盛大。俾見者聞者。同登不退	取 眾 生 其 光 亘 於 萬 古 盛 大 俾 見 者 聞 者 同 登 不 退 
X74n1467_001:0076a19	轉地。永祝聖人金剛無量壽域。可謂能下覺海之一	轉 地 永 祝 聖 人 金 剛 無 量 壽 域 可 謂 能 下 覺 海 之 一 
X74n1467_001:0076a20	鈎者也。旹至順三年七月　　日	鈎 者 也 旹 至 順 三 年 七 月 日 
X74n1467_001:0076a21	大都大覺住持日本國沙門至道序	大 都 大 覺 住 持 日 本 國 沙 門 至 道 序 
X74n1467_001:0076b03	 彌陀懺讚	 彌 陀 懺 讚 
X74n1467_001:0076b05	奉政大夫翰林修撰同知制誥趙秉文撰	奉 政 大 夫 翰 林 修 撰 同 知 制 誥 趙 秉 文 撰 
X74n1467_001:0076b06	極樂居士王慶之集淨土因緣為懺文。閑閑居士稽	極 樂 居 士 王 慶 之 集 淨 土 因 緣 為 懺 文 閑 閑 居 士 稽 
X74n1467_001:0076b07	首讚曰。未曾有也。昔有達官事一道人。謹甚親友。或	首 讚 曰 未 曾 有 也 昔 有 達 官 事 一 道 人 謹 甚 親 友 或 
