X74n1497_001:0784b06	法界聖凡水陸勝會修齋儀軌卷第一	法 界 聖 凡 水 陸 勝 會 修 齋 儀 軌 卷 第 一 
X74n1497_001:0784b08	宋四明東湖沙門　志磐　謹撰	宋 四 明 東 湖 沙 門 志 磐 謹 撰 
X74n1497_001:0784b09	明古杭雲棲後學　袾宏　重訂	明 古 杭 雲 棲 後 學 袾 宏 重 訂 
X74n1497_001:0784b10	(先一日。大眾沐浴更衣。預戒眾人。次日早起。候明相現。小食罷。便行開啟法事。不可延緩。以致失時。若在	 先 一 日 大 眾 沐 浴 更 衣 預 戒 眾 人 次 日 早 起 候 明 相 現 小 食 罷 便 行 開 啟 法 事 不 可 延 緩 以 致 失 時 若 在 
X74n1497_001:0784b11	伽藍中。施主宜先期預至)。	伽 藍 中 施 主 宜 先 期 預 至 
X74n1497_001:0784b12	行晨朝開啟法事	行 晨 朝 開 啟 法 事 
X74n1497_001:0784b13	(法師領施主入道場。次第上香法事。眾動鐃鈸)。(表白唱言)。	 法 師 領 施 主 入 道 場 次 第 上 香 法 事 眾 動 鐃 鈸 表 白 唱 言 
X74n1497_001:0784b14	至心歸命禮。十方法界諸佛法僧(大眾和云)。	至 心 歸 命 禮 十 方 法 界 諸 佛 法 僧 大 眾 和 云 
X74n1497_001:0784b15	常住三寶。	常 住 三 寶 
X74n1497_001:0784b16	(表白執爐振鈴。述淨三業偈呪　每偈四句。一鳴鼓鈸。宜簡雅。不宜繁俗)。	 表 白 執 爐 振 鈴 述 淨 三 業 偈 呪 每 偈 四 句 一 鳴 鼓 鈸 宜 簡 雅 不 宜 繁 俗 
X74n1497_001:0784b17	　法性湛然周法界　　甚深無量絕言詮	 法 性 湛 然 周 法 界 甚 深 無 量 絕 言 詮 
X74n1497_001:0784b18	　自從一念失元明　　八萬塵勞俱作蔽	 自 從 一 念 失 元 明 八 萬 塵 勞 俱 作 蔽 
X74n1497_001:0784b19	　此日修齋興普度　　肅清意地謹威儀	 此 日 修 齋 興 普 度 肅 清 意 地 謹 威 儀 
X74n1497_001:0784b20	　仰憑密語為加持　　將俾自他還本淨	 仰 憑 密 語 為 加 持 將 俾 自 他 還 本 淨 
X74n1497_001:0784b21	我佛如來有淨三業真言。謹當宣誦。	我 佛 如 來 有 淨 三 業 真 言 謹 當 宣 誦 
X74n1497_001:0784b22	唵薩網婆縛　薩婆達磨　薩網婆縛　述磨含	唵 薩 網 婆 縛 薩 婆 達 磨 薩 網 婆 縛 述 磨 含 
X74n1497_001:0784b23	(網。縛。並亡可切。述。輸律切)。	 網 縛 並 亡 可 切 述 輸 律 切 
X74n1497_001:0784b24	(誦呪三徧。候聲畢。方動鐃鈸。下去誦呪皆例此。法師想自身及大眾施主外身內心皆悉清淨	 誦 呪 三 徧 候 聲 畢 方 動 鐃 鈸 下 去 誦 呪 皆 例 此 法 師 想 自 身 及 大 眾 施 主 外 身 內 心 皆 悉 清 淨 
X74n1497_001:0784c01	表白振鈴。述安慰伽藍神偈呪)。	表 白 振 鈴 述 安 慰 伽 藍 神 偈 呪 
X74n1497_001:0784c02	　十八神王承佛勅　　常於徧界護伽藍	 十 八 神 王 承 佛 勅 常 於 徧 界 護 伽 藍 
X74n1497_001:0784c03	　維茲清淨法王宮　　必有明神來宿衛	 維 茲 清 淨 法 王 宮 必 有 明 神 來 宿 衛 
X74n1497_001:0784c04	　此日虔興平等供　　法音交唱眾無譁	 此 日 虔 興 平 等 供 法 音 交 唱 眾 無 譁 
X74n1497_001:0784c05	　仰憑密語為加持　　慰悅神心增勝力	 仰 憑 密 語 為 加 持 慰 悅 神 心 增 勝 力 
X74n1497_001:0784c06	我佛如來有安慰諸神真言。謹當宣誦。	我 佛 如 來 有 安 慰 諸 神 真 言 謹 當 宣 誦 
X74n1497_001:0784c07	南無　三曼嚲(丁可切)沒馱(上)南　唵度嚕度嚕	南 無 三 曼 嚲 丁 可 切 沒 馱 上 南 唵 度 嚕 度 嚕 
X74n1497_001:0784c08	地尾　娑訶	地 尾 娑 訶 
X74n1497_001:0784c09	(誦呪三徧畢。法眾動鈸)。(法師想伽藍諸神咸皆慰喜。永願守護。或在族姓家	 誦 呪 三 徧 畢 法 眾 動 鈸 法 師 想 伽 藍 諸 神 咸 皆 慰 喜 永 願 守 護 或 在 族 姓 家 
X74n1497_001:0784c10	表白振鈴誦安慰宅神偈呪。若在伽藍中不用)。	表 白 振 鈴 誦 安 慰 宅 神 偈 呪 若 在 伽 藍 中 不 用 
X74n1497_001:0784c11	　維此住居勤守土　　護安人物顯諸神	 維 此 住 居 勤 守 土 護 安 人 物 顯 諸 神 
X74n1497_001:0784c12	　威靈自用既無私　　訶禁不祥應有法	 威 靈 自 用 既 無 私 訶 禁 不 祥 應 有 法 
X74n1497_001:0784c13	　此日虔興平等供　　聖凡俱會異常居	 此 日 虔 興 平 等 供 聖 凡 俱 會 異 常 居 
X74n1497_001:0784c14	　仰憑密語為加持　　將使神心無畏恐	 仰 憑 密 語 為 加 持 將 使 神 心 無 畏 恐 
X74n1497_001:0784c15	我佛如來有安慰諸神真言。謹當宣誦(呪語如前)。	我 佛 如 來 有 安 慰 諸 神 真 言 謹 當 宣 誦 呪 語 如 前 
X74n1497_001:0784c16	(誦呪三徧畢。動鈸)。(法師想住居六神咸皆慰喜。常加守護　族姓家用止此	 誦 呪 三 徧 畢 動 鈸 法 師 想 住 居 六 神 咸 皆 慰 喜 常 加 守 護 族 姓 家 用 止 此 
X74n1497_001:0784c17	表白振鈴述然香偈呪)。	表 白 振 鈴 述 然 香 偈 呪 
X74n1497_001:0784c18	　此岸栴檀非別物　　元從清淨自心生	 此 岸 栴 檀 非 別 物 元 從 清 淨 自 心 生 
X74n1497_001:0784c19	　若人能以一塵燒　　眾氣自然皆具足	 若 人 能 以 一 塵 燒 眾 氣 自 然 皆 具 足 
X74n1497_001:0784c20	　此日虔興平等供　　欲令法界普熏聞	 此 日 虔 興 平 等 供 欲 令 法 界 普 熏 聞 
X74n1497_001:0784c21	　仰憑密語為加持　　將使施心咸徧達	 仰 憑 密 語 為 加 持 將 使 施 心 咸 徧 達 
X74n1497_001:0784c22	我佛如來有然香達信真言。謹當宣誦。	我 佛 如 來 有 然 香 達 信 真 言 謹 當 宣 誦 
X74n1497_001:0784c23	唵什筏栗多(上)末儞(平)阿鉢羅句吒(竹駕切)蘇(上)破	唵 什 筏 栗 多 上 末 儞 平 阿 鉢 羅 句 吒 竹 駕 切 蘇 上 破 
X74n1497_001:0784c24	(上)(二合)囉(上)尼(上)毗迦知(上)虎[合*牛](呼今切)(二合)	 上 二 合 囉 上 尼 上 毗 迦 知 上 虎 [合牛] 呼 今 切 二 合 
X74n1497_001:0785a01	(誦呪三徧畢。動鈸)。(法師想此香雲普熏法界三寶前。通達信心。無不周徧)。(表白上香。白言)。	 誦 呪 三 徧 畢 動 鈸 法 師 想 此 香 雲 普 熏 法 界 三 寶 前 通 達 信 心 無 不 周 徧 表 白 上 香 白 言 
X74n1497_001:0785a02	經典所在。即如來舍利之身。法道能弘。必大德僧伽	經 典 所 在 即 如 來 舍 利 之 身 法 道 能 弘 必 大 德 僧 伽 
X74n1497_001:0785a03	之士。惟茲一處。具有三尊。天人常起護持。堂宇固應	之 士 惟 茲 一 處 具 有 三 尊 天 人 常 起 護 持 堂 宇 固 應 
X74n1497_001:0785a04	光潔。今則將開勝會。永異他時。自非結界以加威。何	光 潔 今 則 將 開 勝 會 永 異 他 時 自 非 結 界 以 加 威 何 
X74n1497_001:0785a05	使修齋之如式。恪遵至誥。全策奇勳。妙香熏馥於空	使 修 齋 之 如 式 恪 遵 至 誥 全 策 奇 勳 妙 香 熏 馥 於 空 
X74n1497_001:0785a06	中。淨水洒清於地上。凡曰方隅之所。悉同城壘之堅。	中 淨 水 洒 清 於 地 上 凡 曰 方 隅 之 所 悉 同 城 壘 之 堅 
X74n1497_001:0785a07	雖密藉於真言。實冥資於圓觀。將見瓊林風動。玉殿	雖 密 藉 於 真 言 實 冥 資 於 圓 觀 將 見 瓊 林 風 動 玉 殿 
X74n1497_001:0785a08	雲披。懸寶葢於層霄。聳華臺於廣座。千幢旛而交擁。	雲 披 懸 寶 葢 於 層 霄 聳 華 臺 於 廣 座 千 幢 旛 而 交 擁 
X74n1497_001:0785a09	眾伎樂以旁羅。惟茲淨想之所成。是即靈山之未散。	眾 伎 樂 以 旁 羅 惟 茲 淨 想 之 所 成 是 即 靈 山 之 未 散 
X74n1497_001:0785a10	既彰此用。更召諸神。冀肅靜於壇場。俾驅除於魔障。	既 彰 此 用 更 召 諸 神 冀 肅 靜 於 壇 場 俾 驅 除 於 魔 障 
X74n1497_001:0785a11	△下文旋姓家用	 下 文 旋 姓 家 用 
X74n1497_001:0785a12	寂光為土。固不外於凡居。聖賢之人。或有殊於族姓。	寂 光 為 土 固 不 外 於 凡 居 聖 賢 之 人 或 有 殊 於 族 姓 
X74n1497_001:0785a13	謂觀其身。則根塵起穢。及言其處。則土石生埃。由心	謂 觀 其 身 則 根 塵 起 穢 及 言 其 處 則 土 石 生 埃 由 心 
X74n1497_001:0785a14	中之因行無良。故世間之果報若是。今則將開勝會。	中 之 因 行 無 良 故 世 間 之 果 報 若 是 今 則 將 開 勝 會 
X74n1497_001:0785a15	永異他時。自非結界以加威。何使修齋之如式。恪遵	永 異 他 時 自 非 結 界 以 加 威 何 使 修 齋 之 如 式 恪 遵 
X74n1497_001:0785a16	至誥。全策奇勳。妙香熏馥於空中。淨水洒清於地上。	至 誥 全 策 奇 勳 妙 香 熏 馥 於 空 中 淨 水 洒 清 於 地 上 
X74n1497_001:0785a17	凡曰方隅之所。悉同城疊之堅。雖密藉於真言。實冥	凡 曰 方 隅 之 所 悉 同 城 疊 之 堅 雖 密 藉 於 真 言 實 冥 
X74n1497_001:0785a18	資於妙觀。將見瓊林風動。玉殿雲披。懸寶葢於層霄。	資 於 妙 觀 將 見 瓊 林 風 動 玉 殿 雲 披 懸 寶 葢 於 層 霄 
X74n1497_001:0785a19	聳華臺於廣座。千幢旛而交擁。眾伎樂以旁羅。惟茲	聳 華 臺 於 廣 座 千 幢 旛 而 交 擁 眾 伎 樂 以 旁 羅 惟 茲 
X74n1497_001:0785a20	淨想之所成。是即靈山之未散。既彰此用。更召諸神。	淨 想 之 所 成 是 即 靈 山 之 未 散 既 彰 此 用 更 召 諸 神 
X74n1497_001:0785a21	冀肅靜於壇場。俾驅除於魔障。	冀 肅 靜 於 壇 場 俾 驅 除 於 魔 障 
X74n1497_001:0785a22	(表白執爐振鈴。召請諸聖結界)。	 表 白 執 爐 振 鈴 召 請 諸 聖 結 界 
X74n1497_001:0785a23	一心奉請。如來化現。圓滿神通。大穢迹金剛聖者。并	一 心 奉 請 如 來 化 現 圓 滿 神 通 大 穢 迹 金 剛 聖 者 并 
X74n1497_001:0785a24	諸眷屬。	諸 眷 屬 
X74n1497_001:0785b01	惟願不違本誓。哀憫有情。臨降道場。護持結界。	惟 願 不 違 本 誓 哀 憫 有 情 臨 降 道 場 護 持 結 界 
X74n1497_001:0785b02	(大眾和香花請)。	 大 眾 和 香 花 請 
X74n1497_001:0785b03	我今奉宣本尊真言。願垂加護。	我 今 奉 宣 本 尊 真 言 願 垂 加 護 
X74n1497_001:0785b04	唵佛舌　屈聿摩訶　鉢囉恨那礙(許)勿汁勿	唵 佛 舌 屈 聿 摩 訶 鉢 囉 恨 那 礙 許 勿 汁 勿 
X74n1497_001:0785b05	　醯摩尼　微吉微　摩那棲　唵斫急那　烏深	 醯 摩 尼 微 吉 微 摩 那 棲 唵 斫 急 那 烏 深 
X74n1497_001:0785b06	暮　屈聿　[合*牛][合*牛](呼今)吽(于今)泮泮泮泮泮(潑)娑訶	暮 屈 聿 [合牛][合牛] 呼 今 吽 于 今 泮 泮 泮 泮 泮 潑 娑 訶 
X74n1497_001:0785b07	(誦呪三徧畢。動鼓鈸)。(法師想聖者威儀。無量眷屬。降入道場。正中面外而立。唐太宗朝。有人持此呪多	 誦 呪 三 徧 畢 動 鼓 鈸 法 師 想 聖 者 威 儀 無 量 眷 屬 降 入 道 場 正 中 面 外 而 立 唐 太 宗 朝 有 人 持 此 呪 多 
X74n1497_001:0785b08	驗。朝廷以為惑眾。禁抑不令誦。遂勅藏本削除十字。後有錢塘西湖菩提寺慧持沙門。遇蜀中高德教授	驗 朝 廷 以 為 惑 眾 禁 抑 不 令 誦 遂 勅 藏 本 削 除 十 字 後 有 錢 塘 西 湖 菩 提 寺 慧 持 沙 門 遇 蜀 中 高 德 教 授 
X74n1497_001:0785b09	穢迹持法。復得全呪。誦及二年。大有感驗。能令杵升虗空。隨意而徃。呪水治病。無不愈者。今世間傳多此	穢 迹 持 法 復 得 全 呪 誦 及 二 年 大 有 感 驗 能 令 杵 升 虗 空 隨 意 而 徃 呪 水 治 病 無 不 愈 者 今 世 間 傳 多 此 
X74n1497_001:0785b10	加句全本。與藏不同)。	加 句 全 本 與 藏 不 同 
X74n1497_001:0785b11	一心奉請。大威德大忿怒甘露軍茶利等十大明王。	一 心 奉 請 大 威 德 大 忿 怒 甘 露 軍 茶 利 等 十 大 明 王 
X74n1497_001:0785b12	并諸眷屬。	并 諸 眷 屬 
X74n1497_001:0785b13	惟願不違本誓。哀憫有情。臨降道場。護持結界。	惟 願 不 違 本 誓 哀 憫 有 情 臨 降 道 場 護 持 結 界 
X74n1497_001:0785b14	(大眾和香華請)。	 大 眾 和 香 華 請 
X74n1497_001:0785b15	我今奉宣本尊真言。願垂加護。	我 今 奉 宣 本 尊 真 言 願 垂 加 護 
X74n1497_001:0785b16	唵戶盧戶盧　底瑟吒　底瑟吒　盤陀盤陀	唵 戶 盧 戶 盧 底 瑟 吒 底 瑟 吒 盤 陀 盤 陀 
X74n1497_001:0785b17	　阿那阿那　阿密哩帝　烏[合*牛](二合)[打丁+(姊女)](潑)	 阿 那 阿 那 阿 密 哩 帝 烏 [合牛]二合[打丁姊女] 潑 
X74n1497_001:0785b18	(誦呪三徧畢。動鈸)。(法師想聖者威儀。無量眷屬。降入道場。住立左邊)。	 誦 呪 三 徧 畢 動 鈸 法 師 想 聖 者 威 儀 無 量 眷 屬 降 入 道 場 住 立 左 邊 
X74n1497_001:0785b19	一心奉請。大梵天王。帝釋天主。護世四王。天龍八部。	一 心 奉 請 大 梵 天 王 帝 釋 天 主 護世四王 天 龍 八 部 
X74n1497_001:0785b20	并諸眷屬。	并 諸 眷 屬 
X74n1497_001:0785b21	惟願不違本誓。哀憫有情。臨降道場。護持結界。	惟 願 不 違 本 誓 哀 憫 有 情 臨 降 道 場 護 持 結 界 
