X87n1619_001:0178c06	 先覺集序	 先 覺 集 序 
X87n1619_001:0178c08	學佛然後知儒。此碩儒之論也。古人與麼道。即便與	學 佛 然 後 知 儒 此 碩 儒 之 論 也 古 人 與 麼 道 即 便 與 
X87n1619_001:0178c09	麼讚。是誠先覺之公心。今人不知佛之所以為佛。儒	麼 讚 是 誠 先 覺 之 公 心 今 人 不 知 佛 之 所 以 為 佛 儒 
X87n1619_001:0178c10	之所以為儒。不過分門別戶。逐影循聲焉爾。世尊云。	之 所 以 為 儒 不 過 分 門 別 戶 逐 影 循 聲 焉 爾 世 尊 云 
X87n1619_001:0178c11	天上天下。惟我獨尊。且道如何是我。夫子曰。吾道一	天 上 天 下 惟 我 獨 尊 且 道 如 何 是 我 夫 子 曰 吾 道 一 
X87n1619_001:0178c12	以貫之。且道如何是一。打頭一著。不能明了。祇從形	以 貫 之 且 道 如 何 是 一 打 頭 一 著 不 能 明 了 祇 從 形 
X87n1619_001:0178c13	迹中論。枝葉上觀。豈非門外歟。哲人達士。學有本據。	迹 中 論 枝 葉 上 觀 豈 非 門 外 歟 哲 人 達 士 學 有 本 據 
X87n1619_001:0178c14	道有實悟。世出世間。初無二致。自覺覺他。罔有差殊。	道 有 實 悟 世出世間 初 無 二 致 自覺覺他 罔 有 差 殊 
X87n1619_001:0178c15	或現比丘比丘尼優婆塞優婆夷。或現宰官長者婆	或 現 比 丘 比 丘 尼 優 婆 塞 優 婆 夷 或 現 宰 官 長 者 婆 
X87n1619_001:0178c16	羅門居士。隨其緣會。所至即導利乎羣品。克垂範於	羅 門 居 士 隨 其 緣 會 所 至 即 導 利 乎 羣 品 克 垂 範 於 
X87n1619_001:0178c17	後昆。夫是之謂先覺。一機一境。一話一言。可以開闢	後 昆 夫 是 之 謂 先 覺 一 機 一 境 一 話 一 言 可 以 開 闢 
X87n1619_001:0178c18	人天正眼。顯揚儒佛心宗。先覺集之所由著也。明潛	人 天 正 眼 顯 揚 儒 佛 心 宗 先 覺 集 之 所 由 著 也 明 潛 
X87n1619_001:0178c19	陶公。輯先覺集。而祇存居士者何。蓋緣建立維摩之	陶 公 輯 先 覺 集 而 祇 存 居 士 者 何 蓋 緣 建 立 維 摩 之 
X87n1619_001:0178c20	院供其位。即考其入道之由。所以與雲居和尚。暨同	院 供 其 位 即 考 其 入 道 之 由 所 以 與 雲 居 和 尚 暨 同 
X87n1619_001:0178c21	道諸君。參詳訂證。而成此言。雖未咸備。已露一斑。厥	道 諸 君 參 詳 訂 證 而 成 此 言 雖 未 咸 備 已 露 一 斑 厥 
X87n1619_001:0178c22	功懋哉。其中大意。既宣之於中山碑記矣。欲以是集	功 懋 哉 其 中 大 意 既 宣 之 於 中 山 碑 記 矣 欲 以 是 集 
X87n1619_001:0178c23	鑴登梨棗。問敘於余。更為申明其說。	鑴 登 梨 棗 問 敘 於 余 更 為 申 明 其 說 
X87n1619_001:0178c24	旹	旹 
X87n1619_001:0179a01	康熈十八年歲在己未夏六月傳臨濟正宗三十二	康 熈 十 八 年 歲 在 己 未 夏 六 月 傳 臨 濟 正 宗 三 十 二 
X87n1619_001:0179a02	世道安靜和尚撰	世 道 安 靜 和 尚 撰 
X87n1619_001:0179a05	 先覺集序	 先 覺 集 序 
X87n1619_001:0179a07	從上以來。佛祖聖賢。諸位菩薩。說種種法。演種種教。	從 上 以 來 佛 祖 聖 賢 諸 位 菩 薩 說 種 種 法 演 種 種 教 
X87n1619_001:0179a08	皆是鏡中煙塵。夢裏幻事。本無實法繫綴于人。所以	皆 是 鏡 中 煙 塵 夢 裏 幻 事 本 無 實 法 繫 綴 于 人 所 以 
X87n1619_001:0179a09	大覺世尊道。吾四十九年。未曾說著一字。是真實語。	大 覺 世 尊 道 吾 四 十 九 年 未 曾 說 著 一 字 是 真 實 語 
X87n1619_001:0179a10	又古人道。大千沙界海中漚。一切聖賢如電拂。者裏	又 古 人 道 大 千 沙 界 海 中 漚 一 切 聖 賢 如 電 拂 者 裏 
X87n1619_001:0179a11	何曾有佛有法。有僧有俗。有覺未覺。不見道。未離兜	何 曾 有 佛 有 法 有 僧 有 俗 有 覺 未 覺 不 見 道 未 離 兜 
X87n1619_001:0179a12	率。已降王宮。未出母胎。度人已畢。斯乃先覺誌疏。陶	率 已 降 王 宮 未 出 母 胎 度 人 已 畢 斯 乃 先 覺 誌 疏 陶 
X87n1619_001:0179a13	明潛。解得此義。纂先覺集。欲行於世。乞序于予。予以	明 潛 解 得 此 義 纂 先 覺 集 欲 行 於 世 乞 序 于 予 予 以 
X87n1619_001:0179a14	從上古錐。掀翻一上。會得者作如是觀。不會者切忌	從 上 古 錐 掀 翻 一 上 會 得 者 作 如 是 觀 不 會 者 切 忌 
X87n1619_001:0179a15	向先覺集中絆倒。	向 先 覺 集 中 絆 倒 
X87n1619_001:0179a16	旹	旹 
X87n1619_001:0179a17	康熈丙寅佛成道日盤山青溝拙菴智朴撰	康 熈 丙 寅 佛 成 道 日 盤 山 青 溝 拙 菴 智 朴 撰 
X87n1619_001:0179a20	 先覺集序	 先 覺 集 序 
X87n1619_001:0179a22	夫繼天立極之道。不異乎禪。垂世立教之書。統歸乎	夫 繼 天 立 極 之 道 不 異 乎 禪 垂 世 立 教 之 書 統 歸 乎 
X87n1619_001:0179a23	理。道非言而不著。理非事而不明。所以儒有墳典經	理 道 非 言 而 不 著 理 非 事 而 不 明 所 以 儒 有 墳 典 經 
X87n1619_001:0179a24	史。諸子百家。以至稗官小說。各各有宗趣焉。惟吾釋	史 諸 子 百 家 以 至 稗 官 小 說 各 各 有 宗 趣 焉 惟 吾 釋 
X87n1619_001:0179b01	門。因西天東土之文。北教南宗之旨。旁流正出。散聖	門 因 西 天 東 土 之 文 北 教 南 宗 之 旨 旁 流 正 出 散 聖 
X87n1619_001:0179b02	異人。分支別派。授受淵源。幸存簡牘。考實之徵。不致	異 人 分 支 別 派 授 受 淵 源 幸 存 簡 牘 考 實 之 徵 不 致 
X87n1619_001:0179b03	紊亂傳燈。誵訛繼席。益信一切語言三昧。內外典集。	紊 亂 傳 燈 誵 訛 繼 席 益 信 一 切 語 言 三 昧 內 外 典 集 
X87n1619_001:0179b04	皆為載道之器。傳遠之用也。有惠後昆。功不細矣。茲	皆 為 載 道 之 器 傳 遠 之 用 也 有 惠 後 昆 功 不 細 矣 茲 
X87n1619_001:0179b05	明潛陶居士。從學多年。執勞甚久。苦參實究。歷徧辛	明 潛 陶 居 士 從 學 多 年 執 勞 甚 久 苦 參 實 究 歷 徧 辛 
X87n1619_001:0179b06	酸。涉水登山。悉知泠暖。于壬子冬。忽然有省于海會	酸 涉 水 登 山 悉 知 泠 暖 于 壬 子 冬 忽 然 有 省 于 海 會 
X87n1619_001:0179b07	室中。未幾辭往中山寺。薙草耕雲。跏趺[門@卞]影。不聞塵	室 中 未 幾 辭 往 中 山 寺 薙 草 耕 雲 跏 趺 [門卞] 影 不 聞 塵 
X87n1619_001:0179b08	事。復檢殘編。遂纂先覺集二卷。編敘優婆塞夷從上	事 復 檢 殘 編 遂 纂 先 覺 集 二 卷 編 敘 優 婆 塞 夷 從 上 
X87n1619_001:0179b09	諸公。乞余弁言為[烈列+助]。不覺喟然而嘆。居士身說法。仍	諸 公 乞 余 弁 言 為 [烈列助] 不 覺 喟 然 而 嘆 居 士 身 說 法 仍 
X87n1619_001:0179b10	以居士身供養。未審鼻祖西來。供養有幾。始知彰顯	以 居 士 身 供 養 未 審 鼻 祖 西 來 供 養 有 幾 始 知 彰 顯 
X87n1619_001:0179b11	正教。全在乎人。非其人而不能弘其道。非其道而不	正 教 全 在 乎 人 非 其 人 而 不 能 弘 其 道 非 其 道 而 不 
X87n1619_001:0179b12	能知其人。而名實全備于天下者。匪至人而誰能之。	能 知 其 人 而 名 實 全 備 于 天 下 者 匪 至 人 而 誰 能 之 
X87n1619_001:0179b13	但緝書紀事之任。若不洞究先覺佛理之精。芟補切	但 緝 書 紀 事 之 任 若 不 洞 究 先 覺 佛 理 之 精 芟 補 切 
X87n1619_001:0179b14	難。要免闕遺。恐二乘見地。翻以庭前瑞草之誚。凡吾	難 要 免 闕 遺 恐 二 乘 見 地 翻 以 庭 前 瑞 草 之 誚 凡 吾 
X87n1619_001:0179b15	同儕。必攝無礙觀。觀之便知。十世古今。不離當念。塵	同 儕 必 攝 無 礙 觀 觀 之 便 知 十 世 古 今 不 離 當 念 塵 
X87n1619_001:0179b16	影起滅。何足記哉。自然舉目視而有欲皆充。信手拈	影 起 滅 何 足 記 哉 自 然 舉 目 視 而 有 欲 皆 充 信 手 拈 
X87n1619_001:0179b17	而有疾皆愈。同瞻緇素。廣播名藍。先哲不孤。晚參可	而 有 疾 皆 愈 同 瞻 緇 素 廣 播 名 藍 先 哲 不 孤 晚 參 可 
X87n1619_001:0179b18	托。真勝事也。故敢引紙運墨。聊為碧眼鉄漢一勗云	托 真 勝 事 也 故 敢 引 紙 運 墨 聊 為 碧 眼 鉄 漢 一 勗 云 
X87n1619_001:0179b19	爾。	爾 
X87n1619_001:0179b20	旹	旹 
X87n1619_001:0179b21	康熈丁卯春王吉日圓教解三洪撰	康 熈 丁 卯 春 王 吉 日 圓 教 解 三 洪 撰 
