X88n1641_001:0022b06	見聞錄	見 聞 錄 
X88n1641_001:0022b08	古吳沙門　智旭　隨筆	古 吳 沙 門 智 旭 隨 筆 
X88n1641_001:0022b09	楚中有一生員。心迹正直。值冥府缺第七殿。上帝命	楚 中 有 一 生 員 心 迹 正 直 值 冥 府 缺 第 七 殿 上 帝 命 
X88n1641_001:0022b10	暫主之。每隔數日則入冥理事。但正坐簡閱文簿。不	暫 主 之 每 隔 數 日 則 入 冥 理 事 但 正 坐 簡 閱 文 簿 不 
X88n1641_001:0022b11	勞簽判。而隨彼前人行業。罪福異趣。每見有自上刀	勞 簽 判 而 隨 彼 前 人 行 業 罪 福 異 趣 每 見 有 自 上 刀 
X88n1641_001:0022b12	山劍樹者。輒使左右救之。愈救愈上。竟莫能挽也。一	山 劍 樹 者 輒 使 左 右 救 之 愈 救 愈 上 竟 莫 能 挽 也 一 
X88n1641_001:0022b13	日閱簿。見其妻有一罪款云。盜鄰雞一隻。連毛重一	日 閱 簿 見 其 妻 有 一 罪 款 云 盜 鄰 雞 一 隻 連 毛 重 一 
X88n1641_001:0022b14	斤十二兩。遂折而識之。回陽詰問其妻。妻尚抵謾。彼	斤 十 二 兩 遂 折 而 識 之 回 陽 詰 問 其 妻 妻 尚 抵 謾 彼 
X88n1641_001:0022b15	述冥間所見質之。乃首曰。鄰雞食所曬物。失手誤打	述 冥 間 所 見 質 之 乃 首 曰 鄰 雞 食 所 曬 物 失 手 誤 打 
X88n1641_001:0022b16	令死。懼鄰婦詬厲。故尚藏未發耳。因取出秤之。斤兩	令 死 懼 鄰 婦 詬 厲 故 尚 藏 未 發 耳 因 取 出 秤 之 斤 兩 
X88n1641_001:0022b17	不爽。相對驚異。遂以死雞并價償謝鄰人。未幾復入	不 爽 相 對 驚 異 遂 以 死 雞 并 價 償 謝 鄰 人 未 幾 復 入 
X88n1641_001:0022b18	冥。簡視前簿折痕如故。而罪欵已無影迹矣(江西養智禪人	冥 簡 視 前 簿 折 痕 如 故 而 罪 欵 已 無 影 迹 矣 江 西 養 智 禪 人 
X88n1641_001:0022b19	說)。	說 
X88n1641_001:0022b20	乙卯科浙省解元馮銓。因會試入燕都。有一老人止	乙 卯 科 浙 省 解 元 馮 銓 因 會 試 入 燕 都 有 一 老 人 止 
X88n1641_001:0022b21	生二女。仰銓為名士也。拜而托之。銓下第歸。帶至揚	生 二 女 仰 銓 為 名 士 也 拜 而 托 之 銓 下 第 歸 帶 至 揚 
X88n1641_001:0022b22	州。竟潛賣與娼家。媒來取二女。二女詬為誣誑。媒出	州 竟 潛 賣 與 娼 家 媒 來 取 二 女 二 女 詬 為 誣 誑 媒 出 
X88n1641_001:0022b23	詮手書示之。二女驚哭。遂投水死。是夜詮妻夢二散	詮 手 書 示 之 二 女 驚 哭 遂 投 水 死 是 夜 詮 妻 夢 二 散 
X88n1641_001:0022b24	髮女子從溝道入。一鬼從之。手持虎頭牌。有速拿馮	髮 女 子 從 溝 道 入 一 鬼 從 之 手 持 虎 頭 牌 有 速 拿 馮 
X88n1641_001:0022c01	詮四字。驚異而醒。未幾詮安隱歸家。妻相接甚歡。詮	詮 四 字 驚 異 而 醒 未 幾 詮 安 隱 歸 家 妻 相 接 甚 歡 詮 
X88n1641_001:0022c02	問曰。我已下第。胡故歡甚。妻默不言。再三逼問。乃述	問 曰 我 已 下 第 胡 故 歡 甚 妻 默 不 言 再 三 逼 問 乃 述 
X88n1641_001:0022c03	前夢。詮正經行樓上。聞說夢畢。身即戰慄從樓墮下。	前 夢 詮 正 經 行 樓 上 聞 說 夢 畢 身 即 戰 慄 從 樓 墮 下 
X88n1641_001:0022c04	七竅流血悶絕於地。家人急扶起。喚醒之。乃具述負	七 竅 流 血 悶 絕 於 地 家 人 急 扶 起 喚 醒 之 乃 具 述 負 
X88n1641_001:0022c05	心事。言畢遂死(舟中嘉興人說)。	心 事 言 畢 遂 死 舟 中 嘉 興 人 說 
X88n1641_001:0022c06	蘇州庠生陸穀。字戩夫。曩與予同參寒灰湛明諸公。	蘇 州 庠 生 陸 穀 字 戩 夫 曩 與 予 同 參 寒 灰 湛 明 諸 公 
X88n1641_001:0022c07	後專精禪學。頗有省發。益復沉靜。庚午歲暮乘小舟	後 專 精 禪 學 頗 有 省 發 益 復 沉 靜 庚 午 歲 暮 乘 小 舟 
X88n1641_001:0022c08	有所往。忽遇糧船上六人借登其舟。舟遂覆。六人皆	有 所 往 忽 遇 糧 船 上 六 人 借 登 其 舟 舟 遂 覆 六 人 皆 
X88n1641_001:0022c09	無恙。穀竟溺死。家屬償其修行無靈驗。乃示夢曰。余	無 恙 穀 竟 溺 死 家 屬 償 其 修 行 無 靈 驗 乃 示 夢 曰 余 
X88n1641_001:0022c10	往世曾以一方便害此六人。今償夙債。非修行咎也。	往 世 曾 以 一 方 便 害 此 六 人 今 償 夙 債 非 修 行 咎 也 
X88n1641_001:0022c11	設不修行。報當更劇矣。	設 不 修 行 報 當 更 劇 矣 
X88n1641_001:0022c12	洞庭西山蔡坦如居士。妻甚賢良。持齋念佛放生然	洞 庭 西 山 蔡 坦 如 居 士 妻 甚 賢 良 持 齋 念 佛 放 生 然 
X88n1641_001:0022c13	燈。密作眾福不求人知。既病劇。謂坦如曰。死固不須	燈 密 作 眾 福 不 求 人 知 既 病 劇 謂 坦 如 曰 死 固 不 須 
X88n1641_001:0022c14	擇日。但世人俗見謂修行人乃惡日死。亦所不便。幸	擇 日 但 世 人 俗 見 謂 修 行 人 乃 惡 日 死 亦 所 不 便 幸 
X88n1641_001:0022c15	為擇日。明日吉乎。答云不吉。後日吉乎。答云亦不吉。	為 擇 日 明 日 吉 乎 答 云 不 吉 後 日 吉 乎 答 云 亦 不 吉 
X88n1641_001:0022c16	乃曰。吾不能更待矣。今日吉乎。答云今日頗吉。因即	乃 曰 吾 不 能 更 待 矣 今 日 吉 乎 答 云 今 日 頗 吉 因 即 
X88n1641_001:0022c17	命取水澡浴。集親友念佛。正坐合掌而逝。	命 取 水 澡 浴 集 親 友 念 佛 正 坐 合 掌 而 逝 
X88n1641_001:0022c18	吳江太湖灘有一老人。生平惟喜念佛放生。別無所	吳 江 太 湖 灘 有 一 老 人 生 平 惟 喜 念 佛 放 生 別 無 所 
X88n1641_001:0022c19	知。每行路時拾灘頭螄蜆放入水中。雖極冗不顧。平	知 每 行 路 時 拾 灘 頭 螄 蜆 放 入 水 中 雖 極 冗 不 顧 平 
X88n1641_001:0022c20	日遇有生命輒解衣割食買放。曾無退懈。忽一日謂	日 遇 有 生 命 輒 解 衣 割 食 買 放 曾 無 退 懈 忽 一 日 謂 
X88n1641_001:0022c21	家人曰。吾當西逝。可集親友送我。因集眾念佛。安然	家 人 曰 吾 當 西 逝 可 集 親 友 送 我 因 集 眾 念 佛 安 然 
X88n1641_001:0022c22	坐逝。異香經宿不散(吳江鑒空師說)。	坐 逝 異 香 經 宿 不 散 吳 江 鑒 空 師 說 
X88n1641_001:0022c23	杭州北關羅四。造大悲像。鑄鏡光。有老嫗以一小鏡	杭 州 北 關 羅 四 造 大 悲 像 鑄 鏡 光 有 老 嫗 以 一 小 鏡 
X88n1641_001:0022c24	相助。羅愛其古。存之。初鑄僅成四邊。二鑄僅成半鏡。	相 助 羅 愛 其 古 存 之 初 鑄 僅 成 四 邊 二 鑄 僅 成 半 鏡 
X88n1641_001:0023a01	三鑄中缺一孔。與所留古鏡大小正等。乃出所留鏡	三 鑄 中 缺 一 孔 與 所 留 古 鏡 大 小 正 等 乃 出 所 留 鏡 
X88n1641_001:0023a02	投爐且云。此鑄若成。吾當懺悔。若復不成。非吾咎矣。	投 爐 且 云 此 鑄 若 成 吾 當 懺 悔 若 復 不 成 非 吾 咎 矣 
X88n1641_001:0023a03	鑄果立就。於是復捐貲禮懺。今其鏡現在龍居永慶	鑄 果 立 就 於 是 復 捐 貲 禮 懺 今 其 鏡 現 在 龍 居 永 慶 
X88n1641_001:0023a04	寺懺壇。	寺 懺 壇 
X88n1641_001:0023a05	姑蘇陽山西王象橋。有居民夫婦。每至稻熟時輒於	姑 蘇 陽 山 西 王 象 橋 有 居 民 夫 婦 每 至 稻 熟 時 輒 於 
X88n1641_001:0023a06	鄰田中搣取禾穗以自益。忽一日亡。父母附於女身	鄰 田 中 搣 取 禾 穗 以 自 益 忽 一 日 亡 父 母 附 於 女 身 
X88n1641_001:0023a07	大詬曰。汝盜鄰家穀。冥府乃督我搣己田中穗償之。	大 詬 曰 汝 盜 鄰 家 穀 冥 府 乃 督 我 搣 己 田 中 穗 償 之 
X88n1641_001:0023a08	兩手皆傷。不勝苦痛。汝何害我至此耶。	兩 手 皆 傷 不 勝 苦 痛 汝 何 害 我 至 此 耶 
X88n1641_001:0023a09	又一居民植菜。有鄰人齊根截去一疇。彼忍而不較。	又 一 居 民 植 菜 有 鄰 人 齊 根 截 去 一 疇 彼 忍 而 不 較 
X88n1641_001:0023a10	菜乃從根復生。茂盛倍常。次夜鄰又截去一疇。彼不	菜 乃 從 根 復 生 茂 盛 倍 常 次 夜 鄰 又 截 去 一 疇 彼 不 
X88n1641_001:0023a11	復堪。痛加詛罵。此疇所留菜根倍多。竟枯腐無復生	復 堪 痛 加 詛 罵 此 疇 所 留 菜 根 倍 多 竟 枯 腐 無 復 生 
X88n1641_001:0023a12	者。	者 
X88n1641_001:0023a13	又一居民索陳債。負債者嫌其太迫。即口牴之。彼含	又 一 居 民 索 陳 債 負 債 者 嫌 其 太 迫 即 口 牴 之 彼 含 
X88n1641_001:0023a14	恨言。如何負我物而不肯償我。必為毒蛇噬之。未幾	恨 言 如 何 負 我 物 而 不 肯 償 我 必 為 毒 蛇 噬 之 未 幾 
X88n1641_001:0023a15	患黃病。展轉牀席者年餘。負債人聞其病篤。因念云。	患 黃 病 展 轉 牀 席 者 年 餘 負 債 人 聞 其 病 篤 因 念 云 
X88n1641_001:0023a16	我本無心負彼。因彼態太惡。故謾相牴耳。今聞其抱	我 本 無 心 負 彼 因 彼 態 太 惡 故 謾 相 牴 耳 今 聞 其 抱 
X88n1641_001:0023a17	病。我當償之。乃備一本一利并禮物四盒往謝。彼人	病 我 當 償 之 乃 備 一 本 一 利 并 禮 物 四 盒 往 謝 彼 人 
X88n1641_001:0023a18	喜甚。相留對飲。飲醉忽吐一蛇。厥病遂愈。	喜 甚 相 留 對 飲 飲 醉 忽 吐 一 蛇 厥 病 遂 愈 
X88n1641_001:0023a19	杭州鄉民有田數畒。界在祝鄉宦田中。祝以勢力迫	杭 州 鄉 民 有 田 數 畒 界 在 祝 鄉 宦 田 中 祝 以 勢 力 迫 
X88n1641_001:0023a20	取之。民無可訴。誓來生作蛇相螫。遂得重病。命匠作	取 之 民 無 可 訴 誓 來 生 作 蛇 相 螫 遂 得 重 病 命 匠 作 
X88n1641_001:0023a21	棺留一孔穴。匠問知其故。以白於祝。祝悔悟。輿民至	棺 留 一 孔 穴 匠 問 知 其 故 以 白 於 祝 祝 悔 悟 輿 民 至 
X88n1641_001:0023a22	家。還其田契。并與養病之資。民感泣即吐出一蛇。霍	家 還 其 田 契 并 與 養 病 之 資 民 感 泣 即 吐 出 一 蛇 霍 
X88n1641_001:0023a23	然起走還家(王元建居士親知其事)。	然 起 走 還 家 王 元 建 居 士 親 知 其 事 
X88n1641_001:0023a24	杭州于行素。妻重病三載有餘。勢在必死。一夜夢綵	杭 州 于 行 素 妻 重 病 三 載 有 餘 勢 在 必 死 一 夜 夢 綵 
X88n1641_001:0023b01	雲擁菩薩到其庭。歡喜驚醒。適值雲棲大師到城。于	雲 擁 菩 薩 到 其 庭 歡 喜 驚 醒 適 值 雲 棲 大 師 到 城 于 
X88n1641_001:0023b02	率諸眷屬固求大師光臨。師命先作經懺道場四日。	率 諸 眷 屬 固 求 大 師 光 臨 師 命 先 作 經 懺 道 場 四 日 
X88n1641_001:0023b03	至末日乃往焉。病者恍如夢中所見。遂愈。	至 末 日 乃 往 焉 病 者 恍 如 夢 中 所 見 遂 愈 
