X88n1649_001:0322a06	 法喜志序	 法 喜 志 序 
X88n1649_001:0322a08	是冊揀歷朝名位賢哲。飽於法味者。織之成帙。為來	是 冊 揀 歷 朝 名 位 賢 哲 飽 於 法 味 者 織 之 成 帙 為 來 
X88n1649_001:0322a09	期之明證也。葢佛法自漢始達震旦。使震旦無載道	期 之 明 證 也 葢 佛 法 自 漢 始 達 震 旦 使 震 旦 無 載 道 
X88n1649_001:0322a10	之器。何以流通。至今日乎。其載道之器。有在家出家。	之 器 何 以 流 通 至 今 日 乎 其 載 道 之 器 有 在家出家 
X88n1649_001:0322a11	而出家且置。即在家名哲才士。有一不嗜於此。何以	而 出 家 且 置 即 在 家 名 哲 才 士 有 一 不 嗜 於 此 何 以 
X88n1649_001:0322a12	見巨海一滴味具百川者哉。有云。獅子乳。唯玻瓈盞	見 巨 海 一 滴 味 具 百 川 者 哉 有 云 獅 子 乳 唯 玻 瓈 盞 
X88n1649_001:0322a13	能貯。餘物貯之即碎。然載道實難其人。昔法華會上。	能 貯 餘 物 貯 之 即 碎 然 載 道 實 難 其 人 昔 法 華 會 上 
X88n1649_001:0322a14	地中湧出六萬恒河沙數菩薩。同如來前自誓。於佛	地 中 湧 出 六 萬 恒 河 沙 數 菩 薩 同 如 來 前 自 誓 於 佛 
X88n1649_001:0322a15	滅後。恒在此界。流布大法。自佛法入此。此中緇素高	滅 後 恒 在 此 界 流 布 大 法 自 佛 法 入 此 此 中 緇 素 高 
X88n1649_001:0322a16	流。荷擔大法者。不其人乎。又孰能哉。抑且佛末後。以	流 荷 擔 大 法 者 不 其 人 乎 又 孰 能 哉 抑 且 佛 末 後 以 
X88n1649_001:0322a17	法藏付囑國王大臣。將非後世異見稠密。借斯名勢。	法 藏 付 囑 國 王 大 臣 將 非 後 世 異 見 稠 密 借 斯 名 勢 
X88n1649_001:0322a18	方能破之耶。是則通諸家之異執。斷末世之沉惑。此	方 能 破 之 耶 是 則 通 諸 家 之 異 執 斷 末 世 之 沉 惑 此 
X88n1649_001:0322a19	帙又是一大利器也。今之才士。有未見佛書者。視之	帙 又 是 一 大 利 器 也 今 之 才 士 有 未 見 佛 書 者 視 之 
X88n1649_001:0322a20	為異物。非前哲開導。起信無由。是知此帙。為來哲之	為 異 物 非 前 哲 開 導 起 信 無 由 是 知 此 帙 為 來 哲 之 
X88n1649_001:0322a21	明證實矣。葢自漢晉至於宋元。耽此法味者甚眾。今	明 證 實 矣 葢 自 漢 晉 至 於 宋 元 耽 此 法 味 者 甚 眾 今 
X88n1649_001:0322a22	但揀光明勝大。昭千古耳目者。列之。咸法喜所資。死	但 揀 光 明 勝 大 昭 千 古 耳 目 者 列 之 咸 法 喜 所 資 死 
X88n1649_001:0322a23	而不亡者壽也。教中有法喜禪悅二食。食之能養法	而 不 亡 者 壽 也 教 中 有 法 喜 禪 悅 二 食 食 之 能 養 法 
X88n1649_001:0322a24	身。資慧命。究竟無盡。是諸明哲。已飽法喜者也。今同	身 資 慧 命 究 竟 無 盡 是 諸 明 哲 已 飽 法 喜 者 也 今 同 
